"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	% of Total Deaths
	"Lancaster County, SC"	"45057"	22	327259	6.7	4.2	10.2	0.0%
	"Laurens County, SC"	"45059"	68	319894	21.3	16.5	26.9	0.1%
	"Lee County, SC"	"45061"	28	224011	12.5	8.3	18.1	0.0%
	"Lexington County, SC"	"45063"	71	662554	10.7	8.4	13.5	0.1%
	"McCormick County, SC"	"45065"	11	92457	Unreliable	5.9	21.3	0.0%
	"Marion County, SC"	"45067"	51	342890	14.9	11.1	19.6	0.0%
	"Marlboro County, SC"	"45069"	33	264835	12.5	8.6	17.5	0.0%
	"Newberry County, SC"	"45071"	49	216296	22.7	16.8	29.9	0.0%
	"Oconee County, SC"	"45073"	31	107402	28.9	19.6	41.0	0.0%
	"Orangeburg County, SC"	"45075"	152	1028115	14.8	12.4	17.1	0.1%
	"Pickens County, SC"	"45077"	25	148121	16.9	10.9	24.9	0.0%
	"Richland County, SC"	"45079"	463	3108654	14.9	13.5	16.3	0.4%
	"Saluda County, SC"	"45081"	18	98951	Unreliable	10.8	28.7	0.0%
	"Spartanburg County, SC"	"45083"	162	1055416	15.3	13.0	17.7	0.1%
	"Sumter County, SC"	"45085"	100	913758	10.9	8.8	13.1	0.1%
	"Union County, SC"	"45087"	23	166180	13.8	8.8	20.8	0.0%
	"Williamsburg County, SC"	"45089"	51	416363	12.2	9.1	16.1	0.0%
	"York County, SC"	"45091"	123	738476	16.7	13.7	19.6	0.1%
	"Anderson County, TN"	"47001"	11	57722	Unreliable	9.5	34.1	0.0%
	"Bedford County, TN"	"47003"	14	68312	Unreliable	11.2	34.4	0.0%
	"Blount County, TN"	"47009"	15	67170	Unreliable	12.5	36.8	0.0%
	"Bradley County, TN"	"47011"	11	82493	Unreliable	6.7	23.9	0.0%
	"Carroll County, TN"	"47017"	12	56455	Unreliable	11.0	37.1	0.0%
	"Davidson County, TN"	"47037"	602	3122313	19.3	17.7	20.8	0.5%
	"Fayette County, TN"	"47047"	15	191408	Unreliable	4.4	12.9	0.0%
	"Gibson County, TN"	"47053"	25	171467	14.6	9.4	21.5	0.0%
	"Giles County, TN"	"47055"	14	59717	Unreliable	12.8	39.3	0.0%
	"Hamblen County, TN"	"47063"	17	52759	Unreliable	18.8	51.6	0.0%
	"Hamilton County, TN"	"47065"	189	1219972	15.5	13.3	17.7	0.2%
	"Hardeman County, TN"	"47069"	16	205302	Unreliable	4.5	12.7	0.0%
	"Haywood County, TN"	"47075"	28	174718	16.0	10.6	23.2	0.0%
	"Henry County, TN"	"47079"	12	50670	Unreliable	12.2	41.4	0.0%
	"Knox County, TN"	"47093"	176	698920	25.2	21.5	28.9	0.1%
	"Lauderdale County, TN"	"47097"	11	174944	Unreliable	3.1	11.3	0.0%
	"Madison County, TN"	"47113"	64	622281	10.3	7.9	13.1	0.1%
	"Maury County, TN"	"47119"	31	189935	16.3	11.1	23.2	0.0%
	"Montgomery County, TN"	"47125"	74	612417	12.1	9.5	15.2	0.1%
	"Obion County, TN"	"47131"	10	61641	Unreliable	7.8	29.8	0.0%
	"Roane County, TN"	"47145"	15	28621	Unreliable	29.3	86.4	0.0%
	"Robertson County, TN"	"47147"	16	91796	Unreliable	10.0	28.3	0.0%
	"Rutherford County, TN"	"47149"	44	556220	7.9	5.7	10.6	0.0%
	"Shelby County, TN"	"47157"	1256	8623439	14.6	13.8	15.4	1.0%
	"Sumner County, TN"	"47165"	15	188500	Unreliable	4.5	13.1	0.0%
	"Tipton County, TN"	"47167"	16	201760	Unreliable	4.5	12.9	0.0%
	"Washington County, TN"	"47179"	21	93568	22.4	13.9	34.3	0.0%
	"Weakley County, TN"	"47183"	12	48758	Unreliable	12.7	43.0	0.0%
	"Williamson County, TN"	"47187"	23	148413	15.5	9.8	23.3	0.0%
	"Wilson County, TN"	"47189"	26	133839	19.4	12.7	28.5	0.0%
	"Anderson County, TX"	"48001"	28	232561	12.0	8.0	17.4	0.0%
	"Angelina County, TX"	"48005"	23	236371	9.7	6.2	14.6	0.0%
	"Bastrop County, TX"	"48021"	10	111174	Unreliable	4.3	16.5	0.0%
	"Bell County, TX"	"48027"	91	1223538	7.4	6.0	9.1	0.1%
	"Bexar County, TX"	"48029"	374	2396544	15.6	14.0	17.2	0.3%
	"Bowie County, TX"	"48037"	28	404805	6.9	4.6	10.0	0.0%
	"Brazoria County, TX"	"48039"	33	628274	5.3	3.6	7.4	0.0%
	"Brazos County, TX"	"48041"	41	371408	11.0	7.9	15.0	0.0%
	"Cass County, TX"	"48067"	10	100435	Unreliable	4.8	18.3	0.0%
	"Chambers County, TX"	"48071"	11	53884	Unreliable	10.2	36.5	0.0%
	"Cherokee County, TX"	"48073"	16	139951	Unreliable	6.5	18.6	0.0%
	"Collin County, TX"	"48085"	51	1076607	4.7	3.5	6.2	0.0%
	"Coryell County, TX"	"48099"	10	266931	Unreliable	1.8	6.9	0.0%
	"Dallas County, TX"	"48113"	1329	9528984	13.9	13.2	14.7	1.1%
	"Denton County, TX"	"48121"	36	946422	3.8	2.7	5.3	0.0%
	"Ector County, TX"	"48135"	20	121743	16.4	10.0	25.4	0.0%
	"Ellis County, TX"	"48139"	26	235696	11.0	7.2	16.2	0.0%
	"El Paso County, TX"	"48141"	58	509355	11.4	8.6	14.7	0.0%
	"Fort Bend County, TX"	"48157"	83	2057044	4.0	3.2	5.0	0.1%
	"Galveston County, TX"	"48167"	122	755677	16.1	13.3	19.0	0.1%
	"Grayson County, TX"	"48181"	15	136946	Unreliable	6.1	18.1	0.0%
	"Gregg County, TX"	"48183"	39	439946	8.9	6.3	12.1	0.0%
	"Guadalupe County, TX"	"48187"	13	149777	Unreliable	4.6	14.8	0.0%
	"Harris County, TX"	"48201"	1994	13844094	14.4	13.8	15.0	1.7%
	"Harrison County, TX"	"48203"	34	268810	12.6	8.8	17.7	0.0%
	"Houston County, TX"	"48225"	14	113940	Unreliable	6.7	20.6	0.0%
	"Hunt County, TX"	"48231"	24	137947	17.4	11.1	25.9	0.0%
	"Jasper County, TX"	"48241"	10	112238	Unreliable	4.3	16.4	0.0%
	"Jefferson County, TX"	"48245"	195	1570470	12.4	10.7	14.2	0.2%
	"Kaufman County, TX"	"48257"	23	185855	12.4	7.8	18.6	0.0%
	"Liberty County, TX"	"48291"	17	160575	Unreliable	6.2	17.0	0.0%
	"Lubbock County, TX"	"48303"	52	391033	13.3	9.9	17.4	0.0%
	"McLennan County, TX"	"48309"	90	642964	14.0	11.3	17.2	0.1%
	"Matagorda County, TX"	"48321"	12	82929	Unreliable	7.5	25.3	0.0%
	"Midland County, TX"	"48329"	33	172784	19.1	13.1	26.8	0.0%
	"Montgomery County, TX"	"48339"	34	343578	9.9	6.9	13.8	0.0%
	"Morris County, TX"	"48343"	10	55774	Unreliable	8.6	33.0	0.0%
	"Nacogdoches County, TX"	"48347"	28	205977	13.6	9.0	19.6	0.0%
	"Navarro County, TX"	"48349"	19	130601	Unreliable	8.8	22.7	0.0%
	"Nueces County, TX"	"48355"	57	272147	20.9	15.9	27.1	0.0%
	"Orange County, TX"	"48361"	19	131070	Unreliable	8.7	22.6	0.0%
	"Polk County, TX"	"48373"	13	97657	Unreliable	7.1	22.8	0.0%
	"Potter County, TX"	"48375"	40	233277	17.1	12.2	23.3	0.0%
	"Robertson County, TX"	"48395"	14	67988	Unreliable	11.3	34.5	0.0%
	"Rusk County, TX"	"48401"	10	171952	Unreliable	2.8	10.7	0.0%
	"Shelby County, TX"	"48419"	13	85510	Unreliable	8.1	26.0	0.0%
	"Smith County, TX"	"48423"	65	675973	9.6	7.4	12.3	0.1%
	"Tarrant County, TX"	"48439"	506	4697989	10.8	9.8	11.7	0.4%
	"Taylor County, TX"	"48441"	26	186713	13.9	9.1	20.4	0.0%
	"Tom Green County, TX"	"48451"	12	93583	Unreliable	6.6	22.4	0.0%
	"Travis County, TX"	"48453"	275	1671382	16.5	14.5	18.4	0.2%
	"Upshur County, TX"	"48459"	15	65799	Unreliable	12.8	37.6	0.0%
	"Victoria County, TX"	"48469"	23	108027	21.3	13.5	31.9	0.0%
	"Walker County, TX"	"48471"	10	281690	Unreliable	1.7	6.5	0.0%
	"Waller County, TX"	"48473"	14	196944	Unreliable	3.9	11.9	0.0%
	"Washington County, TX"	"48477"	15	108822	Unreliable	7.7	22.7	0.0%
	"Wharton County, TX"	"48481"	12	110186	Unreliable	5.6	19.0	0.0%
	"Wichita County, TX"	"48485"	33	264615	12.5	8.6	17.5	0.0%
	"Williamson County, TX"	"48491"	29	462850	6.3	4.2	9.0	0.0%
	"Salt Lake County, UT"	"49035"	64	351385	18.2	14.0	23.3	0.1%
	"Weber County, UT"	"49057"	22	74354	29.6	18.5	44.8	0.0%
	"Chittenden County, VT"	"50007"	16	59063	Unreliable	15.5	44.0	0.0%
	"Accomack County, VA"	"51001"	12	188602	Unreliable	3.3	11.1	0.0%
	"Albemarle County, VA"	"51003"	16	177637	Unreliable	5.1	14.6	0.0%
	"Amherst County, VA"	"51009"	17	115586	Unreliable	8.6	23.5	0.0%
	"Arlington County, VA"	"51013"	61	356918	17.1	13.1	22.0	0.1%
	"Bedford County, VA"	"51019"	11	78834	Unreliable	7.0	25.0	0.0%
	"Brunswick County, VA"	"51025"	13	181048	Unreliable	3.8	12.3	0.0%
	"Campbell County, VA"	"51031"	13	145791	Unreliable	4.7	15.2	0.0%
	"Caroline County, VA"	"51033"	22	150368	14.6	9.2	22.2	0.0%
	"Chesterfield County, VA"	"51041"	78	1198794	6.5	5.1	8.1	0.1%
	"Culpeper County, VA"	"51047"	10	133175	Unreliable	3.6	13.8	0.0%
	"Dinwiddie County, VA"	"51053"	12	161519	Unreliable	3.8	13.0	0.0%
	"Essex County, VA"	"51057"	13	76052	Unreliable	9.1	29.2	0.0%
	"Fairfax County, VA"	"51059"	117	1877397	6.2	5.1	7.4	0.1%
	"Fauquier County, VA"	"51061"	31	100460	30.9	21.0	43.8	0.0%
	"Franklin County, VA"	"51067"	13	85702	Unreliable	8.1	25.9	0.0%
	"Goochland County, VA"	"51075"	10	75440	Unreliable	6.4	24.4	0.0%
	"Greensville County, VA"	"51081"	11	129073	Unreliable	4.3	15.2	0.0%
	"Halifax County, VA"	"51083"	18	246626	Unreliable	4.3	11.5	0.0%
	"Hanover County, VA"	"51085"	13	170349	Unreliable	4.1	13.0	0.0%
	"Henrico County, VA"	"51087"	141	1549874	9.1	7.6	10.6	0.1%
	"Henry County, VA"	"51089"	30	226033	13.3	9.0	18.9	0.0%
	"Isle of Wight County, VA"	"51093"	16	155095	Unreliable	5.9	16.8	0.0%
	"James City County, VA"	"51095"	23	158767	14.5	9.2	21.7	0.0%
	"Lancaster County, VA"	"51103"	10	58428	Unreliable	8.2	31.5	0.0%
	"Loudoun County, VA"	"51107"	30	403899	7.4	5.0	10.6	0.0%
	"Louisa County, VA"	"51109"	10	107894	Unreliable	4.4	17.0	0.0%
	"Lunenburg County, VA"	"51111"	12	85950	Unreliable	7.2	24.4	0.0%
	"Mecklenburg County, VA"	"51117"	35	218944	16.0	11.1	22.2	0.0%
	"Northampton County, VA"	"51131"	14	89040	Unreliable	8.6	26.4	0.0%
	"Nottoway County, VA"	"51135"	14	115280	Unreliable	6.6	20.4	0.0%
	"Orange County, VA"	"51137"	17	78169	Unreliable	12.7	34.8	0.0%
	"Pittsylvania County, VA"	"51143"	41	259897	15.8	11.3	21.4	0.0%
	"Prince Edward County, VA"	"51147"	17	136700	Unreliable	7.2	19.9	0.0%
	"Prince William County, VA"	"51153"	107	1445163	7.4	6.0	8.8	0.1%
	"Pulaski County, VA"	"51155"	12	35907	Unreliable	17.3	58.4	0.0%
	"Southampton County, VA"	"51175"	16	128265	Unreliable	7.1	20.3	0.0%
	"Spotsylvania County, VA"	"51177"	23	325696	7.1	4.5	10.6	0.0%
	"Stafford County, VA"	"51179"	25	375369	6.7	4.3	9.8	0.0%
