LGA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
LGA11250,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,7,7,7,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,3,3,12,6,4,7,3,0,38,0,0,0,4,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,4,19,5,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
LGA11300,0,0,6,65,14,6,8,0,0,101,0,0,5,40,46,61,106,128,81,470,0,0,4,19,0,0,0,4,0,33,3,21,116,245,92,51,40,15,3,581,0,5,7,44,66,67,59,33,11,295,0,0,25,90,18,17,9,0,0,164,0,0,0,0,0,3,3,3,0,14,0,0,0,4,0,6,0,0,0,9,0,3,9,7,10,8,3,3,3,47,3,14,251,497,12,3,0,0,0,775,0,0,0,0,3,3,3,0,0,15,0,12,37,62,30,32,13,3,0,192,0,0,0,4,3,0,3,0,0,9,0,7,4,24,14,0,6,0,0,52,0,0,0,3,3,4,0,5,3,22,0,4,11,98,23,11,14,5,0,167,0,0,0,11,3,18,4,9,8,47,0,0,0,0,6,3,5,3,3,27,3,7,6,14,5,7,3,4,0,50,0,0,4,7,7,5,10,0,0,29
LGA11350,0,0,0,15,13,12,9,0,0,40,0,0,3,33,10,12,7,3,3,81,0,5,3,21,6,4,0,0,0,43,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,0,0,0,0,0,5,0,0,6,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,5,3,15,18,9,3,62,3,12,8,114,72,87,43,10,7,363,0,0,3,4,3,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0,3,0,18,0,0,5,4,0,3,0,0,0,18,0,0,0,3,0,5,0,0,0,8,0,0,0,10,10,23,7,6,0,54,0,0,0,0,0,7,0,0,0,9,0,0,6,14,15,23,22,0,0,83
LGA11400,0,0,0,3,0,0,6,0,0,7,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,10,0,0,3,12,17,17,6,3,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,3,26
LGA11450,0,9,3,53,25,21,15,7,4,134,0,0,4,11,44,65,78,65,20,290,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,0,19,0,0,0,62,35,35,20,4,0,156,0,4,3,19,12,9,12,3,0,63,0,0,0,8,7,35,66,17,3,144,0,0,3,14,17,12,3,5,0,58,0,3,0,6,3,0,0,0,0,14,0,3,0,15,3,0,0,0,0,24,0,0,0,3,14,19,26,15,3,75,13,39,65,197,112,71,41,12,0,554,0,0,5,9,8,13,14,8,0,61,0,9,12,25,20,11,3,0,0,78,0,0,0,5,0,3,0,0,0,20,0,12,13,123,37,25,10,0,0,219,0,0,0,20,8,9,13,4,0,59,3,6,15,38,42,54,41,18,3,221,0,0,5,4,4,3,4,0,0,28,0,9,20,61,44,14,16,5,0,180
LGA11500,3,11,4,50,32,24,44,17,3,197,0,0,9,11,43,50,79,63,20,280,0,11,6,6,3,4,0,0,0,33,0,4,6,24,8,4,8,4,0,58,4,7,17,193,146,106,75,29,7,587,0,7,24,49,33,40,25,7,4,188,0,3,0,3,9,43,55,27,4,140,0,0,8,40,57,62,48,21,3,229,0,0,7,18,9,3,4,8,0,43,3,46,57,389,42,21,11,0,0,562,0,0,0,12,7,37,48,25,6,140,41,273,410,720,272,186,83,25,3,2010,0,0,0,8,12,16,28,9,0,77,21,48,85,289,101,46,14,3,0,607,0,3,3,8,4,5,0,0,0,32,14,90,221,652,317,257,115,20,10,1701,0,0,4,54,31,66,46,17,4,220,0,4,3,40,47,111,121,47,12,374,4,9,7,22,9,12,4,4,0,66,3,13,34,154,67,73,64,23,8,434
LGA11520,0,6,12,181,67,22,21,7,0,308,3,14,22,119,168,282,428,497,221,1751,0,3,14,28,7,8,3,0,0,67,22,62,218,873,158,119,49,31,4,1535,0,5,3,52,62,48,37,19,9,227,3,5,25,155,38,37,37,15,6,332,0,0,0,3,4,14,20,12,5,56,0,0,0,21,6,9,0,0,0,35,0,0,4,11,6,4,0,0,3,31,0,0,65,151,0,0,0,0,0,224,0,0,4,17,10,8,11,5,3,69,0,27,43,250,113,115,50,17,3,620,0,0,0,23,6,9,10,3,0,47,0,5,16,55,8,3,5,0,0,97,0,0,3,9,11,5,0,0,0,33,0,15,14,164,30,21,9,5,0,257,0,0,0,27,10,12,11,6,3,72,0,3,5,42,27,24,29,11,6,145,3,7,6,46,10,9,5,5,0,102,4,4,10,104,27,31,23,8,0,208
LGA11570,5,8,9,97,60,43,52,25,7,312,4,18,28,120,180,264,487,544,232,1870,3,9,9,47,12,10,8,0,0,94,12,58,123,444,238,277,152,123,25,1444,26,153,418,2887,2315,2001,1545,630,138,10116,10,46,119,476,120,125,74,11,4,986,0,0,0,11,10,47,85,70,20,244,0,3,7,71,49,63,59,35,18,301,5,32,193,553,116,51,22,12,0,995,10,38,311,1135,44,26,8,0,0,1574,0,3,4,7,12,18,21,20,16,91,47,253,410,803,351,266,103,21,16,2270,0,0,0,8,10,7,15,6,0,47,83,260,550,1683,337,125,23,3,0,3064,0,0,4,16,10,12,9,7,0,63,15,90,172,673,265,227,104,20,5,1567,0,0,5,54,26,63,34,28,36,246,0,0,3,25,32,49,46,23,18,196,0,18,18,51,19,37,21,9,0,178,0,11,21,91,63,41,24,16,0,275
LGA11600,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8
LGA11650,7,36,13,130,68,84,118,72,10,540,0,0,3,30,46,105,158,149,43,532,3,18,7,18,15,9,3,0,0,75,0,25,31,106,47,25,27,3,3,259,0,3,0,17,36,24,18,3,0,113,0,3,27,60,45,26,16,17,0,196,0,0,0,9,18,67,171,75,5,347,0,4,0,11,15,13,9,5,4,63,0,0,0,9,7,0,3,4,0,30,0,3,0,33,5,3,0,0,0,49,0,8,8,22,31,83,182,106,44,487,21,84,141,764,585,535,348,140,44,2670,0,5,3,26,33,29,44,29,6,167,3,8,10,37,3,11,4,0,0,77,0,7,9,39,38,26,8,8,0,137,6,48,64,215,69,61,32,8,4,509,0,0,4,35,18,28,30,25,16,156,4,25,20,112,157,202,229,152,42,941,3,13,10,15,23,17,5,4,4,82,0,47,83,211,176,109,90,46,10,776
