LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA14100,3,19,0,849,32,7,0,47,3,23,3,13,4,18,123,275,3,0,0,0,0,4,0,0,0,0,3,17,478,48,16,549,52,344,18,84,9,107,131,1838
LGA14170,30,71,11,6063,246,35,10,232,27,141,14,58,18,133,908,1829,18,0,3,17,6,8,0,4,0,12,38,104,4966,713,158,5529,845,3204,144,793,177,1441,988,18951
LGA14200,0,0,0,63,40,4,8,25,0,13,0,7,0,12,79,203,0,3,0,0,0,0,0,3,0,3,5,11,355,69,24,426,36,229,20,84,24,189,96,1553
LGA14300,0,0,0,32,14,0,0,10,0,9,0,0,0,4,19,63,0,0,0,0,0,0,0,0,0,3,3,6,146,20,10,158,20,87,8,23,10,47,21,543
LGA14350,3,4,0,61,45,7,0,63,7,17,4,13,7,37,103,306,3,0,0,3,0,3,0,0,3,10,13,34,415,121,36,596,63,323,39,173,37,356,129,2293
LGA14400,0,0,0,368,59,14,3,69,9,22,4,9,9,21,146,368,0,0,5,0,0,0,0,0,0,3,0,9,495,117,26,884,115,349,27,127,31,190,154,2524
LGA14500,29,171,5,7826,339,60,10,370,12,268,11,75,26,126,1256,2548,22,3,11,36,5,12,3,4,9,10,37,159,4709,589,94,5389,442,3952,117,800,131,1185,1301,18710
LGA14550,0,0,0,34,9,4,0,16,0,9,0,3,3,15,37,93,0,0,0,0,0,0,0,0,0,3,0,11,163,38,4,164,12,101,10,51,11,117,37,713
LGA14600,0,0,0,30,23,3,0,18,0,6,0,0,7,3,25,92,4,0,0,0,0,0,0,0,0,0,0,9,122,15,21,180,20,112,7,18,12,53,27,593
LGA14650,15,31,3,2373,399,73,29,432,36,217,28,103,28,203,1150,2690,31,6,6,37,3,17,3,9,10,36,45,208,4589,892,185,7920,810,3719,297,1113,254,2080,1238,23096
LGA14700,13,22,3,1971,84,15,6,77,9,56,0,14,3,12,255,538,7,0,6,3,0,3,0,0,6,0,6,40,1257,149,36,1378,169,990,39,197,44,207,264,4722
LGA14750,0,0,0,59,37,7,0,19,5,7,0,3,0,5,50,139,0,0,0,0,0,0,0,0,0,0,3,8,295,31,9,337,53,197,9,43,11,87,62,1133
LGA14850,4,4,3,198,73,22,4,68,5,31,7,21,0,34,188,449,0,0,5,0,0,3,0,0,3,10,15,32,892,260,32,1204,115,575,48,282,47,368,207,4034
LGA14870,0,4,0,191,31,9,0,50,4,35,0,10,4,23,83,251,3,0,5,3,0,3,0,0,3,9,4,29,360,75,24,621,72,307,24,101,34,228,100,1936
LGA14900,23,108,9,2530,405,56,42,333,47,350,14,119,68,423,1137,3001,25,10,25,27,5,17,9,17,15,61,110,313,6599,899,239,5995,767,6378,213,1972,481,4609,1340,29481
LGA14920,0,3,0,32,24,0,0,22,0,9,0,4,0,7,33,108,3,0,0,5,0,0,0,0,0,3,0,14,152,21,4,199,20,147,5,24,16,76,40,716
LGA14950,0,0,0,17,7,4,0,14,0,3,0,0,0,8,14,58,3,0,0,0,0,0,0,0,0,0,0,4,69,9,3,116,18,51,0,17,0,29,14,323
LGA15050,3,13,0,968,167,20,10,191,9,89,5,34,10,57,550,1141,8,0,5,17,3,3,0,3,3,12,17,72,2022,308,75,3121,348,1778,96,415,119,673,577,9533
LGA15240,4,3,6,265,148,39,14,161,11,88,17,46,14,102,399,1041,9,0,3,12,3,6,0,3,8,20,26,95,1261,423,69,1970,201,1090,109,587,130,1049,458,7357
LGA15270,0,0,0,222,55,18,0,65,7,32,3,15,7,26,121,347,3,0,0,0,0,3,3,0,4,3,11,26,430,101,27,799,78,497,30,121,35,214,138,2485
LGA15300,0,3,0,80,51,4,3,37,7,22,0,3,4,13,63,201,7,0,3,5,0,7,0,0,0,4,4,33,339,33,19,360,44,189,14,32,17,101,68,1219
LGA15350,11,65,0,1757,50,21,3,66,7,89,0,26,4,27,270,557,3,0,3,3,0,3,0,0,0,0,7,27,760,109,23,921,103,893,27,166,35,200,278,3511
LGA15520,0,0,0,61,35,0,0,23,3,15,0,3,0,4,71,161,0,3,0,3,0,0,0,0,0,0,0,8,292,50,13,374,39,144,16,43,15,46,75,1119
LGA15560,0,0,0,16,26,0,3,18,3,9,0,3,0,5,15,76,3,0,0,0,0,0,0,0,0,0,3,3,110,16,10,120,12,66,5,19,3,22,20,401
LGA15650,0,3,0,180,38,0,4,45,0,25,3,4,3,14,77,209,0,0,3,5,0,0,0,0,0,0,9,17,331,55,25,525,62,380,24,67,33,141,91,1741
LGA15700,0,0,0,45,18,13,0,34,3,24,0,13,4,25,66,213,0,0,0,0,0,0,0,0,0,3,3,17,259,100,12,364,37,242,29,162,21,232,77,1541
LGA15750,0,0,0,97,45,3,8,38,0,20,0,3,0,12,60,197,7,0,0,3,0,3,0,0,0,0,3,16,343,38,22,441,51,206,15,41,11,91,67,1316
LGA15800,0,0,0,23,17,7,0,20,0,9,0,3,0,9,31,94,0,0,0,0,0,0,0,0,0,0,0,5,137,15,11,174,22,83,12,26,4,49,31,559
LGA15850,0,0,0,37,21,5,0,14,0,6,0,4,0,4,41,99,0,0,0,0,0,0,0,0,0,0,4,13,164,22,6,164,17,82,11,23,6,48,51,605
LGA15900,9,29,0,2103,254,42,11,255,31,140,10,61,15,112,909,1853,17,0,14,14,12,9,3,9,4,16,39,133,3145,670,124,5499,645,2544,168,788,179,1301,984,16046
LGA15950,11,28,0,2448,68,20,3,66,8,51,3,18,7,32,370,647,3,3,0,7,0,3,0,0,0,0,8,34,1495,186,58,1542,369,1337,48,208,60,239,384,5927
LGA15990,51,176,12,10704,661,116,32,771,59,352,20,168,30,203,1881,4300,34,10,25,57,14,30,4,10,4,18,60,272,8082,1361,283,12399,1181,5820,300,1375,266,1727,1995,34793
LGA16100,0,0,0,42,19,0,0,18,0,3,0,0,0,5,32,92,5,0,0,0,0,0,0,0,0,0,0,7,133,27,6,150,17,76,3,18,12,31,33,505
LGA16150,5,3,0,449,88,6,0,97,6,36,8,12,3,25,228,504,3,0,4,3,0,0,0,0,0,7,7,28,1080,134,39,1411,176,672,45,182,46,267,245,4283
LGA16200,0,0,0,81,34,5,0,37,3,19,0,3,0,13,92,225,0,0,0,3,0,0,0,0,0,4,10,18,327,41,9,452,55,243,12,52,22,141,111,1460
LGA16260,12,76,3,4186,360,60,25,319,34,263,9,109,47,211,1449,2897,32,3,14,22,8,8,3,5,4,15,93,206,7349,1075,220,6911,915,7785,216,1844,395,2804,1595,31093
LGA16350,18,60,7,2610,454,41,26,392,40,268,23,107,35,208,869,2463,37,0,22,36,5,21,0,5,18,31,77,260,6786,648,229,7013,987,5257,217,1073,320,1863,1017,25421
LGA16380,6,9,0,466,118,33,7,134,16,65,3,31,4,78,373,854,14,0,7,15,0,3,0,3,3,16,11,75,1580,373,71,2214,181,1080,87,404,86,705,400,7192
LGA16400,4,10,0,560,124,36,6,148,13,94,6,41,13,72,487,1045,6,0,5,11,4,3,3,3,0,7,8,58,1418,298,83,2210,235,1247,77,399,89,666,522,7243
LGA16490,4,7,3,1496,181,17,14,115,18,63,0,22,8,38,401,867,9,3,3,7,3,3,0,0,4,0,18,50,2389,202,86,1943,353,1018,73,220,75,314,431,7107
LGA16550,18,81,7,4506,267,37,13,259,28,129,6,53,7,99,831,1730,23,0,15,24,4,13,4,0,6,14,22,117,3764,548,136,4319,598,2523,111,603,116,999,884,14593
LGA16610,0,3,0,48,35,15,0,32,3,22,8,15,0,34,87,256,3,0,0,0,0,3,0,0,0,11,0,18,420,132,24,539,60,361,35,165,29,277,91,2141
LGA16650,10,51,0,1484,184,38,18,173,24,133,13,71,19,156,620,1434,13,3,14,14,6,7,0,3,8,15,42,125,2816,520,117,2992,426,2652,116,952,201,1474,686,12949
LGA16700,11,79,0,3198,191,35,14,188,17,126,11,61,18,124,744,1525,18,0,6,23,4,7,0,0,5,7,35,112,3666,530,111,3896,501,3181,125,788,155,1233,800,14982
LGA16900,6,10,0,690,129,22,7,172,22,107,7,41,17,90,376,989,7,0,3,7,3,9,0,4,4,16,9,62,1625,295,67,2844,298,1567,97,444,105,785,404,8532
LGA16950,3,18,3,468,157,45,14,184,20,95,13,46,17,107,522,1212,10,5,7,16,3,6,0,3,6,16,22,96,1583,475,83,2662,274,1445,100,589,122,1023,582,8936
LGA17000,3,4,0,410,54,9,3,71,3,32,9,8,0,20,132,345,7,0,4,9,0,3,0,0,4,3,6,33,521,78,17,987,101,640,32,102,42,189,141,2854
LGA17040,0,0,0,133,77,8,3,42,8,14,3,3,0,9,110,285,3,0,3,5,0,0,0,0,0,3,6,28,603,88,26,594,80,226,29,66,22,107,127,1970
LGA17080,0,0,0,45,42,8,0,43,0,27,3,3,3,12,81,222,3,0,3,0,0,3,0,0,0,0,0,20,293,59,17,442,37,228,20,50,22,116,88,1378
LGA17100,5,44,0,974,86,10,11,75,8,48,6,29,0,43,280,598,3,0,0,7,0,0,0,0,0,11,16,42,1260,210,36,1075,138,1193,41,340,72,501,306,5162
LGA17150,31,120,4,7095,560,87,38,666,47,295,45,144,38,194,1403,3526,42,3,18,65,14,17,4,8,4,26,39,256,7385,1003,260,11416,1137,4764,320,1212,264,1721,1476,30961
LGA17200,21,48,3,2803,120,20,8,71,6,75,6,29,11,63,576,985,14,0,8,6,3,6,0,0,4,4,21,63,2244,351,100,2245,542,1915,91,455,110,704,614,9365
LGA17310,0,5,0,376,150,24,12,129,23,53,3,23,0,50,376,833,7,0,5,4,0,3,4,0,9,12,13,71,1572,204,60,1850,232,877,73,211,56,426,402,5961
LGA17350,0,0,0,27,12,0,0,15,4,5,0,3,0,3,24,80,0,0,0,0,0,0,0,0,0,4,3,10,121,21,10,230,33,86,8,36,3,53,30,618
LGA17400,0,0,0,16,19,0,0,13,0,10,3,4,0,9,22,83,3,0,0,0,0,0,0,0,0,0,3,11,110,25,8,129,10,76,8,33,4,66,29,483
LGA17420,31,122,7,6782,488,70,22,450,34,298,19,97,33,168,1240,2916,41,8,26,30,5,18,6,5,10,10,38,189,7548,887,179,7659,707,5136,186,1047,222,1513,1322,26403
LGA17550,6,4,0,550,149,49,4,183,10,95,3,72,3,70,479,1130,10,0,4,12,0,3,3,3,4,10,30,84,1529,510,70,2786,252,1423,114,606,87,836,545,8751
LGA17620,0,0,0,136,43,0,5,41,12,16,3,8,4,8,68,196,3,0,0,0,0,0,0,0,0,3,6,19,379,57,22,450,48,269,26,59,22,87,77,1492
LGA17640,0,0,0,44,33,5,0,31,4,12,0,3,0,7,34,125,0,0,0,0,0,0,0,0,0,0,4,5,196,37,14,259,25,99,11,32,10,58,42,791
LGA17650,0,0,0,23,19,0,0,11,0,4,0,3,3,4,45,88,0,0,0,0,0,0,0,0,3,3,0,12,143,27,3,198,19,69,6,42,6,55,51,631
LGA17750,0,6,4,544,136,15,4,151,16,54,6,10,3,25,381,799,9,0,6,11,0,7,0,0,0,12,20,65,1807,206,52,2179,268,1010,77,227,53,358,416,6648
LGA17850,0,0,0,19,21,4,0,12,0,9,0,0,0,3,11,57,0,0,0,0,0,0,0,0,0,0,4,7,91,14,0,103,5,56,3,11,3,12,13,312
