LGA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA15900,..,119,3003,4958,4747,4669,3639,1915,545,23590,..,669,2470,1240,921,614,248,61,12,6228,..,21,83,275,420,300,94,86,58,1341,12916,..,..,..,..,..,..,..,..,12916,..,3180,..,..,..,..,..,..,..,3180,..,2443,1290,523,509,220,32,0,0,5018,..,513,327,119,124,135,127,69,40,1457,..,371,356,116,96,66,34,4,0,1050,..,2137,1966,439,382,348,174,68,17,5530,..,351,1171,1172,1475,1605,1212,680,369,8038,249,456,494,296,206,165,88,51,26,2032,13164,10262,11172,9136,8874,8127,5648,2941,1059,70379,..,228,3903,5372,5015,4558,3228,1472,273,24048,..,1033,2506,1279,934,562,180,40,0,6540,..,199,762,1487,1612,822,371,350,249,5852,12020,..,..,..,..,..,..,..,..,12020,..,3047,..,..,..,..,..,..,..,3047,..,1710,793,222,188,156,29,3,0,3106,..,433,244,61,115,219,231,191,96,1595,..,368,227,62,44,36,8,5,7,758
LGA15950,..,25,1994,2872,1839,1588,1470,673,148,10615,..,192,2007,985,499,335,205,53,11,4281,..,3,8,53,106,97,44,13,13,328,3949,..,..,..,..,..,..,..,..,3949,..,870,..,..,..,..,..,..,..,870,..,314,355,100,66,29,4,0,0,868,..,149,191,48,30,30,16,3,3,471,..,76,172,40,13,10,8,5,0,324,..,314,1061,307,126,93,80,39,8,2037,..,146,868,901,733,624,526,226,118,4136,50,53,158,76,53,50,25,6,3,478,4003,2141,6813,5372,3469,2852,2381,1022,306,28360,..,64,2572,2827,1841,1655,1284,422,70,10737,..,313,2142,852,445,246,120,18,3,4128,..,6,66,336,480,316,122,61,50,1429,3862,..,..,..,..,..,..,..,..,3862,..,910,..,..,..,..,..,..,..,910,..,307,321,81,44,27,4,0,0,782,..,174,189,68,42,73,58,34,40,681,..,79,146,41,15,8,3,0,0,293
LGA15990,..,97,3960,11493,11771,8797,7000,3898,1099,48121,..,353,2924,2386,1697,1010,486,111,12,8981,..,13,39,205,504,397,172,101,100,1521,24371,..,..,..,..,..,..,..,..,24371,..,6880,..,..,..,..,..,..,..,6880,..,3913,2521,801,581,253,51,3,0,8111,..,492,429,149,140,159,154,100,88,1717,..,439,594,235,197,140,60,23,7,1692,..,471,1455,547,383,363,238,87,25,3564,..,249,835,1181,1438,1380,1281,817,543,7720,227,257,375,228,240,171,150,70,24,1743,24593,13164,13121,17227,16949,12659,9592,5206,1902,114420,..,203,5725,12680,12027,8476,6349,2751,552,48763,..,661,3325,2251,1672,842,322,61,10,9142,..,48,325,1315,2186,1234,532,408,318,6367,22929,..,..,..,..,..,..,..,..,22929,..,6723,..,..,..,..,..,..,..,6723,..,2792,1750,455,323,180,50,6,0,5548,..,395,338,107,154,320,470,379,304,2465,..,424,525,183,140,117,42,14,12,1458
LGA16100,..,7,64,138,192,204,207,82,17,897,..,23,59,32,35,28,11,6,0,200,..,0,0,4,16,10,7,3,0,47,420,..,..,..,..,..,..,..,..,420,..,108,..,..,..,..,..,..,..,108,..,102,39,21,13,5,0,0,0,176,..,8,0,4,3,4,3,0,0,27,..,7,3,3,0,0,0,0,0,15,..,8,7,4,8,8,11,3,0,49,..,12,23,29,61,44,74,30,15,286,6,13,6,7,11,5,6,4,0,55,428,273,204,247,339,310,320,119,32,2283,..,11,90,142,207,216,196,40,8,906,..,33,57,35,35,25,18,0,0,204,..,12,22,32,43,15,15,5,3,158,387,..,..,..,..,..,..,..,..,387,..,101,..,..,..,..,..,..,..,101,..,61,10,9,6,5,0,0,0,90,..,0,0,0,0,8,9,3,3,20,..,10,0,0,0,3,0,0,0,20
LGA16150,..,49,885,1325,1260,1285,1001,574,130,6506,..,198,472,295,239,116,71,8,4,1400,..,5,28,84,89,64,32,14,7,331,4134,..,..,..,..,..,..,..,..,4134,..,710,..,..,..,..,..,..,..,710,..,683,272,109,82,59,3,0,0,1209,..,82,54,28,25,40,20,16,10,269,..,55,42,23,26,13,4,3,0,174,..,168,166,50,58,69,28,16,0,556,..,78,245,263,306,346,278,187,74,1782,84,103,102,72,55,45,32,21,5,522,4218,2121,2283,2252,2139,2029,1476,838,230,17590,..,93,1130,1379,1361,1260,912,424,66,6623,..,291,496,272,219,113,58,11,0,1459,..,128,313,429,375,141,74,70,57,1587,3793,..,..,..,..,..,..,..,..,3793,..,786,..,..,..,..,..,..,..,786,..,443,163,50,27,37,10,0,0,734,..,67,21,13,39,60,48,41,23,312,..,48,29,8,12,8,3,3,0,117
LGA16200,..,15,233,373,498,541,408,224,62,2359,..,66,155,82,73,49,28,8,0,462,..,3,3,23,53,22,14,6,4,137,1385,..,..,..,..,..,..,..,..,1385,..,245,..,..,..,..,..,..,..,245,..,290,117,53,52,25,3,0,0,536,..,35,16,6,7,12,11,5,7,95,..,26,11,5,11,4,0,0,0,60,..,36,36,10,24,13,8,3,0,132,..,36,83,69,140,163,143,94,31,758,26,38,36,29,21,28,19,6,3,203,1416,792,692,664,868,854,635,355,109,6379,..,27,326,434,515,518,358,174,36,2384,..,99,151,93,67,53,13,6,0,481,..,62,111,130,113,54,23,26,26,550,1299,..,..,..,..,..,..,..,..,1299,..,297,..,..,..,..,..,..,..,297,..,172,43,15,21,19,0,0,0,272,..,26,4,0,5,18,18,16,8,106,..,20,8,3,0,0,0,0,3,33
LGA16260,..,197,9286,12000,8293,7042,4894,2578,621,44902,..,378,1772,1044,681,434,172,42,3,4537,..,21,79,202,367,330,148,114,66,1330,20097,..,..,..,..,..,..,..,..,20097,..,5803,..,..,..,..,..,..,..,5803,..,2823,2909,855,538,191,39,0,0,7352,..,897,931,299,197,230,176,104,50,2893,..,749,1121,309,183,121,44,19,4,2549,..,1328,2640,715,403,293,168,56,14,5617,..,252,1333,1260,1143,1190,844,539,318,6889,175,223,413,236,164,125,86,51,11,1489,20275,12673,20468,16926,11972,9958,6575,3513,1092,103457,..,602,12317,11238,8174,6594,4185,1788,282,45173,..,561,1891,923,644,328,109,20,5,4469,..,80,643,1511,1906,1173,478,373,236,6401,19220,..,..,..,..,..,..,..,..,19220,..,5713,..,..,..,..,..,..,..,5713,..,2197,2176,528,306,127,42,0,0,5371,..,711,661,192,291,763,581,426,225,3851,..,566,785,165,104,76,22,13,3,1737
LGA16350,..,221,5156,7658,7011,6829,4789,1706,293,33663,..,748,2477,1477,1073,579,200,50,3,6613,..,25,135,310,535,380,176,70,41,1673,19875,..,..,..,..,..,..,..,..,19875,..,4703,..,..,..,..,..,..,..,4703,..,5273,3047,1011,509,175,34,0,0,10043,..,652,486,237,252,314,214,116,66,2337,..,375,410,226,155,119,59,14,3,1366,..,356,538,287,299,299,143,59,11,1991,..,203,898,1031,1191,1138,899,397,170,5925,365,356,445,280,199,166,103,48,20,1974,20238,12921,13590,12511,11224,10007,6612,2463,606,90173,..,496,6532,7968,7142,6738,3828,1100,122,33933,..,1158,2534,1416,1043,508,144,15,4,6825,..,445,1619,2139,1992,1127,546,332,193,8383,19025,..,..,..,..,..,..,..,..,19025,..,4925,..,..,..,..,..,..,..,4925,..,3698,1923,420,238,134,32,3,0,6445,..,537,300,128,245,506,506,357,204,2779,..,366,230,97,73,66,21,6,4,863
LGA16380,..,52,949,2029,2495,2891,3497,2016,556,14485,..,226,632,535,522,418,269,92,14,2708,..,13,30,130,213,119,53,37,46,645,6249,..,..,..,..,..,..,..,..,6249,..,1427,..,..,..,..,..,..,..,1427,..,1139,497,273,246,105,16,0,0,2286,..,138,70,33,62,82,88,44,22,535,..,114,99,58,56,46,18,9,3,407,..,176,210,90,177,175,124,73,20,1036,..,92,246,321,518,813,821,541,243,3598,123,138,138,113,105,123,111,59,15,914,6369,3515,2873,3594,4390,4783,4997,2860,922,34295,..,87,1320,2280,2796,3106,3273,1593,257,14719,..,348,684,544,523,419,228,62,7,2816,..,136,464,716,765,359,169,159,118,2886,6002,..,..,..,..,..,..,..,..,6002,..,1438,..,..,..,..,..,..,..,1438,..,742,259,103,97,98,22,3,0,1329,..,125,23,22,81,135,137,100,91,721,..,106,53,22,32,28,23,3,3,266
LGA16400,..,51,976,1915,2407,2644,2867,1439,286,12593,..,227,622,517,445,331,184,57,7,2390,..,3,35,128,208,99,68,49,21,612,5982,..,..,..,..,..,..,..,..,5982,..,1349,..,..,..,..,..,..,..,1349,..,1369,621,259,206,83,16,0,0,2552,..,147,73,30,64,68,64,35,15,494,..,100,65,59,52,37,15,7,0,331,..,99,120,95,120,130,118,57,9,744,..,70,238,322,491,670,671,372,156,2984,122,161,142,106,84,87,85,40,6,840,6107,3585,2893,3430,4070,4144,4087,2051,501,30867,..,101,1375,2184,2600,2853,2623,1007,131,12880,..,361,641,525,458,303,154,36,8,2487,..,130,421,656,618,287,141,133,98,2487,5633,..,..,..,..,..,..,..,..,5633,..,1353,..,..,..,..,..,..,..,1353,..,958,295,100,82,74,12,0,0,1525,..,120,34,25,53,112,124,105,52,623,..,90,45,12,28,15,6,4,3,206
LGA16490,..,36,1291,2158,2507,2010,1302,513,97,9909,..,202,683,491,435,282,99,20,0,2216,..,5,35,96,148,85,37,18,14,434,5279,..,..,..,..,..,..,..,..,5279,..,1354,..,..,..,..,..,..,..,1354,..,1064,542,147,113,45,3,0,0,1913,..,138,86,32,63,39,29,15,5,414,..,55,76,21,25,24,16,0,0,220,..,102,177,61,88,83,33,16,3,560,..,105,410,422,568,524,327,164,52,2578,87,100,137,89,70,74,52,23,8,633,5365,3156,3443,3519,4016,3170,1891,772,185,25516,..,125,1658,2355,2582,1868,1041,347,44,10017,..,308,713,476,450,223,61,6,0,2237,..,68,285,376,472,198,96,68,44,1605,4859,..,..,..,..,..,..,..,..,4859,..,1342,..,..,..,..,..,..,..,1342,..,770,295,66,57,29,5,0,0,1224,..,101,59,14,39,76,73,56,32,460,..,81,45,18,7,7,6,0,0,165
LGA16550,..,36,2432,5183,4444,3313,2571,1546,474,19998,..,389,2668,1438,823,462,202,54,6,6036,..,3,23,90,216,190,106,52,42,729,9914,..,..,..,..,..,..,..,..,9914,..,2710,..,..,..,..,..,..,..,2710,..,1340,1345,453,326,156,17,0,0,3640,..,532,400,118,89,126,115,60,50,1485,..,557,604,102,66,50,25,8,0,1412,..,3177,2803,582,274,217,140,53,9,7266,..,424,865,911,941,977,782,471,242,5605,143,229,293,158,101,70,62,35,12,1098,10053,9391,11414,9027,7299,5558,4020,2283,839,59885,..,101,3218,5511,4467,3299,2310,1097,199,20208,..,569,2836,1352,741,370,135,22,4,6021,..,53,258,747,1226,720,323,293,224,3854,9557,..,..,..,..,..,..,..,..,9557,..,2776,..,..,..,..,..,..,..,2776,..,991,959,297,205,145,27,3,0,2624,..,525,411,107,125,208,255,250,183,2065,..,624,454,73,40,37,9,15,5,1256
LGA16610,..,23,285,517,636,821,790,460,102,3634,..,84,203,173,178,134,81,22,4,887,..,4,23,53,76,42,24,16,11,253,2034,..,..,..,..,..,..,..,..,2034,..,416,..,..,..,..,..,..,..,416,..,456,168,105,104,39,9,0,0,866,..,62,27,20,29,39,29,14,12,231,..,33,28,15,12,17,9,5,0,126,..,56,51,26,50,61,32,16,5,300,..,31,64,111,207,310,280,164,62,1234,41,66,43,39,37,41,35,13,4,319,2080,1221,900,1066,1325,1503,1285,711,204,10290,..,39,372,596,705,872,711,343,40,3666,..,129,222,181,166,130,71,11,0,910,..,71,166,247,214,82,56,57,32,926,1933,..,..,..,..,..,..,..,..,1933,..,422,..,..,..,..,..,..,..,422,..,304,71,39,31,19,5,0,0,464,..,61,10,11,32,48,50,38,31,279,..,34,7,3,5,4,0,0,0,62
LGA16650,..,157,3777,4594,3678,3043,2563,1538,465,19818,..,188,1333,702,443,292,110,29,4,3092,..,9,29,91,221,199,92,51,55,737,8444,..,..,..,..,..,..,..,..,8444,..,2376,..,..,..,..,..,..,..,2376,..,1630,1502,621,418,158,35,0,0,4357,..,521,529,139,126,137,131,74,51,1715,..,471,843,163,89,66,26,4,0,1663,..,830,1488,401,256,211,133,36,4,3349,..,174,573,597,665,657,589,359,199,3809,96,111,214,122,123,69,60,44,15,860,8541,6456,10287,7426,6010,4834,3726,2136,800,50214,..,482,4840,4524,3629,2980,2181,1119,170,19930,..,324,1232,639,401,205,59,9,0,2882,..,53,330,771,998,572,327,292,192,3530,7989,..,..,..,..,..,..,..,..,7989,..,2548,..,..,..,..,..,..,..,2548,..,1179,1098,319,219,122,26,0,0,2960,..,410,400,117,142,343,275,255,130,2070,..,471,575,114,49,45,11,12,3,1279
LGA16700,..,80,3811,5527,4514,3727,2697,1488,475,22328,..,288,1249,607,401,232,122,28,3,2941,..,5,28,101,176,182,69,64,49,666,9367,..,..,..,..,..,..,..,..,9367,..,3024,..,..,..,..,..,..,..,3024,..,1402,1421,441,310,147,25,0,0,3746,..,475,388,105,102,117,80,70,43,1376,..,449,563,116,82,56,22,3,4,1304,..,1005,1268,332,173,169,98,38,10,3094,..,212,713,648,660,690,503,354,236,4016,76,147,214,100,90,64,48,37,18,792,9444,7085,9656,7982,6515,5393,3668,2082,842,52658,..,217,4801,5596,4626,3708,2279,1067,204,22496,..,427,1263,598,363,219,71,10,0,2962,..,22,210,648,940,613,263,249,190,3139,8765,..,..,..,..,..,..,..,..,8765,..,2836,..,..,..,..,..,..,..,2836,..,1105,1124,290,190,122,19,3,0,2845,..,396,367,114,133,351,281,254,163,2057,..,531,529,103,50,33,5,4,0,1256
LGA16900,..,53,1368,2416,2617,2585,2122,1072,254,12493,..,230,663,474,379,268,111,28,9,2167,..,9,51,124,218,129,57,26,22,640,6576,..,..,..,..,..,..,..,..,6576,..,1643,..,..,..,..,..,..,..,1643,..,1848,825,328,238,89,4,0,0,3343,..,189,113,58,56,80,58,46,14,617,..,94,86,52,69,41,7,3,0,354,..,79,132,54,58,90,69,26,6,514,..,50,218,272,412,428,401,244,105,2131,133,160,132,99,78,65,48,28,3,755,6709,4358,3594,3886,4139,3775,2889,1469,419,31234,..,121,1819,2619,2767,2588,1883,763,106,12674,..,340,680,459,418,221,93,27,5,2241,..,139,529,787,767,361,158,155,73,2975,6245,..,..,..,..,..,..,..,..,6245,..,1793,..,..,..,..,..,..,..,1793,..,1241,502,95,89,61,10,0,0,2001,..,160,45,19,73,141,132,122,71,772,..,139,47,12,17,14,12,3,4,248
LGA16950,..,87,1255,2251,2880,3906,4465,2376,538,17751,..,331,876,657,663,543,326,86,25,3504,..,16,58,171,293,189,99,57,39,921,7750,..,..,..,..,..,..,..,..,7750,..,1570,..,..,..,..,..,..,..,1570,..,1714,804,389,241,134,26,0,0,3309,..,218,90,48,80,127,96,62,39,751,..,147,117,71,65,66,31,7,4,504,..,121,196,103,156,209,160,64,21,1026,..,118,340,450,774,1219,1148,744,301,5101,187,240,227,184,166,224,199,78,25,1537,7942,4557,3961,4324,5317,6612,6540,3484,991,43722,..,148,1693,2571,3152,4292,4086,1770,266,17985,..,533,947,661,682,517,273,68,11,3693,..,171,615,921,928,417,220,192,135,3606,7329,..,..,..,..,..,..,..,..,7329,..,1665,..,..,..,..,..,..,..,1665,..,1102,377,143,125,105,24,0,0,1871,..,132,50,36,71,172,189,140,128,916,..,165,64,23,35,26,23,9,3,345
LGA17000,..,20,497,822,930,866,556,245,42,3979,..,100,283,191,163,78,44,3,0,859,..,0,9,45,55,38,11,6,10,169,2260,..,..,..,..,..,..,..,..,2260,..,488,..,..,..,..,..,..,..,488,..,528,184,72,59,14,0,0,0,857,..,54,26,14,18,20,11,18,6,170,..,25,18,27,26,4,0,0,0,92,..,59,68,14,29,24,12,0,0,206,..,62,149,144,203,179,134,72,20,952,39,49,71,43,36,24,19,4,0,286,2292,1371,1303,1363,1527,1250,790,350,79,10323,..,57,607,948,978,825,418,168,24,4032,..,167,297,175,146,71,25,3,3,880,..,38,150,204,180,73,28,27,11,708,2200,..,..,..,..,..,..,..,..,2200,..,535,..,..,..,..,..,..,..,535,..,357,90,17,30,3,3,0,0,504,..,31,12,10,16,30,34,18,12,165,..,33,15,7,7,3,0,0,0,66
LGA17040,..,8,250,574,724,705,649,327,59,3295,..,71,202,165,175,133,60,13,0,815,..,4,6,18,55,42,17,11,3,155,1650,..,..,..,..,..,..,..,..,1650,..,325,..,..,..,..,..,..,..,325,..,311,123,46,43,23,3,0,0,555,..,33,14,7,16,10,22,5,13,118,..,28,27,4,14,9,3,0,0,85,..,99,120,28,30,37,21,6,0,344,..,57,116,150,201,310,225,121,47,1224,25,47,55,24,32,53,28,18,3,285,1681,982,912,1029,1282,1312,1023,507,123,8851,..,23,339,671,793,699,582,208,23,3336,..,115,229,157,186,111,32,7,3,847,..,19,76,122,145,87,27,31,25,543,1497,..,..,..,..,..,..,..,..,1497,..,322,..,..,..,..,..,..,..,322,..,204,53,13,9,20,5,0,0,299,..,22,4,3,11,10,14,16,12,97,..,23,13,0,9,0,0,3,0,57
LGA17080,..,4,205,373,465,582,491,279,54,2446,..,60,158,123,110,68,37,13,0,564,..,3,9,19,48,17,12,13,8,132,1210,..,..,..,..,..,..,..,..,1210,..,214,..,..,..,..,..,..,..,214,..,215,102,57,44,19,3,0,0,443,..,37,13,13,10,12,13,5,5,112,..,12,19,3,0,3,4,0,0,43,..,27,24,7,21,20,15,3,0,117,..,35,63,88,160,178,178,105,33,830,17,49,26,22,15,21,24,17,3,191,1227,661,611,705,865,921,782,423,105,6299,..,27,290,413,502,595,457,186,27,2499,..,95,170,123,101,78,30,6,0,595,..,28,61,125,96,49,29,23,31,438,1192,..,..,..,..,..,..,..,..,1192,..,222,..,..,..,..,..,..,..,222,..,141,37,12,12,16,3,0,0,215,..,22,9,0,7,21,13,14,14,98,..,11,11,3,3,0,0,0,0,27
LGA17100,..,45,1519,1651,1498,1316,814,440,120,7398,..,61,305,125,66,45,16,10,3,635,..,0,11,30,67,54,23,13,12,210,2998,..,..,..,..,..,..,..,..,2998,..,1334,..,..,..,..,..,..,..,1334,..,526,633,171,113,33,10,0,0,1484,..,215,224,54,36,34,20,29,21,635,..,233,384,67,43,24,4,4,3,768,..,463,1108,191,73,72,19,17,0,1937,..,80,237,147,125,164,135,91,47,1027,16,54,86,48,19,26,11,11,9,290,3021,3018,4503,2474,2054,1772,1059,611,207,18720,..,131,1943,1622,1569,1176,671,308,38,7461,..,99,303,100,55,42,14,3,0,625,..,18,79,215,367,237,84,88,60,1152,2841,..,..,..,..,..,..,..,..,2841,..,1298,..,..,..,..,..,..,..,1298,..,439,498,125,66,26,6,0,0,1150,..,180,178,49,59,128,84,104,77,861,..,200,264,50,11,13,3,3,0,539
LGA17150,..,102,4214,9478,9651,9146,6913,3365,980,43841,..,333,2204,1423,1170,737,286,83,19,6248,..,15,50,250,528,400,146,96,79,1557,20525,..,..,..,..,..,..,..,..,20525,..,6041,..,..,..,..,..,..,..,6041,..,4899,3069,898,595,254,24,0,0,9740,..,432,334,113,143,155,143,107,52,1485,..,198,284,113,116,68,32,12,7,825,..,260,689,309,266,258,151,69,28,2024,..,184,753,1014,1230,1294,1052,668,440,6635,245,256,359,230,183,133,121,58,26,1612,20767,12715,11947,13821,13874,12443,8867,4469,1625,100530,..,203,5727,10384,10126,8914,6025,2518,477,44373,..,597,2353,1399,1104,643,220,35,8,6361,..,85,535,1433,2033,1145,511,364,302,6408,19300,..,..,..,..,..,..,..,..,19300,..,6459,..,..,..,..,..,..,..,6459,..,3527,2197,427,282,183,40,3,0,6655,..,395,257,79,144,353,405,344,260,2235,..,198,210,76,69,49,32,6,7,637
LGA17200,..,174,5166,5163,2848,2423,1868,894,237,18769,..,1239,7882,4050,2404,1126,431,80,6,17214,..,12,33,119,200,181,71,52,26,695,6204,..,..,..,..,..,..,..,..,6204,..,1332,..,..,..,..,..,..,..,1332,..,635,793,257,185,85,3,0,0,1966,..,896,834,174,118,95,72,34,12,2249,..,979,1653,317,108,52,23,4,3,3137,..,5693,8329,2002,895,489,301,66,17,17798,..,1475,3941,3521,3066,2344,1560,663,200,16757,86,399,784,355,236,138,80,42,10,2131,6290,12831,29423,15954,10056,6927,4409,1830,518,88249,..,388,6249,4810,2862,2382,1536,610,74,18911,..,1688,7235,2262,1078,578,201,30,6,13069,..,35,285,735,1005,736,310,181,83,3376,6108,..,..,..,..,..,..,..,..,6108,..,1463,..,..,..,..,..,..,..,1463,..,502,589,202,117,69,20,0,0,1489,..,962,884,232,130,219,191,97,59,2769,..,1103,1614,328,57,29,14,3,3,3156
LGA17310,..,57,1052,1735,1921,2034,1784,969,220,9762,..,282,635,378,327,226,108,32,3,1990,..,8,43,101,140,83,39,34,22,472,5661,..,..,..,..,..,..,..,..,5661,..,950,..,..,..,..,..,..,..,950,..,1072,406,187,157,87,6,0,0,1916,..,136,100,47,72,61,43,25,15,504,..,108,127,44,44,25,10,3,0,369,..,216,268,89,100,85,65,22,3,854,..,100,346,324,445,584,474,272,99,2642,148,147,162,74,77,82,80,33,12,812,5811,3070,3135,2979,3295,3264,2610,1400,373,25931,..,104,1382,1891,2073,2101,1613,685,98,9950,..,428,604,381,355,222,81,13,3,2092,..,203,542,570,560,251,119,115,82,2442,5323,..,..,..,..,..,..,..,..,5323,..,1032,..,..,..,..,..,..,..,1032,..,624,240,90,93,52,12,0,0,1115,..,107,30,36,69,108,99,81,66,598,..,98,58,18,23,18,6,0,6,222
LGA17350,..,3,106,155,220,277,245,121,31,1150,..,22,53,30,38,26,15,3,0,186,..,0,3,6,17,3,11,3,3,48,600,..,..,..,..,..,..,..,..,600,..,109,..,..,..,..,..,..,..,109,..,115,47,19,21,12,0,0,0,220,..,7,3,3,0,0,4,6,0,22,..,10,3,0,3,0,0,0,0,14,..,6,11,3,7,11,3,3,0,53,..,16,16,27,45,64,87,41,22,321,8,13,15,3,5,10,4,7,0,63,601,302,257,264,359,404,368,180,55,2783,..,7,129,194,253,253,214,92,16,1159,..,33,60,34,38,26,11,0,0,200,..,15,36,43,47,18,14,12,7,193,519,..,..,..,..,..,..,..,..,519,..,114,..,..,..,..,..,..,..,114,..,54,19,5,5,4,0,0,0,89,..,10,0,6,3,5,6,6,3,35,..,7,0,0,0,3,0,0,0,15
