LGA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA15270,..,21,415,652,820,823,794,346,57,3939,..,115,322,175,178,107,46,17,0,960,..,4,18,27,54,33,17,20,7,178,2289,..,..,..,..,..,..,..,..,2289,..,367,..,..,..,..,..,..,..,367,..,368,141,76,85,23,0,0,0,697,..,47,21,11,20,25,20,9,7,158,..,37,28,14,16,6,8,3,0,119,..,58,55,23,45,56,26,18,0,288,..,42,152,141,244,272,277,139,52,1318,47,66,46,41,54,39,27,17,0,335,2331,1120,1197,1166,1522,1380,1218,569,130,10638,..,33,533,779,887,825,691,226,32,3999,..,173,303,193,179,95,32,8,0,977,..,47,148,191,183,65,55,61,18,771,2095,..,..,..,..,..,..,..,..,2095,..,344,..,..,..,..,..,..,..,344,..,211,56,31,29,11,0,0,0,341,..,42,12,10,19,38,37,26,16,197,..,31,8,7,6,10,3,0,0,72
LGA15300,..,13,189,364,394,387,320,148,20,1837,..,57,166,95,98,57,16,3,0,500,..,3,14,32,38,28,19,8,3,145,1245,..,..,..,..,..,..,..,..,1245,..,129,..,..,..,..,..,..,..,129,..,234,89,47,42,17,0,0,0,432,..,76,24,15,19,18,15,11,3,183,..,16,21,17,10,10,3,4,0,69,..,32,29,13,22,15,10,3,0,132,..,47,103,75,166,157,141,72,16,768,35,51,38,20,25,24,19,10,4,222,1281,660,681,675,817,713,546,253,47,5663,..,20,262,388,415,380,258,90,11,1827,..,95,167,105,75,52,21,4,0,517,..,55,136,144,96,36,38,27,9,546,1225,..,..,..,..,..,..,..,..,1225,..,143,..,..,..,..,..,..,..,143,..,155,46,23,25,12,0,0,0,263,..,42,14,10,24,35,27,15,9,166,..,13,14,8,5,3,3,0,0,40
LGA15350,..,5,460,1090,1263,1020,867,424,156,5292,..,30,370,259,176,115,63,29,4,1049,..,3,3,21,45,32,3,0,10,127,2370,..,..,..,..,..,..,..,..,2370,..,815,..,..,..,..,..,..,..,815,..,239,184,70,32,22,3,0,0,548,..,31,35,14,10,13,13,9,6,128,..,16,25,11,8,3,8,0,0,67,..,27,108,29,18,32,19,13,8,256,..,36,140,175,166,170,149,96,68,996,18,30,34,17,21,15,11,5,0,168,2394,1242,1359,1694,1739,1424,1131,583,252,11813,..,15,616,1279,1399,935,822,302,71,5426,..,53,412,232,157,84,53,11,7,1011,..,7,18,115,287,127,60,29,43,684,2257,..,..,..,..,..,..,..,..,2257,..,872,..,..,..,..,..,..,..,872,..,190,166,30,28,21,6,0,0,435,..,37,32,6,9,25,37,22,24,201,..,17,37,10,4,5,4,3,7,90
LGA15520,..,3,167,317,402,501,522,267,53,2225,..,33,120,75,74,73,41,12,4,432,..,3,3,19,16,20,10,3,3,76,921,..,..,..,..,..,..,..,..,921,..,164,..,..,..,..,..,..,..,164,..,172,51,25,25,16,0,0,0,285,..,13,13,6,10,14,5,3,3,69,..,10,7,6,8,8,4,0,0,41,..,17,26,9,9,10,11,4,6,90,..,21,53,41,96,148,156,98,34,648,16,22,18,13,15,21,31,11,4,160,931,461,455,517,650,806,785,402,110,5121,..,16,244,330,460,520,469,200,26,2255,..,54,126,79,83,63,40,6,3,447,..,12,54,67,63,18,9,16,14,255,919,..,..,..,..,..,..,..,..,919,..,210,..,..,..,..,..,..,..,210,..,89,30,15,8,8,0,0,0,147,..,12,4,3,4,12,12,14,9,67,..,3,0,0,0,7,0,0,0,13
LGA15560,..,0,62,109,145,161,102,58,13,641,..,8,46,26,21,14,8,0,0,126,..,0,3,4,5,3,4,0,0,23,372,..,..,..,..,..,..,..,..,372,..,69,..,..,..,..,..,..,..,69,..,69,35,13,11,3,0,0,0,128,..,11,7,3,0,7,3,7,0,36,..,7,4,0,3,0,0,0,0,18,..,6,8,3,5,6,5,0,0,28,..,18,26,22,37,48,29,28,4,222,4,14,11,7,7,11,8,4,3,63,380,196,204,188,234,250,165,95,17,1726,..,9,84,116,154,149,96,36,12,649,..,18,45,24,19,16,8,3,0,130,..,3,25,28,30,8,9,7,3,116,287,..,..,..,..,..,..,..,..,287,..,53,..,..,..,..,..,..,..,53,..,40,14,9,3,3,0,0,0,59,..,3,0,3,0,3,5,3,3,19,..,4,0,0,0,0,0,0,0,3
LGA15650,..,11,342,479,565,504,376,157,21,2455,..,101,263,135,113,74,15,10,3,716,..,4,20,38,46,26,8,11,0,153,1748,..,..,..,..,..,..,..,..,1748,..,267,..,..,..,..,..,..,..,267,..,316,96,42,31,16,3,0,0,514,..,45,10,14,15,16,14,8,3,119,..,20,31,18,15,0,4,3,0,97,..,48,43,40,30,21,21,9,0,219,..,38,134,129,197,147,120,51,24,827,28,44,56,21,22,26,14,8,0,213,1779,902,995,910,1031,833,569,247,55,7327,..,36,415,545,581,463,322,102,9,2477,..,177,236,118,116,51,17,3,0,725,..,65,156,165,129,53,30,26,17,640,1596,..,..,..,..,..,..,..,..,1596,..,293,..,..,..,..,..,..,..,293,..,159,34,10,14,4,3,0,0,231,..,20,6,5,17,13,23,6,7,101,..,13,15,5,6,3,0,0,0,46
LGA15700,..,16,170,361,467,759,834,431,117,3151,..,64,129,145,149,152,80,20,9,749,..,3,8,37,54,43,13,11,14,193,1497,..,..,..,..,..,..,..,..,1497,..,301,..,..,..,..,..,..,..,301,..,300,154,89,63,36,5,0,0,645,..,43,24,9,25,50,22,17,7,202,..,32,21,19,24,11,8,6,0,123,..,24,35,14,58,66,45,14,4,273,..,16,43,63,170,323,311,164,63,1154,35,47,36,34,35,34,26,15,6,264,1524,842,621,776,1054,1472,1353,677,218,8546,..,28,239,419,561,807,755,320,59,3178,..,81,159,138,166,168,46,22,0,781,..,47,159,202,180,94,39,44,38,807,1441,..,..,..,..,..,..,..,..,1441,..,295,..,..,..,..,..,..,..,295,..,179,61,27,30,26,4,0,0,334,..,34,5,3,19,54,42,32,22,213,..,31,17,3,6,9,7,0,0,66
LGA15750,..,13,219,405,446,504,396,181,31,2193,..,57,134,91,74,44,30,0,0,425,..,6,5,16,34,33,12,10,0,115,1196,..,..,..,..,..,..,..,..,1196,..,192,..,..,..,..,..,..,..,192,..,242,86,47,47,19,0,0,0,446,..,24,11,9,9,23,12,11,3,99,..,13,16,11,12,6,3,0,0,67,..,34,34,13,22,26,12,3,3,149,..,33,70,76,129,143,115,71,27,660,31,36,34,19,21,12,21,6,0,191,1227,655,622,685,789,816,596,288,59,5734,..,22,307,433,479,502,322,120,19,2197,..,85,128,78,82,42,18,0,0,430,..,33,124,103,93,30,25,25,14,448,1246,..,..,..,..,..,..,..,..,1246,..,192,..,..,..,..,..,..,..,192,..,131,33,4,9,8,3,0,0,190,..,15,11,4,10,7,12,19,7,90,..,10,4,5,3,0,0,0,0,24
LGA15800,..,4,76,144,179,216,193,104,25,939,..,16,50,38,26,35,11,0,0,178,..,0,5,11,10,11,5,0,4,51,512,..,..,..,..,..,..,..,..,512,..,80,..,..,..,..,..,..,..,80,..,112,40,25,10,11,0,0,0,202,..,13,4,0,8,5,3,5,0,40,..,0,7,3,6,0,0,0,0,12,..,18,15,8,8,13,8,0,0,63,..,21,28,30,49,80,70,37,12,333,13,14,15,12,11,13,12,3,0,93,528,282,233,275,312,379,299,153,45,2508,..,10,104,158,209,218,178,67,15,961,..,33,52,41,32,20,8,0,0,180,..,23,40,61,28,21,11,11,8,201,498,..,..,..,..,..,..,..,..,498,..,92,..,..,..,..,..,..,..,92,..,50,12,9,3,6,0,0,0,84,..,10,3,0,3,6,7,4,3,39,..,4,3,0,0,4,0,0,0,17
LGA15850,..,3,93,161,208,222,200,105,22,1017,..,34,69,38,35,15,12,4,0,211,..,3,4,7,8,12,4,4,5,52,641,..,..,..,..,..,..,..,..,641,..,107,..,..,..,..,..,..,..,107,..,117,36,25,18,9,3,0,0,207,..,18,12,8,6,14,16,4,0,62,..,15,8,3,4,0,4,0,0,28,..,10,6,4,12,9,10,6,0,52,..,13,24,19,40,86,93,52,18,353,4,13,20,9,8,12,10,0,0,77,648,320,277,281,336,387,349,177,48,2814,..,9,122,182,219,245,180,62,10,1035,..,40,74,44,37,17,8,0,0,229,..,24,55,62,52,34,13,18,6,270,609,..,..,..,..,..,..,..,..,609,..,98,..,..,..,..,..,..,..,98,..,54,32,10,9,5,0,0,0,106,..,17,4,0,6,14,12,5,3,56,..,9,0,4,0,0,3,0,0,20
