LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA16610,0,0,0,16,11,35,0,0,0,3,0,3,3,7,7,2959,2658,5614,243,213,457,128,3,134,46,0,49,45,8,57,40,12,49,182,156,339,3674,3061,6735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,4,38,14,50,35,16,55,0,0,0,0,0,0,0,0,0,3,0,3,228,233,464,333,544,871,74,66,133,4347,3919,8265
LGA16650,5962,5955,11923,478,730,1208,4,0,7,9,9,18,79,30,109,14825,9897,24727,700,1340,2038,389,7,402,257,26,281,181,33,210,194,92,288,666,820,1484,23738,18950,42693,1051,1277,2329,6,7,13,41,29,66,390,352,745,77,167,244,61,38,102,1632,1863,3499,3,0,3,0,0,0,38,27,67,12,46,54,4,3,6,57,78,135,139,75,214,1825,2017,3843,180,199,377,3,3,11,3,8,8,191,205,400,647,862,1510,1475,2340,3811,331,240,573,28205,24619,52827
LGA16700,3399,3364,6763,2647,3148,5800,107,92,199,0,3,7,44,44,87,15940,12108,28048,610,1380,1991,290,8,296,375,34,409,293,38,330,147,102,250,1194,1163,2357,25061,21480,46540,823,885,1708,22,9,28,13,14,22,284,178,466,56,136,198,39,20,65,1233,1245,2478,15,11,28,3,0,3,120,136,258,31,100,128,26,17,43,192,262,457,181,122,306,1604,1635,3240,173,147,318,22,19,34,6,3,11,198,167,363,1017,1311,2326,1575,2765,4346,227,195,429,29688,27556,57245
LGA16900,204,152,352,123,117,242,8,0,8,4,0,4,10,11,17,11679,10089,21766,731,726,1459,297,9,311,99,7,108,68,14,75,88,49,139,171,216,384,13473,11389,24865,23,30,51,0,0,0,0,0,0,100,58,157,10,14,20,12,0,12,146,98,243,0,0,0,0,0,0,3,5,3,5,11,18,3,6,8,9,20,26,106,45,153,262,165,429,17,12,36,3,0,3,4,0,4,30,15,43,283,550,830,1265,1924,3194,139,115,254,15454,14157,29606
LGA16950,48,50,98,70,48,112,3,0,4,3,3,6,20,28,44,13258,11609,24870,833,921,1756,469,5,478,192,13,204,204,52,257,178,69,247,598,544,1141,15882,13330,29215,10,11,23,0,0,0,0,0,0,28,26,54,3,7,12,0,0,0,45,41,86,0,0,0,0,0,0,8,4,11,4,3,12,4,3,6,13,9,28,121,58,180,178,112,288,15,6,19,0,0,0,10,0,9,26,10,31,828,1250,2083,1625,2591,4216,261,230,494,18797,17531,36330
LGA17000,7,3,7,11,11,26,0,0,0,0,0,0,8,3,11,4326,3246,7566,261,213,472,116,4,122,62,6,72,20,4,26,114,23,137,277,110,386,5199,3631,8834,0,3,3,0,0,0,0,0,0,11,3,12,0,0,0,0,0,0,12,5,18,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,69,18,84,79,23,108,0,3,4,0,0,0,4,0,4,6,3,3,238,283,516,588,666,1256,56,48,106,6163,4656,10822
LGA17040,10,12,26,22,25,50,3,0,3,0,0,0,3,9,14,3212,2762,5971,271,286,559,121,6,123,27,3,29,40,14,52,85,48,132,402,348,750,4202,3507,7711,3,0,3,0,0,0,0,0,0,25,14,42,5,10,18,0,0,0,33,23,61,0,0,0,0,0,0,0,3,5,3,3,3,0,0,0,8,3,10,43,20,65,85,49,139,20,8,24,0,0,0,4,4,3,20,12,31,407,405,804,437,606,1037,76,61,141,5225,4639,9860
LGA17080,6,3,13,8,4,8,0,0,0,0,0,0,3,3,4,2241,1758,3997,172,139,317,89,8,96,18,4,20,8,3,13,22,9,34,138,151,289,2705,2082,4791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,28,25,8,35,0,0,0,0,0,0,4,0,3,4,0,7,253,222,481,235,346,582,56,47,102,3285,2709,5991
LGA17100,2746,2141,4885,183,211,390,0,0,0,0,0,6,22,9,26,5294,3272,8569,260,481,743,96,4,98,69,3,76,51,22,69,86,42,129,300,319,623,9109,6509,15620,578,583,1160,8,3,9,13,13,29,140,89,228,43,72,122,19,14,33,801,773,1574,0,0,0,0,3,3,12,11,18,3,11,13,6,3,5,21,28,47,55,27,84,876,831,1701,97,107,207,0,0,0,0,0,0,103,111,213,259,385,645,505,732,1235,116,93,206,10960,8658,19618
LGA17150,6510,6428,12937,246,291,537,8,5,18,5,8,10,60,61,121,37217,30998,68215,1552,2096,3651,1008,12,1029,436,23,459,349,74,419,297,144,447,980,1423,2410,48664,41577,90241,649,610,1257,10,9,26,23,23,41,1529,1325,2855,178,392,572,103,38,145,2497,2395,4894,0,0,0,0,0,4,17,30,47,14,26,41,3,9,15,38,61,106,370,192,563,2910,2652,5564,254,236,492,0,5,5,16,3,21,267,251,516,1953,3155,5107,3825,6699,10519,443,373,816,58058,54707,112765
