LGA_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA17850,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,393,323,719,36,25,60,34,6,38,15,5,24,0,0,0,21,5,30,62,37,103,565,410,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,9,3,15,0,0,0,0,0,0,0,0,0,0,0,0,159,135,289,42,60,102,18,15,29,788,622,1414
LGA17900,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,619,523,1136,49,72,117,37,0,41,8,0,13,8,3,12,16,11,31,116,124,242,862,746,1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,9,5,18,0,0,0,0,0,0,0,0,0,0,0,0,142,115,257,50,82,133,25,16,40,1090,969,2060
LGA17950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,313,679,23,16,42,24,5,25,6,3,4,0,5,4,17,3,19,44,41,80,480,378,863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,3,0,0,0,0,0,0,3,0,3,3,0,4,95,79,178,32,59,85,8,10,16,622,530,1149
LGA18020,0,0,0,5,6,19,0,0,0,0,0,0,0,0,0,921,922,1849,67,63,131,80,4,87,28,12,43,3,3,5,32,8,42,149,141,290,1292,1161,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,7,29,24,7,31,0,0,0,0,0,0,3,0,3,3,0,3,296,193,493,100,195,295,38,22,63,1754,1581,3335
LGA18050,1720,1707,3431,1202,1760,2960,195,111,306,8,7,16,97,79,174,7567,5879,13451,403,711,1113,122,3,123,793,187,977,626,216,839,137,104,245,897,1237,2134,13767,11990,25759,2131,2365,4495,13,3,24,0,3,4,116,90,203,59,69,127,59,45,107,2388,2572,4954,19,3,17,3,0,3,21,40,63,13,28,41,30,21,51,85,95,183,161,107,274,2637,2777,5411,176,159,331,12,9,23,10,3,13,197,171,368,945,1334,2283,777,1506,2281,173,150,324,18494,17930,36426
LGA18100,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,406,366,766,39,25,56,24,0,25,12,0,8,6,0,6,11,3,15,56,54,105,549,447,993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,161,125,291,36,82,123,14,11,31,775,666,1437
LGA18200,0,0,0,12,3,21,0,0,0,0,0,0,0,0,0,958,858,1816,53,72,126,23,0,23,7,0,7,8,0,8,25,14,38,83,62,143,1177,1013,2187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,157,124,274,102,139,244,40,24,64,1489,1305,2786
LGA18230,7,3,11,45,43,81,3,0,4,0,0,0,18,34,50,8255,7686,15936,594,766,1363,278,0,279,126,14,140,73,22,96,79,47,124,381,322,707,9858,8938,18796,3,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,4,10,0,0,0,0,0,0,3,5,10,0,4,4,0,0,3,3,10,12,84,44,127,90,58,156,5,0,3,0,0,0,5,0,5,13,3,11,482,496,984,699,1254,1956,122,124,245,11262,10882,22142
LGA18250,3642,3322,6968,2112,2006,4123,4,3,7,10,3,10,59,39,99,7540,5602,13141,330,758,1091,76,0,81,232,29,265,296,33,334,111,78,191,1335,1523,2858,15754,13403,29155,469,546,1018,3,0,3,6,3,9,138,86,221,32,75,105,45,21,64,687,732,1417,0,0,0,0,0,0,72,51,124,21,33,55,31,21,50,130,106,230,92,63,161,909,906,1814,86,70,151,15,8,23,5,4,8,101,81,181,1010,1247,2260,923,1754,2676,125,109,231,18815,17499,36309
LGA18350,156,106,263,46,53,96,6,3,3,4,3,4,9,11,21,7193,6316,13509,456,488,947,337,13,351,54,8,56,44,14,58,83,43,129,354,311,662,8744,7360,16101,12,4,19,0,0,0,0,0,0,93,49,142,14,8,24,12,0,11,124,65,194,0,0,0,0,0,0,3,3,3,3,10,15,0,0,0,4,15,22,80,40,120,209,125,329,16,12,24,0,0,0,0,5,6,13,18,30,810,1071,1878,810,1265,2077,110,113,221,10692,9947,20644
LGA18400,198,169,369,31,33,67,0,0,3,0,0,0,14,0,18,9202,7733,16935,487,378,863,615,17,634,61,5,65,20,9,23,61,25,86,183,159,339,10869,8539,19408,23,20,41,0,0,0,0,0,0,256,181,437,24,36,55,0,0,0,299,241,536,0,0,0,0,0,0,0,3,3,4,3,6,0,0,0,8,8,12,76,25,101,384,268,653,33,19,50,0,3,3,3,3,9,34,28,58,446,832,1279,878,1502,2385,146,120,274,12760,11297,24054
LGA18450,1730,1270,2994,696,886,1585,10,5,13,4,3,11,59,64,123,31612,26923,58537,1937,2361,4297,652,6,659,389,42,430,463,111,577,247,131,373,1255,1375,2631,39040,33171,72214,162,126,287,0,0,0,5,0,10,669,376,1041,82,111,193,75,19,92,988,637,1628,0,0,0,0,0,0,30,39,72,34,56,86,22,13,34,84,110,196,343,184,523,1421,924,2344,102,88,189,9,8,24,17,5,25,125,107,237,1202,1868,3066,3714,5893,9604,435,347,789,45941,42316,88251
LGA18500,1723,1649,3367,1014,1282,2300,472,280,750,3,3,4,143,100,246,5779,4639,10419,344,623,969,54,0,54,304,55,361,265,74,341,120,102,219,1052,1392,2443,11277,10213,21489,549,668,1216,54,28,79,0,4,3,79,64,148,24,45,66,43,17,57,747,819,1573,21,13,30,3,0,3,20,20,36,9,10,20,14,21,32,63,72,130,122,65,185,931,955,1886,106,90,192,8,8,21,3,8,9,114,105,219,1024,1338,2364,599,1199,1798,124,125,246,14070,13936,28005
LGA18710,0,0,0,33,39,69,3,0,3,0,0,0,0,3,3,2792,2465,5262,159,285,451,157,3,158,38,5,41,7,0,9,34,26,56,135,128,261,3362,2955,6315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,14,27,4,12,16,3,0,3,14,23,39,40,16,51,52,43,93,0,0,0,0,0,0,4,0,7,4,0,5,308,335,639,345,584,926,45,43,91,4118,3961,8076
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,48,148,3,10,12,4,0,4,14,4,23,30,24,56,10,5,18,56,53,110,219,155,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,13,6,3,13,0,0,0,0,0,0,3,0,3,3,0,3,73,67,137,29,30,59,7,4,12,339,260,599
LGA19499,152,122,272,78,98,174,8,0,8,4,0,5,4,3,12,914,440,1355,125,98,221,36,0,36,13,4,21,33,6,39,68,34,106,190,164,352,1624,975,2603,57,38,95,0,0,0,0,0,0,11,7,18,0,10,11,4,0,4,79,49,128,0,0,3,0,0,0,0,0,0,3,0,4,0,0,4,8,3,11,19,6,21,101,55,158,15,11,24,0,0,0,0,0,0,18,7,25,60,51,112,190,163,360,46,29,74,2042,1291,3331
LGA19799,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,79,5,3,7,59,72,130
