LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA14900,77640,80386,158031,35220,20547,55763,8567,14987,23557,2316,2269,4588,3572,3194,6764,49675,40997,90669,22349,33886,56232,7.2,7.8,7.5,64,51,57.4,59.4,47,53.1,2368,2585,4952,496,813,1302,7962,10666,18632,6097,8069,14169,14948,7075,22026,603,1214,1822,1275,1967,3240,16829,10257,27090,79695,81481,161174,11694,11846,23543,53082,54261,107348,33183,34199,67379
LGA14920,3107,3137,6243,1258,611,1872,281,658,942,104,101,201,123,114,241,1766,1489,3257,1063,1351,2415,7,7.7,7.4,56.8,47.5,52.2,52.9,43.7,48.3,25,32,53,10,37,47,123,262,388,145,250,397,721,353,1080,39,78,114,48,95,141,812,521,1330,3003,2927,5928,453,447,904,2190,2092,4279,1059,1112,2175
LGA14950,1253,1232,2477,567,246,809,106,300,406,27,45,76,35,20,54,730,618,1346,414,500,920,4.8,3.2,4,58.3,50.2,54.3,55.9,48,52.1,9,18,32,3,26,28,50,128,180,69,111,178,354,152,503,14,28,43,20,39,56,392,215,603,1264,1267,2534,118,133,251,961,908,1870,348,406,757
LGA15050,29015,31383,60404,13979,7467,21447,3306,8149,11458,794,994,1789,1401,1343,2741,19479,17950,37431,7979,11875,19852,7.2,7.5,7.3,67.1,57.2,62,62.3,52.9,57.4,596,665,1260,249,529,784,2079,3568,5653,2093,3133,5226,9180,4705,13886,281,693,972,436,901,1334,9903,6298,16197,29230,30462,59698,5342,5843,11179,18626,19166,37789,14104,15564,29668
LGA15240,36916,39457,76370,9944,5666,15609,4235,8063,12299,1076,1047,2127,1688,1289,2975,16942,16067,33007,17261,20551,37807,10,8,9,45.9,40.7,43.2,41.3,37.4,39.3,561,512,1076,308,598,906,2195,3352,5552,2188,3829,6012,10712,4829,15546,415,819,1234,795,1476,2276,11924,7125,19050,33992,35564,69559,6006,6392,12398,23084,23918,46998,15276,16587,31865
LGA15270,9550,9626,19175,4021,1823,5847,955,2329,3281,277,288,566,374,300,678,5634,4742,10371,2923,3922,6850,6.6,6.3,6.5,59,49.3,54.1,55,46.1,50.6,98,162,260,69,146,216,601,1012,1610,464,840,1307,2882,1245,4121,114,210,319,168,282,448,3160,1727,4888,8928,8827,17757,1628,1660,3286,5813,5619,11432,4115,4225,8338
LGA15300,5169,5105,10270,2428,1339,3765,379,1006,1388,170,193,371,216,165,376,3195,2703,5902,1316,1777,3093,6.8,6.1,6.4,61.8,52.9,57.5,57.6,49.7,53.8,53,65,114,24,86,106,291,531,819,230,427,657,1105,531,1635,42,92,131,64,120,181,1214,739,1947,4884,4778,9664,739,810,1548,3514,3313,6831,1734,1864,3599
LGA15350,10613,12852,23465,5439,3862,9297,1446,2676,4124,244,338,582,273,299,567,7395,7173,14575,2428,4765,7192,3.7,4.2,3.9,69.7,55.8,62.1,67.2,53.5,59.7,1689,1624,3317,245,471,723,3487,3926,7415,847,1460,2308,681,394,1070,30,92,119,140,302,441,843,788,1632,9791,11331,21125,2043,2483,4525,5851,6923,12771,5675,6599,12272
LGA15520,4792,4889,9683,2049,1031,3080,446,1140,1582,161,169,333,113,83,194,2767,2426,5189,1629,2048,3678,4.1,3.4,3.7,57.7,49.6,53.6,55.4,47.9,51.6,48,56,103,16,92,112,261,504,763,267,436,708,1260,500,1757,25,79,107,80,96,168,1362,672,2033,4470,4464,8938,756,834,1584,3117,3056,6169,1864,2011,3878
LGA15560,1581,1466,3051,759,350,1104,132,347,480,65,59,129,51,31,80,1006,791,1797,402,528,929,5.1,3.9,4.5,63.6,54,58.9,60.5,51.6,56.1,8,15,28,5,21,25,80,147,227,69,115,191,363,152,514,9,23,30,28,46,68,392,220,608,1555,1394,2952,188,172,359,1130,989,2114,539,507,1053
