LGA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA17080,5962,5830,11789,2529,1163,3688,522,1365,1885,237,179,415,190,154,343,3476,2859,6329,1929,2414,4343,5.5,5.4,5.4,58.3,49,53.7,55.1,46.4,50.8,54,64,123,35,85,122,343,540,887,281,549,827,1533,695,2231,46,126,172,95,151,248,1679,965,2646,5492,5482,10970,818,848,1668,4081,3937,8023,1942,2071,4016
LGA17100,17225,16861,34086,7875,4801,12678,2618,3361,5981,465,487,957,763,711,1473,11722,9364,21095,4224,6421,10648,6.5,7.6,7,68.1,55.5,61.9,63.6,51.3,57.5,2056,1645,3701,243,326,572,4377,4309,8689,1290,1522,2812,1437,751,2186,61,145,203,174,310,486,1667,1206,2876,14589,14668,29258,3863,3545,7412,8430,8911,17347,9333,8665,17995
LGA17150,85265,91552,176814,45544,26170,71713,10240,25563,35794,2277,2978,5253,2084,2045,4130,60142,56749,116890,21651,31189,52845,3.5,3.6,3.5,70.5,62,66.1,68.1,59.8,63.8,4319,4230,8547,1307,2285,3587,12770,16672,29437,8698,11932,20632,23318,8413,31728,570,1241,1810,1862,3479,5336,25754,13128,38879,87760,92260,180019,11110,11667,22778,62246,65427,127673,32903,34965,67871
LGA17200,100789,93549,194336,47265,34187,81454,13480,17220,30695,2383,2716,5104,3862,3628,7493,66991,57757,124745,20148,24795,44945,5.8,6.3,6,66.5,61.7,64.2,62.6,57.9,60.3,12137,11857,23995,2008,2406,4416,28175,29014,57191,8182,8223,16400,7348,3490,10832,430,503,935,1090,1248,2339,8873,5241,14114,62782,57558,120337,27824,28653,56478,29213,26131,55339,60418,58996,119410
LGA17310,22837,24711,47550,10329,6195,16519,2430,5585,8008,667,795,1461,813,805,1609,14237,13372,27607,6782,9387,16171,5.7,6,5.8,62.3,54.1,58.1,58.8,50.9,54.7,379,468,853,201,445,648,1599,2836,4428,1369,2349,3719,6162,3254,9418,218,557,771,355,783,1139,6738,4588,11327,21601,22911,44514,4308,4528,8839,14165,14931,29093,10370,11249,21614
LGA17350,2408,2527,4934,1008,483,1490,233,610,843,93,87,178,73,57,130,1413,1231,2644,850,1147,1994,5.2,4.6,4.9,58.7,48.7,53.6,55.4,46.7,50.9,12,26,38,16,39,57,129,263,388,97,190,290,650,284,927,29,48,83,28,82,114,705,416,1124,2440,2462,4897,345,349,691,1821,1785,3609,820,908,1731
LGA17400,2739,2845,5591,850,498,1350,294,543,838,79,96,173,100,98,200,1316,1241,2558,1120,1266,2387,7.6,7.9,7.8,48,43.6,45.8,44.7,40,42.2,25,37,64,23,43,61,141,253,399,145,233,376,651,338,987,42,63,101,41,90,127,730,488,1217,2537,2573,5110,311,370,674,1851,1871,3723,871,973,1848
LGA17420,60193,63430,123621,32954,19381,52334,7819,16848,24664,1356,1824,3171,1990,1856,3837,44118,39900,84017,14197,21554,35752,4.5,4.7,4.6,73.3,62.9,68,70,60,64.9,5920,4858,10782,1058,1615,2669,12917,15039,27958,5913,7875,13781,10602,4405,15011,299,735,1034,1164,1951,3117,12067,7099,19164,63629,65750,129377,9379,9683,19068,42935,44265,87203,27192,28287,55483
LGA17550,36237,39810,76052,12134,6855,18991,4949,9746,14694,953,1094,2045,1439,1280,2720,19476,18978,38450,13934,17719,31653,7.4,6.7,7.1,53.7,47.7,50.6,49.8,44.4,47,727,816,1544,394,749,1140,2931,4595,7529,2496,4224,6727,10204,4662,14867,297,583,881,666,1261,1920,11166,6507,17670,33203,35556,68757,6426,7027,13446,21710,23045,44758,16336,18189,34530
LGA17620,5515,5691,11207,2592,1376,3968,635,1336,1968,184,179,359,156,157,320,3568,3046,6611,1446,2124,3573,4.4,5.2,4.8,64.7,53.5,59,61.8,50.8,56.2,60,84,143,35,66,107,297,616,914,283,502,787,1597,746,2347,44,106,149,90,157,249,1730,1008,2743,5341,5455,10801,861,885,1745,3731,3781,7517,2139,2271,4407
LGA17640,3206,3138,6346,1459,716,2174,381,755,1141,89,126,219,79,61,142,2006,1661,3668,912,1228,2143,3.9,3.7,3.9,62.6,52.9,57.8,60.2,50.9,55.7,68,65,135,29,80,107,196,344,541,203,346,550,874,378,1251,35,65,103,51,117,168,956,561,1519,3125,3038,6167,390,399,792,2289,2185,4470,1032,1092,2119
LGA17650,2363,2530,4888,988,562,1550,292,642,934,73,71,146,77,70,145,1436,1345,2780,755,1013,1775,5.4,5.2,5.2,60.8,53.2,56.9,57.3,50.4,53.8,86,95,184,37,59,94,177,349,531,158,274,431,625,311,930,36,54,87,48,95,142,707,459,1159,2400,2546,4947,299,334,630,1764,1774,3542,795,967,1761
LGA17750,23997,25689,49690,12036,7128,19163,2651,6461,9114,697,862,1554,885,849,1732,16271,15299,31566,6158,8914,15074,5.4,5.5,5.5,67.8,59.6,63.5,64.1,56.3,60,720,712,1434,288,527,810,2241,3830,6065,1480,2347,3831,6620,3513,10136,293,491,790,406,746,1150,7322,4753,12072,22479,23455,45933,5192,5608,10801,14226,14807,29041,12038,13112,25150
LGA17850,1284,1276,2556,614,267,882,140,314,450,35,43,80,27,25,47,813,646,1457,319,475,797,3.3,3.9,3.2,63.3,50.6,57,61.4,48.9,55.2,15,18,34,11,23,35,76,135,214,74,113,191,298,130,431,12,30,41,19,47,60,329,207,531,1210,1195,2411,141,153,290,926,923,1848,358,349,708
LGA17900,2608,2275,4885,792,503,1300,219,394,614,71,75,147,147,98,245,1236,1066,2306,1038,926,1959,11.9,9.2,10.6,47.4,46.9,47.2,41.5,42.7,42.2,13,33,48,11,30,38,104,228,335,126,176,304,437,202,646,27,32,67,31,50,79,500,288,788,2411,2108,4520,339,347,692,1825,1516,3342,775,806,1577
LGA17950,1084,1069,2153,517,288,805,69,201,273,33,35,69,49,40,91,672,568,1241,309,389,696,7.3,7,7.3,62,53.1,57.6,57.1,49,53.3,7,8,19,3,13,23,60,130,192,45,101,141,230,87,316,7,21,27,23,35,57,256,142,396,1069,1082,2157,117,97,220,813,783,1593,313,333,644
LGA18020,3844,3856,7699,1329,689,2017,316,789,1106,103,109,212,169,123,285,1915,1702,3618,1489,1727,3216,8.8,7.2,7.9,49.8,44.1,47,45.5,41.2,43.3,42,55,93,15,62,74,179,371,552,160,290,451,848,418,1269,59,76,133,78,87,165,982,578,1566,3636,3590,7223,441,492,933,2689,2584,5266,1209,1313,2521
LGA18050,26955,29153,56111,14417,10541,24966,3441,6480,9917,635,909,1548,730,727,1458,19230,18656,37888,4736,7304,12044,3.8,3.9,3.8,71.3,64,67.5,68.6,61.5,64.9,3001,3170,6170,595,791,1383,8050,9377,17425,2107,3101,5205,2697,1167,3865,95,157,250,391,602,995,3187,1925,5114,22062,23311,45372,5983,6415,12397,12772,13452,26217,14164,15264,29434
LGA18100,1519,1530,3051,601,288,889,130,331,462,40,50,92,42,37,79,812,702,1514,572,680,1248,5.2,5.3,5.2,53.5,45.9,49.6,50.8,43.7,47.3,10,19,31,9,19,27,74,161,231,71,135,205,351,171,521,19,44,61,27,42,67,393,252,648,1457,1454,2912,170,174,341,1132,1077,2211,447,475,921
LGA18200,2831,2683,5519,1106,583,1692,277,611,886,104,107,214,106,70,180,1593,1371,2965,899,1033,1934,6.7,5.1,6.1,56.3,51.1,53.7,52.5,48.5,50.6,10,41,54,19,42,58,128,264,392,139,233,366,710,330,1040,30,45,69,42,52,95,777,426,1207,2679,2524,5203,383,416,796,1949,1777,3725,945,1018,1961
LGA18230,19222,20481,39702,8868,5690,14561,1856,4529,6380,539,664,1203,733,649,1381,11999,11524,23528,5672,7321,12995,6.1,5.6,5.9,62.4,56.3,59.3,58.6,53.1,55.8,361,444,804,193,381,574,1397,2659,4056,1009,1836,2853,5088,2746,7839,174,447,624,303,554,854,5564,3753,9319,17786,18767,36548,3482,3822,7300,11730,12316,24042,8371,9150,17519
LGA18250,28247,31651,59899,14591,9742,24333,3619,6854,10471,604,900,1506,975,970,1939,19787,18467,38251,7036,11591,18627,4.9,5.3,5.1,70,58.3,63.9,66.6,55.3,60.6,4244,4101,8349,667,1017,1680,8894,9721,18612,2258,3280,5536,2016,1128,3145,98,210,309,375,685,1061,2497,2025,4522,26899,29141,56040,5990,6594,12591,16109,17586,33693,15369,16831,32198
LGA18350,18615,20861,39473,7742,4287,12027,2480,5148,7630,470,516,982,393,414,810,11086,10363,21449,6243,9114,15354,3.5,4,3.8,59.6,49.7,54.3,57.4,47.7,52.3,916,853,1771,309,542,854,2288,3102,5388,1517,2540,4059,4893,2181,7072,133,347,484,397,824,1221,5425,3354,8781,17541,19210,36757,3180,3515,6689,11396,12373,23765,8648,9731,18374
LGA18400,18662,19180,37840,10226,5389,15610,1913,5207,7116,627,703,1333,457,542,997,13214,11842,25056,4379,6270,10649,3.5,4.6,4,70.8,61.7,66.2,68.4,58.9,63.6,375,556,933,149,325,468,1226,2141,3371,1260,2221,3485,6547,2602,9144,148,380,527,339,623,966,7031,3602,10640,19589,19665,39251,2751,2850,5598,13293,13126,26419,7820,8222,16038
LGA18450,81811,85266,167073,33778,18660,52444,9939,21117,31062,2221,2529,4750,3707,3049,6753,49652,45356,95007,27728,35449,63180,7.5,6.7,7.1,60.7,53.2,56.9,56.2,49.6,52.8,4076,4031,8108,1105,2032,3131,9721,12329,22048,6315,8673,14989,21034,9437,30466,686,1412,2094,1383,2656,4043,23101,13506,36609,78987,81517,160507,13220,13376,26594,55011,56733,111746,33671,34645,68310
LGA18500,21001,24768,45764,10915,8325,19238,2726,4897,7624,432,712,1145,471,494,965,14542,14430,28974,4516,8010,12525,3.2,3.4,3.3,69.2,58.3,63.3,67,56.3,61.2,3078,2889,5966,468,794,1262,7007,8157,15161,1407,2432,3840,1336,738,2069,72,114,182,299,513,816,1701,1372,3071,17711,20147,37852,4508,5338,9839,10129,11923,22053,11458,13071,24525
LGA18710,6181,6564,12744,3118,2001,5119,759,1646,2405,242,311,552,124,121,242,4241,4080,8325,1482,1979,3463,2.9,3,2.9,68.6,62.2,65.3,66.6,60.3,63.4,337,354,691,128,251,380,758,1176,1938,525,660,1188,1510,635,2149,45,87,134,86,194,282,1641,918,2560,6301,6509,12807,945,1033,1978,4459,4512,8976,2385,2690,5075
LGA19399,466,400,869,259,144,400,52,82,140,28,29,56,0,4,10,336,266,608,76,94,173,0,1.5,1.6,72.1,66.5,70,72.7,63.7,68.6,4,6,13,0,3,7,25,50,77,25,37,62,124,62,184,5,7,9,14,9,28,141,78,219,439,385,818,49,48,99,323,268,594,140,139,277
LGA19499,6958,4590,11545,1322,653,1977,531,520,1047,189,116,301,583,358,941,2623,1646,4272,2178,1876,4062,22.2,21.7,22,37.7,35.9,37,29.3,28.1,28.8,193,177,365,51,67,120,574,673,1247,294,374,663,1063,351,1416,64,60,126,104,92,195,1231,504,1738,1571,849,2420,3356,2845,6200,1027,548,1571,3734,3027,6765
LGA19799,157,220,374,28,25,48,7,18,25,22,26,49,0,3,4,61,72,130,77,110,185,0,4.2,3.1,38.9,32.7,34.8,36.3,31.4,32.6,0,4,5,0,0,4,11,25,35,13,20,31,42,22,61,0,3,3,3,11,8,41,33,74,138,182,322,14,21,43,105,139,245,43,61,104
