LGA_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA16900,6931,780,123,241,32,8102,7701,656,99,14,19,8498,1943,961,448,13,11,3377,1061,414,134,0,4,1614,705,205,77,17,6,1013,35,48,5,0,3,88,54,13,4,34,3,114,43,19,8,0,0,75,3843,1677,673,66,24,6286,56,63,4,3,26,156,408,127,26,24,10,599,18944,3305,931,351,112,23643
LGA16950,15096,649,181,699,98,16732,9889,190,75,42,45,10243,3810,864,350,17,24,5065,801,345,121,0,3,1269,1780,164,92,33,29,2095,157,101,27,0,8,292,416,12,4,127,26,590,187,21,8,10,6,233,7155,1506,607,185,88,9544,284,126,27,13,16,462,933,109,70,62,26,1203,33364,2585,963,1002,277,38187
LGA17000,2223,73,35,27,14,2371,2818,82,28,6,14,2943,921,300,138,0,8,1371,239,39,38,0,0,312,248,24,14,3,4,293,3,4,0,0,0,10,127,7,3,26,8,163,39,5,3,0,0,50,1572,376,201,33,20,2200,40,5,3,0,0,58,136,15,12,3,5,171,6790,558,269,63,53,7741
LGA17040,2738,56,34,45,51,2929,2169,47,46,17,41,2319,540,145,178,11,16,882,65,8,17,0,0,94,453,48,51,18,27,590,20,7,9,0,0,39,112,8,24,12,44,195,64,7,0,3,9,79,1245,223,278,40,95,1883,51,0,4,0,12,73,194,23,47,13,45,317,6402,342,414,111,244,7518
LGA17080,2217,25,15,14,14,2275,1545,0,10,3,6,1570,449,45,70,0,8,570,143,7,17,0,0,161,357,10,22,0,5,395,17,16,0,0,0,34,96,3,13,4,3,113,49,4,3,0,0,55,1106,91,117,3,16,1337,35,10,0,0,0,39,135,6,14,8,4,170,5033,135,153,32,41,5388
LGA17100,2504,138,537,11,6,3193,1776,226,1502,33,23,3563,551,251,3059,58,43,3970,86,98,278,0,0,457,183,43,448,16,13,703,13,20,37,0,0,65,19,7,89,0,9,122,20,4,33,3,3,67,866,418,3941,76,72,5381,26,3,32,0,0,67,121,23,304,6,15,465,5299,808,6316,132,116,12674
LGA17150,21233,3736,3401,91,33,28488,22128,3309,4042,28,48,29552,2808,1639,6489,104,42,11088,270,653,760,0,3,1691,987,389,964,26,24,2393,67,104,180,0,3,353,84,155,37,86,3,369,130,25,66,9,0,220,4351,2973,8500,227,76,16118,160,88,335,0,3,589,835,269,449,22,36,1609,48705,10368,16718,367,199,76356
LGA17200,728,3549,7604,39,39,11964,474,4499,11889,42,54,16964,232,4696,30850,192,161,36126,62,1565,4813,0,16,6459,90,1569,6153,71,67,7954,14,120,1034,11,14,1197,10,82,798,17,31,935,11,91,349,3,6,457,417,8128,44003,284,291,53121,10,115,421,6,0,559,84,542,1969,43,182,2816,1717,16835,65879,416,574,85423
LGA17310,6972,241,25,102,36,7372,6576,94,10,48,33,6763,2683,963,234,77,20,3978,383,183,86,100,5,762,1202,120,34,16,15,1395,41,44,3,3,3,97,249,22,9,33,12,326,148,20,9,3,0,175,4712,1358,370,235,56,6729,137,23,3,4,8,177,524,116,27,26,11,710,18918,1830,441,417,139,21752
LGA17350,1050,8,21,9,6,1094,606,7,7,5,4,622,171,14,29,3,0,219,41,3,3,0,0,52,170,0,20,0,0,188,0,4,25,0,0,32,26,0,0,3,0,35,23,3,0,0,0,24,433,23,83,5,0,547,14,0,0,0,0,18,53,0,7,0,0,66,2149,40,118,23,14,2344
