LGA_CODE_2016,M_LPLFS_EFT_DC_0_4,M_LPLFS_EFT_DC_5_9,M_LPLFS_EFT_DC_10_12,M_LPLFS_EFT_DC_13_14,M_LPLFS_EFT_DC_15_17,M_LPLFS_EFT_DC_18_20,M_LPLFS_EFT_DC_21_24,M_LPLFS_EFT_T,M_LPLFS_EPT_DC_0_4,M_LPLFS_EPT_DC_5_9,M_LPLFS_EPT_DC_10_12,M_LPLFS_EPT_DC_13_14,M_LPLFS_EPT_DC_15_17,M_LPLFS_EPT_DC_18_20,M_LPLFS_EPT_DC_21_24,M_LPLFS_EPT_T,M_LPLFS_EAW_DC_0_4,M_LPLFS_EAW_DC_5_9,M_LPLFS_EAW_DC_10_12,M_LPLFS_EAW_DC_13_14,M_LPLFS_EAW_DC_15_17,M_LPLFS_EAW_DC_18_20,M_LPLFS_EAW_DC_21_24,M_LPLFS_EAW_T,M_LPLFS_HNS_DC_0_4,M_LPLFS_HNS_DC_5_9,M_LPLFS_HNS_DC_10_12,M_LPLFS_HNS_DC_13_14,M_LPLFS_HNS_DC_15_17,M_LPLFS_HNS_DC_18_20,M_LPLFS_HNS_DC_21_24,M_LPLFS_HNS_T,M_LPLFS_EW_T_DC_0_4,M_LPLFS_EW_T_DC_5_9,M_LPLFS_EW_T_DC_10_12,M_LPLFS_EW_T_DC_13_14,M_LPLFS_EW_T_DC_15_17,M_LPLFS_EW_T_DC_18_20,M_LPLFS_EW_T_DC_21_24,M_LPLFS_EW_T_T,M_LPLFS_ULFTW_DC_0_4,M_LPLFS_ULFTW_DC_5_9,M_LPLFS_ULFTW_DC_10_12,M_LPLFS_ULFTW_DC_13_14,M_LPLFS_ULFTW_DC_15_17,M_LPLFS_ULFTW_DC_18_20,M_LPLFS_ULFTW_DC_21_24,M_LPLFS_ULFTW_T,M_LPLFS_ULPTW_DC_0_4,M_LPLFS_ULPTW_DC_5_9,M_LPLFS_ULPTW_DC_10_12,M_LPLFS_ULPTW_DC_13_14,M_LPLFS_ULPTW_DC_15_17,M_LPLFS_ULPTW_DC_18_20,M_LPLFS_ULPTW_DC_21_24,M_LPLFS_ULPTW_T,M_LPLFS_U_T_DC_0_4,M_LPLFS_U_T_DC_5_9,M_LPLFS_U_T_DC_10_12,M_LPLFS_U_T_DC_13_14,M_LPLFS_U_T_DC_15_17,M_LPLFS_U_T_DC_18_20,M_LPLFS_U_T_DC_21_24,M_LPLFS_U_T_T,M_LPLFS_T_LF_DC_0_4,M_LPLFS_T_LF_DC_5_9,M_LPLFS_T_LF_DC_10_12,M_LPLFS_T_LF_DC_13_14,M_LPLFS_T_LF_DC_15_17,M_LPLFS_T_LF_DC_18_20,M_LPLFS_T_LF_DC_21_24,M_LPLFS_T_LF_T,M_LPLFS_NLF_DC_0_4,M_LPLFS_NLF_DC_5_9,M_LPLFS_NLF_DC_10_12,M_LPLFS_NLF_DC_13_14,M_LPLFS_NLF_DC_15_17,M_LPLFS_NLF_DC_18_20,M_LPLFS_NLF_DC_21_24,M_LPLFS_NLF_T,M_LPLFS_LFSNS_DC_0_4,M_LPLFS_LFSNS_DC_5_9,M_LPLFS_LFSNS_DC_10_12,M_LPLFS_LFSNS_DC_13_14,M_LPLFS_LFSNS_DC_15_17,M_LPLFS_LFSNS_DC_18_20,M_LPLFS_LFSNS_DC_21_24,M_LPLFS_LFSNS_T,M_LPLFS_T_DC_0_4,M_LPLFS_T_DC_5_9,M_LPLFS_T_DC_10_12,M_LPLFS_T_DC_13_14,M_LPLFS_T_DC_15_17,M_LPLFS_T_DC_18_20,M_LPLFS_T_DC_21_24,M_LPLFS_T_T,F_LPLFS_EFT_DC_0_4,F_LPLFS_EFT_DC_5_9,F_LPLFS_EFT_DC_10_12,F_LPLFS_EFT_DC_13_14,F_LPLFS_EFT_DC_15_17,F_LPLFS_EFT_DC_18_20,F_LPLFS_EFT_DC_21_24,F_LPLFS_EFT_T,F_LPLFS_EPT_DC_0_4,F_LPLFS_EPT_DC_5_9,F_LPLFS_EPT_DC_10_12,F_LPLFS_EPT_DC_13_14,F_LPLFS_EPT_DC_15_17,F_LPLFS_EPT_DC_18_20,F_LPLFS_EPT_DC_21_24,F_LPLFS_EPT_T,F_LPLFS_EAW_DC_0_4,F_LPLFS_EAW_DC_5_9,F_LPLFS_EAW_DC_10_12,F_LPLFS_EAW_DC_13_14,F_LPLFS_EAW_DC_15_17,F_LPLFS_EAW_DC_18_20,F_LPLFS_EAW_DC_21_24,F_LPLFS_EAW_T,F_LPLFS_HNS_DC_0_4,F_LPLFS_HNS_DC_5_9,F_LPLFS_HNS_DC_10_12,F_LPLFS_HNS_DC_13_14,F_LPLFS_HNS_DC_15_17,F_LPLFS_HNS_DC_18_20,F_LPLFS_HNS_DC_21_24,F_LPLFS_HNS_T,F_LPLFS_EW_T_DC_0_4,F_LPLFS_EW_T_DC_5_9,F_LPLFS_EW_T_DC_10_12,F_LPLFS_EW_T_DC_13_14,F_LPLFS_EW_T_DC_15_17,F_LPLFS_EW_T_DC_18_20,F_LPLFS_EW_T_DC_21_24,F_LPLFS_EW_T_T,F_LPLFS_ULFTW_DC_0_4,F_LPLFS_ULFTW_DC_5_9,F_LPLFS_ULFTW_DC_10_12,F_LPLFS_ULFTW_DC_13_14,F_LPLFS_ULFTW_DC_15_17,F_LPLFS_ULFTW_DC_18_20,F_LPLFS_ULFTW_DC_21_24,F_LPLFS_ULFTW_T,F_LPLFS_ULPTW_DC_0_4,F_LPLFS_ULPTW_DC_5_9,F_LPLFS_ULPTW_DC_10_12,F_LPLFS_ULPTW_DC_13_14,F_LPLFS_ULPTW_DC_15_17,F_LPLFS_ULPTW_DC_18_20,F_LPLFS_ULPTW_DC_21_24,F_LPLFS_ULPTW_T,F_LPLFS_U_T_DC_0_4,F_LPLFS_U_T_DC_5_9,F_LPLFS_U_T_DC_10_12,F_LPLFS_U_T_DC_13_14,F_LPLFS_U_T_DC_15_17,F_LPLFS_U_T_DC_18_20,F_LPLFS_U_T_DC_21_24,F_LPLFS_U_T_T,F_LPLFS_T_LF_DC_0_4,F_LPLFS_T_LF_DC_5_9,F_LPLFS_T_LF_DC_10_12,F_LPLFS_T_LF_DC_13_14,F_LPLFS_T_LF_DC_15_17,F_LPLFS_T_LF_DC_18_20,F_LPLFS_T_LF_DC_21_24,F_LPLFS_T_LF_T,F_LPLFS_NLF_DC_0_4,F_LPLFS_NLF_DC_5_9,F_LPLFS_NLF_DC_10_12,F_LPLFS_NLF_DC_13_14,F_LPLFS_NLF_DC_15_17,F_LPLFS_NLF_DC_18_20,F_LPLFS_NLF_DC_21_24,F_LPLFS_NLF_T,F_LPLFS_LFSNS_DC_0_4,F_LPLFS_LFSNS_DC_5_9,F_LPLFS_LFSNS_DC_10_12,F_LPLFS_LFSNS_DC_13_14,F_LPLFS_LFSNS_DC_15_17,F_LPLFS_LFSNS_DC_18_20,F_LPLFS_LFSNS_DC_21_24,F_LPLFS_LFSNS_T,F_LPLFS_T_DC_0_4,F_LPLFS_T_DC_5_9,F_LPLFS_T_DC_10_12,F_LPLFS_T_DC_13_14,F_LPLFS_T_DC_15_17,F_LPLFS_T_DC_18_20,F_LPLFS_T_DC_21_24,F_LPLFS_T_T,T_LPLFS_EFT_DC_0_4,T_LPLFS_EFT_DC_5_9,T_LPLFS_EFT_DC_10_12,T_LPLFS_EFT_DC_13_14,T_LPLFS_EFT_DC_15_17,T_LPLFS_EFT_DC_18_20,T_LPLFS_EFT_DC_21_24,T_LPLFS_EFT_T
LGA12900,3,7,0,3,3,0,0,23,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,4,10,0,0,30,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,16,3,8,12,0,0,32,3,5,12,3,0,0,0,27,0,0,0,0,0,0,0,0,8,19,11,12,7,0,0,61,7,23,15,5,13,6,0,80,24,39,29,16,22,0,0,135,0,0,3,0,0,0,0,4,3,3,0,0,0,0,0,8,35,69,48,23,37,5,3,222,6,5,4,3,3,0,0,18,8,4,0,3,0,0,0,21,12,12,7,6,3,0,0,34,45,76,54,29,46,5,3,261,59,38,20,21,19,0,0,155,0,7,0,0,0,0,0,6,108,116,73,48,63,5,3,420,11,33,20,11,17,6,0,100
LGA12930,29,43,55,47,82,51,23,331,6,20,14,12,16,12,10,92,0,0,0,0,3,0,0,5,0,0,0,0,0,4,3,8,32,64,69,63,101,73,41,440,3,8,3,5,3,3,0,29,0,5,0,3,3,0,0,17,4,11,3,3,8,8,0,37,38,75,73,67,107,78,39,478,12,36,16,18,20,15,13,123,4,0,0,0,0,0,0,5,48,109,89,85,130,96,48,611,114,217,179,153,272,185,108,1228,147,293,183,140,232,137,66,1196,14,6,10,5,10,4,3,46,4,10,9,6,13,13,4,57,281,524,379,298,528,341,179,2532,11,19,6,3,18,12,5,81,18,56,36,25,30,20,13,197,30,79,41,28,46,36,17,276,306,605,420,332,574,369,194,2800,367,335,189,156,211,134,65,1458,3,13,11,4,3,4,3,44,677,948,626,491,787,510,260,4303,145,263,234,195,353,239,134,1562
LGA12950,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,3,4,0,5,5,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,0,5,10,0,0,23,0,0,4,4,3,0,0,17,10,20,16,9,3,0,0,57,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,15,27,19,14,14,0,0,80,0,3,5,3,0,0,0,7,0,7,0,0,0,0,0,4,0,9,4,3,0,0,0,19,20,28,22,16,14,0,0,101,44,36,23,13,16,0,0,125,0,0,0,0,0,0,0,0,67,64,41,26,27,0,0,223,0,4,3,4,4,0,0,17
LGA13010,3,11,5,0,11,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,3,8,0,0,30,5,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,9,6,11,6,6,12,0,0,42,0,3,3,5,5,0,0,19,0,0,0,0,0,0,0,0,8,17,7,11,18,0,0,60,5,18,10,10,14,0,0,59,12,28,20,14,17,0,0,89,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,29,49,29,17,29,0,0,155,3,5,0,0,3,0,0,14,4,3,3,3,0,0,0,14,9,4,10,5,0,0,0,27,33,50,39,21,33,0,0,182,66,56,42,15,14,4,3,197,0,0,0,0,0,0,0,0,99,108,84,42,44,4,3,375,9,30,16,9,21,0,0,80
LGA13310,11,21,21,15,21,0,4,96,0,4,6,5,5,0,0,27,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,12,31,31,21,24,0,4,123,3,0,0,0,5,0,0,9,0,0,0,0,0,0,0,3,3,0,4,0,5,0,0,10,19,28,36,21,27,0,4,137,11,20,12,6,15,0,0,71,3,3,0,0,0,0,0,7,30,50,52,31,43,4,3,210,27,56,50,30,66,10,7,242,58,127,61,52,51,3,4,352,12,8,3,8,3,3,0,35,7,7,3,0,4,0,0,14,100,192,115,93,115,20,7,649,5,10,10,3,11,0,0,48,16,33,13,4,8,0,0,79,27,47,26,7,21,3,0,124,125,241,142,102,135,19,7,773,184,152,61,38,51,3,0,485,13,0,0,0,0,0,0,21,319,393,198,141,187,23,13,1277,33,76,76,48,87,10,5,335
LGA13340,0,3,9,4,8,0,0,26,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,6,9,0,0,36,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,9,3,3,10,6,10,0,0,38,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,3,8,10,12,12,0,0,50,0,13,13,13,19,0,3,57,8,29,13,15,17,5,0,83,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,16,43,30,25,33,4,4,156,0,0,0,0,0,0,0,10,0,7,4,0,0,0,0,11,3,7,3,0,0,0,0,24,16,53,34,27,33,3,4,173,56,46,36,29,15,0,0,175,3,0,0,3,0,0,0,11,79,99,68,56,47,5,4,365,4,14,22,18,28,0,3,89
LGA13450,9,16,9,11,14,0,0,59,4,3,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,9,8,17,0,4,65,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,16,15,9,8,17,0,4,77,9,10,3,0,0,0,0,23,0,0,4,0,0,0,0,3,25,28,13,10,21,0,4,96,28,64,44,26,41,10,3,220,51,71,51,40,36,3,0,254,8,3,0,0,0,0,0,14,3,0,3,0,3,0,0,13,96,144,101,70,82,18,3,512,12,18,3,0,3,0,0,37,7,7,3,3,0,0,0,27,20,27,8,3,7,0,0,61,110,173,111,72,89,14,3,575,150,79,46,27,28,7,0,332,3,8,10,4,0,0,0,22,262,263,165,108,115,21,0,930,43,83,48,35,56,15,5,284
LGA13510,3,3,15,4,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,4,6,0,0,36,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,7,16,6,7,0,0,45,0,3,6,4,3,0,0,12,0,0,0,0,0,0,0,0,4,14,19,12,12,0,0,60,11,25,15,6,11,0,0,66,15,31,29,19,29,7,0,127,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,24,57,41,28,45,5,0,203,0,10,8,3,0,0,0,27,6,6,3,0,0,0,0,20,10,15,9,4,3,0,0,41,35,71,51,34,44,9,0,248,70,63,41,19,21,4,0,207,0,0,0,0,0,0,0,0,104,136,91,47,61,10,0,458,13,28,23,13,19,0,3,105
LGA13550,3,10,12,6,10,0,0,37,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,12,12,6,11,0,0,43,4,4,3,3,3,0,0,14,0,0,0,0,0,0,0,3,3,3,3,3,3,0,0,19,5,14,15,15,8,0,0,65,0,9,3,10,7,0,0,24,3,0,0,0,0,0,0,0,9,26,16,19,15,3,0,85,12,42,15,16,18,4,0,107,41,32,18,11,19,3,0,136,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,56,73,44,29,39,11,3,248,5,6,11,0,3,0,0,20,10,12,3,0,3,0,0,27,16,18,10,0,3,0,0,49,71,88,52,32,45,11,3,299,90,73,32,20,12,0,0,228,3,0,0,0,0,0,0,4,165,168,80,48,60,11,3,537,18,48,31,19,21,4,0,139
LGA13660,3,9,0,0,5,0,0,14,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3,4,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,3,4,3,0,0,22,6,4,3,0,3,0,0,17,0,0,0,0,0,0,0,0,14,11,9,3,9,0,0,37,3,5,4,0,4,0,0,20,8,16,9,13,3,0,0,48,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,18,16,14,5,0,0,72,0,0,3,3,0,0,0,11,0,3,0,0,0,0,0,10,3,3,4,5,0,0,0,17,17,25,17,20,10,0,0,90,24,21,11,12,10,0,0,75,0,0,0,0,0,0,0,0,43,48,27,28,20,0,0,160,8,11,6,0,3,0,0,34
LGA13800,25,42,36,33,50,20,13,214,10,15,8,6,13,0,0,57,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,8,35,60,44,41,71,20,13,284,6,10,3,7,3,0,0,23,0,0,0,0,0,0,0,0,6,10,8,7,3,0,0,25,41,69,50,42,73,20,13,309,12,19,11,11,7,3,3,69,0,0,0,3,0,0,0,3,58,88,62,53,78,23,15,383,51,118,118,108,153,66,39,651,113,188,118,86,109,35,13,663,8,3,7,5,4,0,0,36,0,8,3,0,3,0,0,14,173,315,248,198,271,99,55,1360,10,12,10,13,14,0,0,61,16,26,16,5,8,3,3,80,24,38,24,24,20,4,3,142,198,354,269,223,295,106,58,1495,300,230,119,90,85,23,8,855,0,3,3,4,3,0,0,18,500,590,397,316,379,127,65,2376,76,162,151,137,203,83,53,862
LGA13850,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,4,0,0,12,0,4,6,7,0,0,0,22,6,10,10,12,12,0,0,45,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,20,14,16,13,0,0,71,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,4,12,21,13,16,13,0,0,73,14,10,6,3,7,0,0,36,0,0,0,0,0,0,0,0,23,28,22,20,17,0,0,106,0,4,6,10,8,0,0,26
LGA13910,0,11,4,4,18,3,0,43,0,9,11,0,5,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,16,9,21,3,0,68,0,0,4,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,18,0,21,18,8,25,3,0,84,4,9,4,3,7,0,0,29,0,0,0,0,0,0,0,7,6,28,25,14,32,3,0,114,8,35,26,30,40,5,0,141,31,86,57,42,46,7,0,264,4,6,4,3,0,0,0,14,0,0,0,0,0,0,0,3,49,120,88,75,84,11,0,424,4,18,8,3,7,0,0,42,7,20,8,0,3,0,0,36,11,35,14,3,8,0,0,72,62,155,106,81,90,11,0,498,141,115,48,27,39,11,0,394,9,9,3,0,3,0,0,25,205,281,163,113,134,27,0,914,12,39,38,30,54,10,0,182
LGA14000,17,72,64,47,87,43,32,364,8,19,17,8,9,14,8,78,0,8,0,0,3,0,0,15,0,0,0,4,0,0,0,8,24,93,81,61,100,65,36,462,0,10,0,0,8,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,16,24,107,83,61,108,65,38,479,8,18,6,9,11,10,13,83,3,0,0,0,4,0,0,8,33,122,92,74,118,72,51,568,80,213,215,188,282,189,97,1259,64,225,183,154,205,101,63,994,16,10,4,6,7,0,3,58,0,3,4,5,11,4,5,33,162,457,410,350,505,294,164,2336,5,8,4,0,10,7,0,43,9,20,13,7,5,7,3,70,13,31,16,16,15,15,9,116,169,483,426,369,521,316,174,2456,128,165,106,72,120,79,50,718,0,3,0,0,3,0,0,7,294,651,536,442,641,399,220,3179,96,286,285,233,362,233,127,1627
LGA14100,0,4,5,4,7,3,7,33,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,10,7,3,7,40,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,9,12,7,3,7,39,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,12,12,7,9,10,42,10,26,18,6,12,15,13,97,9,21,23,11,16,5,7,89,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,25,46,38,14,33,19,16,196,0,0,0,0,6,0,0,4,0,3,3,0,0,0,3,16,0,3,3,0,6,0,3,17,26,50,46,20,39,21,17,215,12,17,13,3,4,6,6,59,0,0,0,0,0,0,0,0,37,73,59,25,43,25,28,280,10,28,27,14,20,20,18,135
LGA14170,38,73,52,49,82,43,28,376,7,15,12,10,15,3,4,69,0,3,3,0,0,0,0,5,0,0,0,0,0,3,0,6,53,95,59,60,104,50,32,453,4,0,0,3,3,0,3,22,0,6,4,4,0,0,0,17,3,8,5,7,3,3,8,33,57,99,65,64,113,52,39,487,11,24,15,21,27,19,12,130,0,0,0,0,0,0,0,4,68,118,86,87,136,70,53,625,135,329,276,201,298,157,99,1500,156,334,170,118,175,80,58,1089,20,6,5,4,7,9,3,61,3,5,5,4,9,3,3,39,317,678,462,330,491,253,166,2689,8,26,14,15,20,7,3,95,13,36,30,15,22,9,6,135,24,63,47,31,38,15,10,226,339,739,509,359,531,269,168,2915,282,259,160,107,158,86,54,1101,3,9,0,6,0,3,5,26,624,1002,673,467,686,357,224,4041,171,403,327,243,387,204,129,1873
LGA14200,3,7,4,0,11,4,0,26,0,3,0,3,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,8,11,7,9,12,5,0,46,0,4,0,5,0,0,0,9,0,3,0,0,0,0,0,10,0,7,0,7,0,0,0,13,7,14,3,9,18,5,0,63,7,7,9,0,7,0,0,31,0,0,0,0,0,0,0,0,12,23,13,16,24,5,0,92,9,23,24,22,28,0,0,117,50,76,44,26,21,3,0,230,3,0,5,0,0,0,0,6,4,0,0,3,0,0,0,11,72,107,73,52,53,4,0,367,4,16,6,12,14,0,0,47,18,10,11,3,4,3,0,49,15,25,13,13,23,3,0,100,84,133,88,64,74,12,0,460,156,153,67,43,30,6,0,469,3,3,3,4,3,0,0,14,252,286,164,118,112,20,0,947,17,31,27,30,39,4,0,146
LGA14300,8,4,6,3,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,8,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,8,3,0,0,28,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,8,6,11,6,3,0,0,39,4,13,10,3,15,0,0,45,23,20,17,8,8,0,0,80,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,25,36,30,13,20,0,0,129,0,3,0,0,0,0,0,9,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,7,26,41,30,16,20,5,0,139,35,35,10,3,18,0,0,102,0,0,0,0,0,0,0,0,66,75,38,22,36,3,0,239,6,20,18,7,20,3,0,73
LGA14350,7,20,14,14,17,0,0,71,5,9,8,6,4,0,0,42,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,11,29,23,17,22,5,0,113,0,3,0,0,0,0,0,6,0,3,0,0,0,0,0,6,0,5,0,0,3,0,0,14,13,35,29,22,24,5,0,130,12,26,21,15,15,0,0,87,3,0,0,0,3,0,0,7,27,66,47,34,41,5,0,222,26,66,45,32,55,8,0,240,87,151,100,71,93,4,3,502,5,5,0,6,3,3,0,24,8,8,3,0,0,0,0,24,130,226,144,109,151,14,3,789,13,14,10,10,16,0,0,68,11,28,17,5,12,0,0,78,30,43,29,19,27,3,0,146,160,270,174,121,180,15,7,934,329,257,119,66,60,8,0,839,6,8,3,0,4,0,0,17,500,533,297,195,241,28,7,1795,37,81,63,47,69,14,3,309
LGA14400,3,11,3,4,17,4,3,48,0,3,3,3,3,3,0,17,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,4,3,16,9,11,20,7,7,70,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,19,9,14,18,6,7,73,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,16,12,14,18,6,10,82,9,26,20,22,39,14,3,141,28,49,53,34,32,15,4,224,0,7,5,0,0,0,0,8,0,0,0,0,0,0,0,3,44,78,83,55,76,31,12,375,3,3,5,4,3,3,0,18,3,6,0,0,3,0,0,13,4,9,5,4,3,3,0,30,46,87,84,61,82,36,13,411,43,30,18,11,15,9,3,126,0,0,0,0,0,0,0,0,94,122,107,71,93,46,11,539,11,33,26,29,58,20,5,189
LGA14500,14,29,39,48,71,45,26,268,3,13,11,11,15,6,8,63,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,25,44,49,61,88,49,29,339,0,3,0,5,3,0,0,12,4,0,4,0,0,0,3,14,4,3,4,5,3,0,5,27,23,49,57,61,94,44,34,360,12,13,13,9,13,0,0,66,0,0,0,0,0,0,0,0,36,59,67,74,101,50,38,429,64,176,160,142,270,181,92,1087,63,146,139,98,147,111,50,766,7,9,5,0,8,6,3,41,4,0,4,7,6,3,0,23,141,336,307,251,433,300,149,1913,4,6,3,4,3,7,4,27,11,9,8,9,15,8,3,68,15,15,11,12,21,12,11,97,155,350,320,266,456,309,154,2008,75,171,118,83,152,92,57,757,0,0,0,0,0,0,0,3,233,521,431,352,614,406,208,2770,81,206,199,190,341,223,119,1356
LGA14550,9,8,0,7,3,0,0,24,0,0,5,0,3,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,9,5,7,6,3,0,38,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,8,10,5,7,6,7,0,45,4,3,11,7,6,0,0,29,0,0,0,0,0,0,0,0,13,10,15,15,15,7,0,74,0,9,7,3,13,3,0,42,16,23,18,11,22,5,4,100,3,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,22,44,26,15,29,7,4,147,0,4,6,5,5,0,0,25,3,8,6,7,4,0,0,26,7,15,9,14,7,0,0,53,24,57,37,25,41,7,4,194,50,62,29,19,17,5,0,188,0,4,0,0,0,0,0,5,79,124,67,47,60,12,3,391,8,14,12,8,19,4,0,67
LGA14600,4,5,0,0,3,0,0,11,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,10,0,0,27,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,3,3,15,0,0,29,0,3,0,0,8,0,0,14,0,0,0,0,0,0,0,0,4,6,3,3,17,0,0,36,0,6,11,3,7,0,0,27,18,20,14,12,12,0,0,69,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,28,20,14,16,0,0,101,4,8,6,0,4,0,0,21,9,10,0,0,0,0,0,22,6,22,7,0,4,0,0,39,30,48,25,14,17,0,0,143,48,38,33,17,3,0,0,148,0,0,0,0,3,0,0,4,82,88,62,39,22,5,0,295,3,8,12,3,8,0,0,36
LGA14650,53,115,114,85,140,49,22,579,19,35,32,31,37,14,11,170,0,3,3,3,0,3,0,18,0,3,3,3,0,0,3,9,77,160,149,122,176,62,33,773,5,21,5,5,18,4,7,64,3,6,0,4,3,0,0,23,12,27,11,10,24,4,7,88,83,188,163,132,198,64,38,859,38,67,62,59,40,16,4,286,0,3,5,3,3,0,0,16,123,260,228,190,245,81,42,1156,107,345,337,268,426,173,78,1741,407,786,487,327,430,129,44,2608,66,35,22,22,20,9,0,171,9,18,17,9,19,0,3,70,593,1182,863,619,886,313,125,4583,30,87,54,39,33,8,0,243,89,134,70,28,47,3,3,378,124,221,121,67,72,12,3,626,715,1403,985,685,965,320,130,5209,1003,889,446,296,308,50,39,3037,18,18,12,8,7,0,0,57,1735,2305,1444,994,1283,375,169,8307,162,463,449,351,564,225,99,2314
LGA14700,8,10,13,11,15,16,13,86,0,0,3,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,16,17,13,20,13,103,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,18,16,17,15,20,13,103,0,4,0,3,3,0,0,21,0,0,0,0,0,0,0,0,13,23,18,22,19,18,13,122,32,76,49,47,63,47,35,348,26,45,33,14,46,27,14,199,11,3,0,0,0,0,0,11,0,4,3,0,0,0,0,7,68,124,86,62,115,72,48,572,0,0,3,3,0,3,0,12,0,0,3,3,3,0,0,14,0,4,7,7,3,3,0,24,70,124,86,73,114,78,43,595,33,32,18,12,11,15,7,125,0,0,0,0,0,0,0,0,97,154,106,83,124,94,48,714,42,90,64,54,79,65,46,430
