LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA16950,224,247,469,150,165,317,235,727,957,255,1297,1547,1093,2849,3937,949,1331,2280,3410,983,4390,2308,942,3248,2759,799,3561,2509,481,2992,1657,374,2028,1494,266,1764,2470,275,2749,1511,17,1531,821,6,830,458,133,585,886,16,903,2597,148,2744,518,832,1350,26292,11896,38187
LGA17000,34,59,88,21,31,53,35,110,142,38,165,200,150,299,450,156,125,286,324,129,448,287,147,433,389,159,550,389,120,501,328,95,424,365,85,448,813,161,973,581,12,592,358,8,372,273,71,341,620,6,622,615,38,656,86,80,166,5850,1887,7741
LGA17040,34,51,84,30,37,70,43,143,190,35,252,290,144,446,585,138,267,411,419,238,653,302,265,568,437,192,633,446,135,577,343,97,442,339,68,408,619,94,707,390,19,414,224,10,236,153,44,191,234,11,248,549,46,597,81,145,224,4969,2549,7518
LGA17080,36,29,68,24,19,48,41,113,151,46,180,227,133,369,504,117,162,285,352,124,477,244,144,394,325,134,461,343,76,418,243,70,315,237,48,287,469,55,524,245,4,247,132,3,136,68,18,88,108,4,108,458,11,468,87,101,182,3715,1676,5388
LGA17100,146,169,319,50,55,102,94,149,240,77,214,291,162,335,500,192,192,384,440,207,644,419,219,645,650,243,891,606,218,825,567,183,750,571,134,706,1205,274,1478,824,84,902,587,60,644,448,94,544,1368,128,1500,934,181,1115,99,88,185,9434,3238,12674
LGA17150,373,448,820,211,211,421,242,714,955,181,1239,1420,891,2663,3553,849,1533,2377,2326,1368,3688,2338,1503,3846,3401,1674,5078,3327,1112,4445,2890,1126,4013,3280,841,4120,7332,1302,8632,6352,182,6533,4866,90,4956,3689,540,4231,9643,92,9730,5713,333,6041,681,810,1493,58577,17776,76356
LGA17200,775,3661,4438,187,663,852,306,1713,2016,235,2368,2601,632,2672,3303,607,1721,2332,1150,1829,2983,1183,2374,3551,1673,3030,4703,1763,2848,4604,1644,2898,4542,1825,2505,4334,4658,5462,10127,3858,1161,5018,3293,854,4153,3211,4086,7292,9395,1750,11144,3608,2445,6054,322,1048,1376,40324,45098,85423
LGA17310,98,135,233,48,79,132,114,363,475,117,607,725,476,1330,1808,533,678,1212,1378,576,1953,1084,634,1719,1429,549,1977,1359,327,1688,1006,239,1244,1032,196,1226,1832,227,2055,1084,47,1130,626,24,650,375,97,474,644,30,668,1538,117,1658,311,401,713,15096,6652,21752
LGA17350,10,10,25,8,7,13,12,37,46,9,92,99,57,198,256,46,90,133,193,66,261,113,61,180,184,36,218,159,21,178,111,16,131,121,11,130,172,7,187,83,0,82,56,0,55,37,17,49,46,0,49,133,10,142,45,61,102,1597,753,2344
LGA17400,17,33,51,22,24,46,23,91,111,27,123,149,123,274,396,88,84,174,254,89,343,143,72,217,176,60,239,169,24,187,77,14,94,91,19,112,110,18,136,55,0,51,23,0,26,15,8,19,38,3,38,189,8,196,41,49,93,1674,1007,2682
LGA17420,357,193,556,159,85,242,182,228,409,123,348,470,499,820,1323,495,550,1046,1300,481,1786,1395,464,1857,2079,549,2627,2109,411,2519,1866,369,2241,2100,291,2388,4985,547,5533,4180,67,4245,3533,40,3576,3060,255,3314,8778,56,8836,4101,152,4249,381,235,616,41682,6160,47836
LGA17550,174,264,442,129,145,273,165,589,749,166,1142,1309,785,2613,3390,853,1430,2281,2624,916,3538,1868,981,2849,2387,848,3239,2246,485,2735,1612,325,1939,1487,260,1750,2558,251,2812,1562,55,1619,862,18,882,482,135,614,911,14,926,2327,212,2540,444,758,1208,23650,11441,35089
LGA17620,33,31,66,20,31,49,37,80,113,28,141,169,104,332,436,94,136,234,305,150,460,226,137,364,305,117,415,301,80,380,207,53,260,233,58,290,436,72,517,292,9,297,186,3,196,106,26,132,216,6,223,353,21,373,76,113,186,3557,1609,5161
LGA17640,15,33,53,12,12,20,17,62,76,16,81,96,78,182,257,55,97,151,178,72,247,149,87,235,172,65,244,165,38,202,143,28,170,139,18,163,219,30,247,143,0,143,102,0,104,51,25,74,101,0,103,211,10,220,43,48,93,2021,888,2912
LGA17650,13,11,24,9,11,15,21,44,66,12,72,84,65,166,237,56,76,123,174,55,234,133,61,196,145,51,197,157,28,185,99,22,127,122,15,133,179,13,190,92,0,92,58,0,58,36,9,41,45,0,45,164,9,171,38,34,67,1614,669,2281
LGA17750,90,112,199,65,93,152,104,385,484,107,551,663,417,1043,1459,452,607,1061,1087,615,1696,963,680,1638,1255,656,1915,1353,468,1821,1072,289,1367,1138,274,1412,2077,328,2404,1399,52,1455,845,34,879,477,107,585,865,23,889,1521,152,1669,291,355,644,15570,6825,22397
LGA17850,11,7,19,7,10,19,9,27,33,3,48,47,22,73,99,29,39,68,80,35,118,65,29,90,83,25,106,68,21,92,48,5,58,65,13,73,77,4,84,33,0,40,28,0,28,15,13,23,38,0,38,87,0,87,28,32,55,812,379,1187
LGA17900,24,29,51,15,22,34,24,90,114,29,128,158,86,187,270,73,65,137,160,55,215,121,79,192,128,65,190,110,32,139,70,27,101,59,14,72,101,25,126,63,0,63,27,0,32,22,16,31,38,0,37,162,18,181,57,80,133,1354,937,2286
LGA17950,9,9,13,3,4,11,11,31,42,3,38,42,23,60,80,19,25,40,58,28,90,44,37,84,58,30,86,57,16,73,34,13,43,50,14,56,91,8,96,48,0,48,18,0,18,17,3,17,29,0,29,97,0,97,17,28,43,675,340,1007
LGA18020,20,30,50,24,26,49,22,73,96,30,148,173,127,302,430,98,114,214,318,74,400,217,92,310,236,81,311,219,33,243,114,28,138,119,17,139,211,31,248,101,0,105,47,0,47,30,18,45,58,0,63,272,14,284,75,100,176,2345,1179,3517
LGA18050,111,233,342,55,87,141,58,290,352,48,383,434,161,695,857,179,465,643,374,477,850,418,605,1016,584,706,1292,650,629,1284,570,606,1176,641,530,1177,1507,1060,2573,1278,288,1565,1069,212,1278,1289,983,2268,4516,535,5052,1671,722,2393,176,292,471,15370,9797,25166
LGA18100,6,10,15,6,10,14,14,32,41,10,65,72,43,140,178,33,50,83,136,39,173,89,35,125,109,32,143,100,13,113,56,14,67,43,12,50,71,6,77,52,0,48,29,0,29,13,6,18,41,0,41,83,12,89,25,40,62,945,503,1449
LGA18200,17,16,32,10,18,29,18,47,65,22,69,93,74,142,209,59,73,131,169,66,241,132,74,208,158,47,209,161,38,200,77,19,92,105,18,121,180,21,195,97,3,101,70,0,70,39,12,47,65,0,65,201,4,207,51,51,102,1707,713,2420
LGA18230,71,103,181,44,70,115,94,290,382,108,485,590,370,936,1303,388,441,829,989,422,1411,789,475,1262,1080,435,1515,1057,288,1340,815,231,1043,862,165,1023,1454,234,1687,1008,31,1042,635,14,653,337,74,415,604,15,618,1374,96,1468,247,349,597,12333,5143,17474
LGA18250,380,354,737,95,108,203,125,228,353,93,332,426,283,563,845,274,390,665,530,357,884,556,436,991,825,538,1368,846,498,1343,741,476,1219,833,402,1233,2013,777,2797,1458,122,1581,1170,114,1282,1540,571,2117,5356,166,5520,2014,251,2263,167,181,346,19291,6866,26155
LGA18350,111,123,233,74,71,144,87,214,305,64,448,512,324,952,1271,311,540,852,921,417,1336,813,475,1285,1095,408,1501,1067,256,1322,841,204,1042,805,171,971,1541,225,1764,984,18,1004,626,13,631,468,129,600,1005,11,1016,1416,69,1482,200,293,494,12744,5018,17759
LGA18400,68,62,129,26,36,59,52,114,172,49,213,263,255,481,733,216,194,407,674,224,899,545,237,785,789,222,1015,779,156,931,730,130,859,826,96,923,1812,130,1940,1356,11,1369,890,6,889,649,45,691,1331,6,1340,1294,28,1325,210,154,370,12552,2545,15094
LGA18450,442,627,1072,272,323,599,380,1416,1798,343,2438,2778,1539,4234,5768,1451,1885,3338,4210,1539,5747,3053,1655,4712,3978,1729,5707,3831,1166,4990,3037,986,4021,3226,749,3973,6346,980,7332,4734,159,4886,3103,80,3188,2052,372,2419,4190,71,4260,4864,576,5441,721,1201,1926,51776,22172,73953
LGA18500,129,208,343,52,66,120,43,154,199,43,243,282,106,389,496,96,403,502,201,364,570,256,491,749,404,623,1027,426,522,942,358,504,862,411,463,878,1051,973,2022,881,142,1027,834,111,946,1180,1183,2366,5009,405,5413,1538,409,1945,183,254,434,13197,7910,21105
LGA18710,18,12,33,18,9,28,19,49,68,17,91,107,64,207,268,74,111,181,186,90,277,176,106,283,286,118,404,278,84,365,230,85,313,229,43,277,537,92,627,438,15,449,312,5,315,254,25,280,668,5,672,433,15,450,59,60,116,4307,1211,5519
LGA19399,10,3,11,0,0,0,4,5,7,3,4,5,3,9,14,0,10,13,15,16,34,16,7,26,26,11,36,17,7,23,7,7,12,11,3,15,30,12,37,14,0,14,5,0,10,8,0,10,12,0,12,38,4,42,8,6,12,235,103,336
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
