LGA_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA13660,27,20,46,20,10,28,16,55,66,14,80,87,74,153,225,50,46,97,171,56,229,107,55,165,141,48,193,144,11,156,84,10,95,63,10,81,139,3,149,50,0,50,30,0,30,17,6,23,36,3,35,136,15,150,40,52,94,1351,637,1987
LGA13800,111,119,231,69,66,135,75,266,337,91,393,480,328,764,1092,321,448,767,811,411,1224,778,442,1215,1125,516,1641,1189,322,1505,1134,266,1399,1140,175,1317,2246,241,2495,1728,41,1769,1120,20,1139,788,95,886,1512,12,1524,1605,64,1670,236,236,473,16405,4903,21307
LGA13850,6,6,16,5,10,17,14,21,39,12,30,44,25,79,99,24,27,48,70,22,90,52,33,77,65,29,94,73,18,93,48,5,56,48,11,54,85,13,92,37,0,37,20,0,20,13,6,24,26,0,26,96,0,96,22,42,60,732,368,1097
LGA13910,43,44,95,31,51,76,46,134,178,54,224,275,214,560,774,195,229,420,560,209,776,382,228,610,482,149,638,453,73,524,326,61,392,335,51,384,430,58,485,242,11,249,138,4,138,82,21,103,151,0,159,501,23,521,96,179,274,4759,2315,7075
LGA14000,286,254,546,147,148,299,210,377,588,117,615,731,533,1286,1819,495,914,1405,1368,690,2060,1347,784,2124,2026,805,2834,2124,615,2741,1846,490,2333,2048,405,2452,4473,694,5166,3706,94,3798,2882,56,2935,2671,272,2946,7525,61,7583,3809,153,3964,319,373,689,37931,9084,47010
LGA14100,42,60,102,15,15,28,19,62,74,13,99,109,39,145,185,26,82,110,102,75,173,79,86,171,105,104,209,119,70,190,94,65,159,123,53,173,268,107,373,234,10,246,208,3,207,247,101,349,1198,14,1206,405,26,431,37,43,79,3374,1201,4573
LGA14170,350,689,1041,181,281,461,235,908,1141,181,1372,1549,656,2155,2808,614,1335,1948,1577,1346,2923,1371,1701,3070,2067,2123,4189,2167,1847,4007,1962,1806,3767,2034,1565,3598,4918,2868,7787,4095,648,4744,3421,407,3834,3310,1569,4881,10060,707,10768,3913,1333,5248,345,678,1030,43456,25349,68796
LGA14200,49,38,88,34,16,52,50,132,184,56,203,265,216,447,662,188,173,358,513,176,691,379,181,562,430,113,542,413,77,493,273,39,309,250,37,293,379,38,419,214,9,221,98,4,102,72,21,89,116,0,116,399,22,422,87,161,251,4223,1895,6113
LGA14300,10,22,26,3,11,12,14,38,45,13,66,78,45,130,177,42,53,90,142,47,195,89,54,137,132,35,167,133,20,156,71,19,90,95,16,110,156,23,178,95,0,99,56,0,58,33,13,43,56,3,58,133,3,139,25,35,57,1343,576,1922
LGA14350,51,63,115,48,49,95,77,227,309,80,397,480,301,892,1193,388,361,750,1014,304,1321,695,300,996,785,219,1011,665,106,770,488,57,547,418,42,454,619,59,679,314,3,324,171,3,172,78,31,106,137,5,145,685,52,739,190,260,452,7205,3445,10651
