LGA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA15700,57,224,70,108,18,507,40,30,195,196,356,37,858,0,0,3,9,20,3,35,4,3,9,27,142,7,190,3,3,11,13,65,23,122,128,135,747,633,2146,250,4039
LGA15750,26,164,41,59,12,334,11,25,121,98,166,23,453,4,0,9,0,11,0,21,5,0,13,16,143,9,177,3,0,11,16,72,31,137,103,93,667,469,1651,245,3229
LGA15800,14,74,22,23,3,144,4,12,56,56,71,9,203,0,3,0,3,3,0,15,0,0,3,3,41,3,50,0,0,5,3,25,19,51,23,40,249,199,689,101,1301
LGA15850,19,92,30,39,8,207,3,11,60,50,87,12,217,0,0,0,0,7,0,10,0,0,6,11,66,6,87,0,0,3,4,31,12,53,36,40,315,242,812,85,1523
LGA15900,472,2974,680,713,94,6478,1338,532,4824,1789,2416,323,11222,36,22,196,95,214,19,578,82,19,307,272,1279,67,2030,75,20,306,179,554,216,1344,5088,1818,16676,7880,17778,1597,50843
LGA15950,212,1160,202,120,46,2694,844,219,1784,407,231,113,3588,120,25,306,77,78,9,624,102,19,282,152,214,19,787,248,52,570,161,108,116,1243,7535,1638,16916,4121,3143,944,34300
LGA15990,859,4447,1235,883,229,9556,1597,676,4712,2219,1896,462,11562,166,52,704,315,417,65,1724,205,61,741,636,1990,110,3745,432,96,1363,782,1183,450,4304,11911,3774,36700,17216,23928,3576,97102
LGA16100,16,55,18,20,3,138,5,5,33,41,42,4,134,0,0,3,3,8,0,15,0,0,11,6,30,0,46,0,0,0,5,54,8,72,49,44,218,185,715,76,1287
LGA16150,122,699,194,249,17,1479,253,142,981,532,758,107,2774,4,0,25,15,35,9,89,6,6,47,55,385,16,516,5,0,44,28,159,50,290,804,442,3162,1869,5274,507,12059
LGA16200,35,198,53,102,14,426,29,24,132,109,245,30,565,0,0,0,0,12,5,18,3,3,11,19,149,4,185,0,0,8,13,59,26,110,115,98,688,512,2027,216,3664
LGA16260,509,3078,740,619,126,7229,2079,566,5268,1718,1515,378,11524,118,21,363,157,218,49,928,333,79,680,425,1046,81,2646,677,79,1306,517,698,399,3675,16892,2797,32995,11661,14140,2876,81364
LGA16350,361,2275,839,995,129,5735,577,335,2447,1724,2606,327,8013,28,7,149,135,336,35,682,69,15,204,367,2005,60,2726,81,24,296,360,1368,385,2507,3603,1284,11813,9997,27265,2632,56596
LGA16380,240,1121,374,450,47,2515,321,163,1397,903,1412,160,4349,7,3,34,40,110,6,200,19,6,68,123,719,41,967,15,9,58,66,295,92,537,965,632,4413,3457,9683,917,20071
LGA16400,123,666,273,323,36,1612,145,83,749,629,1069,130,2809,3,4,38,40,100,14,196,15,10,59,120,696,24,916,17,11,60,78,351,110,633,730,384,3142,3143,9709,816,17930
LGA16490,204,720,230,276,31,1766,211,151,771,457,526,74,2191,31,14,95,43,74,3,264,31,16,110,115,494,26,784,49,15,91,74,318,103,644,2242,1025,5118,3558,7036,687,19668
LGA16550,439,2537,530,396,125,6514,1548,381,3566,995,730,232,7444,130,32,517,208,256,48,1183,144,37,426,314,685,58,1664,315,50,708,268,347,218,1901,9988,2058,22361,7198,9246,1751,52600
LGA16610,28,237,100,139,17,563,35,26,206,182,408,38,902,0,0,5,8,34,7,56,4,0,10,26,171,4,222,3,0,9,14,101,36,163,113,92,769,657,2829,272,4729
LGA16650,206,1233,324,273,84,2886,670,181,2054,835,805,193,4739,58,22,165,122,135,26,524,79,21,270,270,692,59,1396,196,24,525,266,426,280,1725,5378,1004,13656,6560,8321,1789,36708
LGA16700,307,1842,432,359,91,4309,1031,322,2562,851,736,190,5690,72,18,218,103,121,19,554,189,31,382,264,634,49,1548,360,32,695,244,327,219,1880,9107,1544,18427,6256,7428,1485,44248
LGA16900,214,780,296,387,37,1926,196,121,805,821,1407,132,3480,8,0,26,34,86,17,167,10,11,67,112,772,29,1006,7,8,52,84,393,130,669,744,482,3231,3422,10309,898,19092
LGA16950,319,990,377,485,60,2527,287,190,1237,911,1640,187,4446,17,7,79,43,156,28,333,21,15,78,125,827,42,1105,30,7,82,85,451,169,826,1151,859,4560,4111,12537,1208,24425
LGA17000,52,218,91,126,13,556,38,19,175,137,275,23,678,3,0,5,3,20,4,39,0,5,10,30,289,8,355,3,3,19,31,126,27,206,234,159,1096,973,4017,298,6774
LGA17040,52,291,85,134,12,633,50,41,206,127,202,32,663,15,16,84,50,189,14,366,4,3,20,29,174,8,239,8,3,17,26,86,47,191,320,195,1391,1011,3120,396,6431
LGA17080,25,169,63,65,12,375,12,14,101,124,166,20,447,0,0,14,8,19,0,42,0,3,7,10,107,7,132,3,3,11,13,92,33,146,96,88,656,559,1897,240,3540
LGA17100,75,448,78,70,13,991,491,72,1234,258,226,78,2358,16,3,66,27,20,6,128,57,6,132,74,124,21,417,112,18,259,91,112,110,698,2956,440,6709,1901,1918,587,14509
