LGA_CODE_2016,A75_84_L_PinE_NS_14,A75_84_L_PinE_NS_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B00,A75_84_T_00_05,A75_84_T_06_10,A75_84_T_11,A75_84_T_12,A75_84_T_13,A75_84_T_14,A75_84_T_15,A75_84_T_16,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B00,A85ov_SEO_00_05,A85ov_SEO_06_10,A85ov_SEO_11,A85ov_SEO_12,A85ov_SEO_13,A85ov_SEO_14,A85ov_SEO_15,A85ov_SEO_16,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_SOLSE_VWW_B00,A85ov_SOLSE_VWW_00_05,A85ov_SOLSE_VWW_06_10,A85ov_SOLSE_VWW_11,A85ov_SOLSE_VWW_12,A85ov_SOLSE_VWW_13,A85ov_SOLSE_VWW_14,A85ov_SOLSE_VWW_15,A85ov_SOLSE_VWW_16,A85ov_SOLSE_VWW_YNS,A85ov_SOLSE_VWW_T,A85ov_SOLSE_NWNAA_B00,A85ov_SOLSE_NWNAA_00_05,A85ov_SOLSE_NWNAA_06_10,A85ov_SOLSE_NWNAA_11,A85ov_SOLSE_NWNAA_12,A85ov_SOLSE_NWNAA_13,A85ov_SOLSE_NWNAA_14,A85ov_SOLSE_NWNAA_15,A85ov_SOLSE_NWNAA_16,A85ov_SOLSE_NWNAA_YNS,A85ov_SOLSE_NWNAA_T,A85ov_SOLSE_PinE_NS_B00,A85ov_SOLSE_PinE_NS_00_05,A85ov_SOLSE_PinE_NS_06_10,A85ov_SOLSE_PinE_NS_11,A85ov_SOLSE_PinE_NS_12,A85ov_SOLSE_PinE_NS_13,A85ov_SOLSE_PinE_NS_14,A85ov_SOLSE_PinE_NS_15,A85ov_SOLSE_PinE_NS_16,A85ov_SOLSE_PinE_NS_YNS,A85ov_SOLSE_PinE_NS_T,A85ov_SOLSE_T_B00,A85ov_SOLSE_T_00_05,A85ov_SOLSE_T_06_10,A85ov_SOLSE_T_11,A85ov_SOLSE_T_12,A85ov_SOLSE_T_13,A85ov_SOLSE_T_14,A85ov_SOLSE_T_15,A85ov_SOLSE_T_16,A85ov_SOLSE_T_YNS,A85ov_SOLSE_T_T,A85ov_L_PinE_NS_B00,A85ov_L_PinE_NS_00_05,A85ov_L_PinE_NS_06_10,A85ov_L_PinE_NS_11,A85ov_L_PinE_NS_12,A85ov_L_PinE_NS_13,A85ov_L_PinE_NS_14,A85ov_L_PinE_NS_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B00,A85ov_T_00_05,A85ov_T_06_10,A85ov_T_11,A85ov_T_12,A85ov_T_13,A85ov_T_14,A85ov_T_15,A85ov_T_16,A85ov_T_YNS,A85ov_T_T,T_SEO_B00,T_SEO_00_05,T_SEO_06_10,T_SEO_11,T_SEO_12,T_SEO_13,T_SEO_14,T_SEO_15,T_SEO_16,T_SEO_YNS,T_SEO_T,T_SOLSE_VWW_B00,T_SOLSE_VWW_00_05,T_SOLSE_VWW_06_10,T_SOLSE_VWW_11,T_SOLSE_VWW_12,T_SOLSE_VWW_13,T_SOLSE_VWW_14,T_SOLSE_VWW_15,T_SOLSE_VWW_16,T_SOLSE_VWW_YNS,T_SOLSE_VWW_T,T_SOLSE_NWNAA_B00,T_SOLSE_NWNAA_00_05,T_SOLSE_NWNAA_06_10,T_SOLSE_NWNAA_11,T_SOLSE_NWNAA_12,T_SOLSE_NWNAA_13,T_SOLSE_NWNAA_14,T_SOLSE_NWNAA_15,T_SOLSE_NWNAA_16,T_SOLSE_NWNAA_YNS,T_SOLSE_NWNAA_T,T_SOLSE_PinE_NS_B00,T_SOLSE_PinE_NS_00_05,T_SOLSE_PinE_NS_06_10,T_SOLSE_PinE_NS_11,T_SOLSE_PinE_NS_12,T_SOLSE_PinE_NS_13,T_SOLSE_PinE_NS_14,T_SOLSE_PinE_NS_15,T_SOLSE_PinE_NS_16,T_SOLSE_PinE_NS_YNS,T_SOLSE_PinE_NS_T,T_SOLSE_T_B00,T_SOLSE_T_00_05,T_SOLSE_T_06_10,T_SOLSE_T_11,T_SOLSE_T_12,T_SOLSE_T_13,T_SOLSE_T_14,T_SOLSE_T_15,T_SOLSE_T_16,T_SOLSE_T_YNS,T_SOLSE_T_T,T_L_PinE_NS_B00,T_L_PinE_NS_00_05,T_L_PinE_NS_06_10,T_L_PinE_NS_11,T_L_PinE_NS_12,T_L_PinE_NS_13,T_L_PinE_NS_14,T_L_PinE_NS_15,T_L_PinE_NS_16,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B00,T_T_00_05,T_T_06_10,T_T_11,T_T_12,T_T_13,T_T_14,T_T_15,T_T_16,T_T_YNS,T_T_T
LGA10050,0,0,0,0,3,439,4,6,4,3,3,0,0,0,14,486,102,0,0,0,0,0,0,0,0,19,128,49,0,0,0,0,0,0,0,0,8,60,8,0,3,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,57,0,3,0,0,0,0,0,0,13,69,3,0,0,0,0,0,0,0,0,0,3,162,0,5,0,0,0,0,0,0,33,205,2111,241,245,52,54,28,41,44,28,102,2936,604,171,641,143,145,101,102,95,48,55,2104,77,6,105,58,42,44,49,43,24,13,465,10,0,7,0,0,0,0,0,0,4,23,691,175,752,200,181,143,161,144,79,71,2591,5,0,0,0,0,3,0,0,0,3,14,2810,412,1000,255,240,174,198,184,109,173,5540
LGA10130,0,0,0,0,0,159,0,4,0,0,0,0,0,0,7,172,47,0,0,0,0,0,0,0,0,3,50,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,6,63,1147,165,171,31,45,38,34,36,21,54,1740,246,141,323,60,90,122,191,256,150,42,1621,25,5,17,4,3,11,36,68,45,36,252,0,0,5,0,0,0,0,0,0,0,13,267,145,342,59,100,131,228,327,193,82,1884,3,0,0,0,0,0,0,0,0,3,3,1418,309,514,97,141,175,259,365,216,133,3631
LGA10250,0,0,0,3,12,432,17,11,0,0,0,0,0,0,15,481,158,0,0,0,0,0,0,0,0,10,168,41,0,0,0,0,0,0,0,0,3,42,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,3,52,8,0,0,0,0,0,0,0,0,0,8,215,0,0,0,0,0,0,0,0,11,233,2553,291,331,48,57,52,48,40,23,132,3565,392,116,210,26,48,43,26,29,16,41,941,30,0,10,0,0,3,0,4,0,7,58,6,0,3,0,0,6,0,0,0,3,20,422,119,218,30,53,53,28,30,20,47,1014,23,0,0,0,0,0,0,0,0,4,32,2993,406,549,79,105,101,75,71,44,182,4609
LGA10300,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,33,8,8,0,3,0,6,0,0,3,63,27,9,9,0,5,0,7,4,0,5,63,8,0,3,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,29,9,12,0,5,4,13,4,0,5,77,0,0,0,0,0,0,0,0,0,0,0,71,13,13,3,5,4,18,4,0,8,144
LGA10470,0,0,0,0,0,255,0,0,0,0,0,0,0,0,11,271,71,0,0,0,0,0,0,0,0,8,84,15,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,9,101,1608,171,173,30,35,50,30,19,24,76,2225,351,133,233,53,50,40,45,59,32,21,1026,28,8,16,4,8,8,14,12,16,9,129,3,0,0,0,0,0,0,0,0,0,9,383,143,250,58,56,51,63,74,46,34,1161,3,0,0,0,0,0,0,0,0,170,174,1999,316,423,97,98,103,95,99,72,282,3565
LGA10550,0,0,0,0,3,520,6,3,0,0,3,0,0,0,12,542,140,0,0,0,0,0,0,0,0,18,159,24,0,0,0,0,0,0,0,0,7,33,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,9,33,3,0,0,0,0,0,0,0,0,0,3,167,0,0,0,0,0,0,0,0,23,193,2653,140,124,20,14,27,6,13,6,131,3140,388,53,85,22,24,25,11,11,16,20,656,14,8,5,3,0,0,0,3,0,5,46,3,0,0,0,0,0,0,0,0,3,10,403,64,86,19,23,25,15,19,21,27,710,4,0,0,0,0,0,0,0,0,8,11,3064,203,213,38,42,54,20,35,24,168,3860
LGA10600,0,0,0,0,0,149,3,0,0,0,0,0,0,0,9,167,40,0,0,0,0,0,0,0,0,4,51,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,7,53,973,96,66,20,18,4,14,11,3,53,1250,129,28,39,3,6,10,8,3,3,16,236,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,3,133,28,39,3,6,10,3,4,3,16,240,4,0,0,0,0,0,0,0,0,0,4,1103,119,104,23,24,12,20,12,3,69,1495
LGA10650,0,0,0,0,0,71,0,0,0,0,0,0,0,0,4,83,17,0,0,0,0,0,0,0,0,3,21,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,5,27,364,18,17,3,13,3,4,3,5,17,464,48,21,36,0,13,0,7,10,9,13,163,0,0,0,0,0,0,3,9,0,4,14,3,0,0,0,0,0,0,0,0,0,5,55,26,35,5,13,0,12,20,10,13,182,0,0,0,0,0,0,0,0,0,5,6,418,44,57,12,31,3,16,22,15,40,651
LGA10750,0,0,0,13,30,4455,260,203,20,32,27,26,13,25,198,5266,417,4,3,0,0,3,0,0,0,40,473,652,14,15,0,0,3,0,0,0,39,714,601,25,24,0,5,4,0,4,3,61,726,21,0,0,0,0,0,0,0,0,3,23,1269,32,37,0,9,5,3,4,3,102,1464,5,0,0,0,0,0,0,0,0,20,22,1690,41,41,0,5,4,3,4,3,167,1958,18558,3772,3342,562,645,630,531,512,327,965,29850,37891,16588,20194,2703,2964,2978,2946,2642,1576,1697,92180,5545,1389,1836,405,541,567,602,651,613,742,12887,372,138,144,25,25,30,33,30,19,53,866,43803,18111,22172,3134,3525,3577,3580,3318,2209,2490,105933,74,8,27,8,4,6,6,10,5,364,513,62439,21895,25536,3698,4177,4216,4120,3846,2546,3820,136294
LGA10800,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,124,20,17,4,5,4,3,5,0,7,195,21,0,21,0,13,5,13,0,0,0,82,4,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,22,0,26,0,14,10,13,4,0,0,96,0,0,0,0,0,0,0,0,0,0,0,147,19,42,5,19,14,16,10,4,4,287
