LGA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA16610,10,17,42,55,119,253,385,381,230,1499,3,0,7,0,10,8,14,18,3,60,127,96,155,261,292,336,353,275,112,2002,738,1116,1979,2467,2939,3302,2807,1676,634,17662
LGA16650,11,30,137,140,324,796,1433,1404,640,4904,8,19,107,68,140,231,355,396,167,1490,262,550,1583,1058,871,837,828,945,880,7809,2610,8051,21857,15723,13093,10870,8366,5529,2811,88912
LGA16700,11,46,69,84,175,467,746,847,548,2987,3,22,96,91,121,154,161,234,137,1020,242,481,1061,784,666,643,585,555,503,5521,2862,9563,21160,17148,14436,12194,8293,5295,2972,93911
LGA16900,16,20,71,94,220,645,894,680,342,2984,7,5,12,22,22,35,84,101,42,331,189,202,426,471,574,583,704,615,429,4192,2170,4267,8006,8610,9233,8508,6519,3578,1374,52261
LGA16950,39,33,131,164,331,853,1281,1042,551,4420,6,0,15,8,24,42,46,56,21,217,367,486,954,919,1103,1311,1620,1395,877,9040,2444,4613,9303,10086,12300,15339,14975,8201,3159,80420
LGA17000,8,10,27,38,77,166,200,165,116,811,3,0,5,4,12,3,8,3,3,37,93,94,217,242,248,253,243,141,58,1589,811,1470,2898,3058,3332,2747,1738,839,343,17239
LGA17040,9,12,15,29,48,139,222,155,107,734,0,3,3,0,6,11,26,17,3,64,89,123,288,269,337,261,265,218,122,1978,537,1072,2231,2459,3036,2891,2274,1142,458,16104
LGA17080,0,14,14,25,79,138,196,183,108,752,0,0,7,3,3,6,18,8,3,45,60,69,193,211,230,291,226,177,133,1587,351,660,1438,1625,1935,2155,1777,986,430,11357
LGA17100,8,12,47,52,98,196,247,279,165,1104,4,27,80,33,45,90,78,85,46,482,127,348,804,394,298,288,189,152,75,2676,1108,3830,9285,5262,4661,3896,2347,1514,751,32659
LGA17150,22,21,90,153,220,638,1037,1064,987,4236,9,8,44,55,76,112,136,112,61,609,410,511,1244,1307,1278,1314,1267,1232,1154,9717,5416,12686,26235,30147,30289,27257,19968,11052,5949,168996
