LGA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA12380,45,278,1054,1239,1576,2201,2384,1755,854,11382,31,335,1025,909,1089,1070,896,780,366,6485,632,1112,2803,1905,1604,1533,1261,1021,644,12518,5946,16990,41990,30356,24637,20502,13371,7409,3268,164472
LGA12700,3,3,3,16,28,74,101,121,49,394,0,0,0,0,0,4,4,0,0,13,43,34,66,72,99,124,105,95,48,680,247,373,813,1000,1320,1447,1058,559,179,7001
LGA12730,3,0,12,18,33,104,118,110,59,459,0,0,3,3,3,8,8,4,3,41,37,56,76,92,126,176,172,149,92,966,228,475,866,977,1112,1362,1010,671,295,6990
LGA12750,5,11,35,81,128,334,525,413,213,1742,0,0,6,3,5,12,14,20,6,77,122,120,224,299,386,596,706,609,385,3455,766,1270,2613,3400,4666,6775,6604,3370,1388,30854
LGA12850,92,218,887,1676,2781,3496,3305,2628,1194,16271,37,155,672,1056,2122,2569,1681,1460,742,10494,596,791,1554,1373,1640,1661,1345,1051,630,10644,6496,15208,26976,24610,26994,24851,15204,8571,3580,152489
LGA12870,3,5,12,23,27,105,233,204,91,711,0,0,0,0,0,7,5,8,5,26,55,44,72,118,151,188,245,210,128,1219,318,517,985,1198,1542,1883,1875,1093,410,9823
LGA12900,0,6,7,18,55,95,151,120,61,512,0,0,0,0,0,9,7,5,0,24,58,46,86,78,140,136,178,130,49,891,273,479,995,984,1236,1221,1127,711,254,7279
LGA12930,21,27,109,161,366,919,1390,1423,809,5233,10,31,201,118,209,400,318,366,158,1806,317,521,1316,855,903,880,843,731,631,7002,3877,11158,24386,19220,19232,16637,11543,7171,3759,116973
LGA12950,8,5,11,19,20,51,87,78,38,323,0,0,0,0,0,3,3,3,0,9,23,14,33,38,52,56,77,62,24,387,109,216,410,428,552,607,511,354,134,3318
LGA13010,5,0,18,23,43,110,180,142,89,610,0,0,3,0,0,7,5,4,0,27,41,42,144,156,134,137,188,133,86,1059,230,387,812,929,1072,1368,1297,706,279,7075
LGA13310,13,18,39,62,116,233,388,294,134,1292,0,3,17,9,19,25,19,24,4,129,127,194,450,417,402,351,447,351,258,3000,831,1663,3554,3515,4040,3954,3244,1760,738,23302
LGA13340,0,0,15,16,29,104,134,97,65,463,0,0,0,4,3,0,8,5,0,17,30,36,68,75,79,139,124,112,76,740,255,399,887,1084,1429,1573,1241,558,262,7691
LGA13450,7,26,59,73,121,257,387,392,229,1540,0,9,37,29,42,38,46,62,35,288,127,149,349,308,339,390,331,282,191,2467,781,1528,3511,3096,3322,3033,2050,1416,669,19412
LGA13510,4,4,12,21,33,112,182,178,113,672,0,0,7,3,5,8,3,7,0,29,36,42,83,99,105,143,184,156,72,914,292,482,972,1173,1374,1636,1514,969,391,8802
LGA13550,3,5,18,24,51,139,140,158,100,651,0,0,3,3,9,8,9,3,4,42,56,71,113,133,167,134,155,159,64,1055,356,661,1522,1376,1534,1573,1192,801,318,9330
LGA13660,0,3,7,16,29,60,117,106,39,388,0,0,0,0,0,4,6,0,0,9,28,19,47,60,83,120,104,96,44,600,120,229,440,523,730,739,773,441,155,4149
LGA13800,22,26,66,83,215,441,541,423,248,2061,0,9,13,12,20,31,40,33,29,181,252,270,490,462,671,529,550,364,198,3783,2324,4379,8026,8109,9549,7827,5562,2640,1010,49434
LGA13850,0,0,4,6,14,33,65,52,18,201,0,0,0,0,0,4,4,3,0,8,15,20,44,29,62,48,68,52,19,354,76,150,297,277,457,424,358,233,60,2330
LGA13910,6,7,36,53,78,183,259,247,151,1028,0,5,8,10,6,21,19,11,7,83,92,64,123,131,234,249,304,221,121,1537,506,896,1684,2013,2442,2527,2392,1251,520,14226
LGA14000,10,13,42,75,163,327,445,490,387,1945,0,14,57,83,86,100,104,135,80,655,223,284,591,747,762,651,657,859,1085,5851,3506,8358,14686,20680,21069,17177,12140,7067,3837,108527
LGA14100,0,0,0,3,14,21,51,77,65,226,0,0,3,3,4,9,7,26,3,52,36,43,80,91,102,106,110,115,236,928,291,682,1133,1700,1997,1637,1418,857,746,10461
LGA14170,26,39,108,180,390,788,1630,1932,926,6025,8,27,109,90,179,267,392,637,295,2006,423,1031,3310,2506,1933,1613,1261,934,620,13622,2936,12708,36850,31732,25208,18490,12172,6831,3159,150083
LGA14200,5,14,22,44,83,161,255,264,101,957,0,0,6,3,0,10,16,5,3,42,87,68,167,161,195,240,266,200,96,1479,497,898,1709,1748,2065,2196,1916,1166,408,12601
LGA14300,3,0,10,9,23,61,61,43,36,253,0,0,0,3,0,4,0,3,3,14,39,130,325,332,199,169,101,62,17,1372,187,400,870,848,839,862,624,279,115,5027
LGA14350,19,18,58,55,148,368,537,348,227,1773,6,0,3,3,12,8,15,18,13,79,145,190,473,398,455,546,505,407,259,3381,762,1337,2677,2891,3716,4723,4047,1995,870,23012
LGA14400,3,3,7,8,30,78,134,149,120,542,0,0,3,3,0,0,8,7,5,36,71,52,119,145,192,214,251,201,160,1397,539,1051,1853,2345,2828,3464,2845,1494,701,17124
LGA14500,16,3,8,30,53,125,161,253,203,851,0,10,20,38,52,55,45,70,45,333,331,231,405,500,654,492,567,601,849,4632,3070,6620,9654,15076,18503,13529,10502,6895,4031,87875
LGA14550,3,3,5,22,39,95,149,133,83,532,0,0,0,0,4,7,3,4,0,24,54,29,44,85,185,181,148,101,50,882,213,326,628,856,1357,1746,1217,599,239,7183
LGA14600,0,3,6,11,25,83,78,110,51,368,0,0,0,0,3,11,9,5,0,32,41,38,92,87,99,103,111,88,30,683,170,346,738,654,708,809,651,447,172,4685
LGA14650,74,83,213,263,575,1335,1743,1662,1148,7093,10,20,29,42,64,80,89,79,41,444,402,463,958,1022,1310,1487,1827,1838,1454,10749,5342,10872,21726,23614,26074,26099,22265,12624,5672,154293
LGA14700,5,3,10,17,20,34,61,79,78,299,0,3,5,17,5,24,19,24,12,102,48,105,400,301,202,192,158,128,124,1666,583,2005,6268,5873,4670,3675,2702,1449,779,28003
LGA14750,3,12,24,28,56,126,132,160,71,599,0,0,0,3,10,3,10,14,5,41,66,57,115,122,155,164,177,132,82,1070,327,584,1191,1219,1475,1409,1068,703,239,8223
LGA14850,15,23,55,82,140,287,364,403,324,1685,3,3,4,9,16,16,22,19,16,107,218,254,418,403,505,636,455,355,252,3494,1200,2443,4396,5124,6122,6692,4428,2269,1148,33829
LGA14870,10,10,28,39,95,226,317,222,127,1065,0,0,3,7,3,8,12,11,3,49,106,150,390,352,377,377,426,257,107,2540,575,1102,2253,2340,2859,3091,2750,1382,515,16868
LGA14900,58,120,494,838,1256,2077,2325,1616,706,9490,25,68,325,431,724,930,746,625,246,4124,909,1101,2398,2263,2025,1818,1395,921,415,13244,6821,14429,29671,29620,27059,20635,12576,6418,2284,149519
