LGA_CODE_2016,M_PoDe_PoDe_NFD_Mng,M_PoDe_PoDe_NFD_Pro,M_PoDe_PoDe_NFD_TTW,M_PoDe_PoDe_NFD_CPS,M_PoDe_PoDe_NFD_CA,M_PoDe_PoDe_NFD_Sal,M_PoDe_PoDe_NFD_MOD,M_PoDe_PoDe_NFD_Lab,M_PoDe_PoDe_NFD_IDNS,M_PoDe_PoDe_NFD_Tot,M_PoDe_DoctDe_Mng,M_PoDe_DoctDe_Pro,M_PoDe_DoctDe_TTW,M_PoDe_DoctDe_CPS,M_PoDe_DoctDe_CA,M_PoDe_DoctDe_Sal,M_PoDe_DoctDe_MOD,M_PoDe_DoctDe_Lab,M_PoDe_DoctDe_IDNS,M_PoDe_DoctDe_Tot,M_PoDe_MasDe_Mng,M_PoDe_MasDe_Pro,M_PoDe_MasDe_TTW,M_PoDe_MasDe_CPS,M_PoDe_MasDe_CA,M_PoDe_MasDe_Sal,M_PoDe_MasDe_MOD,M_PoDe_MasDe_Lab,M_PoDe_MasDe_IDNS,M_PoDe_MasDe_Tot,M_GrDiGrCer_GrDiGrCerNFD_Mng,M_GrDiGrCer_GrDiGrCerNFD_Pro,M_GrDiGrCer_GrDiGrCerNFD_TTW,M_GrDiGrCer_GrDiGrCerNFD_CPS,M_GrDiGrCer_GrDiGrCerNFD_CA,M_GrDiGrCer_GrDiGrCerNFD_Sal,M_GrDiGrCer_GrDiGrCerNFD_MOD,M_GrDiGrCer_GrDiGrCerNFD_Lab,M_GrDiGrCer_GrDiGrCerNFD_IDNS,M_GrDiGrCer_GrDiGrCerNFD_Tot,M_GrDi_GrCer_GrDi_Mng,M_GrDi_GrCer_GrDi_Pro,M_GrDi_GrCer_GrDi_TTW,M_GrDi_GrCer_GrDi_CPS,M_GrDi_GrCer_GrDi_CA,M_GrDi_GrCer_GrDi_Sal,M_GrDi_GrCer_GrDi_MOD,M_GrDi_GrCer_GrDi_Lab,M_GrDi_GrCer_GrDi_IDNS,M_GrDi_GrCer_GrDi_Tot,M_GrDi_GrCer_GradCer_Mng,M_GrDi_GrCer_GradCer_Pro,M_GrDi_GrCer_GradCer_TTW,M_GrDi_GrCer_GradCer_CPS,M_GrDi_GrCer_GradCer_CA,M_GrDi_GrCer_GradCer_Sal,M_GrDi_GrCer_GradCer_MOD,M_GrDi_GrCer_GradCer_Lab,M_GrDi_GrCer_GradCer_IDNS,M_GrDi_GrCer_GradCer_Tot,M_BaDe_BaDe_Mng,M_BaDe_BaDe_Pro,M_BaDe_BaDe_TTW,M_BaDe_BaDe_CPS,M_BaDe_BaDe_CA,M_BaDe_BaDe_Sal,M_BaDe_BaDe_MOD,M_BaDe_BaDe_Lab,M_BaDe_BaDe_IDNS,M_BaDe_BaDe_Tot,M_AdvDi_Di_AdvDi_Di_NFD_Mng,M_AdvDi_Di_AdvDi_Di_NFD_Pro,M_AdvDi_Di_AdvDi_Di_NFD_TTW,M_AdvDi_Di_AdvDi_Di_NFD_CPS,M_AdvDi_Di_AdvDi_Di_NFD_CA,M_AdvDi_Di_AdvDi_Di_NFD_Sal,M_AdvDi_Di_AdvDi_Di_NFD_MOD,M_AdvDi_Di_AdvDi_Di_NFD_Lab,M_AdvDi_Di_AdvDi_Di_NFD_IDNS,M_AdvDi_Di_AdvDi_Di_NFD_Tot,M_AdvDi_Di_AdvDi_AsDe_Mng,M_AdvDi_Di_AdvDi_AsDe_Pro,M_AdvDi_Di_AdvDi_AsDe_TTW,M_AdvDi_Di_AdvDi_AsDe_CPS,M_AdvDi_Di_AdvDi_AsDe_CA,M_AdvDi_Di_AdvDi_AsDe_Sal,M_AdvDi_Di_AdvDi_AsDe_MOD,M_AdvDi_Di_AdvDi_AsDe_Lab,M_AdvDi_Di_AdvDi_AsDe_IDNS,M_AdvDi_Di_AdvDi_AsDe_Tot,M_AdvDi_Di_Dip_Mng,M_AdvDi_Di_Dip_Pro,M_AdvDi_Di_Dip_TTW,M_AdvDi_Di_Dip_CPS,M_AdvDi_Di_Dip_CA,M_AdvDi_Di_Dip_Sal,M_AdvDi_Di_Dip_MOD,M_AdvDi_Di_Dip_Lab,M_AdvDi_Di_Dip_IDNS,M_AdvDi_Di_Dip_Tot,M_Cert_CertIII_IV_Mng,M_Cert_CertIII_IV_Pro,M_Cert_CertIII_IV_TTW,M_Cert_CertIII_IV_CPS,M_Cert_CertIII_IV_CA,M_Cert_CertIII_IV_Sal,M_Cert_CertIII_IV_MOD,M_Cert_CertIII_IV_Lab,M_Cert_CertIII_IV_IDNS,M_Cert_CertIII_IV_Tot,M_Cert_CertI_II_Mng,M_Cert_CertI_II_Pro,M_Cert_CertI_II_TTW,M_Cert_CertI_II_CPS,M_Cert_CertI_II_CA,M_Cert_CertI_II_Sal,M_Cert_CertI_II_MOD,M_Cert_CertI_II_Lab,M_Cert_CertI_II_IDNS,M_Cert_CertI_II_Tot,M_Cert_Cert_nfd_Mng,M_Cert_Cert_nfd_Pro,M_Cert_Cert_nfd_TTW,M_Cert_Cert_nfd_CPS,M_Cert_Cert_nfd_CA,M_Cert_Cert_nfd_Sal,M_Cert_Cert_nfd_MOD,M_Cert_Cert_nfd_Lab,M_Cert_Cert_nfd_IDNS,M_Cert_Cert_nfd_Tot,M_LE_ID_Mng,M_LE_ID_Pro,M_LE_ID_TTW,M_LE_ID_CPS,M_LE_ID_CA,M_LE_ID_Sal,M_LE_ID_MOD,M_LE_ID_Lab,M_LE_ID_IDNS,M_LE_ID_Tot,M_LE_NS_Mng,M_LE_NS_Pro,M_LE_NS_TTW,M_LE_NS_CPS,M_LE_NS_CA,M_LE_NS_Sal,M_LE_NS_MOD,M_LE_NS_Lab,M_LE_NS_IDNS,M_LE_NS_Tot,M_Tot_Mng,M_Tot_Pro,M_Tot_TTW,M_Tot_CPS,M_Tot_CA,M_Tot_Sal,M_Tot_MOD,M_Tot_Lab,M_Tot_IDNS,M_Tot_Tot,F_PoDe_PoDe_NFD_Mng,F_PoDe_PoDe_NFD_Pro,F_PoDe_PoDe_NFD_TTW,F_PoDe_PoDe_NFD_CPS,F_PoDe_PoDe_NFD_CA,F_PoDe_PoDe_NFD_Sal,F_PoDe_PoDe_NFD_MOD,F_PoDe_PoDe_NFD_Lab,F_PoDe_PoDe_NFD_IDNS,F_PoDe_PoDe_NFD_Tot,F_PoDe_DoctDe_Mng,F_PoDe_DoctDe_Pro,F_PoDe_DoctDe_TTW,F_PoDe_DoctDe_CPS,F_PoDe_DoctDe_CA,F_PoDe_DoctDe_Sal,F_PoDe_DoctDe_MOD,F_PoDe_DoctDe_Lab,F_PoDe_DoctDe_IDNS,F_PoDe_DoctDe_Tot,F_PoDe_MasDe_Mng,F_PoDe_MasDe_Pro,F_PoDe_MasDe_TTW,F_PoDe_MasDe_CPS,F_PoDe_MasDe_CA,F_PoDe_MasDe_Sal,F_PoDe_MasDe_MOD,F_PoDe_MasDe_Lab,F_PoDe_MasDe_IDNS,F_PoDe_MasDe_Tot,F_GrDiGrCer_GrDiGrCerNFD_Mng,F_GrDiGrCer_GrDiGrCerNFD_Pro,F_GrDiGrCer_GrDiGrCerNFD_TTW,F_GrDiGrCer_GrDiGrCerNFD_CPS,F_GrDiGrCer_GrDiGrCerNFD_CA,F_GrDiGrCer_GrDiGrCerNFD_Sal,F_GrDiGrCer_GrDiGrCerNFD_MOD,F_GrDiGrCer_GrDiGrCerNFD_Lab,F_GrDiGrCer_GrDiGrCerNFD_IDNS,F_GrDiGrCer_GrDiGrCerNFD_Tot
LGA12850,3,4,0,0,3,0,0,0,0,15,18,59,3,3,4,0,0,0,0,85,140,474,53,29,61,33,36,36,12,870,9,15,0,0,0,0,0,0,0,22,18,76,6,8,8,7,9,3,3,140,3,21,3,0,3,0,0,0,0,39,610,2279,542,286,629,255,321,289,94,5314,8,3,6,7,0,3,8,4,0,34,202,206,344,111,124,94,160,120,21,1373,246,266,520,221,214,150,231,175,55,2078,661,257,3991,285,409,310,1044,855,183,7999,28,21,55,27,40,36,73,69,6,362,73,35,121,59,66,70,173,117,22,747,45,60,74,28,34,33,73,66,5,421,50,53,184,54,42,49,191,164,117,905,2108,3829,5904,1115,1646,1040,2328,1907,521,20392,5,19,0,0,3,0,0,0,0,24,0,31,0,0,0,0,0,0,0,39,96,666,19,51,133,32,3,14,14,1037,6,5,0,0,3,0,0,0,0,18
LGA12870,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,11,10,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,3,40,77,9,5,5,3,5,11,0,164,0,0,0,0,0,0,0,0,0,0,21,10,12,9,6,3,4,3,0,71,31,14,5,7,4,6,5,17,0,90,194,23,418,19,23,38,122,145,17,997,10,0,4,0,0,3,0,10,0,30,15,3,3,8,3,9,3,11,0,49,3,0,0,0,0,0,3,0,0,12,16,4,15,7,3,4,20,19,3,97,355,147,479,65,44,64,171,216,25,1561,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,11,23,0,3,3,0,0,0,0,40,0,4,0,0,0,0,0,0,0,4
LGA12900,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,12,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,3,52,87,4,11,5,0,0,10,0,166,0,0,0,0,0,0,0,0,0,0,31,9,9,6,0,7,0,6,0,67,29,5,11,11,3,6,4,3,3,73,140,15,293,14,21,28,85,88,12,703,10,0,4,0,0,5,0,10,0,30,13,3,3,3,0,5,9,10,0,45,6,3,3,0,4,0,3,0,0,11,23,3,18,5,0,12,13,9,3,78,318,144,348,49,33,67,113,132,19,1214,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,9,28,0,0,5,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0
LGA12930,0,18,0,0,0,0,0,0,0,30,45,363,9,3,6,4,4,0,3,444,704,1692,214,136,355,247,107,171,67,3688,16,62,4,8,16,11,0,12,0,119,62,209,23,18,36,12,7,10,3,378,26,44,5,11,5,0,3,0,4,101,1606,3940,776,477,860,541,383,512,140,9237,3,6,8,3,4,4,3,3,0,34,371,342,341,145,149,172,128,139,21,1802,430,298,451,209,222,191,129,171,34,2129,745,276,2879,288,355,291,514,498,116,5955,36,17,16,27,27,17,38,22,3,216,101,75,90,56,73,75,78,77,4,634,76,104,67,18,38,23,31,35,13,409,68,75,93,22,43,46,61,105,100,616,4286,7516,4970,1435,2177,1631,1498,1749,514,25787,10,31,0,0,7,0,0,0,0,46,17,205,5,4,12,3,0,0,0,246,381,1816,49,198,602,234,5,58,39,3379,12,63,0,10,21,7,0,0,0,118
LGA12950,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,4,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0,5,0,0,0,5,0,54,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,3,21,12,3,3,4,0,0,0,3,0,23,82,4,109,17,12,10,24,30,0,298,5,0,0,0,3,0,3,7,0,13,4,0,3,0,0,3,0,9,0,18,0,0,0,0,0,0,0,0,0,0,17,0,5,0,0,4,12,11,0,46,152,42,125,29,11,25,44,60,4,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
LGA13010,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,3,16,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,43,50,8,8,0,3,0,5,3,118,0,0,0,0,0,0,0,0,0,0,15,6,3,6,4,3,3,0,0,45,21,11,4,15,3,4,4,11,0,76,127,9,190,32,14,18,50,80,11,530,3,0,7,6,0,3,3,8,0,26,15,0,5,5,0,5,3,12,0,52,3,3,0,0,0,3,0,0,0,11,17,4,7,3,0,3,6,5,7,49,258,105,229,68,34,40,73,121,17,951,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,7,19,0,0,3,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
LGA13310,3,0,0,0,0,0,0,0,0,5,6,17,0,0,0,0,0,0,0,25,39,66,6,13,5,3,3,0,3,142,0,5,0,0,0,0,0,0,0,5,12,27,0,4,3,0,0,3,0,52,9,8,0,9,4,0,0,0,0,30,109,253,32,60,33,24,14,30,4,561,3,0,0,0,0,0,0,0,0,5,51,50,24,43,10,11,8,13,9,223,80,47,49,101,30,11,17,18,5,347,309,54,1002,218,75,93,339,229,40,2363,9,3,15,9,10,11,6,17,0,73,11,7,15,24,5,17,18,19,3,117,7,3,3,8,0,0,7,4,0,28,19,8,20,11,8,16,35,29,15,159,667,554,1171,501,187,189,451,358,76,4151,3,4,0,0,0,0,0,0,0,7,0,21,0,0,0,0,0,0,3,25,22,120,0,17,13,5,0,6,0,175,3,4,0,0,3,0,0,0,0,9
LGA13340,0,3,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,9,13,13,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,15,0,4,0,0,0,0,0,0,0,4,73,86,5,6,12,0,0,8,4,198,0,0,0,0,0,0,0,0,0,3,38,10,6,8,0,0,5,4,0,80,43,23,13,12,4,3,13,10,3,128,217,26,351,20,23,26,95,87,12,860,10,0,10,0,3,0,6,4,0,28,19,3,4,3,0,3,4,4,3,38,4,3,3,0,0,0,0,4,0,13,31,3,11,3,0,4,13,17,4,91,450,189,399,57,46,49,142,142,23,1489,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,18,10,27,0,3,3,0,0,0,0,43,0,3,0,0,0,0,0,0,0,3
LGA13450,0,3,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,12,34,41,3,3,3,3,5,13,0,104,0,0,0,0,0,0,0,0,0,3,10,19,3,8,0,0,0,0,0,40,5,4,0,0,3,0,0,0,0,8,136,268,32,22,19,10,21,52,10,563,0,0,0,0,0,0,3,0,0,3,33,40,27,19,9,6,6,13,0,159,52,29,37,31,14,14,8,25,3,213,365,51,916,47,67,97,201,266,32,2052,15,3,3,0,0,13,7,8,0,48,14,9,10,10,4,14,11,29,0,99,3,5,7,0,0,0,6,19,0,47,30,14,20,10,4,8,25,56,20,189,696,497,1060,143,120,168,299,491,73,3547,0,4,0,0,0,0,0,0,0,4,4,7,0,0,0,0,0,0,0,14,12,54,5,4,3,3,0,11,4,97,0,3,0,0,0,0,0,0,0,4
LGA13510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,4,56,77,5,9,4,7,0,4,0,165,0,0,0,0,0,0,0,0,0,0,32,15,4,9,3,0,3,3,0,76,24,13,13,18,3,4,3,10,0,95,135,21,306,22,21,21,98,141,9,777,10,0,0,3,3,0,3,5,0,33,11,4,4,0,3,5,9,3,0,36,0,3,0,0,0,3,0,3,0,11,22,4,11,3,0,10,16,24,11,97,305,155,349,67,35,50,133,192,23,1321,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,3,27,0,3,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0
LGA13550,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,16,27,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,0,0,12,0,3,0,0,0,0,0,0,0,4,80,111,12,7,8,9,7,5,6,242,0,0,0,0,0,0,0,0,0,4,30,7,10,8,0,0,4,10,0,67,40,16,17,4,0,0,4,3,7,97,173,21,418,15,22,35,236,75,18,1013,7,4,4,0,3,0,12,14,0,42,11,5,3,3,3,12,9,12,0,63,0,3,3,0,0,0,4,0,0,14,18,4,18,3,0,9,30,26,0,107,385,209,486,44,33,68,311,144,26,1710,0,3,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,28,0,5,0,0,0,3,0,50,0,0,0,0,0,0,0,0,0,0
LGA13660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,42,29,0,0,4,0,0,3,0,85,0,0,0,0,0,0,0,0,0,0,21,4,3,0,0,3,0,4,0,41,30,0,0,5,0,0,0,3,0,40,99,4,94,3,4,4,39,48,4,304,0,0,0,0,0,0,3,8,0,12,11,0,0,0,0,0,0,4,0,22,3,0,0,0,0,0,0,0,0,3,18,0,3,3,3,0,3,10,3,46,236,49,108,19,15,14,47,74,9,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,3
LGA13800,6,3,0,0,0,0,0,0,0,4,5,53,0,0,0,0,0,0,0,57,108,196,19,10,9,3,3,9,3,358,0,8,0,0,0,0,0,0,0,6,22,57,6,4,4,0,0,0,4,97,11,20,0,3,0,0,0,0,0,39,292,593,93,91,89,49,32,42,15,1304,0,4,3,0,0,0,0,0,0,13,176,146,115,81,40,31,21,21,5,637,206,127,175,110,73,52,39,58,9,840,904,231,3499,251,221,269,766,558,131,6836,24,7,19,13,7,20,29,26,0,144,63,27,72,30,19,28,52,52,4,337,10,14,22,10,7,5,9,13,0,96,37,25,66,13,10,12,59,47,37,311,1872,1505,4094,603,483,469,1012,830,215,11086,3,8,0,0,4,0,0,0,0,16,8,61,0,0,0,0,0,3,0,78,77,361,3,12,33,6,0,3,4,504,3,15,0,3,0,0,0,0,0,18
LGA13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,21,0,0,3,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,21,11,3,3,4,0,0,0,3,0,28,35,3,83,3,5,11,31,30,8,203,3,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,3,0,4,31,97,35,92,21,11,19,44,36,10,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA13910,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,10,19,17,3,0,3,3,0,0,0,39,0,0,0,0,0,0,0,0,0,3,3,18,3,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,4,118,123,17,20,14,9,0,14,3,316,0,0,0,0,0,0,0,0,0,3,57,14,18,13,3,12,5,9,0,124,42,11,19,22,0,6,9,15,0,124,276,28,548,27,42,67,147,208,21,1364,11,0,6,5,0,4,9,16,0,50,21,6,9,9,0,4,12,16,0,76,5,0,3,0,0,3,0,9,0,21,33,4,24,5,4,8,23,38,4,143,589,226,649,100,73,112,204,330,34,2306,0,3,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,4,0,5,15,42,0,0,3,3,0,0,0,68,0,0,0,0,0,0,0,0,0,0
LGA14000,18,40,3,0,10,0,0,0,0,71,125,584,17,5,16,3,4,8,5,767,1219,2530,198,82,339,129,55,63,47,4658,54,88,6,0,18,9,4,5,5,191,170,388,25,26,41,14,10,10,4,699,52,70,9,11,10,4,4,0,3,166,2348,5320,625,370,811,442,189,293,117,10524,0,3,5,3,0,0,0,0,0,16,465,515,294,126,148,110,69,79,28,1834,445,476,315,193,170,172,67,100,28,1960,988,410,2721,268,293,298,335,445,96,5845,33,31,43,19,24,29,17,31,0,223,145,96,82,62,52,55,45,61,9,597,95,138,43,14,30,17,15,10,3,359,75,93,57,17,29,28,25,39,71,435,6237,10776,4445,1185,1995,1316,837,1152,412,28346,7,65,0,0,3,0,0,0,0,79,55,379,13,7,19,6,0,0,5,477,545,2333,80,156,549,121,3,26,31,3842,22,85,3,4,28,3,0,0,0,140
LGA14100,4,6,0,0,0,0,0,0,0,11,15,83,3,3,0,0,0,0,0,107,136,186,7,9,23,15,0,3,9,391,0,8,0,0,0,0,0,0,0,13,16,34,3,3,3,3,0,0,0,67,3,3,0,0,0,0,0,0,0,13,343,549,29,28,71,54,9,7,14,1098,0,0,0,0,0,0,0,0,0,0,48,42,14,3,11,17,0,9,0,145,45,48,10,8,10,16,3,7,0,150,82,34,132,17,13,19,16,19,7,343,4,4,3,0,3,0,0,0,0,14,21,4,4,6,6,12,0,0,0,56,7,17,3,0,3,3,0,0,0,44,12,13,3,0,4,3,0,7,3,48,749,1026,210,77,156,143,36,46,42,2494,0,5,0,0,0,0,0,0,0,11,10,60,0,0,3,0,0,0,0,70,81,204,0,9,35,5,0,0,0,343,0,5,0,0,3,0,0,0,0,13
LGA14170,18,70,0,0,6,0,0,0,0,99,154,1047,8,12,25,3,6,3,4,1267,1364,3117,196,137,426,191,45,92,80,5651,38,114,3,0,15,8,3,0,0,190,231,685,34,29,80,20,15,14,3,1112,65,133,13,12,28,9,0,3,0,265,3181,8186,911,769,1247,762,313,494,219,16088,3,8,7,0,0,6,0,3,0,29,465,671,319,167,157,138,94,103,36,2153,562,690,464,272,288,215,91,168,49,2798,798,507,2816,405,386,342,405,463,116,6241,45,52,36,30,23,34,27,30,3,282,126,150,95,79,60,73,63,68,11,723,72,139,62,31,41,28,19,46,10,449,85,125,108,42,36,37,61,91,121,699,7227,15685,5074,2001,2829,1871,1142,1583,652,38045,23,74,0,5,10,3,0,0,0,117,144,1041,8,11,42,3,0,3,7,1249,1341,4110,82,236,770,170,5,66,60,6849,55,136,3,12,20,6,0,0,0,234
LGA14200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,0,0,3,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,47,133,8,9,15,3,0,10,0,229,0,0,0,0,0,0,0,0,0,3,33,21,7,16,4,0,3,6,0,95,40,23,13,21,4,5,4,9,4,122,228,31,494,42,22,63,100,181,10,1175,7,0,5,0,3,6,4,19,0,46,14,3,5,10,3,13,5,21,0,70,3,4,5,0,0,0,0,3,0,16,18,3,22,9,7,7,15,37,20,142,406,252,563,113,65,96,142,285,40,1950,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,9,8,31,0,0,0,0,0,3,0,42,0,0,0,0,0,0,0,0,0,4
LGA14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,31,40,0,9,6,5,3,14,3,103,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,22,12,3,7,10,3,3,3,6,0,48,99,13,145,37,10,17,65,54,3,439,7,0,0,0,0,0,4,11,0,25,6,0,0,5,0,0,7,4,3,23,3,0,0,0,0,0,0,0,0,8,3,0,6,0,3,0,8,12,0,45,191,71,164,59,26,31,87,98,10,729,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,4,8,17,0,3,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
LGA14350,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,13,25,0,3,8,0,0,0,0,46,0,3,0,0,0,0,0,0,0,3,5,26,0,0,0,0,0,0,0,32,3,3,0,0,0,0,0,0,0,3,60,204,9,27,10,6,11,9,3,343,0,0,0,0,0,0,0,0,0,3,31,21,12,26,6,3,3,7,3,124,34,35,21,36,11,12,3,14,3,161,251,48,768,133,56,84,193,252,49,1830,5,0,13,15,3,15,13,27,0,94,12,5,7,20,5,11,20,25,0,100,6,6,3,0,3,3,3,6,0,30,12,10,26,22,3,9,20,34,18,163,437,397,859,289,103,144,268,375,79,2943,0,4,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,4,14,71,0,4,0,0,0,0,0,95,0,4,0,0,3,0,0,0,0,6
LGA14400,0,3,0,0,0,0,0,0,0,3,7,39,3,0,0,0,0,0,3,56,67,111,7,9,10,8,0,3,4,212,3,0,0,0,0,0,0,0,0,5,10,60,3,6,0,0,0,0,0,85,4,8,4,3,3,0,0,0,0,18,192,481,38,58,39,30,21,19,12,874,0,0,0,0,0,0,0,0,0,0,58,64,39,40,19,14,6,13,3,249,82,68,80,50,16,11,15,17,3,334,222,68,818,82,47,59,164,122,26,1604,5,4,3,0,3,5,6,9,0,30,11,13,14,9,3,8,13,8,0,78,8,4,4,0,0,3,0,3,0,25,15,17,10,4,3,3,3,6,3,66,690,939,1015,252,143,133,225,201,57,3656,0,7,0,0,0,0,0,0,0,7,3,32,0,0,3,0,0,0,3,44,44,179,3,16,13,3,0,0,5,252,0,6,0,0,0,0,0,0,0,14
LGA14500,26,39,3,0,4,3,0,0,0,76,162,746,13,3,21,6,3,4,13,969,1655,2456,109,40,327,147,17,19,87,4856,55,94,0,0,12,3,0,0,4,180,188,310,13,10,42,14,0,8,12,593,43,46,3,0,12,7,0,0,0,112,3100,5318,342,249,714,479,91,144,179,10612,3,3,3,0,0,0,0,0,0,12,447,391,128,61,83,115,26,39,22,1331,314,278,113,66,90,87,35,44,24,1054,418,204,816,98,104,137,88,128,40,2036,28,21,16,7,13,12,5,11,0,106,92,97,32,30,37,63,21,26,9,420,81,127,26,6,21,20,4,14,7,318,59,98,32,18,17,18,4,10,47,308,6679,10224,1658,599,1492,1122,311,449,452,22986,18,46,3,0,9,0,0,0,3,77,66,490,15,6,28,0,0,3,8,608,760,2194,35,96,466,130,4,14,56,3751,35,106,0,4,20,3,0,0,3,168
LGA14550,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,10,6,9,0,3,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,7,13,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,4,50,63,4,4,4,4,3,10,3,140,0,0,0,0,0,0,0,0,0,3,15,12,4,3,3,0,3,6,0,49,21,13,9,10,3,5,0,8,0,66,114,6,187,19,12,20,52,91,7,519,3,3,3,0,0,0,0,6,0,19,16,0,0,4,3,3,7,13,0,41,3,3,0,3,0,0,0,5,0,15,21,3,7,4,0,5,5,10,3,51,253,128,219,55,25,32,72,141,20,951,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,7,25,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
