LGA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
LGA14920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,12,16,47,37,83,65,80,57,33,15,439,199,478,368,812,507,584,481,279,108,3815,0,0,0,0,0,0,0,0,0,0,421,886,684,1350,824,960,783,434,167,6505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,11,21,28,34,22,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11
LGA14950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,27,13,21,35,23,23,18,8,180,109,242,139,295,210,230,184,114,55,1579,0,0,0,0,0,0,0,0,0,0,194,408,264,490,337,410,306,161,73,2643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,11,15,11,3,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA15050,0,0,4,9,6,3,0,0,0,31,0,0,0,4,12,9,8,5,0,31,0,3,13,30,5,3,0,0,0,58,0,9,15,97,52,47,43,6,7,278,101,218,192,510,288,266,257,180,108,2118,2792,5395,4868,10649,5240,4534,3427,1814,848,39571,0,0,6,0,0,0,0,0,0,6,5490,10376,8999,17813,8289,7372,5155,2532,966,66989,0,0,0,28,0,3,0,0,0,39,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,3,3,8,3,34,16,8,8,4,0,83,0,4,0,7,4,7,0,0,3,25,3,3,9,57,35,31,12,8,3,162,0,0,0,0,8,7,6,3,0,22,0,3,3,11,4,4,10,0,3,30,7,62,53,232,265,274,323,153,49,1412,0,7,8,34,18,3,5,3,0,77,0,0,0,6,9,0,5,0,0,20,0,0,3,22,23,38,144,20,19,270
LGA15240,0,0,0,14,4,4,0,0,0,19,0,0,0,0,4,4,11,4,3,30,0,0,5,3,3,8,6,0,0,28,0,13,9,54,49,65,88,47,23,351,93,258,283,583,509,643,715,482,306,3879,1954,4806,4081,7865,5891,7541,7713,4319,2049,46215,0,0,0,0,0,0,0,0,0,3,3871,9128,7486,12698,9252,11692,11480,6205,2482,74289,0,0,0,14,0,4,0,0,0,18,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,4,3,0,0,10,0,3,13,26,23,23,10,3,0,94,0,0,0,5,4,3,15,7,0,34,0,3,3,43,25,26,13,8,4,122,0,0,0,0,4,15,22,14,0,56,0,0,0,11,5,10,20,14,0,68,7,21,42,180,385,584,1097,590,202,3108,0,0,0,7,5,11,9,3,0,41,0,0,0,5,4,17,8,7,3,50,0,4,3,20,38,47,150,85,22,377
LGA15270,0,0,0,9,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,3,0,0,0,8,0,7,0,14,15,12,12,15,3,84,72,138,128,302,189,214,192,108,28,1368,821,1531,1146,2775,1692,1563,1385,757,305,11975,0,0,0,0,0,0,0,0,0,0,1536,2893,2136,4477,2684,2407,2039,996,357,19525,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,0,0,0,0,21,0,0,0,0,0,4,3,0,0,8,0,0,0,11,7,6,3,0,0,36,0,0,0,0,0,0,0,4,0,14,0,0,0,3,0,0,0,0,0,5,0,12,11,56,95,116,151,105,27,562,0,0,3,5,3,0,0,0,0,18,0,0,0,5,0,0,0,0,0,8,0,0,0,3,8,13,33,5,10,77
LGA15300,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,13,4,8,6,3,0,41,62,85,89,240,122,118,97,56,20,891,519,903,731,1709,879,769,586,313,113,6520,0,0,0,0,0,0,0,0,0,0,909,1591,1293,2570,1477,1261,940,493,137,10675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,4,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,7,0,0,0,0,0,3,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,18,17,20,18,6,0,80,0,6,3,20,11,8,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11
LGA15350,0,3,3,20,9,4,3,0,0,40,0,0,0,8,15,3,6,0,0,34,0,0,0,4,3,5,3,0,0,18,17,38,30,332,98,64,61,22,31,690,40,88,89,300,156,131,99,76,62,1053,732,1700,1437,4091,2371,1791,1713,870,578,15290,0,0,0,0,0,0,0,0,0,0,1242,2518,2083,3695,2175,1895,1817,937,577,16952,0,0,0,19,0,0,0,0,0,19,0,0,0,7,0,4,0,0,0,11,0,5,0,3,0,0,0,0,0,7,0,13,6,50,36,25,12,4,0,142,0,0,0,11,5,6,7,0,0,31,10,25,41,213,95,73,36,29,7,520,0,4,0,12,9,12,7,6,6,62,0,0,0,3,0,9,21,10,9,46,36,313,147,617,525,315,276,133,67,2428,0,0,0,6,8,3,6,0,0,31,3,14,19,80,23,10,6,3,6,169,3,9,15,66,34,15,48,21,8,219
LGA15520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,3,0,0,21,18,42,33,88,73,107,88,66,23,544,306,684,516,1144,780,885,853,505,204,5881,0,0,0,0,0,0,0,0,0,0,588,1236,933,1857,1272,1492,1378,748,278,9785,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,18,21,38,82,65,4,231,0,0,0,3,3,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,6,3,32
LGA15560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,12,9,42,17,61,36,31,30,11,3,240,96,254,180,433,269,244,180,111,41,1812,0,0,0,0,0,0,0,0,0,0,196,475,369,688,420,431,286,177,60,3107,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,11,10,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
LGA15650,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,3,9,3,0,0,0,0,15,0,7,6,24,13,3,3,3,0,56,34,68,58,143,100,78,65,41,12,598,588,1150,971,2083,1098,854,622,332,137,7837,0,0,0,0,0,0,0,0,0,0,1153,2154,1757,3578,1847,1428,1011,492,169,13589,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,3,25,11,3,0,0,0,47,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,9,39,48,55,45,24,5,219,0,0,0,12,0,3,0,0,0,11,0,0,0,3,0,3,0,0,0,9,0,0,0,3,3,3,7,0,0,15
