LGA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
LGA14700,3632,8073,1187,1390,2456,1441,280,528,311,19292
LGA14750,738,632,650,382,511,357,442,902,99,4705
LGA14850,2110,3651,2366,2291,2309,1934,1007,2261,251,18168
LGA14870,736,952,1363,1006,1031,654,972,942,142,7798
LGA14900,8374,14232,12213,8382,13467,7719,8754,8705,2063,83905
LGA14920,632,342,342,316,283,209,373,459,58,3013
LGA14950,391,164,144,122,130,69,110,130,30,1294
LGA15050,3313,5766,5987,3873,4586,3547,3408,3696,516,34692
LGA15240,3654,4832,4396,3808,3319,3516,1976,4007,515,30032
LGA15270,1410,1274,1671,946,979,882,1219,1163,137,9689
LGA15300,1152,762,642,554,665,422,520,701,103,5521
LGA15350,3360,5530,622,1018,1686,1085,100,293,300,13999
LGA15520,1205,701,627,478,503,414,323,661,78,4994
LGA15560,508,157,177,143,182,87,155,276,32,1716
LGA15650,650,717,1347,607,684,533,1201,870,115,6732
LGA15700,774,988,925,907,659,538,429,892,121,6229
LGA15750,1009,774,801,492,604,468,691,704,115,5657
LGA15800,499,277,289,222,242,154,206,393,40,2325
LGA15850,599,330,340,271,266,182,270,289,39,2592
LGA15900,7321,19901,9424,8998,9555,6715,3781,6305,1034,73034
LGA15950,8633,17713,2080,2402,5105,2673,362,790,691,40445
LGA15990,24082,37083,14705,12242,17481,11805,3554,6623,2109,129685
LGA16100,417,268,321,209,225,159,319,268,56,2241
LGA16150,1945,3772,2609,2056,2331,1732,1225,1881,256,17805
LGA16200,1016,854,864,617,652,524,601,609,110,5840
LGA16260,13515,33768,11004,8816,16428,8960,5070,6926,2099,106593
LGA16350,9598,14073,14049,9950,16844,9081,10287,9165,1806,94859
LGA16380,3339,5827,4372,3816,3917,3239,1618,3080,444,29655
LGA16400,3000,4065,4868,3494,3549,2844,2272,3044,465,27602
LGA16490,4735,5883,3924,3026,5384,2308,1346,2114,675,29389
LGA16550,10580,23755,6230,6665,9253,5570,1888,3223,1110,68276
LGA16610,954,989,1093,1000,920,779,697,1673,160,8265
LGA16650,6145,11934,6300,5303,7906,5350,3303,5467,1120,52827
LGA16700,8172,19137,5715,4771,8707,5017,1609,3095,1017,57245
LGA16900,2681,4211,5190,3884,3982,3330,2673,3177,470,29606
LGA16950,4209,6125,6250,5026,4139,3901,1971,4097,614,36330
LGA17000,1186,1325,1922,1224,1179,860,1873,1073,174,10822
LGA17040,1867,1355,1393,1202,1137,931,636,1166,174,9860
LGA17080,1036,733,831,581,578,428,728,963,106,5991
LGA17100,2272,6250,2031,1686,2729,1815,808,1541,498,19618
LGA17150,16977,27083,15188,11832,18813,10692,4339,6066,1781,112765
LGA17200,19929,44228,9300,11980,13028,8894,1742,5997,2154,117252
LGA17310,3399,4559,3740,2747,3113,2557,1786,3678,418,25997
LGA17350,558,354,350,255,271,231,171,299,30,2514
LGA17400,566,262,270,233,232,179,182,370,59,2361
LGA17420,14079,23235,8348,6226,13014,7702,2427,3772,1378,80179
LGA17550,3954,6168,5595,4917,4356,3927,2029,4179,603,35731
LGA17620,1030,768,1060,482,589,447,823,1005,90,6298
LGA17640,943,452,482,378,381,195,229,401,63,3528
LGA17650,499,423,373,267,328,204,127,368,43,2633
LGA17750,3634,5877,4667,3868,3657,3061,1627,3072,374,29834
LGA17850,489,156,147,95,128,89,81,211,13,1414
LGA17900,490,283,178,289,192,108,178,283,49,2060
LGA17950,366,140,130,96,110,64,88,142,21,1149
LGA18020,890,469,341,373,280,216,218,476,65,3335
LGA18050,7178,14175,2648,3182,3803,2891,513,1375,659,36426
LGA18100,481,176,164,110,129,89,98,176,14,1437
LGA18200,626,367,356,270,289,232,213,379,56,2786
LGA18230,2868,3882,3170,2811,2873,2380,1330,2460,366,22142
LGA18250,6927,14478,2286,2659,4481,2936,523,1321,701,36309
LGA18350,2993,4169,3294,2233,2323,2002,1189,2112,333,20644
LGA18400,3043,3592,4392,2450,3538,2057,2263,2266,451,24054
LGA18450,9244,20486,13055,10922,12000,7934,5465,7774,1374,88251
LGA18500,6398,11893,1174,1829,3176,2218,241,544,549,28005
LGA18710,1594,1676,1049,863,1207,526,353,643,168,8076
LGA19399,256,41,44,42,35,18,11,119,20,599
LGA19499,274,649,480,430,261,224,339,582,103,3331
LGA19799,3,22,18,16,21,17,10,18,5,130
