LGA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
LGA15990,0,0,3,20,4,9,4,0,0,37,7413,14910,10925,18829,10561,8337,6123,3380,1490,81966,0,0,0,46,11,3,0,0,0,66,0,0,9,26,21,20,11,0,0,86,3,0,0,6,8,0,0,0,0,27,11,32,40,204,126,70,30,9,6,525,0,10,7,59,32,15,21,11,3,156,10,48,240,474,299,253,108,79,29,1538,0,0,4,36,43,65,84,73,19,316,0,0,0,13,15,34,49,31,15,163,103,776,586,3047,2244,1357,1325,651,235,10324,0,3,6,49,17,30,15,8,0,129,3,75,44,284,98,33,24,12,5,581,4,58,56,231,190,95,152,96,19,897,0,0,0,14,16,18,48,30,16,156,10,47,56,105,63,85,45,24,4,434,24,62,115,490,120,75,56,26,10,972,3,10,28,69,28,39,21,14,5,223,0,7,17,136,67,61,50,20,12,360,0,0,3,10,6,10,0,3,0,40
LGA16100,0,0,0,0,0,0,0,0,0,3,129,291,333,450,302,266,264,92,29,2158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,17,25,17,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
LGA16150,0,0,0,4,0,0,0,0,0,5,1489,2630,2159,4063,1920,1841,1330,720,229,16385,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,4,22,13,13,11,4,0,66,0,0,0,0,3,4,3,6,4,15,0,4,0,3,0,0,3,0,0,6,0,17,12,38,60,63,55,47,17,313,0,0,0,14,3,0,0,0,0,20,0,0,0,3,0,0,0,0,0,9,0,0,0,3,3,7,21,6,3,47,0,0,0,5,3,0,7,8,0,22,0,0,0,4,0,6,4,0,0,18,5,15,13,137,13,7,3,0,0,186,0,0,0,0,3,0,0,0,0,9,0,0,3,6,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,5
LGA16200,0,0,0,0,0,0,0,0,0,0,447,933,803,1269,803,805,589,318,125,6091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,12,20,20,11,0,69,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,19,4,3,0,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,7
LGA16260,6,9,80,246,43,63,29,13,0,489,6829,9508,7919,12468,4855,3901,2890,1768,785,50916,18,33,59,368,58,34,11,3,0,575,0,0,10,28,21,14,10,3,0,79,0,0,9,39,22,11,8,3,0,84,6,13,12,66,29,21,7,4,3,153,0,4,14,55,37,34,45,6,0,197,129,351,1288,4373,1735,1306,706,410,106,10412,0,3,3,24,39,26,31,44,4,172,11,7,17,105,27,59,52,21,12,299,21,91,96,416,368,364,322,213,66,1965,0,15,32,231,119,107,53,25,9,588,0,5,5,36,14,16,8,4,0,88,3,7,20,55,41,29,67,40,8,264,3,0,3,17,23,40,56,91,26,258,16,82,250,883,325,633,216,46,8,2453,520,944,1196,8944,738,458,230,60,18,13106,3,20,75,297,77,77,48,22,3,620,13,71,113,949,230,141,83,31,3,1625,4,21,19,143,81,37,5,6,0,327
LGA16350,0,11,33,75,19,11,5,0,0,161,7011,12150,11584,20252,7757,6360,3577,1148,392,70241,0,13,17,107,15,15,9,0,0,169,0,0,3,31,18,11,11,5,3,97,0,3,0,19,13,3,3,0,0,47,0,4,9,25,17,7,6,0,0,73,0,0,0,35,22,21,26,12,0,130,7,17,42,235,70,70,52,25,0,524,0,0,3,28,64,60,73,48,5,290,3,18,26,75,57,88,71,30,3,364,8,73,87,436,675,743,710,290,74,3107,0,11,45,205,126,98,41,16,3,542,0,4,8,17,15,6,9,0,3,57,0,5,7,47,35,63,165,53,12,390,0,0,6,15,23,55,62,56,7,222,0,4,12,24,14,19,3,3,0,88,22,117,156,1056,235,174,111,52,16,1939,0,3,7,49,18,13,13,4,0,109,0,10,12,86,38,22,23,12,0,205,0,3,35,90,49,46,20,3,0,253
LGA16380,0,0,0,0,0,0,0,0,0,0,1811,4384,3442,5795,3840,4242,4140,2187,802,30643,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,12,13,3,7,0,57,0,0,0,0,4,3,3,0,0,13,0,3,9,19,8,11,8,8,0,68,0,0,0,0,3,5,3,7,0,22,0,3,0,4,5,3,9,4,0,34,5,50,28,140,225,257,424,318,99,1558,0,0,0,13,3,9,0,4,0,31,0,0,0,11,4,10,10,0,0,38,0,3,0,8,7,21,55,48,9,152,0,3,0,0,0,0,6,0,0,13,0,0,0,11,4,4,0,4,0,24,7,7,3,67,12,11,13,10,3,121,0,0,0,0,0,0,3,3,0,13,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3
LGA16400,0,0,0,0,0,0,0,0,0,0,1792,4111,3521,5944,3586,3592,3308,1584,414,27856,0,0,0,5,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,10,0,0,0,3,0,0,0,0,0,8,0,4,4,5,14,5,10,3,0,52,0,0,0,5,0,3,8,0,0,19,0,0,0,10,11,5,3,3,0,27,0,0,0,0,3,10,11,17,0,40,0,0,0,0,0,8,10,5,0,21,4,49,36,139,187,233,384,196,66,1296,0,0,0,5,0,3,3,7,0,23,0,0,0,7,0,3,8,7,0,19,0,0,0,11,16,34,69,29,10,171,0,0,0,3,4,8,11,10,0,32,0,4,0,7,4,4,0,0,0,24,0,0,3,27,7,4,5,4,0,54,0,0,0,3,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
LGA16490,0,0,0,3,0,0,0,0,0,6,1748,3299,2937,5584,3219,2463,1288,418,120,21088,4,7,0,74,0,3,0,0,0,95,0,0,0,3,3,3,0,7,0,20,0,0,0,0,0,0,0,0,0,8,0,0,3,13,8,5,5,0,0,44,0,0,0,8,5,3,4,0,0,16,0,3,3,44,17,6,12,0,0,84,0,0,4,3,7,24,24,24,0,86,3,5,0,14,0,0,0,0,0,27,5,38,34,108,231,186,163,80,20,869,0,3,4,23,13,8,3,0,0,60,0,3,6,11,8,9,6,0,0,37,0,0,3,11,14,33,46,30,7,143,0,0,0,3,3,11,22,13,3,58,0,0,0,3,0,7,3,0,0,14,16,32,40,320,28,15,6,4,0,460,0,3,0,11,4,0,0,0,0,25,0,0,0,10,3,3,0,0,0,21,0,3,0,10,0,4,0,0,0,11
LGA16550,0,0,3,10,0,3,0,0,0,18,3414,5592,5574,10425,4301,3201,1996,1007,413,35923,0,3,31,109,21,22,7,3,0,195,0,0,0,12,6,7,9,8,0,35,0,4,10,12,12,4,0,0,0,38,3,13,17,124,28,17,9,3,0,219,0,4,10,103,31,27,38,12,3,219,13,57,2530,1436,223,207,138,101,36,4744,0,0,0,8,3,15,19,26,11,81,0,3,3,27,22,36,86,64,16,262,31,173,165,1432,617,353,279,117,55,3224,0,4,5,59,40,20,7,3,0,145,11,65,46,279,77,34,13,3,0,532,3,15,24,155,43,24,45,36,13,357,0,9,3,31,31,70,136,255,94,646,12,26,334,235,84,103,54,19,3,859,5,22,177,360,71,51,56,32,12,787,10,28,259,505,125,106,67,29,11,1138,3,7,12,173,19,20,8,3,0,247,0,3,9,45,29,18,22,10,5,135
