LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA12700,16,46,19,21,16,3,0,118,0,3,3,0,3,0,0,6,0,0,0,0,0,0,0,4,20,61,32,33,40,8,3,190,3,3,3,3,0,0,0,8,3,11,3,0,0,0,0,22,9,14,8,4,0,0,0,33,26,70,37,41,41,5,3,223,39,48,22,22,5,0,0,142,0,0,0,0,0,0,0,4,67,121,63,60,47,12,3,366
LGA12730,26,32,28,16,23,4,0,128,3,0,0,3,0,3,0,13,0,0,0,0,0,0,0,0,32,45,42,36,48,12,0,220,0,0,0,0,3,0,0,4,4,8,0,6,0,0,0,16,3,9,0,3,3,0,0,23,38,50,48,44,50,9,0,245,41,48,15,14,15,8,0,136,0,3,0,0,0,0,0,3,81,101,59,52,68,16,0,380
LGA12750,66,180,110,79,109,14,5,562,6,11,9,3,3,3,0,29,4,6,0,5,7,0,0,16,109,266,179,141,208,35,6,946,3,29,15,7,13,0,0,61,12,18,8,5,6,0,0,47,24,43,23,12,19,0,0,115,130,307,202,156,221,35,6,1056,198,207,118,68,61,12,0,669,3,3,3,3,0,0,0,16,334,522,319,229,285,47,6,1741
LGA12850,260,561,423,293,436,244,94,2312,37,19,9,8,17,15,7,118,12,32,18,13,25,16,10,127,603,1093,836,613,913,547,275,4886,43,85,73,52,59,41,21,374,76,174,139,78,97,64,27,664,119,262,213,136,160,102,48,1032,725,1357,1052,747,1070,652,317,5916,1445,1565,863,633,767,486,281,6040,34,42,25,21,11,9,0,145,2200,2965,1939,1398,1850,1151,596,12100
LGA12870,24,46,41,31,35,4,0,172,3,3,0,0,0,0,0,10,3,0,0,0,0,0,0,10,42,72,64,49,63,6,5,303,3,3,6,3,7,0,0,24,8,11,4,3,0,0,0,22,9,13,5,4,6,3,0,45,52,87,73,54,70,12,5,350,54,47,12,15,8,0,0,137,0,3,3,0,0,0,0,6,103,139,89,62,81,12,8,492
LGA12900,24,41,29,17,22,0,0,135,0,0,3,0,0,0,0,4,3,3,0,0,0,0,0,9,38,82,52,30,49,9,3,252,6,4,4,0,7,0,0,17,8,4,3,3,0,0,0,20,12,9,3,6,4,0,0,37,46,92,56,30,50,9,3,293,62,47,34,24,20,0,0,178,0,7,0,0,0,0,0,7,114,138,85,59,73,9,3,480
LGA12930,152,308,199,147,250,147,70,1284,17,6,10,3,8,6,3,55,3,8,9,11,13,15,8,66,309,590,451,367,624,411,222,2967,12,27,13,6,22,19,7,107,20,65,36,26,34,26,13,207,34,85,47,38,58,40,15,312,347,676,498,397,682,447,238,3285,378,366,204,170,232,152,76,1583,6,12,8,4,7,4,5,44,730,1052,718,576,916,608,314,4913
LGA12950,13,26,16,7,8,0,0,70,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,18,27,15,15,17,0,0,99,3,3,5,3,0,0,0,13,0,3,0,0,0,0,0,9,3,10,4,8,0,0,0,20,23,37,23,22,14,0,0,118,44,36,22,13,14,0,0,132,0,0,0,0,0,0,0,4,70,68,48,32,29,0,0,250
LGA13010,12,28,21,14,14,0,0,87,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,3,28,51,35,20,36,0,0,181,8,4,3,0,3,0,0,23,4,3,3,3,0,0,0,14,13,12,6,4,5,0,0,38,43,65,45,29,46,0,0,219,65,60,43,21,21,4,3,219,0,0,0,0,0,0,0,0,105,122,91,51,63,4,5,439
LGA13310,58,130,66,60,50,3,4,374,12,8,3,9,3,3,0,38,8,7,3,0,4,0,0,20,114,224,147,114,146,17,15,771,10,10,13,7,12,0,0,53,16,33,14,4,8,0,0,80,28,47,29,8,26,3,0,139,142,273,171,124,170,22,15,914,192,169,72,47,65,4,3,552,16,3,3,4,0,0,0,25,350,444,251,173,232,26,15,1488
LGA13340,14,32,11,15,20,5,0,95,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,18,44,36,36,47,4,4,183,0,3,0,4,0,0,0,14,0,7,4,0,0,0,0,19,3,13,3,4,0,0,0,27,21,56,40,35,44,3,4,214,56,48,38,24,13,0,0,188,3,0,0,3,0,0,0,11,77,110,82,66,65,5,4,413
LGA13450,47,78,51,41,40,3,0,265,8,3,0,0,0,0,0,14,3,0,3,0,3,0,0,13,108,158,109,76,101,15,3,576,11,23,5,0,3,0,0,43,7,9,3,3,0,0,0,27,18,30,9,3,7,0,0,67,125,188,118,83,107,21,3,650,154,91,47,32,25,7,0,355,4,8,12,4,0,0,0,29,286,287,178,114,131,22,5,1025
LGA13510,15,31,28,19,30,7,0,127,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,29,62,53,31,51,5,3,243,0,10,12,7,3,0,0,29,6,9,3,0,0,0,0,17,10,19,15,10,0,0,0,51,37,82,66,42,54,8,3,289,70,67,44,20,21,4,0,222,0,0,0,0,0,0,0,0,109,150,113,63,75,14,3,514
LGA13550,43,32,24,11,18,3,0,143,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,63,88,57,37,48,11,3,296,10,11,13,4,5,0,0,38,13,14,3,0,3,0,0,32,23,20,14,5,8,0,0,66,84,109,64,41,52,11,3,362,90,81,31,26,15,0,0,248,6,4,0,0,0,0,0,13,177,193,101,68,71,14,3,620
LGA13660,10,17,9,13,4,0,0,57,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,30,19,15,11,0,0,98,0,0,3,3,0,0,0,11,0,3,0,0,0,0,0,10,3,3,4,5,0,0,0,17,22,36,24,20,17,0,0,114,25,25,11,14,6,0,0,89,0,0,0,0,0,0,0,0,52,56,37,31,25,3,0,201
LGA13800,119,209,130,95,125,38,13,720,12,3,7,5,10,0,0,38,4,5,3,0,3,0,0,22,204,380,292,237,337,123,64,1643,13,18,15,17,18,0,0,84,16,26,20,5,8,3,3,79,32,42,32,27,23,4,3,164,235,423,323,265,363,123,71,1804,318,255,134,100,95,26,8,926,0,3,3,8,3,0,0,23,552,684,458,375,464,150,76,2756
LGA13850,6,10,12,12,12,0,0,49,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,20,12,20,16,0,0,79,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,5,0,0,0,0,8,17,21,17,17,16,0,0,87,12,10,11,3,7,0,0,36,0,0,0,0,0,0,0,0,29,28,22,23,22,0,0,124
LGA13910,30,93,66,49,53,7,0,290,4,6,4,3,0,0,0,14,0,0,0,0,0,0,0,3,49,141,103,85,107,9,0,494,5,18,12,9,12,0,0,56,7,20,8,0,3,0,0,36,11,35,20,9,13,0,0,90,60,175,122,91,120,14,0,579,147,122,52,38,41,11,0,420,9,11,5,3,3,0,0,25,210,308,186,128,164,24,0,1027
LGA14000,72,243,192,165,214,113,69,1068,16,20,10,10,14,7,3,68,0,5,5,5,13,4,5,37,183,550,488,412,605,357,202,2802,5,16,6,0,12,7,0,55,9,20,13,7,5,7,3,71,13,39,17,16,21,15,7,128,194,591,512,431,627,375,212,2929,133,178,115,83,131,91,60,804,3,3,0,0,3,0,0,16,329,772,625,517,761,470,271,3743
LGA14100,9,23,23,11,16,5,5,92,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,25,52,49,23,41,25,23,238,0,0,0,0,6,0,0,9,0,3,3,0,0,0,3,16,0,3,3,0,6,0,3,20,26,56,49,26,42,27,26,256,12,17,13,3,4,8,8,67,0,0,0,0,0,0,0,0,37,79,68,29,44,34,31,324
LGA14170,168,349,181,128,195,84,58,1161,20,14,10,4,6,9,3,65,5,6,5,5,9,6,3,48,367,766,521,384,595,304,196,3144,15,29,21,19,21,10,9,112,17,42,33,16,25,9,4,150,24,69,50,36,47,15,14,261,395,841,578,421,642,325,209,3400,296,281,178,124,180,102,68,1237,3,5,0,6,0,3,5,23,692,1124,759,554,825,424,278,4660
LGA14200,54,79,47,24,22,9,0,238,3,0,5,0,0,0,0,11,4,0,0,5,3,0,0,14,73,110,77,60,68,10,0,410,4,17,6,15,13,0,0,59,15,17,11,3,4,3,0,57,20,30,17,15,23,3,0,111,91,143,96,81,96,14,0,524,170,159,76,46,36,6,0,494,3,3,3,3,3,0,0,22,268,310,179,132,134,25,0,1035
LGA14300,23,20,17,15,8,0,0,75,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,29,41,37,23,22,3,0,156,0,3,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,8,32,48,38,26,28,7,0,165,35,34,13,5,18,0,0,113,0,0,0,0,0,0,0,0,68,84,50,30,45,6,0,280
LGA14350,97,163,109,75,98,5,3,544,5,5,0,5,3,3,0,26,8,8,5,0,0,0,0,26,144,255,174,124,174,19,7,904,16,20,13,10,17,0,0,76,11,31,17,6,12,0,0,82,29,46,29,17,25,3,0,163,179,309,207,144,206,21,9,1060,337,284,138,84,80,8,0,927,8,8,3,3,5,0,0,24,525,595,345,229,283,31,9,2017
LGA14400,28,54,63,34,39,17,8,241,0,3,5,0,3,0,0,14,0,3,0,0,0,0,0,10,41,97,91,70,96,40,13,453,3,3,5,4,7,3,0,20,3,4,0,0,3,0,0,14,4,12,5,4,8,3,0,39,49,106,95,74,105,46,18,485,45,30,23,11,15,9,4,136,0,0,0,0,0,0,0,0,97,136,122,83,114,49,17,622
LGA14500,69,154,150,111,162,119,62,827,8,9,5,3,9,6,3,44,6,0,6,7,6,3,0,26,162,372,357,307,521,344,176,2250,4,11,5,6,7,7,7,39,11,9,11,9,18,9,4,78,14,22,15,20,24,15,15,121,180,394,373,326,551,358,188,2369,89,186,128,93,163,94,59,823,0,0,0,0,0,0,0,4,270,585,500,419,718,454,250,3196
LGA14550,21,23,25,11,20,4,4,105,3,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,33,50,39,19,38,11,4,185,0,10,6,11,5,4,0,34,3,8,6,7,4,0,0,26,7,19,9,13,7,4,0,60,32,64,45,36,47,8,4,243,58,66,36,27,23,5,0,213,0,4,0,0,0,0,0,5,95,136,79,55,72,18,6,464
LGA14600,18,21,12,13,14,0,0,76,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,30,27,16,24,0,0,121,4,8,6,3,4,0,0,23,9,10,0,0,0,0,0,22,6,22,7,3,4,0,0,42,33,55,29,21,29,0,0,168,52,46,33,21,11,0,0,160,0,0,0,0,3,0,0,4,87,98,66,39,40,5,0,329
LGA14650,427,818,527,356,461,139,52,2776,66,39,23,28,21,12,0,184,11,18,19,12,19,0,7,78,667,1343,1016,742,1063,376,155,5359,36,105,59,43,49,9,7,311,91,138,73,32,46,3,8,399,136,249,132,71,98,12,7,706,801,1585,1146,815,1162,389,167,6067,1046,953,514,349,354,65,43,3326,18,23,14,11,12,0,0,71,1861,2560,1668,1182,1523,451,213,9465
LGA14700,26,47,37,21,47,25,14,214,11,3,0,0,0,0,0,15,0,4,3,0,0,0,0,7,75,138,99,78,129,92,52,669,0,3,7,3,3,3,0,19,0,0,3,3,3,0,0,14,0,3,8,7,6,3,0,28,77,142,108,87,131,95,55,699,35,39,22,16,14,15,7,142,0,0,0,0,0,0,0,0,113,182,128,101,145,114,60,840
LGA14750,35,30,22,13,19,7,0,128,3,4,0,0,0,0,0,11,3,4,0,0,0,0,0,6,49,57,60,26,53,14,0,262,5,4,0,3,4,0,0,13,7,9,6,3,3,0,0,25,9,13,10,3,4,0,0,36,60,72,71,30,59,14,0,301,85,81,29,16,11,0,0,226,0,0,0,0,0,0,0,8,143,147,97,53,75,14,0,532
LGA14850,76,210,153,89,148,33,5,719,12,10,3,3,4,0,0,37,0,5,8,8,10,0,0,35,141,362,290,195,327,65,25,1402,7,25,17,14,17,3,0,86,7,32,21,13,18,3,0,92,12,56,41,27,35,8,0,182,157,420,327,222,360,72,26,1581,285,307,165,91,96,31,8,989,6,4,10,3,0,0,0,18,446,735,501,313,462,103,36,2591
LGA14870,41,72,61,37,53,5,0,277,3,3,4,0,3,0,0,9,0,6,0,5,3,0,0,14,55,122,101,74,124,13,3,492,6,14,5,12,13,3,0,55,16,23,10,5,3,0,0,51,15,32,12,18,15,4,0,100,72,161,113,87,137,19,3,598,175,134,53,34,43,9,4,449,3,3,0,0,0,0,0,6,252,297,167,125,181,25,3,1054
LGA14900,257,489,352,255,330,130,67,1881,37,22,14,14,14,9,3,106,20,28,18,19,28,12,4,123,560,1019,786,605,928,442,231,4571,27,76,46,29,43,20,15,246,45,137,84,39,66,22,9,404,71,212,131,65,101,46,22,654,636,1233,916,670,1031,484,255,5223,1393,1326,707,471,588,228,150,4856,37,29,17,9,11,7,3,110,2060,2589,1637,1152,1625,720,411,10194
LGA14920,16,26,16,11,15,0,0,89,0,3,0,0,3,0,0,13,0,0,0,0,0,0,0,3,28,49,35,26,46,7,0,187,3,3,5,4,3,0,0,19,5,8,3,0,3,0,0,25,9,12,9,8,9,0,0,45,31,64,44,30,52,10,0,230,63,61,24,16,20,3,0,185,0,0,0,0,0,0,0,5,97,124,70,48,70,13,0,421
LGA14950,3,6,3,3,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,7,6,3,0,40,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,9,9,6,3,0,39,24,12,7,8,3,0,0,57,0,0,0,0,0,0,0,0,27,29,17,16,12,4,0,96
LGA15050,217,330,236,120,165,30,22,1121,25,18,9,5,12,0,0,78,8,9,9,7,5,0,3,42,372,596,450,282,435,109,66,2318,30,46,42,29,34,11,0,187,52,97,32,13,23,11,0,234,81,147,76,42,52,16,0,421,449,738,527,330,490,125,71,2736,604,509,286,143,158,26,18,1742,9,17,6,3,3,0,0,35,1062,1268,816,469,649,154,95,4512
LGA15240,167,352,262,179,233,28,6,1233,27,14,11,3,15,3,0,71,4,3,12,4,4,0,0,31,262,551,453,305,455,64,11,2098,25,66,56,25,46,3,0,224,36,98,37,21,25,0,0,223,55,164,99,50,71,7,0,444,316,714,549,355,523,71,11,2542,693,648,332,246,230,37,15,2205,13,20,11,6,4,0,0,55,1029,1377,894,603,761,106,28,4798
LGA15270,41,92,60,36,44,8,0,276,9,0,4,0,0,0,0,15,0,0,0,0,0,0,0,0,75,139,100,67,108,18,3,506,6,9,12,9,8,0,0,39,12,7,3,3,7,0,0,37,17,18,13,12,16,0,0,73,93,153,117,80,120,16,3,581,167,135,67,37,29,3,0,440,4,0,0,0,0,0,0,9,268,289,186,119,147,22,3,1028
LGA15300,28,55,23,12,21,0,0,135,3,4,0,0,0,0,0,8,0,0,3,3,0,0,0,7,58,102,56,41,53,3,0,315,3,11,15,9,3,0,0,44,6,14,3,5,5,0,0,28,5,28,21,15,7,0,0,73,65,129,77,52,57,3,0,390,184,131,65,34,31,3,0,449,10,9,5,3,0,0,0,29,259,277,148,95,84,3,0,865
LGA15350,18,30,33,32,42,31,25,210,4,4,0,0,0,0,0,5,0,0,3,0,3,0,0,10,41,95,92,83,121,70,42,542,0,4,0,0,3,0,0,15,0,8,7,5,7,3,0,27,0,12,3,9,4,7,0,38,42,105,98,87,124,69,45,584,14,25,37,24,26,26,10,160,3,0,0,0,0,0,0,9,63,135,138,109,157,92,52,746
LGA15520,17,34,20,9,21,3,0,114,0,0,5,3,0,0,0,4,3,3,0,0,4,0,0,3,29,69,38,27,46,9,0,211,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,5,3,3,3,0,0,0,12,30,66,40,26,46,9,0,222,44,33,14,6,13,3,0,113,0,0,3,0,0,0,0,3,73,104,56,31,63,14,0,336
LGA15560,10,17,8,3,4,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,14,27,16,7,19,0,0,90,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,11,13,35,22,11,19,0,0,100,29,30,19,8,3,0,0,89,0,0,0,0,0,0,0,0,40,60,43,16,22,5,0,186
LGA15650,37,64,39,30,21,3,0,193,4,3,0,0,3,0,0,17,0,3,3,0,0,0,0,7,58,120,81,68,83,16,3,419,10,20,12,11,10,0,0,67,8,13,10,6,5,0,0,43,23,35,26,11,15,0,0,109,76,154,109,78,98,16,3,534,197,142,71,46,27,0,0,484,10,5,3,3,0,0,0,16,279,300,177,127,130,17,3,1029
LGA15700,58,89,51,34,37,6,0,280,3,0,0,0,0,0,0,7,3,5,8,6,3,0,0,19,80,129,83,63,77,16,0,455,7,10,6,9,8,0,0,38,12,19,16,17,6,0,0,72,15,31,18,21,15,0,0,104,97,162,107,85,94,16,0,562,169,178,98,63,63,13,3,590,3,4,3,3,0,0,0,19,277,341,210,152,164,27,3,1170
LGA15750,25,54,28,15,20,0,0,132,6,0,0,0,0,0,0,7,3,7,3,0,5,0,0,16,51,95,46,31,59,8,0,283,3,3,4,5,5,0,0,19,4,10,7,3,5,0,0,27,5,14,11,6,10,0,0,50,52,109,59,43,67,8,0,335,147,110,42,16,19,0,0,338,4,3,7,0,0,0,0,10,202,217,103,59,89,7,0,687
LGA15800,10,29,14,13,14,0,0,87,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,20,40,25,19,26,0,0,133,0,5,0,3,0,0,0,15,0,0,0,0,0,0,0,4,5,10,5,3,0,0,0,17,21,47,31,21,28,0,0,153,45,36,21,9,12,0,0,125,3,0,0,0,0,0,0,4,73,86,54,28,40,5,0,282
LGA15850,14,25,14,10,13,3,0,82,4,0,3,0,0,0,0,10,0,3,0,0,0,0,0,11,36,59,32,25,31,6,0,186,0,3,8,3,5,0,0,14,7,6,4,3,0,0,0,29,11,10,11,4,4,0,0,43,45,68,44,27,35,6,0,230,89,72,33,17,11,0,0,232,0,0,0,0,0,0,0,3,137,143,78,47,46,10,0,466
LGA15900,283,531,373,235,317,103,48,1881,20,29,25,21,27,7,7,135,16,14,9,3,3,5,0,51,467,979,736,534,821,306,158,4008,32,77,50,35,39,10,8,254,54,88,37,25,28,12,5,252,82,171,86,63,71,24,11,507,546,1148,827,597,888,335,167,4510,727,636,351,238,235,56,40,2280,16,14,6,10,3,3,0,55,1294,1799,1181,840,1126,393,214,6844
LGA15950,57,89,58,26,35,30,19,318,9,4,4,0,0,0,0,18,3,4,3,0,0,0,0,19,143,284,175,111,185,121,94,1119,0,4,0,3,8,3,7,31,5,7,5,4,6,6,0,33,9,19,5,6,11,6,7,62,149,304,183,126,194,132,96,1186,39,68,31,28,34,24,15,237,0,0,0,0,0,0,0,0,186,369,216,154,233,154,115,1422
LGA15990,242,588,392,252,399,170,95,2140,28,11,11,11,10,9,3,84,10,15,16,11,12,8,3,71,487,1185,925,681,1128,500,286,5180,5,36,16,8,26,9,14,108,18,42,16,12,17,8,0,119,23,79,30,24,40,11,15,218,513,1258,957,700,1162,508,300,5405,244,333,198,133,175,78,54,1213,9,9,3,7,7,3,0,42,772,1600,1160,837,1343,594,353,6661
LGA16100,11,28,10,5,6,3,0,60,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,21,36,19,14,22,6,0,114,0,4,3,6,0,0,0,14,0,3,0,0,4,0,0,7,0,9,3,6,6,0,0,18,16,37,24,17,27,10,0,132,21,25,16,10,5,3,3,81,0,0,0,0,0,0,0,5,39,67,37,27,34,16,5,224
LGA16150,120,165,96,61,79,17,3,534,14,16,8,3,4,0,0,51,4,13,3,0,0,0,0,30,207,339,221,153,225,53,10,1213,15,29,19,15,16,0,0,93,35,42,10,6,9,4,0,105,56,65,33,25,21,7,0,201,266,398,251,173,250,63,15,1410,316,238,128,68,77,13,5,840,5,6,4,9,0,0,0,22,587,641,383,245,322,79,15,2270
LGA16200,24,59,34,28,22,4,0,176,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,5,49,83,58,56,81,11,3,335,5,7,10,3,8,0,0,44,9,18,13,6,0,0,0,52,15,28,24,10,8,0,0,89,63,112,84,66,85,11,3,430,137,104,52,25,39,0,0,360,0,0,0,0,0,0,0,4,201,222,134,88,127,13,3,795
LGA16260,223,368,264,190,270,160,90,1562,41,23,6,5,20,9,9,106,11,15,8,10,13,16,5,76,489,864,658,514,778,517,278,4112,18,40,30,22,38,16,8,173,36,83,53,26,27,11,12,250,56,124,77,50,61,25,27,418,546,986,735,563,844,548,304,4533,526,502,282,233,315,191,123,2158,7,11,6,5,4,4,7,45,1075,1493,1025,801,1164,739,431,6733
LGA16350,429,782,438,289,325,104,42,2416,60,33,23,16,17,0,8,153,26,38,25,15,25,3,7,141,879,1542,1045,782,1070,372,177,5865,44,103,52,31,56,11,6,309,102,141,58,42,44,5,7,390,147,244,111,71,96,19,11,696,1024,1786,1156,855,1168,393,190,6559,1421,1139,530,337,333,97,43,3904,24,16,12,10,4,3,0,73,2466,2948,1693,1199,1509,484,229,10539
LGA16380,150,318,211,170,220,34,8,1107,18,19,11,9,11,0,3,75,8,11,6,5,4,0,0,34,239,518,388,325,479,71,18,2034,8,33,35,14,18,3,0,113,18,54,31,16,24,0,0,134,26,87,62,30,42,4,3,244,269,601,446,359,517,74,21,2283,423,396,223,129,139,32,17,1361,13,5,11,3,4,0,0,39,708,1000,675,492,659,105,33,3678
LGA16400,137,286,201,127,138,24,3,920,13,11,11,8,20,4,0,69,6,14,7,3,7,0,0,35,232,481,339,267,318,82,26,1736,15,39,24,15,21,4,0,120,26,41,17,17,10,0,0,118,42,82,41,35,35,4,3,236,269,560,378,300,353,83,25,1975,441,381,211,113,117,22,6,1281,0,10,7,8,3,0,0,20,710,945,593,417,472,103,34,3276
LGA16490,87,147,92,56,52,17,11,458,21,12,5,4,6,0,0,49,6,3,3,0,8,0,0,21,211,359,233,171,246,92,35,1346,8,12,8,7,3,0,0,42,16,22,6,3,0,0,0,57,19,40,17,8,5,3,3,96,236,401,247,180,249,88,37,1444,201,150,63,47,42,3,3,516,5,6,0,0,5,0,0,13,439,556,307,227,292,99,48,1974
LGA16550,114,233,146,101,174,77,45,894,28,16,3,9,9,3,5,69,3,9,3,3,0,3,0,29,289,605,421,297,428,257,158,2447,6,17,10,10,16,3,5,69,16,24,13,11,11,8,3,85,24,42,20,15,26,9,7,156,310,648,443,311,454,264,166,2598,233,227,139,108,125,87,65,988,4,0,4,0,0,3,3,21,552,873,584,424,585,357,231,3607
LGA16610,31,88,71,50,44,14,3,305,5,5,8,0,4,0,0,32,0,3,4,0,0,0,0,8,60,151,123,94,106,18,8,558,7,23,14,14,14,0,0,70,6,17,3,0,10,3,0,40,15,34,15,17,25,4,0,109,76,188,139,112,129,20,8,662,244,220,112,61,76,11,0,721,6,6,0,0,5,0,0,21,322,414,256,168,206,34,8,1400
LGA16650,137,203,153,108,150,97,39,880,25,8,0,6,6,3,3,53,3,5,4,0,12,13,6,44,270,449,325,256,406,237,109,2047,6,10,20,10,10,3,4,59,5,22,11,16,8,12,0,80,18,30,30,23,16,17,4,135,282,480,357,280,424,250,115,2184,278,293,179,105,135,71,54,1116,6,0,3,0,0,0,0,17,569,778,535,383,557,328,162,3316
LGA16700,93,197,122,102,133,75,56,779,13,9,4,0,3,5,0,34,3,0,4,3,5,3,0,23,234,452,287,233,372,262,171,2011,6,10,4,7,8,10,3,51,10,16,16,3,7,3,0,57,15,21,16,15,20,18,4,108,252,474,302,250,390,277,172,2117,173,182,96,76,105,84,52,770,0,0,0,0,0,0,0,7,429,658,400,328,501,358,228,2895
LGA16900,184,323,198,149,193,35,21,1094,23,17,7,7,13,0,0,63,5,12,10,3,0,3,0,37,309,568,380,315,416,132,52,2178,6,57,25,23,20,10,3,142,38,71,42,14,22,0,4,185,46,125,60,32,40,11,5,326,349,693,447,356,461,139,61,2510,445,358,190,127,136,35,15,1307,0,3,11,5,3,0,0,26,793,1059,645,485,600,175,78,3835
LGA16950,211,390,307,192,225,41,9,1387,31,18,8,10,9,3,0,82,0,15,5,3,10,0,0,36,315,614,494,359,482,94,24,2383,10,34,33,25,26,11,3,146,46,70,25,23,19,4,0,191,62,102,61,51,46,17,3,333,380,719,554,413,527,110,30,2722,611,573,338,202,195,24,18,1969,7,15,16,7,7,0,0,52,999,1308,907,622,729,132,49,4743
LGA17000,50,90,46,38,42,18,0,290,7,15,5,3,4,0,0,31,0,3,0,0,3,0,0,4,85,156,93,75,106,31,5,555,6,15,3,9,3,6,0,41,16,22,7,4,7,0,0,52,21,40,8,12,11,6,0,93,102,193,98,89,118,38,5,649,125,137,52,33,29,4,3,385,0,0,0,0,0,0,0,3,226,330,156,119,150,42,8,1040
