LGA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA16150,5,43,48,3,10,36,146,3,37,8,11,3,0,57,40,265,39,21,3,7,378,238,187,70,17,6,5,520,268,78,81,11,9,3,454,633,68,128,8,9,7,860,976,53,165,5,17,4,1221,805,14,106,3,11,0,947,96,3,24,0,3,0,121,17,3,3,0,0,0,27,4,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,3,39,49,29,11,12,4,143,3128,804,712,96,80,57,4880
LGA16200,0,14,47,7,23,34,125,5,13,6,13,4,0,38,70,91,60,20,9,0,260,131,41,89,15,15,3,301,84,10,83,5,5,3,198,142,15,82,4,10,5,259,166,3,65,0,9,0,245,21,0,24,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,23,11,8,0,61,630,215,490,69,88,50,1539
LGA16260,38,250,306,48,39,146,825,10,189,10,28,0,3,246,38,1306,65,83,30,13,1540,61,550,138,152,38,11,952,101,249,132,46,26,3,549,232,247,183,58,221,7,940,1042,193,367,69,93,5,1774,7293,212,957,57,125,17,8667,7814,82,858,12,74,26,8875,3559,22,439,3,24,5,4065,1034,9,163,9,11,0,1224,408,3,71,0,3,0,488,174,0,36,0,3,0,210,113,0,38,0,5,0,158,356,180,200,51,45,37,864,22275,3501,3967,621,738,277,31375
LGA16350,15,121,187,9,23,120,482,4,101,4,15,3,0,127,15,810,57,20,18,9,928,70,465,104,107,8,5,764,126,219,128,38,7,3,524,621,198,252,41,85,6,1207,2241,259,559,69,41,15,3181,6357,239,921,26,62,34,7647,2379,17,328,5,25,4,2766,676,0,75,0,4,0,757,126,3,24,0,12,0,162,48,0,9,0,0,0,63,13,0,3,0,0,0,18,20,3,6,0,0,0,25,197,151,134,15,32,28,564,12909,2601,2788,350,327,230,19206
LGA16380,11,37,104,4,30,105,297,0,32,10,16,8,3,75,19,380,72,29,57,9,554,117,186,138,46,65,3,550,192,89,139,23,21,4,466,603,73,262,19,37,11,990,1272,96,369,18,35,10,1801,1865,20,338,9,31,7,2271,603,0,83,4,3,0,696,156,0,24,0,0,0,185,24,0,6,0,0,0,33,8,0,5,0,0,0,11,5,0,0,0,0,0,9,8,0,3,0,3,0,13,51,42,59,21,16,16,210,4934,957,1616,189,304,163,8160
LGA16400,7,30,87,7,15,55,195,0,26,10,15,0,0,52,17,261,58,35,47,3,418,78,142,71,47,41,3,382,132,65,119,9,42,3,362,411,117,162,5,323,6,1016,1170,43,277,7,103,10,1609,1464,11,234,0,32,5,1747,458,0,63,0,8,0,527,97,0,12,0,3,0,118,27,0,9,0,0,0,35,6,0,3,0,0,0,14,7,0,0,0,0,0,11,4,0,7,0,3,0,13,37,29,51,11,23,15,166,3913,713,1164,142,639,96,6666
LGA16490,7,21,70,4,18,72,200,5,23,3,0,7,0,38,24,181,37,13,17,0,258,252,130,91,37,20,4,531,331,55,68,13,12,3,480,488,60,136,10,118,3,809,634,47,204,10,157,0,1051,934,71,256,6,54,4,1319,373,8,141,0,16,0,539,178,0,39,0,5,0,228,61,0,15,0,6,0,74,20,0,6,0,0,0,29,11,0,3,0,0,0,10,9,0,5,0,3,0,14,51,36,35,10,20,7,155,3362,625,1114,101,440,100,5737
LGA16550,38,197,275,14,19,150,694,3,170,0,19,0,0,196,29,1376,28,22,6,12,1480,61,465,73,67,4,8,677,82,206,85,19,7,3,404,160,136,136,28,54,5,522,365,129,188,36,68,0,788,1516,90,379,81,78,13,2160,3714,60,558,27,44,12,4420,4130,32,554,3,44,11,4773,2436,17,412,5,21,5,2892,1262,4,225,4,15,3,1517,723,0,136,0,16,0,879,1204,3,298,0,19,0,1523,262,182,166,20,31,25,683,15993,3081,3509,351,438,243,23614
LGA16610,3,10,56,10,16,43,139,0,10,9,3,0,0,24,23,69,44,15,28,4,184,161,73,85,46,21,5,393,128,31,84,15,12,4,268,336,34,171,8,22,3,579,454,8,144,6,20,3,637,122,0,31,0,6,3,161,24,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,4,21,9,26,14,8,4,74,1281,247,656,101,131,74,2490
LGA16650,28,31,213,15,14,117,421,0,33,3,3,0,0,41,13,322,33,33,6,0,406,41,100,61,29,7,3,249,50,52,69,17,11,3,203,130,54,80,18,27,0,313,470,33,189,7,25,8,738,2930,36,403,14,44,14,3432,3181,13,376,5,47,13,3633,2248,6,292,13,28,3,2589,789,3,118,3,8,0,925,230,3,48,0,3,0,289,92,0,8,0,3,0,105,119,0,30,0,4,0,154,174,50,141,26,30,21,436,10490,748,2073,186,259,172,13934
LGA16700,25,74,214,4,26,94,441,5,65,9,13,4,3,91,31,498,45,55,4,6,637,36,234,99,62,11,7,452,45,120,65,21,17,6,271,104,91,110,29,69,4,411,578,72,183,33,20,5,890,3255,44,445,27,38,4,3814,3206,27,477,11,30,3,3759,1911,23,286,3,21,4,2244,1099,3,154,3,7,3,1275,391,3,77,3,7,0,485,189,0,30,0,0,0,226,196,0,53,0,3,0,252,169,82,142,54,31,23,503,11245,1344,2404,308,282,170,15747
LGA16900,11,47,83,0,8,34,184,4,46,3,4,0,0,59,7,526,18,6,20,7,585,37,356,42,19,19,5,479,72,143,75,13,3,0,307,244,120,97,23,9,5,493,568,200,203,10,14,6,1014,1384,93,341,7,25,3,1852,722,6,86,0,3,0,815,247,0,20,0,3,0,270,33,0,7,0,3,0,43,5,0,0,0,0,0,3,4,0,0,0,0,0,4,8,0,5,0,0,0,7,42,78,34,10,7,3,170,3377,1614,1013,88,114,75,6286
LGA16950,12,44,158,7,38,138,403,3,48,16,26,11,0,102,34,343,97,30,50,8,572,277,322,217,94,64,14,981,277,113,226,40,43,10,706,785,171,385,33,207,13,1596,1927,114,536,34,91,26,2727,1408,26,294,7,39,12,1777,197,3,48,0,13,0,256,34,0,11,0,3,0,52,21,0,12,0,0,0,29,4,0,3,0,0,0,10,3,0,0,0,0,0,7,6,0,9,0,0,0,20,81,73,96,18,33,10,310,5065,1269,2095,292,590,233,9544
LGA17000,0,19,38,0,22,40,122,4,23,4,0,0,0,33,14,110,23,3,3,0,153,92,74,25,3,19,3,219,90,25,24,0,13,0,149,225,18,31,0,57,0,326,451,28,65,0,20,0,564,379,0,36,0,10,0,425,79,0,13,0,9,0,95,11,0,3,0,0,0,13,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,29,18,16,0,14,4,84,1371,312,293,10,163,50,2200
LGA17040,4,6,66,0,50,72,196,4,4,20,3,7,0,43,61,24,54,8,18,3,168,136,17,92,8,18,3,281,99,10,82,9,16,0,222,211,23,102,3,13,0,350,164,3,67,0,20,0,256,126,0,45,0,14,0,181,18,0,3,0,4,0,30,7,0,9,0,3,0,21,5,0,5,0,0,3,19,6,0,0,0,7,0,10,3,0,0,0,5,0,3,14,0,6,0,3,0,25,11,6,33,0,17,0,73,882,94,590,39,195,79,1883
LGA17080,6,12,49,9,35,45,155,4,4,14,7,10,0,38,42,47,70,3,19,6,180,152,50,107,5,22,0,340,88,28,53,0,14,0,175,129,9,43,0,3,0,188,118,3,33,0,7,0,161,34,4,9,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,8,9,8,23,4,6,3,51,570,161,395,34,113,55,1337
LGA17100,15,27,71,4,12,26,165,0,22,3,3,3,0,32,17,164,22,4,36,5,245,19,75,16,8,6,0,131,29,44,32,8,7,0,115,43,19,35,4,13,4,113,101,30,53,12,6,3,198,899,29,101,4,9,0,1054,1455,10,138,4,11,10,1629,761,0,88,4,6,5,864,268,0,38,0,0,0,307,138,0,23,0,3,0,167,68,0,16,0,0,0,80,74,0,11,0,0,0,81,77,27,54,12,15,7,192,3970,457,703,65,122,67,5381
LGA17150,20,86,218,24,15,154,504,3,81,3,12,0,0,107,10,675,41,49,14,6,796,25,258,48,87,14,3,438,36,147,90,25,9,0,305,129,96,116,32,138,3,513,581,94,257,29,53,4,1012,3293,82,551,17,52,10,3997,3012,43,409,6,22,16,3509,1796,27,239,7,13,3,2088,1065,9,155,0,9,7,1238,480,0,65,0,6,0,553,209,0,33,0,0,0,242,259,0,50,0,5,0,316,169,105,123,63,29,17,503,11088,1691,2393,353,369,220,16118
LGA17200,109,515,468,34,62,199,1387,5,390,9,33,4,4,460,54,2938,72,105,13,32,3215,122,784,160,173,27,8,1277,150,404,179,60,19,3,817,404,260,267,93,67,14,1102,1636,398,601,263,153,23,3069,3493,265,885,198,167,21,5023,6017,87,998,95,64,12,7270,7470,54,1055,22,73,23,8696,6407,32,897,26,62,23,7440,4024,14,705,23,37,10,4815,2152,10,388,9,35,11,2605,3439,4,830,10,65,12,4352,645,313,427,66,86,72,1608,36126,6459,7954,1197,935,457,53121
LGA17310,11,40,129,7,87,114,391,11,42,14,10,3,6,87,80,222,107,12,42,10,470,393,189,163,37,29,12,830,305,55,163,10,26,6,558,753,96,212,18,25,4,1117,1357,42,330,4,36,15,1782,832,11,146,3,14,0,1010,144,0,33,0,4,0,187,20,0,11,0,0,0,30,3,0,3,0,0,0,7,0,0,0,0,0,0,5,3,0,0,0,0,0,3,3,0,9,0,0,0,12,61,53,71,7,51,11,252,3978,762,1395,97,326,175,6729
LGA17350,4,3,43,13,8,20,92,0,3,9,5,0,0,16,25,18,36,5,3,3,101,51,16,42,7,4,0,115,32,3,22,0,3,0,63,75,0,21,0,3,0,98,24,3,13,0,0,0,35,7,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,3,0,18,219,52,188,32,35,24,547
LGA17400,3,0,45,0,16,40,98,3,4,7,9,0,0,18,33,7,30,15,13,3,98,55,19,47,16,5,3,142,50,3,35,0,9,0,100,69,3,26,0,0,3,96,27,0,11,0,0,0,35,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,11,3,0,0,23,247,41,208,45,37,44,626
LGA17420,10,3,133,5,22,88,259,0,7,0,0,0,0,11,7,29,19,34,5,0,89,4,24,41,27,3,0,104,7,10,36,10,0,4,72,36,14,39,11,66,0,159,92,12,90,0,53,0,250,394,6,185,8,26,0,621,1559,6,259,6,19,6,1857,2030,4,200,4,10,9,2252,1168,0,108,3,0,3,1287,429,0,68,4,0,0,511,230,0,23,0,0,0,255,202,0,34,0,3,0,239,91,7,71,31,12,16,220,6269,128,1303,140,221,125,8189
LGA17550,3,22,133,8,22,137,329,0,26,10,9,5,3,58,16,382,84,13,35,11,538,102,181,163,50,98,10,602,103,78,208,13,52,4,453,390,55,284,19,60,13,809,1287,61,595,20,58,10,2033,1859,30,644,22,78,14,2644,850,3,242,0,14,3,1112,256,0,59,0,3,0,321,100,0,28,0,3,0,132,35,0,17,0,0,0,54,18,0,0,0,0,0,18,8,0,6,0,3,0,19,71,60,116,12,24,25,300,5089,898,2593,157,446,226,9413
LGA17620,3,0,55,0,92,69,218,0,8,3,4,3,0,22,36,18,45,12,14,0,118,64,47,63,8,19,0,200,82,18,39,4,13,3,160,180,28,77,0,12,0,307,179,5,59,0,7,0,254,68,0,27,0,3,0,106,17,0,5,0,3,0,28,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,14,5,44,0,81,642,135,400,35,204,79,1496
LGA17640,0,0,54,5,25,39,126,0,0,12,3,0,0,15,10,3,21,7,9,0,53,14,7,25,0,3,0,55,26,4,27,0,0,0,61,53,4,27,0,3,0,80,42,0,30,0,0,0,72,5,0,3,0,0,0,15,3,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,21,156,21,212,17,43,49,504
LGA17650,0,0,24,0,29,30,87,0,0,4,0,4,0,7,9,4,25,3,3,0,47,44,7,34,0,6,4,102,25,0,18,0,7,0,44,54,3,22,0,3,0,82,39,0,16,0,4,0,68,13,0,4,0,0,0,19,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,24,192,22,166,0,69,34,477
LGA17750,13,65,74,11,32,61,261,8,61,8,18,8,3,101,57,397,73,30,14,11,585,583,220,150,29,23,12,1023,308,81,140,10,24,7,569,740,100,240,11,193,3,1286,1574,37,352,4,79,7,2053,920,10,165,3,17,0,1112,187,3,35,0,4,0,233,20,0,11,0,6,0,37,4,0,8,0,3,0,16,3,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,12,63,48,51,15,28,11,207,4493,1017,1324,125,425,122,7503
LGA17850,0,0,16,0,28,30,79,0,0,3,0,0,0,6,7,13,20,0,13,3,51,18,9,23,3,8,3,62,12,11,13,0,0,0,32,18,0,11,0,0,0,30,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,21,58,31,95,3,65,38,289
LGA17900,0,26,56,11,115,59,270,0,3,4,7,14,0,26,13,30,42,21,19,5,130,36,61,42,73,17,8,232,24,32,22,18,8,3,110,12,15,5,10,3,0,51,8,3,8,0,0,0,15,0,0,3,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,17,3,26,3,55,105,174,202,151,195,71,901
LGA17950,0,3,19,0,27,13,65,0,3,4,0,0,0,8,7,7,29,23,10,3,79,14,10,32,7,5,0,63,7,6,9,0,0,3,32,13,0,13,0,0,0,24,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,20,40,31,114,30,64,16,300
LGA18020,0,0,52,6,47,49,157,0,0,12,3,0,3,29,34,28,79,4,12,3,164,102,27,103,7,26,3,266,60,13,53,0,10,0,131,34,4,18,0,8,0,67,5,0,4,0,5,0,22,5,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,5,12,5,19,3,46,249,86,353,28,132,62,907
LGA18050,9,23,130,9,11,95,276,0,11,3,5,4,0,30,14,213,25,8,0,0,262,20,56,30,31,3,0,138,23,21,34,0,5,0,86,70,8,36,7,3,0,131,244,19,97,9,9,0,374,820,16,203,12,14,3,1074,1332,3,294,6,7,5,1656,1761,3,326,3,13,4,2100,1530,0,286,3,10,11,1837,970,0,230,3,9,6,1223,632,0,141,0,6,0,778,1284,0,325,0,7,5,1623,175,21,97,5,15,19,325,8883,399,2266,104,113,152,11920
LGA18100,0,0,23,22,9,16,74,0,0,3,4,0,0,8,19,6,30,9,5,0,66,35,0,15,0,3,0,57,23,3,14,0,3,0,45,11,0,3,0,0,0,18,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,88,14,108,34,24,21,289
LGA18200,5,3,24,11,45,26,112,0,0,5,0,4,0,14,13,7,41,36,13,0,104,73,9,53,11,15,4,169,24,7,25,3,4,0,67,27,4,16,3,3,0,57,23,3,10,0,0,0,28,15,0,6,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,3,6,3,23,187,40,193,70,88,35,606
LGA18230,18,45,66,19,37,66,257,3,33,11,19,7,0,76,99,269,81,55,17,7,519,379,173,123,30,17,8,736,296,64,135,7,15,0,527,609,77,187,5,15,7,896,910,58,261,5,16,3,1256,643,15,110,0,12,3,780,88,0,18,0,3,0,106,13,0,5,0,0,0,14,3,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,9,0,0,0,11,42,48,64,10,20,9,190,3100,772,1076,155,162,105,5370
LGA18250,15,20,155,7,21,83,305,0,18,0,0,3,0,25,10,165,16,5,0,0,198,18,54,30,29,4,0,129,13,23,40,11,5,0,88,30,14,40,6,8,0,103,104,23,66,6,17,0,223,502,24,118,17,8,0,667,1727,10,225,7,15,0,1981,1922,3,247,0,15,3,2199,998,0,147,0,9,3,1164,684,0,109,0,15,3,811,429,0,64,0,7,3,502,833,0,146,0,16,0,1006,142,20,92,6,23,8,297,7435,374,1493,100,163,120,9686
LGA18350,3,8,78,0,42,87,213,3,3,3,3,0,0,16,17,19,28,6,14,0,86,30,124,52,37,5,3,257,65,42,63,17,11,0,206,146,32,75,11,11,0,278,336,78,148,16,6,3,589,709,25,149,10,14,3,904,393,0,80,0,3,0,471,163,0,33,0,0,0,204,50,0,12,0,0,0,66,32,0,3,0,0,0,44,10,0,5,0,0,0,8,25,0,5,0,0,0,38,31,29,37,4,21,7,137,2019,369,780,112,138,108,3518
LGA18400,9,0,59,3,28,51,152,3,4,3,3,4,0,17,0,10,18,0,21,0,46,18,66,29,16,26,3,152,24,17,35,13,7,0,97,50,15,58,7,5,0,136,227,13,88,5,9,0,349,548,14,113,3,12,0,694,287,0,40,0,0,0,328,130,0,20,0,0,0,149,39,0,13,0,0,0,53,20,0,0,0,0,0,24,3,0,0,0,0,0,4,0,0,5,0,0,0,6,28,4,35,5,13,8,92,1392,141,513,54,124,69,2290
LGA18450,35,290,233,22,32,165,782,6,214,20,27,0,4,277,83,2139,128,76,50,32,2508,354,924,260,81,40,17,1673,386,407,229,42,36,18,1114,1113,271,427,35,60,15,1915,2591,399,679,37,57,16,3769,4058,317,905,18,64,12,5381,2227,38,365,7,24,6,2660,842,5,132,3,5,0,992,287,3,58,3,5,3,361,105,0,25,0,0,0,136,53,0,11,0,0,0,64,39,3,19,0,4,0,60,167,286,134,32,32,32,686,12340,5296,3630,378,406,322,22378
LGA18500,12,3,151,3,18,102,281,0,7,3,3,0,0,11,13,25,15,3,0,0,55,11,15,19,3,0,0,50,16,3,34,0,4,0,61,40,0,27,0,4,0,72,231,0,64,0,11,0,316,525,0,106,0,7,3,649,718,0,164,0,8,3,895,1039,0,194,0,4,7,1244,869,0,185,4,3,6,1069,564,0,143,0,4,3,720,405,4,98,0,8,4,517,1343,0,360,0,16,3,1719,117,6,72,3,15,8,223,5912,61,1636,32,109,137,7882
LGA18710,3,0,52,0,22,39,118,0,0,0,16,3,0,25,3,3,17,4,0,0,36,8,21,29,6,6,0,73,13,3,24,0,6,0,48,37,16,42,0,7,0,104,125,19,87,0,6,0,243,124,0,65,0,6,0,201,34,0,30,0,3,0,75,20,0,11,0,0,0,26,6,0,3,0,0,0,8,0,0,3,0,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,6,7,3,12,5,12,3,39,388,68,382,35,82,52,1011
LGA19399,0,0,3,0,13,18,38,0,0,0,0,3,0,0,0,4,0,3,6,0,12,0,0,3,0,0,0,5,0,0,3,0,0,0,4,0,0,3,0,0,0,3,0,0,3,0,0,0,10,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,9,0,9,28,3,44,18,93
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
