LGA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA14870,4,39,46,0,16,34,133,0,9,3,0,0,0,19,20,167,47,5,5,3,240,123,75,88,9,7,3,303,115,36,63,3,10,0,219,263,34,93,3,11,3,410,286,23,51,0,3,5,376,111,3,16,0,0,0,138,13,0,0,0,0,0,13,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,19,3,8,3,76,959,417,426,28,58,46,1931
LGA14900,24,239,203,32,30,159,700,3,181,3,25,4,3,213,21,1302,45,54,28,9,1459,57,780,67,74,26,13,1021,60,341,86,33,23,7,556,291,344,142,32,364,11,1183,1931,304,294,36,143,18,2729,3567,313,614,32,131,25,4681,3277,79,438,12,81,14,3901,1098,9,122,0,24,3,1261,245,7,42,0,6,0,293,65,3,5,0,0,0,73,15,0,3,0,0,0,19,37,0,11,0,0,0,46,201,228,129,29,67,34,689,10894,4134,2209,352,938,293,18823
LGA14920,0,4,37,3,55,30,131,3,8,4,0,3,0,19,18,21,44,21,16,3,121,78,20,54,12,12,0,181,38,4,53,3,4,0,100,90,5,44,0,3,0,141,64,3,15,0,7,0,78,6,0,3,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,4,5,18,0,28,0,56,305,65,274,45,116,40,855
LGA14950,0,0,24,0,10,16,50,0,5,3,3,0,0,13,6,0,16,5,3,0,25,8,4,34,0,5,0,51,8,0,14,0,0,0,23,12,0,7,0,0,0,22,7,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,49,12,100,9,20,15,204
LGA15050,7,68,72,3,15,40,204,3,50,5,10,4,0,77,27,469,36,8,11,7,550,218,290,73,40,34,3,657,166,107,81,8,12,3,379,361,111,169,0,168,9,808,1605,159,325,5,47,10,2138,2359,15,242,0,16,10,2639,288,3,30,0,3,0,330,42,0,10,0,0,0,52,8,0,3,0,0,0,12,3,0,0,0,0,0,6,0,4,0,0,0,0,6,3,0,5,0,0,0,4,57,76,39,15,17,3,208,5137,1349,1094,91,318,87,8073
LGA15240,7,26,192,13,57,151,457,8,37,10,17,10,0,83,101,299,182,42,38,11,673,532,214,258,126,76,10,1220,478,81,270,35,38,11,911,1181,80,331,22,35,16,1660,1791,46,370,9,24,13,2266,1011,13,227,12,16,7,1283,153,0,31,0,0,0,187,6,0,4,0,3,5,21,8,3,3,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,3,9,0,10,0,3,0,20,80,47,78,26,27,19,287,5373,853,1985,302,330,244,9087
LGA15270,8,0,92,0,43,71,221,3,10,8,0,0,0,18,35,27,36,3,3,0,107,111,80,63,18,10,3,284,109,34,76,6,12,0,231,217,36,72,5,11,0,335,453,33,90,0,13,3,598,360,14,53,3,3,0,432,57,0,11,0,3,0,77,6,0,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,13,24,0,15,9,79,1387,245,532,32,108,95,2402
LGA15300,3,13,57,18,132,78,304,4,23,0,15,22,4,71,37,66,50,54,45,3,255,187,109,62,60,27,7,446,73,36,38,0,14,0,167,116,20,43,6,3,0,185,119,7,30,0,7,3,166,70,0,12,0,0,0,89,29,0,3,0,3,0,34,4,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,11,28,24,3,53,4,123,653,305,330,155,308,98,1849
LGA15350,7,0,50,3,3,44,102,0,0,0,3,0,0,7,0,21,10,3,0,0,39,0,7,6,18,0,0,36,9,0,13,9,0,0,32,12,3,16,0,3,0,36,45,3,24,0,0,3,75,463,0,101,0,0,4,569,658,0,115,0,0,0,775,536,0,72,0,3,0,615,292,0,55,0,0,0,352,204,0,42,0,0,0,249,145,0,31,0,0,0,171,499,0,124,0,3,0,626,47,0,38,5,6,6,96,2914,41,698,48,22,60,3779
LGA15520,0,0,49,18,66,47,188,3,0,4,9,0,3,25,31,5,58,12,16,0,127,66,0,45,3,12,0,125,50,0,39,0,3,0,94,86,0,35,0,6,0,127,114,0,21,0,3,0,146,79,0,15,0,0,0,100,18,0,0,0,0,0,26,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,7,3,15,4,13,0,37,459,17,291,50,116,50,992
