LGA_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA11450,103,34,43,3,186,30,10,15,0,65,33,19,42,5,97,10,8,80,0,103,207,33,132,7,376,106,66,208,0,387,637,127,249,16,1033,352,225,295,11,885,473,412,326,14,1231,447,642,270,20,1380,341,793,233,18,1386,381,865,184,17,1448,1062,1976,282,27,3344,750,1713,138,23,2625,410,1250,73,8,1748,245,832,49,3,1129,320,1507,48,5,1882,324,1129,259,9,1723,122,104,50,11,287,6358,11745,2986,216,21309
LGA11500,260,97,151,11,514,82,26,61,9,185,81,75,233,14,405,75,54,339,8,469,518,213,612,23,1368,339,310,898,31,1574,1534,540,999,50,3123,859,924,918,55,2762,1065,1524,955,78,3619,1045,1690,763,60,3552,813,1711,540,60,3121,796,1671,435,47,2956,1568,3291,575,81,5516,871,2233,281,42,3425,408,1436,135,23,1997,226,886,77,12,1194,252,1418,95,14,1778,630,2073,789,27,3525,211,212,237,20,685,11647,20390,9087,660,41780
LGA11520,288,65,99,36,495,92,18,28,12,147,61,23,65,10,163,41,19,78,4,134,320,55,83,6,467,179,91,145,26,436,704,144,172,21,1041,428,216,254,44,943,599,384,300,51,1335,576,445,229,37,1287,400,406,231,32,1069,490,482,165,42,1182,1059,1253,351,68,2737,824,1014,159,33,2035,656,881,63,22,1623,564,978,134,13,1695,1403,3041,96,34,4573,601,1159,275,21,2051,118,73,34,5,220,9405,10740,2968,517,23631
LGA11570,910,462,516,55,1939,334,134,181,16,667,297,370,615,34,1320,223,269,548,31,1070,1681,901,952,74,3611,834,1345,1433,81,3693,3769,2066,1567,143,7546,1769,2899,1529,188,6383,2048,3864,1633,215,7758,1804,3857,1324,203,7185,1143,3326,975,141,5590,1235,3075,788,124,5221,2278,5915,1078,200,9477,1301,3971,564,112,5946,763,2774,256,69,3854,474,1948,202,26,2643,766,3815,230,42,4858,1530,4804,1275,85,7694,471,539,328,38,1372,23619,46332,15988,1884,87826
LGA11600,3,0,0,0,6,0,4,0,0,3,0,0,3,0,9,0,0,4,0,7,10,3,9,0,23,6,3,13,3,18,41,3,10,0,51,22,12,7,0,42,18,29,15,0,63,28,29,3,3,62,27,18,3,0,54,20,26,0,0,48,37,48,4,0,87,24,19,0,0,39,6,9,0,0,22,8,10,3,0,18,17,19,0,0,28,19,53,11,0,89,14,3,4,0,21,298,281,89,10,689
LGA11650,435,83,236,20,775,242,55,107,10,417,207,74,369,20,667,135,51,560,4,749,1481,181,966,61,2694,809,280,1781,62,2928,5539,576,1802,116,8029,2973,1142,1984,182,6272,3425,2128,1983,159,7684,3146,2774,1389,152,7455,1774,2893,1052,69,5788,1925,2997,821,52,5799,3493,5978,1019,104,10590,2065,4430,386,55,6938,1118,2815,163,18,4114,698,1825,148,7,2673,1195,3229,118,13,4556,2051,4450,1629,80,8208,799,342,345,25,1511,33499,36311,16863,1195,87869
LGA11700,3,0,3,0,8,7,0,0,0,7,0,0,7,0,8,0,3,7,0,10,9,3,16,0,25,5,4,7,0,16,16,9,10,0,35,13,12,13,0,37,3,19,5,0,33,12,14,10,0,32,7,7,3,0,11,10,8,3,0,18,8,15,3,0,28,3,8,0,0,8,4,4,0,0,6,3,0,0,0,6,3,7,0,0,11,15,27,14,0,50,10,7,4,0,24,118,141,107,4,370
LGA11720,60,18,38,3,118,42,3,20,4,68,44,20,85,3,159,24,13,151,0,188,274,41,248,15,571,165,66,399,6,634,943,145,438,25,1549,441,241,344,41,1072,492,441,330,27,1291,469,515,177,19,1177,285,488,155,11,945,306,528,119,11,964,581,907,117,6,1610,300,660,36,3,994,173,388,16,5,577,77,244,21,0,335,160,429,14,0,600,315,671,256,9,1250,116,53,97,5,276,5256,5869,3057,211,14392
LGA11730,66,13,31,0,114,64,17,22,3,98,46,24,83,3,152,31,12,121,0,168,447,56,180,21,698,226,82,353,4,670,1442,163,346,25,1973,702,268,340,33,1346,732,455,263,25,1473,622,454,147,18,1252,282,415,97,4,801,338,374,76,7,786,479,554,68,6,1106,235,351,24,4,613,111,199,8,4,316,59,100,11,0,177,105,151,8,0,265,418,626,219,9,1276,144,47,60,6,260,6554,4348,2449,188,13536
LGA11750,3,0,6,0,10,10,0,0,0,12,0,5,3,0,8,4,0,8,0,10,15,4,9,0,36,11,10,12,0,34,60,3,22,3,90,35,10,15,4,61,24,17,12,3,55,32,23,9,0,70,22,29,9,0,61,31,19,10,0,59,61,75,10,6,153,39,62,10,0,109,35,41,0,0,75,11,35,0,0,48,31,49,0,0,90,38,60,16,0,113,20,6,14,0,37,468,460,172,18,1121
LGA11800,93,33,47,0,174,33,16,30,0,79,49,22,83,5,150,34,4,139,0,179,429,62,238,13,744,244,79,442,20,782,1392,192,501,22,2107,833,312,496,40,1676,916,579,439,36,1970,875,686,307,28,1902,480,652,172,6,1311,485,588,128,13,1212,755,1103,153,12,2026,424,715,45,3,1182,200,441,11,0,660,98,284,13,0,402,218,387,18,3,631,509,912,329,8,1764,159,62,98,3,328,8228,7141,3699,210,19270
LGA12000,3,0,3,0,5,3,0,0,0,3,0,7,0,0,8,3,0,4,0,10,30,0,8,0,48,21,0,16,0,38,92,4,23,3,121,38,19,18,5,77,47,33,13,3,100,56,37,11,3,113,30,30,5,0,64,18,42,8,0,76,39,67,9,0,114,19,45,0,0,66,22,28,0,0,49,11,18,0,0,29,11,32,3,0,49,33,68,8,0,121,14,3,3,0,27,496,449,139,22,1103
LGA12150,10,0,3,0,14,0,3,3,0,7,0,3,9,0,7,0,3,12,0,10,13,8,22,0,47,10,6,36,0,49,61,16,20,0,97,24,16,26,5,70,37,29,20,0,83,46,23,13,3,85,18,27,3,0,48,19,29,3,0,49,38,33,12,0,81,22,21,3,0,44,11,15,0,0,29,8,3,8,0,12,12,9,3,0,24,24,53,24,0,107,14,8,13,0,38,378,291,224,19,910
LGA12350,10,3,8,0,22,12,0,3,0,15,20,6,23,0,47,11,3,28,0,51,80,12,48,3,144,40,18,76,6,143,298,29,70,8,409,143,60,78,14,297,177,123,64,13,375,164,132,31,3,325,64,98,18,3,186,77,99,12,0,187,129,173,14,4,328,57,97,3,0,155,29,63,3,0,95,21,30,0,0,51,34,55,4,0,91,98,155,41,4,297,46,11,13,0,74,1518,1163,541,66,3291
LGA12380,665,357,292,37,1353,187,103,89,10,387,180,226,326,21,759,144,182,323,9,662,877,665,506,67,2108,473,932,638,57,2095,2018,1346,793,128,4283,1114,1858,836,130,3935,1353,2463,943,157,4915,1169,2432,694,152,4437,832,2088,566,102,3579,776,1972,430,80,3256,1503,3795,614,133,6046,786,2503,294,78,3666,450,1612,144,41,2246,247,1121,84,13,1465,341,1940,116,33,2426,848,2979,712,55,4596,291,358,207,26,876,14249,28943,8590,1317,53100
LGA12700,15,3,4,0,23,14,3,0,0,15,4,3,12,0,28,3,4,15,0,24,57,6,21,0,92,35,9,40,0,85,173,26,42,3,236,82,31,37,3,157,129,75,38,0,238,109,73,19,0,204,59,92,11,0,166,66,77,17,3,160,114,152,13,3,288,48,107,5,0,161,45,69,0,0,114,19,48,7,0,66,42,74,3,0,116,65,140,46,0,252,23,14,7,0,46,1097,1007,347,23,2471
LGA12730,18,0,9,0,21,13,0,7,0,20,11,5,12,6,23,3,3,18,0,27,48,7,25,0,82,28,3,45,3,76,141,21,44,3,207,70,31,37,7,144,111,68,50,3,237,103,68,36,4,203,62,66,20,3,154,53,62,10,0,133,124,117,12,0,252,57,72,0,0,132,29,43,0,0,75,16,27,3,0,50,37,53,3,0,88,59,120,49,0,225,30,15,14,0,61,1013,797,369,31,2212
LGA12750,51,11,20,0,84,49,8,7,3,65,54,14,51,0,113,28,4,72,0,103,298,33,119,5,458,179,42,189,4,419,1061,103,206,21,1393,587,137,236,17,980,745,274,187,11,1217,633,354,123,14,1125,286,230,63,6,577,294,265,57,4,616,414,380,54,0,847,186,240,18,0,453,106,123,5,0,229,45,60,6,0,111,108,111,12,0,224,361,396,171,11,929,135,36,53,3,233,5625,2807,1638,110,10186
LGA12850,503,337,413,30,1289,168,112,138,25,442,169,247,604,32,1046,122,172,506,20,818,1066,656,776,61,2557,489,855,1002,67,2414,2550,1436,1170,112,5272,927,1811,1234,168,4133,1089,2364,1203,136,4788,897,2296,921,112,4224,554,1911,674,75,3215,500,1833,567,67,2968,881,3173,744,103,4899,482,2168,332,51,3027,262,1420,186,28,1902,141,877,110,15,1141,221,1456,145,16,1833,712,2791,862,55,4418,264,400,276,27,969,11981,26313,11870,1203,51368
LGA12870,16,3,4,0,24,20,3,3,0,22,3,0,16,3,21,10,0,19,0,30,105,6,38,3,157,48,11,53,0,112,304,22,57,8,392,164,48,55,6,272,164,103,41,4,319,163,122,38,6,321,79,91,28,0,194,92,92,12,0,202,144,172,21,3,342,81,103,8,0,195,29,73,0,3,111,9,31,0,0,41,34,44,3,0,73,117,178,41,0,338,71,23,13,0,108,1661,1110,448,36,3264
LGA12900,19,5,3,0,23,8,0,4,0,13,10,5,19,0,31,6,0,17,0,23,52,8,31,0,88,28,11,49,0,90,185,22,43,3,257,98,34,55,3,197,117,93,46,12,268,104,85,33,7,230,52,66,15,0,137,76,61,18,4,153,96,138,13,3,250,45,88,0,3,141,25,69,3,0,96,12,28,0,0,43,28,44,7,0,80,69,119,37,0,224,31,16,22,8,77,1072,896,408,41,2414
LGA12930,607,118,225,43,991,207,39,64,12,325,157,76,149,23,400,102,68,159,11,342,631,171,235,25,1064,344,295,418,27,1083,1495,482,469,43,2487,814,709,554,78,2163,1148,1126,621,111,3005,1042,1245,445,88,2829,746,1202,390,57,2385,717,1292,316,61,2381,1464,2686,516,122,4784,898,2071,275,62,3310,564,1536,101,23,2225,400,1122,111,13,1645,734,3099,138,21,3990,783,2116,500,38,3440,230,142,86,13,475,13072,19592,5778,872,39316
LGA12950,4,0,6,0,15,9,0,0,0,11,0,0,6,0,6,0,0,7,0,7,22,7,20,7,60,10,5,21,0,42,101,5,27,0,139,45,15,27,3,90,46,61,25,3,138,51,31,10,3,91,26,32,4,5,62,28,23,6,0,51,50,41,5,0,97,25,32,0,0,56,10,24,0,0,35,7,12,0,0,23,17,11,0,0,30,26,75,19,5,120,22,4,12,0,39,514,369,203,26,1107
LGA13010,19,3,8,0,24,18,4,4,0,25,16,4,23,0,42,3,0,17,0,24,88,14,38,0,135,42,11,47,0,100,220,31,53,3,303,97,44,51,7,202,129,86,32,3,254,112,82,25,3,224,46,63,19,0,126,64,39,11,0,115,66,84,5,0,153,35,62,5,0,101,17,23,0,0,45,7,12,0,0,20,12,31,0,0,43,72,106,30,3,207,31,7,18,4,57,1084,716,375,31,2211
LGA13310,37,9,14,0,56,32,10,18,0,53,17,5,36,3,57,18,4,52,0,84,144,20,101,3,270,67,36,151,4,259,435,49,162,8,660,268,127,162,13,565,321,180,152,19,672,311,226,129,14,679,153,235,71,10,473,209,229,56,5,501,349,504,68,4,933,198,367,28,4,600,112,237,8,0,358,61,122,5,3,192,107,209,13,3,335,230,368,114,3,709,76,33,42,0,157,3149,2972,1387,108,7615
LGA13340,14,9,0,0,19,18,6,3,0,22,4,3,6,0,23,3,0,17,0,20,49,12,30,3,88,35,16,48,0,93,169,33,45,5,247,100,56,49,0,213,137,96,27,3,262,128,111,23,0,257,68,100,18,0,190,74,82,14,3,176,98,189,13,4,301,72,118,8,0,198,23,57,0,0,84,23,36,3,0,66,39,76,0,0,115,85,156,39,0,277,47,9,16,0,66,1200,1153,349,18,2723
LGA13450,59,16,6,0,83,21,8,3,0,33,15,12,19,3,45,9,7,30,0,44,121,33,52,12,217,55,34,119,3,212,286,79,91,8,461,161,135,113,9,417,221,218,89,13,544,230,275,87,14,601,152,275,66,4,496,148,223,42,3,418,288,439,44,6,777,138,305,25,3,467,93,189,3,3,286,48,103,7,0,164,84,184,11,3,277,148,390,73,4,608,78,51,40,4,172,2344,2957,934,103,6337
LGA13510,16,3,8,0,25,12,3,4,0,15,10,4,17,0,37,11,0,21,4,35,59,16,27,0,105,36,17,58,3,118,285,22,55,0,364,121,59,58,6,248,179,65,46,13,301,135,97,33,3,275,76,100,14,3,197,77,74,10,5,161,124,155,15,0,295,55,94,9,0,157,28,49,0,0,81,17,28,5,0,55,46,50,3,0,98,110,163,47,5,323,43,21,10,4,73,1456,1030,440,47,2966
LGA13550,9,4,8,3,29,3,3,7,0,14,11,0,16,0,27,0,3,25,0,29,48,12,38,6,101,27,11,74,0,115,196,34,59,5,289,84,55,56,6,204,121,79,58,4,265,117,107,30,5,260,69,92,29,3,192,86,112,16,6,220,134,202,21,3,358,90,151,5,5,252,55,87,3,0,141,46,68,4,0,112,66,111,4,0,184,83,173,46,3,303,44,15,27,5,88,1302,1308,526,52,3191
LGA13660,18,9,3,0,26,11,4,3,0,24,5,0,11,0,10,3,0,13,0,16,47,12,16,0,79,16,16,21,0,55,139,10,24,3,178,56,23,23,0,112,68,47,22,0,134,69,62,14,0,143,34,46,3,0,85,32,24,3,0,66,79,62,0,0,143,18,23,3,0,49,7,24,0,0,32,9,9,0,0,14,19,13,0,0,29,43,74,14,0,137,21,11,4,4,39,690,470,185,16,1367
LGA13800,74,23,42,0,145,53,6,24,0,82,32,9,65,3,106,22,8,87,0,122,211,33,161,8,410,110,55,241,9,419,577,89,266,18,942,396,201,277,25,892,526,378,306,27,1231,483,523,257,17,1283,365,650,171,16,1204,381,651,163,14,1207,785,1317,223,29,2357,501,1113,109,4,1733,301,739,49,0,1093,180,526,48,0,750,286,990,33,0,1310,358,970,239,15,1579,99,107,58,10,274,5732,8393,2824,189,17134
LGA13850,10,0,0,0,6,9,0,0,0,10,5,0,7,0,16,0,0,9,0,12,11,9,9,0,28,6,6,15,0,27,42,9,13,0,71,25,7,18,0,52,35,21,6,3,64,33,29,4,0,67,17,21,7,0,47,19,18,0,0,41,33,37,6,0,80,13,20,3,0,35,6,14,0,0,17,0,4,4,0,11,13,15,0,0,27,32,53,10,4,96,14,5,3,0,25,330,273,130,8,737
LGA13910,23,8,21,0,49,18,3,5,0,29,10,11,28,0,51,10,8,61,0,74,119,35,70,3,225,75,27,107,3,205,417,45,102,6,577,188,91,93,11,391,237,164,78,11,490,197,200,52,3,453,122,173,31,3,326,134,168,20,3,325,160,234,29,3,427,100,136,3,0,238,40,93,5,0,134,31,37,3,0,73,72,70,6,3,154,126,287,83,7,496,56,14,19,9,98,2138,1786,816,69,4812
LGA14000,340,80,114,13,545,156,25,38,10,224,99,52,97,8,263,40,34,76,3,154,386,93,152,16,655,200,144,229,16,596,1020,242,266,21,1545,779,382,302,33,1497,1070,657,451,56,2235,972,883,409,37,2303,633,934,359,38,1967,707,1094,301,32,2131,1339,2803,470,64,4675,1005,2455,259,33,3752,671,2059,123,16,2873,533,1935,138,12,2614,1296,5710,155,18,7171,757,2520,476,20,3776,149,146,49,10,358,12146,22244,4486,462,39339
LGA14100,28,8,16,0,56,7,0,0,0,14,3,4,10,0,18,4,3,6,0,15,25,8,11,0,46,12,6,8,0,33,67,11,33,5,114,43,10,28,3,86,66,20,34,3,119,68,35,18,3,127,39,42,24,3,107,55,54,20,3,131,112,135,34,6,283,121,102,23,0,241,78,115,4,3,204,56,154,36,0,246,294,849,27,5,1174,93,275,41,0,401,18,17,12,0,47,1201,1838,378,36,3453
LGA14170,250,85,132,19,484,107,39,52,8,209,68,44,157,14,285,42,23,144,13,221,422,81,284,28,821,214,126,373,38,752,1077,255,431,64,1827,680,348,487,84,1606,986,612,614,106,2321,1059,722,499,117,2388,779,758,450,78,2071,896,810,333,70,2113,2285,1969,622,151,5030,1888,1766,283,89,4027,1472,1647,85,51,3262,1232,1664,271,26,3198,3280,6063,220,63,9624,1381,1829,567,46,3827,183,104,92,15,395,18322,18951,6109,1077,44456
LGA14200,29,8,13,0,58,13,12,7,0,37,10,5,39,0,58,8,7,54,0,70,119,30,87,4,238,57,39,118,4,212,362,59,103,8,533,174,120,90,8,389,201,152,70,11,431,189,161,53,10,411,91,155,29,3,269,110,121,17,7,256,159,188,19,0,374,83,126,6,0,207,35,53,4,0,92,21,45,0,0,68,45,63,0,0,108,124,203,73,3,401,41,11,30,5,90,1874,1553,811,57,4298
LGA14300,7,0,3,0,8,3,0,3,0,9,3,4,9,0,10,3,0,9,0,13,37,3,17,0,53,13,8,32,0,47,91,24,35,0,148,48,20,29,4,96,63,45,23,3,132,47,57,18,3,131,19,43,8,0,71,29,54,8,0,99,60,89,8,0,156,46,48,7,0,97,20,31,3,0,55,12,16,3,0,29,10,32,0,0,45,35,63,29,0,127,13,6,3,0,22,556,543,243,21,1362
LGA14350,43,3,14,4,57,28,3,12,3,57,29,15,50,3,97,18,3,78,4,105,200,30,109,4,345,135,37,253,8,428,775,88,205,17,1087,365,147,218,11,743,373,234,175,18,800,315,240,119,8,682,157,235,80,6,479,164,201,37,4,409,226,330,46,3,596,92,191,14,0,302,51,97,4,0,155,22,32,12,0,64,63,61,0,0,128,198,306,170,10,681,97,34,62,5,201,3353,2293,1661,111,7413
LGA14400,23,0,7,0,39,23,3,3,0,30,15,0,18,0,35,8,3,21,0,32,113,6,31,5,151,78,22,68,0,166,290,29,69,7,399,251,46,77,7,378,338,108,79,5,527,256,134,53,0,450,165,133,48,0,349,172,193,46,3,410,275,354,47,8,683,186,304,23,7,515,116,246,5,0,369,72,178,8,0,262,152,368,10,0,529,175,368,80,0,619,46,9,9,0,64,2748,2524,694,44,6009
LGA14500,299,125,180,26,630,115,30,52,11,214,70,31,88,7,197,30,30,53,3,115,227,61,73,11,376,159,98,145,15,423,487,142,154,15,792,453,221,210,34,923,720,370,275,32,1394,712,419,252,32,1418,483,480,218,25,1199,557,536,215,24,1332,1085,1392,337,43,2860,910,1222,183,32,2348,635,1222,75,14,1952,541,1799,204,5,2546,1998,7826,220,24,10072,656,2548,356,15,3569,132,159,27,4,321,10280,18710,3323,367,32676
LGA14550,9,5,10,0,28,16,7,5,0,21,19,3,18,0,37,6,0,18,0,28,75,13,57,3,150,44,11,58,0,116,240,37,53,4,339,125,39,54,4,227,128,105,38,10,279,126,65,21,3,213,51,54,9,0,123,53,56,7,0,123,79,90,5,0,173,35,49,6,0,86,21,23,0,0,44,12,14,5,0,25,19,34,0,0,58,76,93,40,3,205,20,11,14,3,47,1142,713,424,38,2321
LGA14600,17,9,5,0,24,5,0,3,0,13,8,5,10,0,19,3,0,17,0,22,36,7,19,3,63,13,15,41,3,73,99,24,36,3,158,44,26,32,4,106,79,65,28,3,176,47,56,16,3,128,23,57,17,0,98,38,43,7,3,92,79,76,11,0,173,29,45,0,0,75,16,22,0,0,38,5,18,0,0,21,23,30,0,0,56,52,92,31,4,175,26,9,9,0,49,657,593,273,27,1549
LGA14650,204,50,96,7,353,143,34,60,6,241,129,41,207,17,400,101,31,301,4,433,932,98,617,31,1677,507,158,1002,36,1705,3592,392,1102,65,5143,1880,678,1117,93,3769,2363,1231,1194,88,4871,2059,1604,815,71,4547,1158,1678,573,47,3456,1210,1804,442,42,3497,2315,3733,575,49,6683,1434,3060,216,21,4726,746,2026,68,17,2861,471,1211,67,0,1754,786,2373,81,9,3242,1306,2690,848,38,4883,383,208,182,18,792,21711,23096,9566,661,55032
LGA14700,48,19,34,3,99,22,4,8,0,39,11,5,15,6,30,4,8,8,3,24,44,16,19,5,84,35,20,47,3,108,125,29,52,14,214,117,51,74,17,258,175,98,94,18,387,201,127,80,7,412,153,139,62,11,366,206,161,61,15,442,503,420,122,24,1065,432,342,60,20,854,321,325,17,5,677,292,415,73,0,787,784,1971,66,12,2828,249,538,100,8,896,31,40,14,3,89,3760,4722,1010,171,9657
LGA14750,18,10,7,0,32,6,3,5,0,16,9,3,10,0,29,3,0,32,0,41,64,3,32,0,100,18,13,46,4,84,164,35,59,3,262,79,50,65,3,201,124,101,38,3,264,107,106,20,3,242,74,73,24,4,177,78,105,21,4,207,146,189,19,0,359,62,126,6,6,193,30,64,3,0,96,17,34,3,0,57,19,59,0,0,85,61,139,39,0,246,38,8,9,0,52,1116,1133,443,37,2731
LGA14850,34,12,19,0,72,28,3,24,0,57,26,14,63,3,115,13,13,85,0,106,191,36,187,8,422,137,47,315,13,516,631,121,306,25,1083,417,182,291,23,911,501,382,272,28,1182,465,404,170,14,1060,290,396,141,9,839,305,368,70,10,750,456,630,99,11,1193,204,385,29,3,623,105,233,6,0,343,56,125,13,0,196,119,198,6,3,324,277,449,220,15,964,72,32,49,5,155,4346,4034,2366,169,10918
LGA14870,25,10,13,0,45,27,5,10,3,49,15,9,36,0,69,15,3,57,0,72,119,25,77,0,220,71,30,130,3,236,377,73,148,12,613,213,89,112,15,423,243,128,87,5,461,182,143,61,9,394,100,142,37,3,289,112,128,32,5,279,225,257,52,4,532,94,207,19,5,320,74,124,4,0,208,30,99,3,0,132,69,191,3,0,272,139,251,92,4,491,63,29,32,3,123,2200,1936,1003,70,5215
LGA14900,395,189,227,20,831,195,76,84,15,370,118,159,292,19,584,110,110,369,8,596,719,468,544,31,1755,345,594,786,32,1753,1718,962,911,72,3655,800,1400,998,72,3267,970,2054,965,93,4085,919,2237,801,71,4026,617,2189,585,45,3430,641,2167,469,58,3338,1423,4315,634,93,6466,892,3222,317,49,4479,517,2118,169,13,2822,295,1383,118,9,1801,373,2530,132,21,3066,713,3001,789,55,4559,288,313,236,24,865,12021,29481,9438,800,51746
LGA14920,14,7,5,0,22,0,3,7,0,9,15,0,7,3,25,0,7,30,0,32,40,14,34,0,83,30,6,43,4,83,154,16,51,3,224,66,36,41,3,148,101,64,33,10,210,90,82,24,5,200,47,62,14,3,126,51,55,14,3,116,77,97,3,0,184,45,67,9,0,117,20,43,0,0,61,9,13,3,0,23,29,32,4,0,71,63,108,31,4,200,34,14,14,0,58,887,716,356,38,1991
LGA14950,3,0,3,0,4,6,0,0,0,6,3,0,3,0,5,0,0,4,0,3,21,3,13,0,33,9,7,16,0,28,51,7,4,0,70,34,15,18,0,65,28,28,11,0,77,46,28,11,0,84,24,20,7,0,49,26,30,0,0,62,29,44,6,0,76,19,29,0,0,49,5,16,0,0,26,4,8,0,0,12,20,17,0,0,40,30,58,16,0,100,6,4,4,0,10,365,323,107,7,802
LGA15050,66,22,51,3,144,58,10,27,3,93,37,17,80,8,138,33,18,155,3,207,327,52,223,14,621,186,79,417,20,709,1088,152,506,36,1781,620,269,455,36,1377,718,502,461,40,1718,647,725,341,34,1745,485,747,225,22,1480,481,738,152,6,1381,936,1546,224,25,2734,556,1236,78,14,1883,322,745,28,12,1102,132,488,23,3,647,267,968,18,3,1259,441,1141,285,17,1881,154,72,75,3,306,7558,9533,3840,291,21220
LGA15240,165,30,44,8,252,125,21,39,3,191,94,24,160,3,280,74,9,210,3,299,847,111,348,20,1329,454,118,567,26,1158,2888,295,596,41,3817,1301,476,605,67,2447,1558,768,446,47,2821,1220,817,267,27,2324,554,696,183,6,1436,616,606,123,8,1345,800,927,120,19,1863,431,613,32,9,1090,189,283,13,3,484,116,169,21,3,303,246,265,18,3,533,785,1041,417,18,2263,352,95,137,9,598,12817,7357,4340,320,24837
LGA15270,36,11,8,0,53,26,3,9,0,37,14,11,43,4,70,15,9,52,3,78,153,40,88,3,282,68,31,118,3,215,406,80,135,6,631,206,103,108,17,432,246,185,85,14,524,231,174,56,11,468,129,172,29,0,329,142,177,28,5,347,240,349,45,4,638,146,268,7,3,428,85,165,3,0,253,49,123,5,0,181,130,222,6,0,364,173,347,94,8,620,76,26,28,0,129,2573,2485,945,77,6077
LGA15300,17,4,16,4,39,8,10,13,0,28,8,0,39,3,48,3,4,42,3,50,49,12,53,9,119,15,19,69,7,113,122,35,84,6,248,74,45,67,8,190,103,90,63,9,266,110,97,33,8,255,76,87,33,3,193,93,98,23,5,212,150,194,21,9,371,82,105,10,3,199,50,74,3,0,126,22,33,4,0,60,63,80,0,0,153,84,201,68,6,361,48,33,42,3,127,1178,1219,692,82,3169
LGA15350,23,12,28,3,70,14,3,4,0,26,9,3,14,0,31,3,0,16,0,27,30,0,14,3,48,25,15,30,3,70,64,17,35,4,115,93,31,40,6,168,115,48,58,11,228,159,52,56,3,273,99,55,54,6,212,131,60,50,3,247,355,190,77,14,635,292,159,36,12,497,213,145,17,0,375,233,389,85,3,708,975,1757,64,6,2800,245,557,107,3,916,30,27,15,0,71,3114,3511,807,86,7525
