LGA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA18100,80,448,512,202,140,1380,67,1449
LGA18200,164,670,950,324,190,2298,121,2420
LGA18230,1101,5833,6378,2262,1148,16725,750,17474
LGA18250,3714,11617,7791,1751,636,25504,655,26155
LGA18350,638,5958,6779,2367,1384,17128,635,17759
LGA18400,367,3032,5721,2954,2532,14608,491,15094
LGA18450,6751,26328,25522,8247,4248,71100,2857,73953
LGA18500,2901,9362,6162,1371,602,20399,710,21105
LGA18710,141,1245,2203,1072,692,5353,166,5519
LGA19399,30,113,76,36,46,315,23,336
LGA19499,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0
