LGA_CODE_2016,F_GrDi_GrCer_GrDi_Mng,F_GrDi_GrCer_GrDi_Pro,F_GrDi_GrCer_GrDi_TTW,F_GrDi_GrCer_GrDi_CPS,F_GrDi_GrCer_GrDi_CA,F_GrDi_GrCer_GrDi_Sal,F_GrDi_GrCer_GrDi_MOD,F_GrDi_GrCer_GrDi_Lab,F_GrDi_GrCer_GrDi_IDNS,F_GrDi_GrCer_GrDi_Tot,F_GrDi_GrCer_GradCer_Mng,F_GrDi_GrCer_GradCer_Pro,F_GrDi_GrCer_GradCer_TTW,F_GrDi_GrCer_GradCer_CPS,F_GrDi_GrCer_GradCer_CA,F_GrDi_GrCer_GradCer_Sal,F_GrDi_GrCer_GradCer_MOD,F_GrDi_GrCer_GradCer_Lab,F_GrDi_GrCer_GradCer_IDNS,F_GrDi_GrCer_GradCer_Tot,F_BaDe_BaDe_Mng,F_BaDe_BaDe_Pro,F_BaDe_BaDe_TTW,F_BaDe_BaDe_CPS,F_BaDe_BaDe_CA,F_BaDe_BaDe_Sal,F_BaDe_BaDe_MOD,F_BaDe_BaDe_Lab,F_BaDe_BaDe_IDNS,F_BaDe_BaDe_Tot,F_AdvDi_Di_AdvDi_Di_NFD_Mng,F_AdvDi_Di_AdvDi_Di_NFD_Pro,F_AdvDi_Di_AdvDi_Di_NFD_TTW,F_AdvDi_Di_AdvDi_Di_NFD_CPS,F_AdvDi_Di_AdvDi_Di_NFD_CA,F_AdvDi_Di_AdvDi_Di_NFD_Sal,F_AdvDi_Di_AdvDi_Di_NFD_MOD,F_AdvDi_Di_AdvDi_Di_NFD_Lab,F_AdvDi_Di_AdvDi_Di_NFD_IDNS,F_AdvDi_Di_AdvDi_Di_NFD_Tot,F_AdvDi_Di_AdvDi_AsDe_Mng,F_AdvDi_Di_AdvDi_AsDe_Pro,F_AdvDi_Di_AdvDi_AsDe_TTW,F_AdvDi_Di_AdvDi_AsDe_CPS,F_AdvDi_Di_AdvDi_AsDe_CA,F_AdvDi_Di_AdvDi_AsDe_Sal,F_AdvDi_Di_AdvDi_AsDe_MOD,F_AdvDi_Di_AdvDi_AsDe_Lab,F_AdvDi_Di_AdvDi_AsDe_IDNS,F_AdvDi_Di_AdvDi_AsDe_Tot,F_AdvDi_Di_Dip_Mng,F_AdvDi_Di_Dip_Pro,F_AdvDi_Di_Dip_TTW,F_AdvDi_Di_Dip_CPS,F_AdvDi_Di_Dip_CA,F_AdvDi_Di_Dip_Sal,F_AdvDi_Di_Dip_MOD,F_AdvDi_Di_Dip_Lab,F_AdvDi_Di_Dip_IDNS,F_AdvDi_Di_Dip_Tot,F_Cert_CertIII_IV_Mng,F_Cert_CertIII_IV_Pro,F_Cert_CertIII_IV_TTW,F_Cert_CertIII_IV_CPS,F_Cert_CertIII_IV_CA,F_Cert_CertIII_IV_Sal,F_Cert_CertIII_IV_MOD,F_Cert_CertIII_IV_Lab,F_Cert_CertIII_IV_IDNS,F_Cert_CertIII_IV_Tot,F_Cert_CertI_II_Mng,F_Cert_CertI_II_Pro,F_Cert_CertI_II_TTW,F_Cert_CertI_II_CPS,F_Cert_CertI_II_CA,F_Cert_CertI_II_Sal,F_Cert_CertI_II_MOD,F_Cert_CertI_II_Lab,F_Cert_CertI_II_IDNS,F_Cert_CertI_II_Tot,F_Cert_Cert_nfd_Mng,F_Cert_Cert_nfd_Pro,F_Cert_Cert_nfd_TTW,F_Cert_Cert_nfd_CPS,F_Cert_Cert_nfd_CA,F_Cert_Cert_nfd_Sal,F_Cert_Cert_nfd_MOD,F_Cert_Cert_nfd_Lab,F_Cert_Cert_nfd_IDNS,F_Cert_Cert_nfd_Tot,F_LE_ID_Mng,F_LE_ID_Pro,F_LE_ID_TTW,F_LE_ID_CPS,F_LE_ID_CA,F_LE_ID_Sal,F_LE_ID_MOD,F_LE_ID_Lab,F_LE_ID_IDNS,F_LE_ID_Tot,F_LE_NS_Mng,F_LE_NS_Pro,F_LE_NS_TTW,F_LE_NS_CPS,F_LE_NS_CA,F_LE_NS_Sal,F_LE_NS_MOD,F_LE_NS_Lab,F_LE_NS_IDNS,F_LE_NS_Tot,F_Tot_Mng,F_Tot_Pro,F_Tot_TTW,F_Tot_CPS,F_Tot_CA,F_Tot_Sal,F_Tot_MOD,F_Tot_Lab,F_Tot_IDNS,F_Tot_Tot,P_PoDe_PoDe_NFD_Mng,P_PoDe_PoDe_NFD_Pro,P_PoDe_PoDe_NFD_TTW,P_PoDe_PoDe_NFD_CPS,P_PoDe_PoDe_NFD_CA,P_PoDe_PoDe_NFD_Sal,P_PoDe_PoDe_NFD_MOD,P_PoDe_PoDe_NFD_Lab,P_PoDe_PoDe_NFD_IDNS,P_PoDe_PoDe_NFD_Tot,P_PoDe_DoctDe_Mng,P_PoDe_DoctDe_Pro,P_PoDe_DoctDe_TTW,P_PoDe_DoctDe_CPS,P_PoDe_DoctDe_CA,P_PoDe_DoctDe_Sal,P_PoDe_DoctDe_MOD,P_PoDe_DoctDe_Lab,P_PoDe_DoctDe_IDNS,P_PoDe_DoctDe_Tot,P_PoDe_MasDe_Mng,P_PoDe_MasDe_Pro,P_PoDe_MasDe_TTW,P_PoDe_MasDe_CPS,P_PoDe_MasDe_CA,P_PoDe_MasDe_Sal,P_PoDe_MasDe_MOD,P_PoDe_MasDe_Lab,P_PoDe_MasDe_IDNS,P_PoDe_MasDe_Tot,P_GrDiGrCer_GrDiGrCerNFD_Mng,P_GrDiGrCer_GrDiGrCerNFD_Pro,P_GrDiGrCer_GrDiGrCerNFD_TTW,P_GrDiGrCer_GrDiGrCerNFD_CPS,P_GrDiGrCer_GrDiGrCerNFD_CA,P_GrDiGrCer_GrDiGrCerNFD_Sal,P_GrDiGrCer_GrDiGrCerNFD_MOD,P_GrDiGrCer_GrDiGrCerNFD_Lab,P_GrDiGrCer_GrDiGrCerNFD_IDNS,P_GrDiGrCer_GrDiGrCerNFD_Tot,P_GrDi_GrCer_GrDi_Mng,P_GrDi_GrCer_GrDi_Pro,P_GrDi_GrCer_GrDi_TTW,P_GrDi_GrCer_GrDi_CPS,P_GrDi_GrCer_GrDi_CA,P_GrDi_GrCer_GrDi_Sal,P_GrDi_GrCer_GrDi_MOD,P_GrDi_GrCer_GrDi_Lab,P_GrDi_GrCer_GrDi_IDNS,P_GrDi_GrCer_GrDi_Tot,P_GrDi_GrCer_GradCer_Mng,P_GrDi_GrCer_GradCer_Pro,P_GrDi_GrCer_GradCer_TTW,P_GrDi_GrCer_GradCer_CPS,P_GrDi_GrCer_GradCer_CA,P_GrDi_GrCer_GradCer_Sal,P_GrDi_GrCer_GradCer_MOD,P_GrDi_GrCer_GradCer_Lab,P_GrDi_GrCer_GradCer_IDNS,P_GrDi_GrCer_GradCer_Tot,P_BaDe_BaDe_Mng,P_BaDe_BaDe_Pro,P_BaDe_BaDe_TTW,P_BaDe_BaDe_CPS,P_BaDe_BaDe_CA,P_BaDe_BaDe_Sal,P_BaDe_BaDe_MOD,P_BaDe_BaDe_Lab,P_BaDe_BaDe_IDNS,P_BaDe_BaDe_Tot,P_AdvDi_Di_AdvDi_Di_NFD_Mng,P_AdvDi_Di_AdvDi_Di_NFD_Pro,P_AdvDi_Di_AdvDi_Di_NFD_TTW,P_AdvDi_Di_AdvDi_Di_NFD_CPS,P_AdvDi_Di_AdvDi_Di_NFD_CA,P_AdvDi_Di_AdvDi_Di_NFD_Sal,P_AdvDi_Di_AdvDi_Di_NFD_MOD,P_AdvDi_Di_AdvDi_Di_NFD_Lab,P_AdvDi_Di_AdvDi_Di_NFD_IDNS,P_AdvDi_Di_AdvDi_Di_NFD_Tot
LGA15990,267,990,14,125,198,40,4,8,14,1653,82,269,3,13,48,9,0,0,3,434,3304,9937,435,1511,2543,994,55,257,193,19225,13,17,3,16,11,9,0,4,0,62,739,1425,145,654,1200,353,26,76,44,4663,731,899,247,1030,1438,456,30,98,60,4986,488,492,802,1290,1473,584,65,156,60,5419,90,61,32,102,304,109,8,38,3,741,240,193,67,307,814,271,11,50,31,1985,104,176,28,71,268,87,4,32,19,789,99,222,42,181,317,128,13,60,106,1163,7408,18183,1898,5531,9166,3176,223,808,626,47013,49,132,0,12,19,3,0,0,3,218,260,892,10,20,41,3,5,0,24,1260,2984,5505,185,315,795,338,47,93,164,10436,124,271,4,11,35,13,0,6,9,474,537,1516,52,156,246,63,10,20,25,2623,152,386,7,28,69,18,5,4,7,676,8270,17937,1273,2251,3542,1957,354,681,450,36700,14,19,13,23,11,13,3,4,0,98
LGA16100,0,11,0,0,3,0,0,0,0,21,0,0,0,0,0,0,0,0,0,5,21,91,0,6,20,5,0,3,0,149,0,0,0,0,0,0,0,0,0,0,5,26,0,16,3,0,0,0,0,50,3,3,0,15,19,5,0,4,0,56,20,7,19,32,31,7,3,16,0,132,8,0,0,10,9,6,0,12,0,37,5,0,3,10,9,5,3,3,0,41,0,0,0,0,3,0,0,0,0,3,4,5,0,3,0,4,3,6,3,37,83,171,23,95,93,32,16,43,13,570,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,10,26,3,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,3,9,18,0,0,3,0,0,0,0,27,3,5,4,0,0,0,0,0,0,11,50,119,4,13,27,8,7,8,3,218,0,0,0,0,0,0,0,0,0,0
LGA16150,34,124,3,27,16,3,0,0,0,213,6,52,0,3,10,0,0,0,3,77,174,1322,40,134,186,41,3,23,13,1941,0,0,0,4,3,0,0,0,0,8,54,156,17,94,117,26,3,6,3,465,61,106,21,223,192,39,5,21,0,671,108,121,175,450,432,172,30,89,17,1588,14,3,13,20,56,49,3,17,0,165,18,16,19,55,118,31,3,24,0,287,3,24,0,10,20,7,3,7,0,75,7,22,10,48,34,30,3,36,14,199,526,2251,296,1088,1216,405,51,232,51,6117,0,16,0,0,0,0,0,0,0,17,23,111,8,3,8,0,0,3,0,148,102,425,15,18,46,13,8,14,11,648,6,21,0,0,0,0,0,0,0,32,53,187,3,30,18,4,5,0,0,304,18,69,0,5,11,0,0,0,3,108,361,2033,111,202,244,88,33,61,22,3162,0,7,0,5,3,0,0,0,0,14
LGA16200,3,34,0,3,0,0,0,0,0,53,0,11,0,0,0,0,0,0,0,10,56,299,8,22,39,5,0,10,4,437,0,0,0,0,0,0,0,0,0,3,36,41,0,26,15,3,0,0,0,127,30,40,9,46,50,6,4,5,0,183,52,54,67,175,133,48,13,37,9,581,7,3,3,16,26,13,3,7,0,81,11,7,0,22,39,10,0,7,3,103,3,4,0,4,4,0,0,0,0,24,10,13,3,18,21,20,0,13,8,97,223,540,90,347,331,109,26,77,22,1768,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,29,54,7,5,4,0,0,0,0,100,4,0,0,0,3,0,0,0,0,7,9,54,0,3,0,3,0,0,0,70,6,11,3,0,0,0,0,0,0,25,117,426,28,40,46,11,5,17,12,688,0,0,0,0,0,0,0,0,0,4
LGA16260,107,676,26,92,150,15,0,15,8,1084,46,164,0,7,35,4,0,3,3,269,1570,8007,443,1277,2750,940,131,445,235,15793,0,11,3,14,16,6,0,4,0,45,266,624,107,307,739,203,29,93,30,2393,352,556,165,793,954,326,28,121,39,3330,250,299,428,878,1000,333,45,174,53,3468,33,31,16,77,210,69,8,35,3,490,78,81,55,203,455,105,23,60,6,1064,58,197,28,64,186,55,6,26,20,634,58,139,26,84,183,62,13,60,85,705,3706,15008,1447,4188,7939,2490,326,1152,592,36852,29,124,8,5,19,0,0,0,0,185,147,1170,30,20,36,15,10,6,10,1445,2386,8016,549,567,2101,820,292,335,204,15261,86,293,15,13,55,19,15,12,10,508,244,1086,61,117,228,36,26,27,21,1840,93,247,13,23,55,10,7,6,7,451,4364,16366,1790,1976,4145,1850,860,1151,503,32995,3,12,11,13,17,8,4,7,0,81
LGA16350,61,354,7,88,57,13,0,6,3,583,25,129,0,8,18,3,0,0,0,190,632,3869,155,675,1042,315,44,147,59,6940,9,9,0,20,14,6,0,0,4,65,208,514,54,337,512,105,11,66,33,1838,434,556,171,1058,1097,317,43,104,39,3821,546,550,794,1903,2389,721,172,341,103,7521,65,51,27,122,388,125,26,71,8,879,102,106,50,296,544,122,31,82,17,1345,22,60,11,49,166,34,6,22,11,379,55,122,30,153,255,101,33,100,72,915,2359,7589,1324,4793,6720,1927,384,965,364,26430,5,39,0,3,8,0,0,0,0,63,27,263,7,5,16,3,9,3,0,331,465,1837,92,156,374,116,84,56,28,3206,21,73,3,5,17,4,4,0,0,127,109,490,21,105,81,23,4,14,4,848,60,183,3,24,31,6,6,0,0,310,1427,6001,529,1068,1466,525,328,356,121,11813,16,16,3,27,19,6,3,3,4,93
LGA16380,20,193,4,39,27,13,0,0,0,299,12,65,0,8,14,0,0,0,0,100,204,1803,49,201,264,67,0,30,27,2637,4,3,0,9,3,0,0,4,0,26,92,286,18,160,221,49,0,15,4,856,140,195,50,388,312,110,3,48,16,1271,203,230,360,835,771,333,21,169,20,2944,16,15,16,64,118,74,8,44,0,362,57,34,22,141,182,84,3,36,3,570,8,24,8,15,52,9,0,7,0,122,23,45,20,67,69,53,10,37,20,344,848,3295,551,1944,2056,803,47,393,99,10041,0,27,0,5,0,0,0,0,0,32,13,112,0,0,4,0,0,0,0,133,153,525,20,34,39,8,3,7,4,803,7,28,0,0,4,0,0,0,0,38,43,302,16,48,26,11,3,5,3,453,23,88,3,11,11,0,0,0,0,140,490,2941,119,301,335,105,25,60,42,4413,4,3,0,14,3,0,0,4,0,29
LGA16400,20,108,3,23,17,0,0,0,0,175,7,31,0,4,7,0,0,0,0,56,206,1159,41,177,227,80,12,37,12,1933,0,0,0,5,3,0,0,3,0,15,70,205,22,160,162,39,7,20,11,690,123,164,36,343,285,84,4,39,17,1096,171,202,325,781,698,309,40,172,25,2731,28,11,12,61,100,64,10,41,4,336,36,42,21,97,139,60,12,34,0,440,9,22,3,13,24,14,0,10,0,97,28,46,19,75,64,46,3,45,19,335,767,2239,481,1749,1762,699,86,407,92,8289,3,23,0,0,0,0,0,0,0,25,20,82,3,4,6,0,0,0,0,109,153,340,18,13,42,4,3,13,3,600,4,17,0,0,3,0,0,0,0,24,46,164,5,28,22,0,0,3,3,268,15,46,3,9,13,0,0,4,0,93,453,1789,133,241,297,115,32,67,26,3142,0,3,3,5,3,0,0,3,0,19
LGA16490,64,262,6,57,56,3,0,0,3,448,45,70,0,8,34,3,0,0,0,161,483,1504,73,244,475,106,11,39,43,2969,4,6,0,4,3,0,0,0,0,19,138,161,27,117,220,33,4,14,13,724,171,206,50,250,413,79,3,23,28,1212,179,168,210,394,660,160,9,60,30,1867,23,22,4,39,114,41,3,20,7,270,58,33,11,53,158,32,3,22,7,365,19,17,6,12,37,5,0,3,5,105,21,29,13,44,65,21,0,13,31,234,1472,2991,418,1268,2343,500,33,199,185,9408,5,13,0,0,4,0,0,0,0,22,96,236,4,6,28,3,0,3,5,381,621,781,33,95,195,40,19,14,49,1842,16,40,0,3,10,0,0,0,5,74,141,365,19,67,86,6,3,0,11,693,80,104,3,14,43,8,0,0,6,255,1031,2437,191,373,671,184,39,102,86,5118,4,7,0,10,4,0,0,6,0,29
LGA16550,130,548,7,62,102,27,0,6,4,896,45,171,3,12,22,3,0,0,0,254,1785,6491,247,909,1679,698,28,176,149,12149,5,11,0,11,7,0,0,7,0,42,259,530,77,273,445,173,13,28,21,1822,329,443,100,447,613,173,11,64,17,2198,218,177,305,504,541,201,10,71,26,2064,26,19,11,41,111,37,6,15,0,274,70,95,23,125,280,89,3,33,14,730,44,102,23,50,100,39,0,15,11,383,38,126,16,79,119,55,0,25,54,512,3805,11963,869,2694,4551,1678,78,479,360,26474,24,101,0,5,12,0,0,3,0,152,196,1710,30,6,47,13,5,6,15,2035,1707,4394,161,251,732,298,63,83,112,7803,64,130,3,10,27,11,5,3,4,254,251,853,23,80,135,40,8,13,10,1415,83,220,8,16,39,8,4,3,5,383,3889,11620,760,1409,2413,1269,249,459,298,22361,13,13,8,11,14,0,3,9,0,75
LGA16610,3,25,0,11,3,0,0,0,0,45,3,14,0,0,3,0,0,0,0,17,41,343,13,36,54,11,0,11,3,515,0,0,0,3,0,0,0,0,0,11,20,67,7,42,30,10,3,11,4,184,22,40,16,87,44,18,3,17,7,255,61,80,87,263,214,70,13,81,9,866,8,4,3,20,25,28,0,22,0,111,6,13,5,39,42,11,0,19,0,146,3,3,0,5,8,3,0,0,0,28,7,7,4,29,13,15,0,17,7,99,186,646,134,546,439,158,24,174,25,2335,3,5,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,15,21,58,0,3,3,0,0,0,0,89,0,8,0,0,0,0,0,0,0,8,6,38,4,6,6,0,0,0,0,61,4,18,0,0,3,0,0,0,0,23,97,480,21,60,62,20,3,22,9,769,0,0,0,3,0,0,0,0,0,9
LGA16650,52,221,11,39,44,6,0,9,4,391,16,65,3,0,16,3,0,3,0,102,728,3193,179,727,1119,516,48,392,86,6989,5,4,0,8,8,3,0,0,0,35,168,284,63,224,381,177,18,67,17,1399,213,279,81,458,506,238,15,71,28,1899,164,138,243,505,558,248,34,102,42,2033,28,16,3,46,124,68,6,23,0,309,61,53,28,121,285,81,13,55,3,704,30,68,12,43,109,42,7,43,5,369,37,64,20,76,104,60,8,56,69,489,1826,5790,708,2434,3654,1610,155,910,294,17377,3,32,0,0,5,0,0,3,0,51,56,356,8,16,21,3,3,0,5,461,707,2296,226,287,605,330,90,263,61,4871,33,84,4,13,20,12,10,13,3,184,97,367,19,43,64,16,7,25,5,649,31,88,3,9,24,6,3,4,3,171,1757,5826,778,1112,1686,946,395,965,197,13656,8,4,3,9,13,12,3,0,0,54
LGA16700,75,392,9,46,89,16,0,4,6,637,33,116,3,7,13,3,0,0,0,178,1119,4748,259,657,1631,568,30,179,109,9299,5,5,0,3,3,0,0,0,0,18,207,373,65,218,448,125,16,48,14,1517,241,279,110,374,506,174,11,45,30,1762,117,169,274,444,514,192,22,68,26,1826,28,23,14,37,99,44,4,23,10,272,56,65,26,100,292,78,5,22,6,655,33,83,9,34,114,23,3,8,4,321,28,78,11,48,110,38,7,26,69,406,2553,8972,855,2151,4512,1455,95,460,322,21370,22,59,4,3,13,4,0,0,0,103,116,830,17,13,31,7,3,7,0,1020,1391,4416,262,244,1019,379,69,105,93,7984,48,135,7,9,24,14,0,3,3,244,158,605,19,63,119,33,11,13,11,1032,60,162,6,9,21,7,3,3,0,273,2848,9230,937,988,2389,1077,249,465,253,18427,8,8,6,9,5,3,0,0,0,38
LGA16900,22,175,0,32,19,4,0,0,3,254,6,53,0,0,6,0,0,0,0,70,169,1239,43,194,236,74,3,29,21,2005,3,0,0,10,5,0,3,0,0,24,78,153,17,175,165,34,5,17,4,650,96,187,51,485,341,90,14,29,13,1302,159,235,365,899,762,325,31,156,26,2952,32,14,13,45,113,58,8,28,0,316,48,30,14,151,182,83,6,38,7,558,8,19,6,26,51,17,0,3,0,134,21,38,15,57,76,54,5,52,23,346,703,2432,529,2095,1989,751,72,357,102,9031,0,24,0,0,0,0,0,0,0,24,13,70,0,3,0,0,0,0,0,94,128,375,20,31,48,11,0,4,6,627,3,19,0,0,0,3,0,0,0,27,30,238,3,38,27,4,7,3,3,362,15,68,3,0,9,0,0,0,0,101,384,1851,140,288,316,119,25,65,34,3231,5,4,0,10,5,3,3,0,0,29
LGA16950,47,296,4,61,42,6,0,3,3,466,16,69,4,8,11,3,0,0,0,104,274,1739,46,252,283,99,3,52,22,2774,0,0,0,8,0,0,0,0,0,12,135,310,23,211,185,52,0,33,12,959,167,243,50,480,299,103,5,53,16,1418,241,300,417,1078,803,351,28,234,31,3483,36,22,15,90,145,98,5,43,0,456,54,42,35,180,216,97,7,50,7,690,12,30,6,20,64,20,0,11,0,164,44,54,18,99,97,81,6,49,42,498,1139,3539,633,2528,2203,918,56,528,142,11683,3,20,0,4,3,0,0,0,0,26,25,111,0,5,7,0,0,4,0,149,196,619,24,50,48,13,7,14,12,981,6,33,0,0,4,0,0,0,0,43,73,430,17,72,46,7,3,7,9,663,27,82,5,12,17,3,0,0,3,150,602,2727,161,385,345,148,25,120,45,4560,9,3,3,8,3,3,0,0,0,25
LGA17000,8,54,0,8,3,0,0,0,0,80,4,12,0,0,3,0,0,0,0,25,72,410,16,40,64,25,3,10,4,647,0,0,0,0,0,0,0,0,0,11,25,65,13,30,56,10,6,7,3,210,24,47,23,98,68,18,13,9,3,310,66,62,99,237,269,114,70,68,10,994,11,3,5,34,44,24,13,13,3,151,15,9,6,25,65,19,14,10,5,162,3,8,0,3,17,6,5,8,0,39,15,14,7,22,24,14,3,21,8,115,276,753,161,504,623,226,137,148,32,2864,3,4,0,0,0,0,0,0,0,5,8,11,0,0,0,0,0,0,0,20,62,116,4,5,8,4,4,4,0,204,0,3,0,0,0,0,0,0,0,6,19,69,0,13,8,0,5,0,0,113,8,24,0,0,5,0,0,0,0,42,189,633,53,60,82,27,21,16,13,1096,0,3,0,0,0,0,3,0,0,8
LGA17040,11,53,0,8,5,3,0,3,0,91,3,17,0,0,3,0,0,0,0,28,138,429,17,90,92,34,4,32,6,846,0,0,0,3,0,3,0,0,0,10,54,38,11,58,50,19,0,14,8,248,58,46,15,89,99,41,3,17,3,366,87,59,74,197,201,78,13,55,6,776,23,3,3,26,32,16,0,23,0,124,24,7,4,29,47,23,0,14,3,160,7,3,3,6,9,7,0,5,0,42,25,12,9,19,41,11,4,17,12,150,478,785,141,526,600,238,25,174,45,3021,0,4,0,0,0,0,0,0,0,3,13,25,0,0,0,0,0,0,0,39,81,141,9,8,17,3,0,5,6,274,3,10,0,3,3,0,0,0,0,12,23,79,3,14,8,3,0,3,0,134,12,26,0,0,5,0,0,0,0,42,300,671,46,126,120,48,12,55,12,1391,0,0,0,3,0,7,0,0,0,13
LGA17080,4,24,0,8,6,0,0,6,0,46,3,7,0,0,3,0,0,0,0,14,50,256,9,15,31,3,0,17,4,391,0,0,0,0,0,0,0,0,0,6,38,45,3,20,19,6,0,10,3,142,29,30,5,72,57,3,0,15,0,207,45,35,53,145,117,42,8,45,3,499,9,4,3,16,25,15,5,3,0,73,14,9,4,18,24,15,0,13,0,99,3,0,0,0,5,4,0,0,0,18,21,8,3,16,18,10,0,18,3,92,232,454,82,320,304,102,11,131,12,1652,0,3,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,6,22,50,3,0,10,0,0,4,0,84,0,3,0,0,0,0,0,0,0,9,9,27,0,6,7,0,0,7,0,68,3,5,0,0,3,0,0,3,0,17,130,375,23,29,34,4,11,48,3,656,0,0,0,3,0,0,0,0,0,11
LGA17100,23,95,7,12,21,7,0,0,3,166,5,26,0,0,0,0,0,0,0,35,295,1583,75,259,556,196,8,82,40,3090,0,0,0,3,0,0,0,0,0,7,43,79,24,54,124,45,0,25,8,410,58,78,33,112,136,56,0,24,11,503,35,44,69,138,100,45,5,26,15,471,3,11,9,12,36,10,3,9,0,86,11,19,4,37,58,17,5,6,6,168,10,37,9,12,22,21,0,13,3,132,8,13,5,26,27,10,6,15,19,131,607,2662,268,734,1280,493,36,229,124,6437,4,24,0,4,7,0,0,0,3,35,18,231,0,3,7,3,3,0,3,269,363,1369,105,110,353,182,53,79,48,2654,14,46,0,3,20,3,0,3,4,100,53,154,15,15,30,7,8,6,5,285,10,35,0,3,3,4,0,3,0,54,803,3354,337,406,834,427,156,282,105,6709,3,0,0,4,3,0,0,0,0,12
LGA17150,141,905,12,126,128,18,0,6,12,1343,53,208,7,17,27,6,0,0,0,325,1706,7827,229,988,1786,604,37,113,133,13421,8,14,3,16,19,9,0,0,0,75,501,1104,115,569,1052,277,19,57,27,3717,657,789,195,1135,1595,396,16,68,53,4901,525,510,788,1454,1908,668,61,163,65,6157,69,59,39,119,355,121,12,27,7,811,169,161,76,307,868,246,9,62,25,1936,57,127,26,82,307,76,11,28,8,713,76,179,35,154,298,117,11,35,100,1014,4553,14344,1557,5100,8671,2632,170,584,481,38095,29,84,0,3,11,3,3,0,0,131,106,679,15,10,29,3,0,5,7,852,1476,3506,130,191,483,164,37,44,80,6113,37,139,3,18,21,3,0,5,8,231,292,1283,36,162,184,42,10,6,18,2035,126,272,11,29,51,10,6,4,5,520,4263,12897,745,1617,2570,1080,210,316,272,23973,15,23,15,25,23,20,0,3,0,115
LGA17200,236,827,18,71,147,38,0,5,12,1346,69,212,3,16,49,6,0,0,3,359,3559,10321,598,2114,2697,1498,45,683,265,21786,5,8,7,15,5,10,0,6,0,53,410,587,137,396,430,271,16,102,38,2398,488,565,245,783,600,419,12,203,49,3372,304,274,460,534,501,274,26,95,47,2521,42,40,9,78,101,53,3,11,0,339,121,102,41,140,204,97,4,41,17,759,66,137,35,72,112,49,0,41,13,520,88,127,48,124,81,62,7,61,111,715,7136,18961,1769,4770,6058,3168,139,1348,667,44010,44,152,0,9,17,12,0,0,0,238,292,2393,24,25,68,13,0,4,25,2837,3549,9248,413,620,1727,717,89,210,235,16806,83,272,6,12,45,12,0,7,6,443,513,1538,57,110,233,63,9,21,21,2564,155,364,19,29,70,15,0,5,6,666,7901,22079,1824,3300,4412,2690,352,1566,588,44704,14,21,20,20,14,12,0,12,0,114
LGA17310,26,182,3,31,17,3,0,0,0,264,11,65,3,3,3,0,0,0,0,80,222,1536,34,139,173,47,3,58,13,2225,0,6,0,4,11,3,0,0,0,24,87,237,15,113,121,31,3,15,9,631,108,170,31,330,223,70,3,38,13,985,160,192,276,649,634,252,37,170,21,2394,34,16,10,51,115,60,9,38,0,323,44,30,18,96,158,54,5,48,0,452,8,19,6,11,35,12,0,25,0,114,37,44,10,63,81,47,3,52,27,353,784,2772,418,1508,1579,584,62,443,92,8249,0,12,0,0,0,0,0,0,0,15,8,88,0,0,5,0,0,0,0,99,100,378,14,15,28,12,0,14,6,574,3,16,0,0,0,0,0,0,0,20,41,259,13,37,17,4,3,3,0,375,15,83,4,3,7,0,0,3,0,114,474,2233,96,221,232,74,28,128,25,3506,3,6,3,9,11,3,0,0,0,33
LGA17350,3,19,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,3,29,126,0,15,21,4,0,3,0,198,0,0,0,0,0,0,0,0,0,0,9,16,0,16,10,0,0,5,0,58,10,14,0,26,22,7,0,0,0,75,20,16,31,53,42,24,0,10,3,201,0,0,0,5,17,11,0,4,0,35,11,5,0,11,12,8,0,0,0,44,0,0,0,0,0,0,0,0,0,6,6,3,3,6,6,4,0,4,3,41,97,213,37,135,134,54,3,33,5,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,6,21,0,0,3,0,0,0,0,36,0,0,0,0,3,0,0,0,0,8,52,191,7,21,22,6,3,3,0,307,0,0,0,0,0,0,0,0,0,0
LGA17400,0,18,0,3,3,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,40,97,3,7,17,5,0,7,0,178,0,0,0,0,0,0,0,0,0,0,20,15,0,14,11,0,0,0,0,65,16,8,8,21,14,0,0,3,0,71,22,16,24,65,47,15,3,25,5,219,4,3,0,6,14,3,0,4,0,29,6,0,0,14,7,5,0,3,0,43,3,0,0,0,0,0,0,0,0,8,4,0,0,10,3,3,0,12,6,45,124,170,36,142,117,34,9,53,12,697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,21,0,3,3,0,0,3,0,34,0,3,0,0,0,0,0,0,0,0,73,127,4,14,18,5,3,15,5,262,0,0,0,0,0,0,0,0,0,0
