LGA_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
LGA16650,13,67,68,200,219,448,887,977,245,3117,3,17,74,439,134,258,111,31,10,1073,75,74,91,1251,135,87,63,29,21,1826,3,22,137,565,139,113,60,25,11,1073,0,10,18,125,28,24,17,5,0,228,0,3,11,60,36,14,5,3,0,134,0,12,19,167,57,27,32,21,11,343,0,3,27,115,71,136,260,380,164,1170,4,3,31,189,77,23,9,7,3,341,3,9,38,195,50,33,9,7,0,342,7,58,110,867,754,512,279,106,30,2716,0,8,34,272,82,97,73,29,3,604,0,0,0,12,23,64,110,70,42,314,0,0,0,35,19,18,16,11,3,100,0,0,7,20,9,8,8,4,0,63,16,83,925,2702,71,29,10,0,0,3830,0,0,3,25,11,7,23,14,11,93,17,95,203,646,325,276,102,23,10,1706,0,4,3,30,7,4,7,6,0,64,0,16,31,140,30,22,3,0,0,245
LGA16700,0,11,9,22,24,61,114,120,38,391,18,47,235,1065,398,683,277,75,22,2823,129,178,347,2683,317,245,128,80,24,4128,3,32,199,596,162,114,71,38,15,1232,8,35,60,753,193,212,150,75,41,1515,8,18,10,58,41,23,18,23,0,191,7,13,11,134,77,42,34,23,10,346,6,16,25,135,125,235,436,442,220,1647,10,43,62,249,116,53,31,10,3,577,44,189,602,2222,677,464,240,88,18,4545,3,15,5,142,157,186,159,109,25,796,14,35,137,601,202,221,189,74,17,1481,0,0,0,6,11,22,53,36,9,134,0,0,23,25,19,19,16,7,4,115,0,0,28,67,27,24,25,7,7,183,6,6,76,362,10,0,0,0,0,460,0,3,4,27,24,16,30,28,15,143,19,84,152,469,289,240,128,42,20,1447,0,0,0,10,15,9,4,5,3,49,16,23,55,248,25,21,8,3,0,402
LGA16900,0,0,0,8,10,24,22,29,10,105,0,0,0,10,3,5,3,3,0,29,5,6,13,95,13,20,13,4,3,176,0,3,6,15,3,3,5,0,0,38,0,0,0,13,6,0,4,0,0,26,0,3,3,3,5,0,3,0,0,22,0,7,5,23,13,21,18,32,6,129,0,0,0,8,60,92,104,103,40,412,0,8,0,9,8,0,0,0,0,29,0,5,6,21,4,0,0,3,0,49,0,0,0,8,5,24,8,3,5,53,0,0,8,25,8,7,4,0,0,51,0,0,0,8,17,78,110,35,15,262,0,0,0,3,0,8,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,3,8,6,40,108,66,34,264,7,25,42,204,130,125,60,13,7,606,0,0,0,3,11,10,12,13,3,54,0,3,4,19,9,4,4,0,0,47
LGA16950,0,0,0,7,7,21,55,49,11,151,0,0,3,12,6,13,9,4,0,49,4,21,14,157,16,20,28,13,10,278,0,3,5,34,9,7,7,8,3,73,0,0,0,6,3,0,3,0,0,13,0,0,3,11,3,3,4,0,0,28,0,3,0,30,30,28,45,30,8,176,0,0,7,10,32,47,104,85,18,299,0,10,0,18,9,9,4,3,0,48,0,7,10,29,5,3,0,3,0,44,0,3,0,8,11,9,8,0,3,43,0,3,9,21,13,13,8,8,0,71,0,0,0,3,11,42,96,53,9,216,0,0,0,0,6,12,17,3,0,44,0,0,0,4,0,0,3,0,0,8,0,0,3,28,4,0,0,0,0,37,0,8,3,14,15,76,166,101,29,404,3,50,53,264,216,256,243,88,22,1196,0,0,0,8,15,9,48,17,3,98,3,5,0,9,0,4,3,0,0,20
LGA17000,0,0,0,0,0,4,0,0,0,8,0,0,3,8,6,4,0,0,0,18,0,3,3,29,0,3,0,0,0,43,0,0,3,5,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,6,8,3,0,38,0,0,0,0,0,4,3,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,5,7,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,6,0,0,3,6,3,4,0,0,0,19,0,0,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,6,19,4,3,50,0,30,44,112,130,63,38,15,3,429,0,0,0,7,0,0,3,0,0,9,0,0,0,4,0,0,0,0,0,11
LGA17040,0,0,0,0,3,5,8,7,0,20,0,0,3,13,3,4,0,0,0,31,0,0,0,8,7,0,10,4,0,32,0,5,3,3,3,4,0,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,8,8,0,10,9,0,38,0,0,0,6,4,8,27,23,9,84,0,0,3,4,0,0,0,0,0,17,0,0,0,16,10,0,0,0,0,20,0,0,0,0,3,6,11,4,0,24,0,0,0,7,3,7,0,0,0,20,0,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,13,29,18,5,83,3,4,9,77,72,47,37,5,0,269,0,0,0,4,0,4,10,0,0,17,0,3,0,3,0,0,0,0,0,8
LGA17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,6,0,25,3,3,0,0,0,33,0,0,0,0,4,0,0,0,0,9,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,3,3,4,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,3,0,0,0,8,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,19,8,5,42,0,7,19,66,40,35,18,7,3,189,0,0,0,0,0,0,3,0,0,4,0,0,0,7,0,0,0,0,0,9
LGA17100,0,3,0,3,11,29,50,65,14,174,5,12,81,212,115,170,77,31,3,692,163,282,421,2893,297,178,110,43,25,4411,0,4,26,129,33,24,13,11,0,235,0,0,6,51,7,0,7,0,0,73,0,0,3,20,6,0,3,0,0,30,0,8,18,67,21,6,16,3,0,138,0,4,9,47,42,72,125,111,61,472,0,5,6,41,14,5,4,0,0,87,16,90,523,1390,496,348,137,84,15,3095,0,3,14,141,173,139,99,62,24,653,0,12,48,125,55,67,48,39,4,390,0,0,0,0,3,5,13,9,0,28,0,0,0,13,3,10,5,4,0,35,0,7,7,36,26,10,9,10,0,106,3,26,296,782,25,14,7,3,0,1158,0,0,0,3,0,3,3,6,4,24,4,26,68,114,42,45,29,8,0,331,0,0,3,3,3,0,3,0,0,22,3,20,51,117,35,17,6,0,0,251
LGA17150,3,23,11,52,110,251,296,219,55,1031,4,27,32,203,108,197,89,34,5,706,18,40,73,456,211,116,99,69,22,1108,0,19,23,202,88,61,48,32,10,489,4,9,3,69,17,12,7,4,0,129,0,0,0,20,12,15,8,3,0,61,5,72,17,321,173,95,87,42,25,840,0,7,14,90,128,203,317,264,103,1143,0,23,18,115,57,32,12,0,3,258,0,12,22,104,44,28,10,11,0,228,0,0,7,108,172,161,122,33,14,621,3,12,32,130,103,143,99,36,13,564,0,0,3,9,22,69,142,79,26,354,0,0,0,14,47,51,27,15,4,158,0,0,0,20,3,13,6,3,0,44,0,11,37,141,13,3,0,0,0,217,0,14,10,65,45,70,142,85,67,495,18,135,255,1186,730,540,262,95,45,3258,0,0,6,28,39,33,57,25,11,212,3,13,8,45,17,23,5,0,0,108
LGA17200,0,3,6,85,44,74,185,237,84,713,18,27,636,1011,217,254,123,53,18,2357,53,28,410,1999,168,77,53,13,3,2805,10,35,2029,2699,187,122,109,28,9,5229,0,5,46,531,44,45,19,3,0,704,0,0,7,67,17,10,11,0,0,114,0,10,71,1512,178,72,63,27,16,1943,4,3,211,1113,106,82,112,68,42,1748,17,12,286,1000,271,86,34,16,3,1733,11,27,798,2318,168,100,47,29,6,3493,0,0,19,128,70,68,77,35,8,419,0,8,394,1299,232,213,142,37,9,2332,0,0,0,15,12,25,56,27,10,137,0,0,14,76,20,21,9,8,3,141,0,0,86,73,23,18,14,7,0,211,3,0,72,223,24,8,0,0,0,329,8,10,59,286,49,42,49,29,10,538,18,51,471,2591,1001,775,370,113,34,5425,0,0,21,165,39,20,23,10,0,278,0,3,59,149,10,8,3,0,0,236
LGA17310,0,0,0,0,0,0,3,9,3,19,0,0,5,15,3,7,3,0,0,33,5,10,9,171,19,11,7,5,0,234,0,0,3,11,0,3,3,3,3,21,0,0,0,8,3,0,0,0,0,15,0,0,0,5,3,0,0,0,0,4,0,5,4,18,12,11,8,8,0,60,0,5,0,0,4,4,7,10,3,37,0,3,0,5,6,0,0,0,0,15,0,3,72,87,3,0,0,0,3,175,0,0,0,0,6,5,0,0,0,11,0,0,0,33,6,3,3,4,0,51,0,0,0,0,0,5,7,3,0,17,0,0,0,0,0,0,0,0,0,3,0,0,12,24,3,0,3,0,0,45,0,3,6,33,3,0,0,0,0,44,0,0,3,9,3,20,35,18,3,90,3,12,24,116,85,87,56,20,7,418,0,0,0,0,0,3,0,3,0,10,0,0,3,26,0,4,0,0,0,32
LGA17350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,8,0,0,3,5,0,3,4,3,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA17400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,13,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,9,6,0,19,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,22,0,0,0,16,24,29,22,3,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA17420,0,3,4,18,22,70,87,54,12,269,24,62,135,555,357,594,192,60,8,1986,48,312,361,2616,1043,687,392,189,61,5703,3,26,108,364,156,101,75,27,15,880,4,86,114,770,362,217,73,30,13,1675,0,0,9,70,40,26,13,9,0,174,3,55,28,162,95,89,77,35,7,561,3,7,8,63,101,226,334,234,109,1096,3,19,33,63,42,15,14,4,0,192,18,211,261,951,533,307,123,56,12,2463,0,0,24,178,236,170,117,48,9,778,17,77,104,448,258,391,311,68,21,1695,0,0,0,26,34,104,182,88,23,453,0,3,5,27,52,39,34,9,3,163,0,3,0,56,30,33,30,12,0,169,0,3,19,94,17,7,0,0,0,143,0,16,23,35,44,55,120,50,20,361,28,203,306,614,463,408,206,54,5,2281,0,4,0,17,34,25,29,18,8,131,7,60,62,302,117,84,40,3,7,684
LGA17550,0,0,0,0,7,8,4,11,3,32,0,3,0,10,4,8,3,3,3,38,5,29,21,168,32,32,37,15,14,351,5,4,3,16,13,10,12,3,3,63,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,19,4,43,24,28,29,29,5,191,0,6,3,23,15,31,54,40,27,202,3,13,6,92,26,11,4,6,0,164,4,3,6,22,3,3,3,0,0,42,0,0,0,0,8,3,4,0,0,14,0,0,0,20,25,23,15,4,0,91,0,0,0,0,0,16,30,22,6,76,0,0,0,6,3,3,8,3,0,26,0,0,0,0,0,0,0,4,0,4,0,0,6,18,0,0,0,0,0,21,0,0,3,18,18,45,113,75,25,306,7,96,125,654,448,497,401,222,77,2530,0,0,0,7,19,16,26,23,9,98,0,0,0,9,3,0,3,0,0,16
LGA17620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,16,0,5,0,0,0,31,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,34,4,9,6,3,0,66,0,0,0,0,0,0,3,3,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,5,4,3,0,0,0,11,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,11,4,0,22,3,4,10,49,38,32,29,13,3,184,0,0,0,3,0,3,3,0,0,11,0,0,0,3,0,0,0,0,0,3
LGA17640,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,0,0,13,0,0,0,0,0,0,5,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,3,0,12,0,0,3,15,12,24,10,4,0,69,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA17650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,6,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,15,0,0,3,16,9,13,15,3,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA17750,0,0,0,0,0,7,11,8,0,28,0,0,8,28,6,10,3,0,0,54,15,84,40,408,69,24,10,8,0,651,0,0,3,10,9,6,0,4,0,26,3,23,16,29,8,5,0,0,3,83,0,0,4,20,10,4,0,0,0,36,0,28,0,24,7,3,7,3,0,82,0,0,0,3,0,8,13,7,6,50,0,0,3,6,0,0,0,0,0,19,0,3,10,42,3,0,0,0,0,63,0,0,4,0,0,0,0,0,0,13,13,13,0,51,16,13,7,0,0,113,0,0,0,0,0,0,3,0,0,10,0,0,0,3,0,3,0,0,0,7,3,15,16,86,12,0,0,0,0,138,0,11,3,46,4,4,0,0,0,72,0,0,3,8,4,21,41,16,13,104,3,27,52,113,95,85,44,10,5,442,0,0,0,0,3,3,9,5,0,22,6,16,13,47,4,3,3,0,0,92
LGA17850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,4,3,3,0,7,8,3,6,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA17900,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,9,0,0,3,0,0,3,7,0,0,11,0,3,0,13,11,15,10,4,3,58,0,0,0,0,0,0,0,3,0,5,0,3,0,9,3,0,0,0,0,14
LGA17950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA18020,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,15,0,3,4,0,0,26,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,13,0,0,26,0,0,0,13,3,14,19,3,0,64,0,0,0,0,0,3,3,0,0,3,0,0,0,3,0,0,0,0,0,3
LGA18050,3,3,0,11,13,29,54,64,28,211,9,23,27,72,38,27,10,12,6,216,10,10,13,117,36,33,45,26,17,305,0,0,14,77,18,24,22,8,4,173,0,0,3,47,17,16,13,6,0,98,0,0,0,11,3,0,13,10,3,34,0,9,44,802,80,37,27,20,8,1024,3,9,51,488,48,32,61,91,50,831,3,5,30,172,45,23,11,9,0,306,0,7,16,102,12,15,3,3,3,168,0,0,3,16,27,14,11,8,4,82,3,0,8,60,34,22,15,7,0,153,0,0,0,3,3,6,27,18,4,60,0,0,0,18,5,10,3,0,0,32,0,0,0,5,3,0,0,4,9,16,0,0,5,37,0,0,0,0,0,52,0,5,9,93,23,14,19,18,9,181,5,38,93,933,331,198,97,42,15,1754,0,0,7,62,14,15,8,4,0,108,0,0,0,13,5,8,0,0,0,28
LGA18100,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,8,3,7,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13,8,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,9,0,3,5,17,14,17,10,0,0,65,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA18230,0,0,0,3,3,6,9,8,0,28,0,0,3,5,3,6,3,0,0,26,14,34,15,259,27,18,5,4,0,371,4,0,3,13,0,3,4,0,0,27,0,0,0,24,0,3,0,0,0,27,0,0,0,8,0,0,0,0,0,9,0,9,0,18,5,4,3,4,3,43,0,3,0,4,0,5,13,7,6,41,0,3,0,3,0,0,0,0,0,9,0,0,9,36,0,0,3,0,0,49,0,0,0,5,3,9,7,3,0,27,0,0,3,15,10,9,4,3,0,43,0,0,0,0,0,3,6,0,0,8,0,0,0,0,7,0,0,0,0,5,0,0,0,4,0,0,0,0,0,9,0,13,14,179,3,0,0,0,0,208,0,0,0,6,3,7,20,14,6,66,0,18,38,120,75,53,60,17,4,397,0,6,4,9,3,8,4,0,0,28,9,9,11,39,4,3,0,0,0,72
LGA18250,0,0,0,5,7,17,55,50,14,146,43,105,226,940,357,429,252,102,18,2474,72,181,65,1242,126,86,68,32,19,1895,3,19,93,346,69,68,32,25,5,666,3,14,24,253,78,81,64,30,15,561,0,0,0,11,8,6,0,10,5,42,3,12,0,132,68,37,28,15,14,308,0,0,14,49,24,48,119,139,75,470,57,150,96,595,336,120,53,16,5,1425,32,113,390,1072,340,151,76,26,7,2199,0,0,3,36,61,64,64,34,11,272,10,43,64,444,171,148,114,44,19,1053,0,0,0,0,8,4,3,3,3,22,0,0,0,18,5,9,5,4,0,47,0,0,8,17,5,4,3,7,4,42,0,15,60,272,11,4,0,3,0,362,9,11,9,30,23,18,21,13,10,143,18,91,111,430,305,234,130,40,26,1381,0,0,0,20,24,13,4,5,3,56,8,11,7,79,12,6,11,0,0,130
