LGA_CODE_2016,A0_14_SEO_B00,A0_14_SEO_00_05,A0_14_SEO_06_10,A0_14_SEO_11,A0_14_SEO_12,A0_14_SEO_13,A0_14_SEO_14,A0_14_SEO_15,A0_14_SEO_16,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_SOLSE_VWW_B00,A0_14_SOLSE_VWW_00_05,A0_14_SOLSE_VWW_06_10,A0_14_SOLSE_VWW_11,A0_14_SOLSE_VWW_12,A0_14_SOLSE_VWW_13,A0_14_SOLSE_VWW_14,A0_14_SOLSE_VWW_15,A0_14_SOLSE_VWW_16,A0_14_SOLSE_VWW_YNS,A0_14_SOLSE_VWW_T,A0_14_SOLSE_NWNAA_B00,A0_14_SOLSE_NWNAA_00_05,A0_14_SOLSE_NWNAA_06_10,A0_14_SOLSE_NWNAA_11,A0_14_SOLSE_NWNAA_12,A0_14_SOLSE_NWNAA_13,A0_14_SOLSE_NWNAA_14,A0_14_SOLSE_NWNAA_15,A0_14_SOLSE_NWNAA_16,A0_14_SOLSE_NWNAA_YNS,A0_14_SOLSE_NWNAA_T,A0_14_SOLSE_PinE_NS_B00,A0_14_SOLSE_PinE_NS_00_05,A0_14_SOLSE_PinE_NS_06_10,A0_14_SOLSE_PinE_NS_11,A0_14_SOLSE_PinE_NS_12,A0_14_SOLSE_PinE_NS_13,A0_14_SOLSE_PinE_NS_14,A0_14_SOLSE_PinE_NS_15,A0_14_SOLSE_PinE_NS_16,A0_14_SOLSE_PinE_NS_YNS,A0_14_SOLSE_PinE_NS_T,A0_14_SOLSE_T_B00,A0_14_SOLSE_T_00_05,A0_14_SOLSE_T_06_10,A0_14_SOLSE_T_11,A0_14_SOLSE_T_12,A0_14_SOLSE_T_13,A0_14_SOLSE_T_14,A0_14_SOLSE_T_15,A0_14_SOLSE_T_16,A0_14_SOLSE_T_YNS,A0_14_SOLSE_T_T,A0_14_L_PinE_NS_B00,A0_14_L_PinE_NS_00_05,A0_14_L_PinE_NS_06_10,A0_14_L_PinE_NS_11,A0_14_L_PinE_NS_12,A0_14_L_PinE_NS_13,A0_14_L_PinE_NS_14,A0_14_L_PinE_NS_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B00,A0_14_T_00_05,A0_14_T_06_10,A0_14_T_11,A0_14_T_12,A0_14_T_13,A0_14_T_14,A0_14_T_15,A0_14_T_16,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B00,A15_24_SEO_00_05,A15_24_SEO_06_10,A15_24_SEO_11,A15_24_SEO_12,A15_24_SEO_13,A15_24_SEO_14,A15_24_SEO_15,A15_24_SEO_16,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_SOLSE_VWW_B00,A15_24_SOLSE_VWW_00_05,A15_24_SOLSE_VWW_06_10,A15_24_SOLSE_VWW_11,A15_24_SOLSE_VWW_12,A15_24_SOLSE_VWW_13,A15_24_SOLSE_VWW_14,A15_24_SOLSE_VWW_15,A15_24_SOLSE_VWW_16,A15_24_SOLSE_VWW_YNS,A15_24_SOLSE_VWW_T,A15_24_SOLSE_NWNAA_B00,A15_24_SOLSE_NWNAA_00_05,A15_24_SOLSE_NWNAA_06_10,A15_24_SOLSE_NWNAA_11,A15_24_SOLSE_NWNAA_12,A15_24_SOLSE_NWNAA_13,A15_24_SOLSE_NWNAA_14,A15_24_SOLSE_NWNAA_15,A15_24_SOLSE_NWNAA_16,A15_24_SOLSE_NWNAA_YNS,A15_24_SOLSE_NWNAA_T,A15_24_SOLSE_PinE_NS_B00,A15_24_SOLSE_PinE_NS_00_05,A15_24_SOLSE_PinE_NS_06_10,A15_24_SOLSE_PinE_NS_11,A15_24_SOLSE_PinE_NS_12,A15_24_SOLSE_PinE_NS_13,A15_24_SOLSE_PinE_NS_14,A15_24_SOLSE_PinE_NS_15,A15_24_SOLSE_PinE_NS_16,A15_24_SOLSE_PinE_NS_YNS,A15_24_SOLSE_PinE_NS_T,A15_24_SOLSE_T_B00,A15_24_SOLSE_T_00_05,A15_24_SOLSE_T_06_10,A15_24_SOLSE_T_11,A15_24_SOLSE_T_12,A15_24_SOLSE_T_13,A15_24_SOLSE_T_14,A15_24_SOLSE_T_15,A15_24_SOLSE_T_16,A15_24_SOLSE_T_YNS,A15_24_SOLSE_T_T,A15_24_L_PinE_NS_B00,A15_24_L_PinE_NS_00_05,A15_24_L_PinE_NS_06_10,A15_24_L_PinE_NS_11,A15_24_L_PinE_NS_12,A15_24_L_PinE_NS_13,A15_24_L_PinE_NS_14,A15_24_L_PinE_NS_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B00,A15_24_T_00_05,A15_24_T_06_10,A15_24_T_11,A15_24_T_12,A15_24_T_13,A15_24_T_14,A15_24_T_15,A15_24_T_16,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B00,A25_34_SEO_00_05,A25_34_SEO_06_10,A25_34_SEO_11,A25_34_SEO_12,A25_34_SEO_13,A25_34_SEO_14,A25_34_SEO_15,A25_34_SEO_16,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_SOLSE_VWW_B00,A25_34_SOLSE_VWW_00_05,A25_34_SOLSE_VWW_06_10,A25_34_SOLSE_VWW_11,A25_34_SOLSE_VWW_12,A25_34_SOLSE_VWW_13,A25_34_SOLSE_VWW_14,A25_34_SOLSE_VWW_15,A25_34_SOLSE_VWW_16,A25_34_SOLSE_VWW_YNS,A25_34_SOLSE_VWW_T,A25_34_SOLSE_NWNAA_B00,A25_34_SOLSE_NWNAA_00_05,A25_34_SOLSE_NWNAA_06_10,A25_34_SOLSE_NWNAA_11,A25_34_SOLSE_NWNAA_12,A25_34_SOLSE_NWNAA_13,A25_34_SOLSE_NWNAA_14,A25_34_SOLSE_NWNAA_15,A25_34_SOLSE_NWNAA_16,A25_34_SOLSE_NWNAA_YNS,A25_34_SOLSE_NWNAA_T,A25_34_SOLSE_PinE_NS_B00,A25_34_SOLSE_PinE_NS_00_05,A25_34_SOLSE_PinE_NS_06_10,A25_34_SOLSE_PinE_NS_11,A25_34_SOLSE_PinE_NS_12,A25_34_SOLSE_PinE_NS_13,A25_34_SOLSE_PinE_NS_14,A25_34_SOLSE_PinE_NS_15,A25_34_SOLSE_PinE_NS_16,A25_34_SOLSE_PinE_NS_YNS,A25_34_SOLSE_PinE_NS_T,A25_34_SOLSE_T_B00,A25_34_SOLSE_T_00_05
LGA15650,..,0,28,10,0,7,0,0,0,0,57,..,0,11,0,3,4,4,6,5,0,41,..,0,0,0,0,0,0,3,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,0,11,0,3,4,4,9,5,0,47,..,0,0,0,0,0,0,0,0,0,0,..,4,38,7,10,14,7,15,6,3,100,7,9,6,3,3,0,0,3,8,3,41,0,3,17,3,0,3,4,4,3,0,41,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,17,4,3,3,3,4,3,0,45,0,0,0,0,0,0,0,0,0,3,3,7,12,23,6,3,5,6,9,8,6,89,24,12,20,10,6,6,8,9,0,0,91,6,6,34,10,7,9,9,6,0,4,96,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,6
LGA15700,..,3,13,0,5,0,3,4,0,4,33,..,0,3,0,5,0,4,6,0,0,17,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,5,0,4,8,0,0,20,..,0,0,0,0,0,0,0,0,0,0,..,3,12,0,11,3,9,9,0,6,48,3,8,3,0,0,0,0,0,0,0,20,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,8,12,0,0,0,3,0,0,0,27,15,7,11,3,3,0,0,0,3,7,44,4,0,13,0,3,3,3,6,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
LGA15750,..,0,0,3,0,0,0,0,0,3,9,..,0,7,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,7,0,0,0,0,0,3,0,12,..,0,0,0,0,0,0,0,0,0,0,..,0,8,3,0,3,0,0,3,3,22,4,3,0,0,0,3,0,0,0,0,10,0,4,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,4,7,6,0,0,3,0,3,0,0,22,6,3,10,4,4,3,0,0,0,3,34,3,0,13,5,0,7,4,3,0,6,45,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3
LGA15800,..,0,0,0,0,0,0,0,4,0,6,..,0,0,0,0,0,4,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,6,0,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,6,3,4,0,17,0,4,0,0,0,7,0,7,0,0,15,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,7,6,29,0,0,9,0,0,0,0,0,0,0,10,0,0,3,3,4,0,0,4,3,3,27,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA15850,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,0,0,0,0,0,0,16,3,0,3,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
LGA15900,..,63,190,62,81,54,41,67,26,27,603,..,20,166,63,99,96,75,56,29,30,641,..,0,4,0,9,18,50,43,89,38,252,..,0,0,0,0,0,0,0,0,0,3,..,25,165,59,111,114,131,101,123,65,893,..,0,0,0,0,0,0,0,0,0,0,..,85,356,125,188,167,175,170,145,91,1496,186,212,129,36,31,35,52,71,68,56,864,50,136,208,74,106,122,245,335,244,89,1602,0,5,8,3,13,15,56,80,53,41,279,0,0,0,0,0,0,3,0,0,0,6,51,144,216,74,117,137,302,408,295,133,1887,0,0,0,0,0,0,0,0,0,3,3,244,354,349,110,147,171,355,485,365,185,2759,433,152,270,82,84,75,76,104,40,39,1364,191,176,619,156,204,242,309,280,162,61,2410,4,10,27,5,21,33,57,69,38,33,300,0,3,3,0,0,0,0,3,0,0,8,198,195
LGA15950,..,59,189,65,59,54,61,82,48,49,671,..,19,112,44,66,51,75,83,31,15,497,..,0,0,6,3,6,12,34,31,9,105,..,0,0,0,0,0,0,3,3,0,12,..,19,115,48,70,63,85,123,60,23,611,..,0,0,0,0,0,0,0,0,0,0,..,83,305,115,129,120,144,209,111,76,1284,145,173,79,20,27,28,44,53,31,22,618,61,86,103,29,56,65,97,101,71,25,696,0,3,0,0,0,3,8,12,13,10,57,0,3,0,0,0,0,0,0,0,0,6,61,90,101,29,56,70,106,109,85,42,754,0,0,0,0,0,0,0,0,0,0,0,209,263,180,47,83,93,153,163,116,62,1379,753,248,553,219,246,283,237,270,166,93,3057,510,368,870,224,290,315,370,423,243,79,3687,3,11,21,7,11,16,18,30,15,16,149,6,3,3,0,0,0,0,0,0,0,13,524,381
LGA15990,..,318,1132,311,321,334,309,242,120,148,3238,..,88,373,103,131,139,178,173,59,40,1289,..,0,4,0,5,13,33,40,56,18,173,..,0,0,0,0,0,0,0,0,0,10,..,88,380,105,132,152,213,211,121,64,1469,..,0,0,0,0,0,0,0,0,3,9,..,409,1509,420,453,490,519,456,236,214,4709,527,936,533,79,83,91,110,123,97,101,2683,160,339,330,69,93,172,244,265,193,83,1951,0,0,5,0,0,9,24,31,59,33,153,0,0,0,0,0,0,3,0,0,3,11,160,339,338,67,91,174,269,299,250,120,2111,0,3,0,0,0,0,0,0,0,4,9,688,1279,871,145,176,265,383,420,345,224,4807,1144,464,1161,415,437,451,424,366,199,144,5211,529,528,1570,319,396,484,551,525,276,116,5305,4,18,39,13,19,30,48,68,42,13,296,3,8,10,0,0,0,0,0,3,3,24,534,549
LGA16100,..,0,3,0,3,0,0,4,0,0,11,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,3,5,0,3,0,0,6,0,0,14,0,4,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,4,4,5,0,0,0,0,0,0,17,21,10,3,8,5,0,0,0,3,0,0,24,3,0,7,4,0,0,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
LGA16150,..,13,44,10,20,14,11,5,3,9,131,..,12,30,16,33,24,4,8,6,3,132,..,0,3,0,0,0,0,0,8,0,16,..,0,0,0,0,0,0,0,0,0,0,..,12,35,16,33,24,11,15,16,3,150,..,0,0,0,0,0,0,0,0,0,0,..,27,79,26,52,39,19,21,15,9,283,25,27,27,0,0,10,5,3,4,7,114,6,27,33,10,10,3,20,15,9,3,131,0,0,0,0,4,0,0,4,0,0,7,0,0,3,0,0,0,0,0,0,0,3,6,27,36,10,12,3,17,12,9,8,139,0,0,0,0,0,0,0,0,0,0,0,30,51,66,6,14,18,23,14,13,15,246,72,24,36,6,12,11,3,8,7,4,178,20,35,153,49,66,29,28,33,11,4,433,0,3,8,3,4,7,5,8,3,4,43,0,0,0,0,0,0,0,0,0,0,0,20,36
LGA16200,..,0,12,4,10,9,0,3,3,0,34,..,0,11,4,6,0,0,0,0,0,23,..,0,0,0,0,0,0,3,0,4,5,..,0,0,0,0,0,0,0,0,0,0,..,0,11,4,6,0,0,3,3,3,28,..,0,0,0,0,0,0,0,0,0,3,..,0,22,3,11,8,0,4,5,7,62,3,5,0,0,0,0,0,3,6,0,22,0,0,10,3,9,0,5,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,9,0,5,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,5,12,3,6,0,10,5,6,0,53,11,6,10,5,6,7,0,0,0,0,39,4,10,26,4,14,3,7,3,0,0,70,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,4,5
LGA16260,..,132,425,112,129,171,212,172,109,84,1546,..,251,1229,412,491,555,619,647,340,173,4716,..,0,22,25,47,115,180,424,394,158,1362,..,3,7,0,0,3,8,17,16,4,63,..,255,1251,437,541,677,801,1091,752,335,6140,..,0,0,0,0,0,0,4,7,13,22,..,386,1672,542,670,842,1019,1269,871,432,7708,292,424,232,43,51,50,77,101,86,55,1412,685,1306,1418,387,457,576,903,932,594,262,7518,0,22,37,30,52,75,122,155,114,101,713,0,8,6,0,4,0,3,4,5,0,33,685,1340,1464,419,515,651,1028,1089,716,360,8263,0,0,0,0,0,0,0,3,0,63,68,980,1764,1695,457,565,703,1103,1192,803,481,9740,1151,358,613,155,165,183,176,187,128,98,3213,2707,3251,7538,1215,1500,1937,2133,2274,1352,436,24346,32,135,484,141,203,266,181,230,124,91,1887,10,21,46,7,10,9,12,15,6,11,140,2756,3405
LGA16350,..,77,246,63,88,87,69,58,37,47,771,..,73,341,98,131,138,102,67,26,59,1019,..,0,3,0,6,8,27,22,36,14,111,..,0,0,0,0,0,0,4,3,0,9,..,74,341,99,131,146,120,91,58,74,1139,..,0,3,0,0,0,0,0,0,4,4,..,149,598,163,221,231,190,144,97,116,1914,275,385,187,38,31,28,34,32,18,44,1074,224,444,459,71,75,104,120,96,79,60,1726,0,6,5,0,3,11,9,15,15,6,69,3,0,7,0,0,4,0,3,0,0,17,230,453,471,74,79,111,127,111,94,66,1813,0,3,3,0,0,0,0,0,0,38,45,509,843,655,112,108,141,162,141,116,153,2932,943,257,284,66,81,48,47,48,28,71,1879,807,615,1317,233,226,262,217,176,104,77,4041,9,21,45,15,15,21,36,18,18,15,201,5,8,16,0,3,0,0,0,0,0,37,827,639
LGA16380,..,18,87,16,17,44,19,12,11,20,250,..,4,34,20,15,12,11,4,0,4,105,..,0,0,0,0,0,4,0,0,0,10,..,0,0,0,0,0,0,0,0,0,0,..,4,37,20,15,16,10,10,3,5,110,..,0,0,0,0,0,0,0,0,0,0,..,26,128,31,29,53,32,23,13,24,361,36,63,48,5,5,11,9,4,0,7,190,4,16,25,6,11,3,3,7,9,4,82,0,0,0,0,0,0,3,3,0,3,8,0,0,0,0,0,0,0,0,0,4,4,4,16,25,6,11,7,5,12,9,10,98,0,0,0,0,0,0,0,0,0,0,0,40,85,70,14,14,19,16,8,9,19,287,99,35,82,14,24,17,22,20,12,14,339,21,26,97,21,24,14,19,12,9,9,240,0,0,6,3,0,3,3,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,20,28
LGA16400,..,33,122,36,28,23,16,18,11,13,294,..,0,23,4,9,6,4,18,0,8,72,..,0,0,0,0,0,5,4,3,0,11,..,0,0,0,0,0,0,0,0,0,0,..,0,23,4,9,6,11,17,3,6,80,..,0,0,0,0,0,0,0,0,0,0,..,38,141,40,35,28,26,33,15,24,376,29,72,56,9,12,9,9,7,7,8,213,4,12,30,0,0,4,4,3,0,4,63,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,3,4,14,32,0,0,4,4,3,4,3,70,0,0,0,0,0,0,0,0,0,0,0,39,86,88,9,17,11,9,11,7,12,288,96,41,61,21,18,16,13,9,5,16,293,27,20,82,13,12,14,13,11,9,7,206,0,3,0,0,0,3,0,0,4,3,22,0,0,0,0,0,0,0,0,0,0,0,28,27
LGA16490,..,24,93,25,16,33,26,28,10,8,275,..,5,76,30,23,24,41,28,11,11,246,..,0,0,0,3,0,14,18,10,0,43,..,0,0,0,0,0,0,3,0,0,4,..,5,76,30,23,24,50,50,22,9,294,..,0,0,0,0,0,0,0,3,0,7,..,30,165,60,45,56,74,77,35,22,567,51,77,47,8,9,11,14,15,3,9,247,17,43,70,17,16,30,38,21,23,6,287,0,0,0,0,0,0,0,3,0,4,13,4,0,3,0,0,0,0,0,0,0,4,24,43,73,17,19,29,35,28,21,8,302,0,0,0,0,0,0,0,0,0,0,0,70,121,126,25,27,40,49,41,29,22,552,161,43,91,29,19,21,16,15,7,6,401,109,64,424,70,61,82,103,93,45,16,1066,0,0,8,8,4,3,13,10,3,0,46,0,3,3,0,0,0,0,0,0,0,7,109,66
LGA16550,..,106,321,69,83,86,79,78,50,49,914,..,44,206,75,110,111,126,114,63,32,888,..,0,7,4,7,9,30,88,81,37,260,..,0,0,0,0,0,0,6,3,0,16,..,44,212,75,116,119,161,208,151,71,1158,..,0,0,0,0,0,0,0,0,0,0,..,153,536,143,204,202,235,280,196,115,2075,300,337,189,41,66,109,153,224,212,76,1705,208,369,523,293,468,738,1157,1897,1649,443,7747,0,26,5,8,38,69,131,280,293,170,1015,0,0,0,0,0,3,3,7,5,3,24,204,389,528,305,513,809,1288,2185,1946,618,8784,0,0,0,0,0,0,0,0,3,48,53,507,732,722,349,573,913,1445,2408,2161,742,10544,743,313,1345,555,613,628,533,450,253,115,5551,743,652,1647,383,553,691,887,1009,543,221,7327,0,14,59,19,20,46,71,109,71,41,453,5,3,3,0,0,3,0,3,3,7,29,754,670
LGA16610,..,5,21,0,5,3,0,4,0,3,43,..,0,0,0,0,3,0,0,3,0,12,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,4,0,4,0,18,..,0,0,0,0,0,0,0,0,0,0,..,10,19,3,5,4,5,4,4,3,58,6,8,8,0,3,0,0,0,0,3,24,0,0,6,0,0,0,4,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,8,8,12,0,3,0,4,0,3,3,40,16,6,11,0,4,0,3,0,0,0,39,0,4,11,3,0,0,4,6,0,0,34,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA16650,..,37,110,35,22,37,24,35,20,30,355,..,64,215,59,100,110,108,101,72,48,875,..,0,0,3,6,11,22,71,98,45,268,..,0,0,3,0,0,3,3,3,3,20,..,62,213,69,111,125,137,178,170,96,1157,..,0,3,0,0,0,0,0,0,0,11,..,100,326,102,131,159,163,213,193,127,1516,91,127,89,21,21,39,51,59,34,39,576,202,352,448,183,246,385,559,780,552,189,3898,0,11,16,11,14,31,51,113,107,31,392,0,3,0,0,0,3,3,7,5,4,27,204,369,467,200,266,422,610,897,663,220,4312,0,0,0,0,0,0,0,3,0,0,3,298,496,553,216,287,455,665,959,704,260,4894,492,149,349,113,104,124,99,103,62,51,1655,1130,1165,3455,566,605,932,998,1038,569,248,10693,13,61,151,33,54,71,110,180,150,63,888,3,5,10,0,4,3,5,5,3,9,44,1148,1227
LGA16700,..,67,187,54,68,67,61,80,38,36,653,..,60,381,136,138,149,193,213,57,54,1389,..,0,0,4,14,27,54,142,146,36,423,..,0,0,0,0,3,0,3,8,0,21,..,63,379,146,148,179,248,359,214,100,1839,..,0,0,0,0,0,0,0,0,0,5,..,131,570,203,219,243,310,432,257,135,2489,161,194,102,19,28,40,46,69,77,45,792,250,466,617,225,370,454,713,703,562,193,4546,5,23,33,17,46,62,129,155,136,72,672,0,4,7,0,0,3,7,3,0,8,26,257,492,646,244,419,513,845,859,693,272,5249,0,3,0,0,0,0,0,0,0,0,5,416,691,753,268,448,554,891,925,773,317,6044,572,186,333,81,97,77,98,96,66,52,1659,1297,1484,3213,557,702,822,907,966,500,220,10683,19,38,180,44,85,106,141,129,76,56,885,8,3,16,0,3,7,5,3,0,0,49,1324,1532
LGA16900,..,18,43,24,16,14,11,22,0,18,161,..,6,38,3,14,4,7,5,5,4,90,..,0,0,0,0,3,4,0,0,7,18,..,0,0,0,0,0,0,0,0,0,0,..,6,39,5,14,8,13,6,8,9,113,..,0,0,0,0,0,0,0,0,0,0,..,23,84,30,26,29,29,30,7,27,278,40,72,39,3,0,3,7,6,4,5,186,14,22,52,4,10,7,7,15,4,8,130,0,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,0,0,0,0,0,0,14,24,48,4,7,7,8,14,10,11,142,0,0,0,0,0,0,0,0,0,0,0,51,93,93,3,14,6,18,21,12,18,325,144,35,71,18,13,12,9,6,0,12,330,67,53,92,19,26,27,26,13,10,12,339,0,8,6,0,3,3,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,3,70,58
LGA16950,..,45,101,28,11,19,24,12,11,16,258,..,13,17,3,6,18,19,12,3,14,103,..,0,0,0,3,0,0,10,11,3,22,..,0,0,0,0,0,0,0,0,0,0,..,13,17,3,10,18,20,17,11,17,127,..,0,0,0,0,0,0,0,0,0,0,..,50,119,30,20,38,46,31,16,35,387,73,64,49,10,4,8,0,8,3,15,237,6,13,15,5,8,8,24,14,7,4,100,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,13,19,7,8,11,21,15,8,6,109,0,0,0,0,0,0,0,0,0,23,23,72,72,61,18,16,18,26,25,9,41,367,129,45,81,14,14,8,8,22,7,16,337,39,43,122,19,33,22,32,26,12,9,366,0,0,9,0,3,3,4,10,3,0,32,0,0,0,0,0,0,0,0,0,0,0,39,42
LGA17000,..,10,18,9,13,8,7,3,4,11,88,..,0,8,3,0,6,8,5,0,0,34,..,0,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,0,..,0,8,3,0,4,7,7,0,0,38,..,0,0,0,0,0,0,0,0,0,0,..,11,32,17,15,17,17,13,4,11,129,19,26,22,3,4,3,3,3,0,0,86,3,3,11,4,3,3,3,5,0,0,38,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,11,4,3,3,4,5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,22,30,39,4,9,8,10,7,0,3,129,42,13,30,8,14,4,4,0,0,3,114,3,10,39,4,17,10,7,12,3,0,100,0,3,3,0,0,0,3,3,0,3,12,0,0,0,0,0,0,0,0,0,0,0,3,13
LGA17040,..,4,14,4,6,3,0,3,0,3,39,..,0,7,3,0,0,0,6,0,0,20,..,0,0,0,0,0,0,3,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,0,7,3,0,0,0,9,0,0,27,..,0,0,0,0,0,0,0,0,0,0,..,6,21,9,6,5,0,12,0,5,62,11,14,11,3,0,3,0,4,9,13,67,8,7,14,0,0,4,0,11,0,3,44,0,0,0,0,0,0,3,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,8,7,10,0,0,4,4,9,0,9,59,0,0,0,0,0,0,0,0,0,3,3,16,25,27,3,3,6,4,9,10,29,126,38,4,25,5,4,8,3,5,5,11,109,5,10,8,3,7,10,10,8,9,14,86,0,0,0,0,0,3,16,13,0,4,32,0,0,0,0,0,0,0,0,0,0,0,5,10
LGA17080,..,0,14,3,3,0,0,3,0,0,27,..,0,19,0,4,0,0,10,0,0,29,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,19,0,4,0,0,10,0,0,32,..,0,0,0,0,0,0,0,0,0,0,..,0,33,3,9,0,0,15,0,0,62,0,13,14,0,0,0,0,3,0,3,35,0,0,9,0,0,5,5,0,0,3,23,0,0,0,0,0,0,0,3,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,5,3,0,9,31,0,0,0,0,0,0,0,0,0,3,3,3,13,22,0,0,5,5,4,0,12,64,19,3,7,0,0,0,3,0,0,4,41,3,4,13,3,11,9,11,12,3,4,75,0,0,0,0,0,0,13,4,0,3,23,0,0,0,0,0,0,0,0,0,0,0,3,4
LGA17100,..,8,35,11,19,5,17,17,13,9,130,..,38,190,53,61,98,91,98,46,32,707,..,0,10,4,10,9,22,57,45,23,174,..,0,0,0,0,0,3,0,0,0,6,..,38,198,57,70,100,118,156,99,53,882,..,0,0,0,0,0,0,0,0,0,0,..,51,238,66,81,110,136,176,113,63,1020,60,57,29,4,4,10,31,24,28,13,259,121,309,350,105,137,184,271,277,215,78,2040,0,8,3,4,15,34,45,71,60,44,282,0,0,0,0,5,0,0,0,0,0,16,121,321,358,111,153,217,315,351,272,122,2336,0,0,0,0,0,0,0,0,0,0,3,176,383,387,117,163,223,347,372,298,139,2597,188,54,110,33,30,36,51,63,31,18,620,497,541,1552,236,348,428,483,577,337,126,5127,10,53,121,34,59,66,84,97,58,49,632,0,5,13,0,4,4,0,3,0,5,33,510,596
