LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA10050,0,14,0,182,15,3,0,9,3,9,0,10,3,43,275,366,7,3,3,6,0,4,0,0,3,49,41,118,1005,251,36,828,70,496,20,386,57,1741,345,5235
LGA10130,0,11,0,128,6,0,0,4,3,12,0,4,0,18,149,198,9,3,0,0,0,0,0,4,0,21,17,59,589,177,17,432,30,257,14,212,34,925,177,2867
LGA10250,5,38,0,209,6,0,0,8,0,9,0,3,3,53,211,294,4,7,0,3,0,3,5,10,5,50,28,99,705,311,27,642,48,373,41,435,58,2285,272,5187
LGA10300,0,0,0,6,0,0,0,0,0,0,0,0,0,4,13,21,0,0,0,0,0,0,0,0,0,0,6,7,53,15,0,47,4,27,0,18,3,53,22,248
LGA10470,0,9,0,147,10,0,0,3,0,14,0,7,0,27,170,230,3,0,3,6,4,4,0,0,0,40,26,80,852,142,39,576,43,357,27,286,50,1284,217,3885
LGA10550,4,21,0,93,6,3,3,10,5,7,0,10,0,50,254,344,3,5,4,7,0,3,0,3,0,42,39,97,544,268,43,532,46,320,43,412,71,2119,332,4733
LGA10600,3,0,0,30,0,0,0,3,0,3,0,0,0,19,83,116,4,3,0,0,0,3,0,0,0,18,3,33,163,129,18,198,15,133,18,153,20,641,103,1592
LGA10650,0,3,0,31,0,0,0,3,0,0,0,0,0,13,51,67,3,0,0,3,0,0,0,3,0,17,9,39,129,51,12,150,21,85,14,93,17,451,75,1104
LGA10750,3,21,3,792,72,8,8,24,12,62,5,20,18,147,777,1154,31,3,14,6,4,10,0,14,10,162,152,413,5914,637,155,2480,305,2955,93,1203,265,6902,1056,21958
LGA10800,0,0,0,37,0,0,0,0,0,3,0,0,3,3,28,47,3,0,0,0,0,3,0,0,0,10,9,25,149,30,8,116,10,63,11,46,7,209,43,687
LGA10850,0,3,0,29,0,0,0,3,0,3,0,3,0,4,44,57,0,0,0,0,0,0,0,0,0,8,7,16,168,46,12,131,12,76,8,57,10,232,57,800
LGA10900,3,45,0,455,16,8,3,17,4,12,0,11,3,44,378,490,7,3,4,3,0,3,0,0,0,47,33,105,1433,458,44,1089,87,824,68,739,84,2980,433,8250
LGA10950,0,3,0,19,0,0,0,0,0,0,0,0,0,3,10,18,4,0,0,0,0,0,0,0,0,3,3,10,87,15,4,25,4,23,0,22,0,83,19,282
LGA11100,0,6,0,300,5,0,0,3,3,12,0,5,0,22,232,284,4,0,0,4,0,3,0,0,0,23,18,61,1294,170,36,435,66,430,24,190,36,1043,269,4000
LGA11150,0,0,0,5,0,0,0,0,0,0,0,0,0,6,19,22,3,0,0,0,0,0,0,0,0,4,4,11,63,8,3,36,3,21,0,8,0,37,24,206
