LGA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA12850,80439,83421,163859,1815,1781,3588,6438,6527,12958,121,109,238,95,90,187,33,22,56,46,22,65,0,0,0,8,3,10,10,8,14,3,0,3,6755,6780,13533,1695,2002,3696,185,131,322,10449,10692,21142,5964,5701,11662,96855,99811,196661
LGA12870,4725,4731,9451,300,303,604,147,161,310,196,217,420,27,35,61,11,11,20,11,6,14,0,0,0,0,7,3,0,9,12,0,0,0,406,443,846,12,20,31,17,13,32,732,780,1511,590,626,1218,6051,6126,12177
LGA12900,3726,3640,7364,330,362,698,164,182,349,3,3,9,15,18,32,0,0,0,5,8,8,0,0,0,0,6,7,3,9,11,0,0,0,188,225,413,8,7,15,6,12,20,535,609,1146,486,473,963,4750,4723,9478
LGA12930,56174,59092,115265,1678,1797,3472,5936,6018,11960,101,78,172,128,127,253,39,41,78,58,57,117,11,12,23,10,6,20,51,44,93,0,0,0,6338,6381,12718,2263,2586,4854,144,118,258,10423,10882,21304,4296,4362,8663,70894,74337,145229
LGA12950,1647,1727,3374,107,103,210,85,75,164,0,3,3,6,9,20,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,101,95,198,7,10,21,8,5,12,218,220,438,195,184,378,2064,2125,4195
LGA13010,3221,3352,6570,263,308,568,153,153,304,4,6,13,59,64,120,3,6,6,0,3,10,0,0,0,0,3,5,3,5,6,0,0,0,222,239,459,11,8,16,11,16,29,503,569,1070,633,484,1119,4354,4409,8758
LGA13310,11004,11115,22124,905,993,1904,833,828,1662,21,21,44,40,40,82,4,7,8,12,12,26,0,0,3,0,4,6,54,61,123,0,0,0,972,978,1949,92,85,173,36,23,57,2008,2075,4083,1803,1283,3090,14817,14473,29291
LGA13340,4272,4139,8415,196,219,412,222,219,441,39,62,105,10,12,26,0,4,3,3,4,3,0,0,0,6,3,8,4,3,11,0,0,0,278,314,597,8,17,22,11,0,8,489,553,1040,380,421,799,5143,5107,10252
LGA13450,9566,9619,19189,729,798,1528,506,496,1006,57,57,116,47,51,94,23,15,31,13,17,33,3,0,3,0,3,4,11,16,26,0,0,0,664,648,1307,197,181,375,35,15,50,1623,1645,3270,1445,1408,2853,12636,12670,25305
LGA13510,4347,4460,8803,329,324,657,219,242,460,8,12,22,19,25,45,3,4,8,13,9,18,3,6,8,5,4,7,11,13,22,0,0,0,279,318,594,8,19,24,9,5,15,624,668,1295,487,453,938,5459,5580,11035
LGA13550,4656,4646,9300,356,398,756,340,335,680,3,8,12,62,59,122,4,3,12,18,16,30,0,0,0,3,3,3,0,0,0,0,0,0,435,417,859,24,17,35,21,19,41,830,857,1684,528,535,1063,6017,6033,12051
LGA13660,2035,1973,4006,134,149,287,119,120,239,3,0,3,28,33,63,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,155,160,307,4,3,9,3,0,3,292,312,604,304,274,583,2632,2565,5197
LGA13800,25334,25940,51273,936,933,1869,2486,2576,5061,30,40,71,74,79,146,5,7,16,15,19,34,3,3,3,10,9,18,12,6,16,0,0,0,2637,2740,5372,108,107,217,51,59,117,3735,3845,7575,2487,2473,4961,31552,32264,63817
LGA13850,1127,1101,2224,83,96,180,32,36,67,9,13,24,6,6,7,0,0,0,0,0,0,0,0,0,7,8,13,0,0,3,0,0,0,51,64,122,13,11,19,3,0,8,153,167,323,189,187,375,1468,1453,2923
LGA13910,7175,7361,14530,553,596,1152,401,446,845,21,17,37,38,34,80,5,7,18,3,4,9,0,3,4,6,0,9,36,54,91,0,0,0,517,572,1094,27,27,51,14,15,33,1113,1218,2326,696,742,1438,8981,9313,18294
LGA14000,56997,60023,117022,1292,1406,2695,5213,5404,10616,99,98,194,127,105,228,37,42,79,79,73,150,0,6,7,13,8,23,42,42,83,0,0,0,5610,5770,11380,1268,1529,2805,109,106,211,8279,8810,17095,3622,3583,7204,68903,72418,141317
LGA14100,5496,5627,11130,149,149,302,643,519,1168,7,12,19,16,6,20,0,0,0,3,3,8,0,0,0,0,0,0,3,6,3,0,0,0,676,551,1220,78,96,176,9,7,19,918,799,1709,512,531,1045,6928,6957,13881
LGA14170,63692,67533,131226,2373,2498,4867,9603,10002,19602,308,301,610,272,310,578,101,78,176,159,154,308,27,22,49,19,26,48,105,124,238,0,0,0,10595,11020,21616,2303,2577,4874,220,227,452,15492,16324,31816,8435,8382,16819,87617,92241,179855
LGA14200,6089,6320,12413,545,613,1157,412,428,845,11,9,16,97,92,190,3,3,11,6,8,11,3,0,3,8,7,16,0,0,0,0,0,0,535,546,1080,29,31,55,31,23,57,1139,1215,2356,733,785,1514,7958,8317,16283
