LGA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA16150,14485,15365,29853,1011,1092,2097,1861,1957,3823,36,25,59,76,84,155,8,8,15,36,34,68,3,12,13,9,6,18,20,21,42,0,0,0,2047,2142,4193,102,130,229,56,32,85,3213,3394,6607,1624,1693,3319,19325,20456,39774
LGA16200,5504,5621,11127,450,480,934,284,303,586,9,13,24,37,38,76,17,8,28,9,4,12,0,3,4,3,8,12,6,9,10,0,0,0,359,388,750,11,29,40,19,18,32,842,908,1751,758,789,1547,7106,7317,14425
LGA16260,81899,84187,166087,3492,3206,6704,10430,9926,20357,360,299,659,348,282,631,165,128,295,196,158,356,21,23,43,36,23,55,88,93,179,4,4,4,11652,10937,22585,4609,4903,9520,245,163,412,20006,19217,39223,9674,8056,17725,111581,111456,223039
LGA16350,75181,77431,152617,2106,2305,4410,8840,9194,18036,76,71,141,203,217,416,38,45,78,75,68,140,10,10,17,19,18,40,30,34,59,0,0,3,9283,9658,18939,633,704,1336,214,169,378,12233,12832,25066,7929,7621,15545,95339,97886,193226
LGA16380,28713,31207,59923,1772,2039,3810,2878,3134,6010,84,81,164,303,290,597,23,29,55,38,36,75,24,14,44,18,21,33,36,39,73,0,0,0,3404,3642,7045,153,165,324,82,93,178,5405,5947,11357,3225,3369,6588,37346,40522,77866
LGA16400,26151,26728,52878,1603,1719,3323,2535,2625,5159,79,75,160,176,178,354,36,29,65,37,44,83,14,18,33,38,44,84,31,33,65,0,0,0,2947,3046,5994,143,138,278,91,106,192,4782,5006,9791,3094,3093,6188,34024,34832,68862
LGA16490,21286,21076,42361,758,815,1565,1577,1623,3200,120,104,217,148,150,300,48,38,82,43,44,90,15,10,17,25,35,64,933,938,1871,0,0,0,2908,2944,5846,264,246,512,60,47,110,3987,4052,8043,2479,2403,4885,27751,27528,55279
LGA16550,47662,50834,98497,1890,1978,3865,6454,6858,13316,226,256,482,233,263,497,44,60,99,133,118,249,13,19,35,28,22,56,93,101,189,0,0,0,7226,7699,14924,3519,3763,7277,143,128,276,12773,13571,26345,7916,6341,14260,68361,70738,139097
LGA16610,8744,8892,17633,541,581,1123,593,610,1206,15,18,38,156,159,318,4,4,10,21,16,35,7,3,8,4,5,14,0,0,0,0,0,0,805,816,1619,28,35,62,24,30,50,1387,1463,2852,1049,1016,2058,11181,11364,22553
LGA16650,40384,41830,82208,1363,1262,2630,4768,4743,9510,93,87,179,115,102,222,31,21,56,60,52,113,10,14,22,17,16,31,31,48,76,3,0,5,5127,5080,10206,2028,2099,4122,122,114,239,8637,8558,17198,4344,4258,8601,53364,54644,108010
LGA16700,42547,45056,87603,1619,1689,3303,5403,5708,11110,145,140,285,166,156,318,64,64,121,84,69,147,21,11,27,8,12,16,45,40,89,0,0,0,5931,6192,12122,2213,2561,4773,98,83,182,9863,10523,20388,3443,3547,6988,55849,59124,114971
LGA16900,26681,27956,54636,930,989,1913,2592,2845,5439,30,23,56,109,93,204,10,7,15,20,26,48,3,4,7,8,6,13,21,17,42,0,0,0,2799,3030,5824,147,147,296,72,54,130,3944,4215,8163,2414,2455,4865,33036,34627,67664
LGA16950,37265,38584,75847,2161,2421,4578,3527,3703,7234,91,97,187,209,210,420,23,25,53,64,63,123,23,30,51,36,28,67,121,129,255,10,10,20,4105,4300,8402,204,242,444,120,126,246,6589,7088,13679,4938,4255,9191,48786,49926,98713
LGA17000,8862,8648,17511,625,655,1278,637,619,1260,43,10,56,157,97,258,21,4,29,36,23,66,13,0,15,20,15,33,12,8,27,0,0,0,952,788,1738,37,45,76,26,30,59,1644,1514,3155,1065,985,2050,11567,11148,22718
LGA17040,7789,7416,15204,557,553,1106,512,496,1014,51,38,92,66,57,124,5,12,18,5,11,15,5,3,9,9,16,18,75,66,143,0,0,0,729,708,1435,82,61,145,16,14,36,1380,1334,2719,1196,931,2129,10370,9686,20051
LGA17080,5492,5482,10970,363,381,741,322,321,644,33,32,66,48,42,96,3,0,3,11,17,21,0,3,3,3,0,3,3,14,18,0,0,0,420,428,850,35,31,59,10,6,17,818,848,1668,885,723,1607,7198,7050,14250
LGA17100,14589,14668,29258,677,528,1203,1859,1801,3655,81,57,137,68,68,134,16,12,28,28,20,40,4,0,7,6,13,20,15,17,35,0,0,0,2074,1988,4058,1060,997,2052,51,42,97,3863,3545,7412,1751,1461,3212,20204,19674,39881
LGA17150,87760,92260,180019,2152,2243,4398,7529,7901,15426,100,97,195,214,205,419,25,23,45,76,69,146,9,8,15,22,16,31,43,46,91,0,3,0,8007,8367,16376,770,853,1629,174,201,378,11110,11667,22778,6558,6580,13144,105433,110509,215942
LGA17200,62782,57558,120337,4307,4301,8608,12915,12726,25645,704,691,1394,632,641,1278,147,160,306,363,303,669,60,42,100,54,48,102,247,276,530,3,3,3,15134,14893,30020,8028,9171,17199,349,294,645,27824,28653,56478,16337,13407,29745,106943,99617,206556
LGA17310,21601,22911,44514,1306,1475,2780,2336,2534,4875,52,39,87,186,172,359,25,25,47,19,17,32,9,4,15,14,12,34,28,16,44,3,3,8,2681,2826,5501,257,183,437,66,50,122,4308,4528,8839,2811,2793,5604,28724,30226,58953
LGA17350,2440,2462,4897,172,194,363,139,126,266,3,3,10,11,8,15,0,0,0,3,3,6,0,0,0,0,0,0,3,3,4,0,0,0,159,149,309,3,5,8,3,6,11,345,349,691,226,228,446,3005,3035,6034
LGA17400,2537,2573,5110,103,138,244,101,111,207,0,3,3,76,98,173,0,0,0,4,0,9,0,0,0,6,0,3,0,3,3,0,0,0,189,211,402,4,6,10,10,11,17,311,370,674,389,412,798,3234,3348,6582
LGA17420,63629,65750,129377,1222,1244,2473,6448,6587,13031,140,125,269,159,167,324,44,45,88,86,78,163,4,8,13,15,8,25,49,42,91,4,0,3,6953,7058,14007,1116,1300,2419,85,85,163,9379,9683,19068,3655,3604,7260,76663,79039,155702
LGA17550,33203,35556,68757,1628,1801,3433,2622,2890,5515,163,162,327,1410,1563,2969,25,27,56,74,83,155,36,29,68,40,42,82,33,25,58,0,0,6,4397,4828,9229,278,260,540,117,131,252,6426,7027,13446,4040,4275,8315,43667,46854,90518
LGA17620,5341,5455,10801,362,368,726,393,412,804,16,20,38,38,14,55,0,0,4,3,7,11,0,3,4,3,3,3,0,0,0,0,0,0,458,461,922,27,36,62,19,20,37,861,885,1745,688,720,1409,6889,7063,13950
LGA17640,3125,3038,6167,144,143,285,189,199,389,0,5,5,10,3,17,0,0,0,0,0,0,0,0,0,0,0,3,29,33,66,0,0,0,236,245,474,10,5,14,6,4,18,390,399,792,351,310,661,3871,3747,7621
LGA17650,2400,2546,4947,84,104,184,182,191,374,0,0,4,18,20,41,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,203,218,419,3,11,16,3,10,7,299,334,630,208,217,432,2910,3102,6004
LGA17750,22479,23455,45933,1224,1406,2626,2874,3161,6039,222,227,445,311,296,604,74,53,130,57,54,113,22,18,42,39,42,83,76,74,145,0,0,3,3680,3927,7604,212,232,450,77,52,127,5192,5608,10801,2412,2415,4825,30085,31481,61561
LGA17850,1210,1195,2411,73,62,139,61,70,126,0,0,0,7,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,78,147,3,7,7,0,0,0,141,153,290,180,182,359,1529,1527,3055
LGA17900,2411,2108,4520,139,148,290,135,146,284,6,9,13,21,18,34,3,4,5,0,3,5,4,0,4,3,0,6,0,0,0,0,0,0,175,180,361,6,3,12,19,16,34,339,347,692,445,391,835,3196,2849,6046
LGA17950,1069,1082,2157,43,44,82,66,44,114,0,0,0,7,3,10,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,73,57,128,3,0,3,3,0,4,117,97,220,154,161,315,1339,1348,2691
LGA18020,3636,3590,7223,205,230,435,200,211,410,3,4,10,7,18,32,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,219,239,460,8,19,23,15,3,18,441,492,933,569,570,1134,4643,4654,9295
LGA18050,22062,23311,45372,1130,1118,2246,2998,3297,6297,124,136,260,104,125,227,20,16,33,70,80,154,3,0,11,9,11,26,21,23,45,3,0,4,3355,3699,7054,1413,1533,2943,85,67,153,5983,6415,12397,3966,4188,8151,32015,33909,65921
LGA18100,1457,1454,2912,78,75,151,72,70,139,0,0,3,3,9,16,0,0,0,0,0,3,0,0,0,0,0,0,3,4,10,0,0,0,88,90,176,4,11,11,0,3,9,170,174,341,184,189,373,1819,1813,3630
LGA18200,2679,2524,5203,109,121,229,61,66,134,122,150,274,8,10,16,25,16,40,5,3,16,0,0,0,8,4,10,0,0,0,0,0,0,230,254,479,7,4,9,45,37,81,383,416,796,391,319,709,3458,3251,6710
LGA18230,17786,18767,36548,991,1112,2099,2055,2241,4296,57,67,126,109,134,250,21,16,40,22,29,52,3,3,6,13,9,23,16,11,26,0,0,0,2294,2518,4811,144,153,299,54,38,90,3482,3822,7300,2953,2569,5516,24217,25153,49368
LGA18250,26899,29141,56040,1029,1093,2122,3119,3432,6546,86,78,164,97,103,199,22,34,52,49,42,86,5,12,18,20,8,27,29,25,52,0,0,0,3413,3729,7148,1508,1725,3234,40,53,90,5990,6594,12591,2324,2454,4782,35217,38196,73408
LGA18350,17541,19210,36757,794,880,1676,1978,2211,4188,43,39,80,69,92,155,3,7,11,16,12,28,12,16,22,12,6,12,37,26,60,0,0,0,2157,2410,4571,174,168,339,50,53,107,3180,3515,6689,1945,2068,4013,22668,24794,47459
LGA18400,19589,19665,39251,579,584,1160,1976,2071,4052,19,20,38,34,46,82,4,3,8,11,14,27,4,0,4,0,3,3,8,8,21,0,0,0,2064,2162,4227,68,71,136,43,37,78,2751,2850,5598,1572,1516,3086,23903,24027,47935
LGA18450,78987,81517,160507,2734,2775,5513,8163,8551,16711,139,144,281,218,196,408,43,27,74,100,79,179,17,22,40,39,33,66,98,106,203,0,0,0,8813,9153,17964,1464,1277,2740,199,174,379,13220,13376,26594,7172,7068,14242,99378,101966,201341
LGA18500,17711,20147,37852,780,916,1690,2627,3048,5675,114,128,236,87,128,218,30,38,62,63,64,118,3,7,9,7,5,7,37,43,80,19,3,21,2967,3454,6430,706,917,1628,45,43,91,4508,5338,9839,2709,3218,5925,24925,28698,53620
LGA18710,6301,6509,12807,268,293,566,268,294,563,8,10,22,20,28,53,8,5,18,15,16,30,3,4,5,3,0,5,307,329,639,0,0,3,637,693,1331,30,34,62,13,12,29,945,1033,1978,592,586,1175,7839,8121,15963
LGA19399,439,385,818,7,6,18,27,27,52,0,5,5,3,3,4,4,5,8,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,33,38,73,0,3,7,0,0,0,49,48,99,70,47,120,556,485,1042
LGA19499,1571,849,2420,430,257,688,1715,1489,3200,142,134,269,234,218,450,41,40,80,79,59,140,18,18,38,12,20,32,32,22,54,3,0,4,2271,1994,4263,508,493,1001,151,96,243,3356,2845,6200,2379,1210,3591,7308,4904,12213
LGA19799,138,182,322,0,0,0,6,19,29,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,31,7,3,6,0,0,0,14,21,43,22,32,52,171,239,412
