LGA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA13340,37,54,48,78,58,153,98,535,24,1088,33,59,67,95,84,107,49,103,11,615,16,32,34,54,109,167,89,123,14,640,28,89,77,78,75,34,20,28,8,442,26,78,78,109,119,64,22,30,3,522,7,94,50,46,42,41,17,38,3,339,16,23,29,22,63,52,45,87,12,346,28,131,65,64,80,77,32,58,17,554,8,7,4,3,6,5,10,6,19,72,202,565,465,541,634,704,388,1004,106,4614
LGA13450,62,71,69,109,250,354,237,610,34,1804,53,75,152,161,314,354,179,246,9,1547,31,70,57,73,466,383,214,296,25,1611,35,158,169,201,221,94,68,66,21,1036,45,151,193,209,374,211,89,88,14,1373,49,348,177,164,200,121,85,69,27,1240,29,49,44,49,191,159,108,153,14,800,58,243,209,250,584,451,118,139,48,2098,23,14,10,11,25,36,7,18,57,206,389,1177,1093,1229,2623,2158,1114,1685,255,11713
LGA13510,23,22,40,49,65,127,61,322,16,730,24,49,72,68,84,106,60,102,4,562,14,38,46,53,127,150,53,95,15,590,18,79,85,98,81,53,16,22,8,467,12,60,48,82,127,58,29,26,3,454,14,72,67,60,70,38,23,24,0,367,13,12,23,20,58,48,35,91,9,311,25,131,75,122,180,113,62,64,39,812,10,5,8,3,7,10,0,13,26,80,155,467,459,555,806,711,343,756,117,4382
LGA13550,21,38,33,65,77,144,83,433,14,905,31,50,83,72,107,119,83,175,7,717,25,47,31,43,145,138,78,207,12,726,15,84,78,114,74,66,20,31,7,500,22,60,66,83,150,66,42,42,6,539,21,110,50,70,70,34,26,40,8,426,35,26,24,40,93,105,115,322,7,780,23,141,73,82,109,102,57,87,24,689,4,4,8,8,18,22,3,16,30,101,202,563,443,577,835,791,506,1341,118,5381
LGA13660,21,40,28,51,31,84,40,376,11,690,19,20,20,33,31,32,20,52,3,236,8,14,8,15,40,34,26,31,3,180,3,17,26,41,24,15,8,18,4,165,13,26,25,28,44,22,6,21,3,190,3,23,25,21,18,9,4,13,0,106,7,6,11,13,26,31,15,54,3,169,6,40,35,35,42,67,23,58,4,308,3,0,0,0,8,8,3,8,9,38,90,193,182,244,264,296,138,621,44,2083
LGA13800,93,118,188,221,534,837,532,1584,43,4152,179,401,466,561,824,1044,461,804,39,4781,120,249,271,352,1088,1654,812,1362,105,6018,134,573,462,536,575,467,242,226,43,3261,143,558,642,708,1128,940,344,371,53,4894,79,672,425,333,437,402,184,243,50,2834,73,124,140,166,465,534,324,811,70,2698,90,575,386,431,477,522,212,364,71,3121,33,36,29,24,84,89,34,85,161,576,953,3318,3012,3321,5609,6499,3144,5838,634,32329
LGA13850,11,5,9,15,21,34,15,134,4,253,3,4,7,10,24,22,17,26,0,126,5,13,12,15,37,40,11,42,6,179,3,16,21,32,21,13,3,7,3,124,4,19,25,22,18,24,4,12,4,130,4,20,11,8,17,13,9,19,0,108,9,10,4,9,24,30,14,42,8,152,12,40,16,30,34,22,12,30,9,207,0,3,0,3,7,0,0,0,17,27,55,136,112,149,202,202,89,315,40,1296
LGA13910,43,78,66,109,132,276,156,662,30,1557,44,61,112,104,140,173,84,177,12,903,42,74,57,98,248,238,103,165,33,1056,25,118,122,170,117,78,31,44,10,713,30,100,128,131,217,104,42,57,11,807,22,176,99,111,97,61,58,74,11,708,23,27,44,46,88,77,53,140,8,499,34,241,130,149,231,167,110,111,37,1203,9,13,0,7,8,8,7,13,36,110,270,878,759,909,1290,1178,645,1439,187,7563
LGA14000,242,310,466,578,1441,2733,1671,3511,82,11022,710,1827,2138,2097,4263,6576,2465,3618,182,23871,141,433,534,528,1364,1971,798,1068,90,6925,220,1642,1201,973,898,638,310,300,69,6254,290,1303,1483,1272,2358,2090,771,708,88,10364,198,1679,916,690,732,775,313,458,73,5835,60,168,158,160,379,339,157,301,30,1751,125,1023,598,491,560,495,146,240,61,3751,31,96,65,61,142,179,48,105,302,1021,2006,8489,7554,6849,12144,15788,6678,10312,977,70798
LGA14100,42,48,76,95,136,312,155,570,16,1456,75,226,167,205,246,500,226,561,16,2226,5,27,31,33,43,84,48,76,3,347,15,159,88,52,36,59,14,41,3,474,35,113,140,116,121,187,54,97,8,860,23,112,77,61,60,83,38,84,8,534,4,13,10,4,15,18,8,7,3,81,6,42,22,19,14,17,11,14,0,150,5,9,7,10,8,10,6,23,26,106,213,741,624,596,678,1272,548,1470,92,6240
LGA14170,429,343,639,920,2151,4017,2532,5156,118,16318,1234,2405,2861,3321,6194,9113,4659,7345,277,37401,155,444,793,672,1573,2149,1026,1494,139,8446,274,1631,1631,1380,1285,1024,545,535,143,8446,374,982,1284,1282,3422,2867,1230,1225,106,12773,200,1257,1126,920,1170,1165,567,749,96,7250,63,174,257,216,578,517,253,359,60,2467,110,889,1082,562,821,648,306,344,90,4862,32,101,111,98,235,292,90,184,460,1608,2877,8232,9775,9378,17429,21791,11200,17394,1494,99575
LGA14200,19,56,51,53,95,169,109,462,21,1044,37,80,88,113,177,158,89,146,9,895,23,44,43,71,261,181,86,136,13,864,39,110,110,176,131,72,39,51,20,744,25,75,64,108,167,78,39,34,12,607,38,154,87,86,122,60,56,49,13,662,12,22,37,23,85,67,33,79,7,375,30,171,106,213,230,125,51,90,32,1044,7,16,3,12,26,6,0,19,53,147,227,732,592,856,1297,924,513,1060,190,6393
LGA14300,10,26,26,23,36,64,38,191,8,431,14,14,29,27,59,48,25,44,0,270,5,15,15,12,69,76,29,50,9,273,9,53,35,41,84,32,18,18,5,292,18,36,23,45,58,40,11,14,0,256,3,43,15,23,20,30,7,10,4,156,12,11,12,10,45,40,31,38,5,201,15,58,44,48,100,73,34,30,8,411,0,0,0,3,4,5,3,0,9,32,91,243,198,242,475,417,200,401,44,2318
LGA14350,37,70,65,97,129,164,120,392,31,1100,77,116,187,184,265,261,87,175,19,1375,44,88,114,131,314,247,129,196,37,1308,86,204,232,330,222,129,76,72,42,1383,37,144,150,200,288,118,56,38,10,1054,50,260,154,177,147,62,43,54,25,974,34,42,76,55,152,90,78,127,18,666,70,313,207,181,241,155,76,105,36,1384,12,19,13,21,21,12,5,17,100,218,451,1250,1198,1364,1777,1247,682,1169,322,9463
LGA14400,38,78,73,109,159,256,181,460,12,1358,135,204,335,303,377,466,238,352,17,2434,49,85,86,111,287,404,173,216,22,1425,64,274,188,172,175,99,92,54,19,1145,51,175,221,198,237,132,60,63,10,1150,31,229,119,85,93,68,37,66,0,721,17,48,29,20,89,74,60,123,4,476,25,207,96,63,69,80,26,58,15,636,10,11,8,11,15,16,9,17,38,147,416,1313,1159,1073,1503,1600,874,1410,132,9488
LGA14500,218,471,577,656,1136,2684,1538,4239,76,11583,580,2078,2038,1951,2703,5100,2300,4676,159,21592,79,250,258,243,443,706,312,482,28,2805,132,1450,755,541,382,336,150,165,55,3962,199,1157,1181,911,1212,1390,514,703,59,7330,137,1337,706,436,455,639,265,484,52,4502,8,135,66,68,110,104,39,95,12,639,48,552,253,168,192,137,70,89,28,1536,30,106,73,73,101,170,58,131,236,973,1439,7536,5910,5037,6729,11271,5238,11062,696,54920
LGA14550,18,38,41,46,61,101,58,287,12,663,21,50,56,77,86,75,31,56,3,460,10,29,28,49,58,91,38,61,7,381,24,65,66,79,43,19,10,24,7,346,7,46,54,76,71,42,11,11,8,323,8,68,26,38,31,19,11,21,3,230,13,17,21,22,44,36,23,70,4,255,15,100,70,57,90,86,31,54,8,513,0,6,3,5,5,10,3,8,28,64,119,426,382,454,487,482,217,589,83,3239
LGA14600,19,29,16,41,39,101,53,368,16,681,22,23,26,36,28,78,20,50,7,300,6,15,16,27,40,87,47,62,6,306,21,40,36,50,26,33,15,19,4,246,5,31,37,44,36,39,14,18,12,234,14,30,20,23,18,26,6,23,8,167,10,8,20,16,14,43,31,74,4,211,16,50,29,35,34,53,23,41,6,276,0,0,4,3,0,4,0,4,17,45,104,231,205,277,242,458,205,663,91,2472
LGA14650,236,300,351,502,1324,1831,1205,2638,73,8453,753,1457,2108,2044,3070,3549,1599,2403,132,17116,374,638,720,1003,3216,3820,1672,2089,181,13704,408,1843,1691,1980,1685,1003,569,467,161,9812,500,1370,1839,1923,3031,1899,803,691,106,12170,326,2497,1433,1256,1225,778,438,545,93,8597,218,398,351,391,1141,1211,854,1132,73,5768,345,1922,1137,1119,1349,1300,492,596,139,8395,62,84,52,67,221,198,63,138,360,1253,3228,10502,9690,10281,16269,15588,7690,10688,1318,85264
LGA14700,82,119,140,207,373,889,489,1307,33,3632,260,490,636,621,1201,2056,1007,1751,52,8073,18,78,89,83,208,319,143,223,18,1187,47,344,272,203,183,148,81,96,22,1390,73,288,297,247,515,532,213,271,18,2456,38,303,187,165,186,251,109,182,16,1441,6,22,35,32,62,39,24,57,9,280,14,134,98,57,75,77,26,42,8,528,5,26,20,12,42,74,17,37,79,311,549,1794,1787,1624,2832,4385,2106,3970,245,19292
LGA14750,20,32,40,41,96,138,91,281,5,738,30,43,59,59,112,122,75,120,8,632,14,30,20,44,148,177,77,107,18,650,17,60,50,101,77,28,18,25,10,382,17,68,63,76,129,76,43,35,0,511,18,100,33,46,70,35,21,31,11,357,28,29,17,20,70,119,65,93,7,442,37,102,58,83,167,275,66,90,24,902,4,8,3,0,18,17,10,7,34,99,179,475,352,471,894,986,463,772,115,4705
LGA14850,45,117,131,188,297,388,235,676,31,2110,133,345,422,606,721,665,263,467,31,3651,49,153,181,244,599,510,239,354,35,2366,91,443,361,556,408,170,93,125,40,2291,66,276,282,378,702,316,137,129,21,2309,73,557,275,284,312,167,111,128,22,1934,19,81,83,127,217,146,122,198,20,1007,100,499,312,381,411,268,114,120,48,2261,10,23,9,16,26,32,8,20,103,251,595,2492,2065,2780,3692,2665,1322,2218,341,18168
LGA14870,25,32,41,43,90,141,75,272,10,736,43,94,121,123,186,173,63,140,5,952,39,68,68,101,343,336,178,205,26,1363,47,171,155,205,188,103,44,66,18,1006,49,121,163,172,287,118,60,53,10,1031,33,168,105,97,121,44,23,48,17,654,42,34,46,46,182,244,152,212,17,972,36,215,138,122,155,143,47,59,27,942,7,9,10,10,21,18,5,7,39,142,326,916,838,920,1584,1333,652,1061,167,7798
LGA14900,191,271,329,458,1628,2180,960,2238,130,8374,457,854,1048,1271,3457,4062,1216,1690,179,14232,249,595,649,811,2857,3558,1430,1759,306,12213,275,1280,1215,1269,1580,1181,573,793,204,8382,413,1115,1436,1446,4214,3030,798,827,185,13467,210,1892,1238,972,1329,1073,400,471,145,7719,211,455,510,742,2482,1820,845,1484,210,8754,226,1351,1018,1012,2080,1529,587,647,261,8705,72,129,98,108,399,319,98,155,674,2063,2296,7940,7537,8082,20021,18762,6915,10062,2289,83905
LGA14920,12,30,22,51,40,94,68,306,17,632,17,37,43,49,64,62,26,54,3,342,7,36,25,34,63,68,39,63,9,342,20,41,57,68,63,19,13,24,4,316,6,37,26,55,78,41,18,17,8,283,7,43,32,38,39,16,14,17,7,209,24,17,11,23,64,70,59,98,15,373,15,76,43,54,79,77,41,65,14,459,3,3,3,3,4,8,0,7,23,58,113,305,258,373,499,457,264,648,83,3013
LGA14950,9,21,22,19,29,52,36,211,6,391,10,22,16,33,32,29,3,8,0,164,4,9,13,14,38,35,18,21,3,144,4,11,21,31,27,17,4,10,0,122,4,18,23,19,24,20,8,11,0,130,3,10,14,7,13,3,13,0,0,69,5,7,13,11,12,22,12,29,0,110,7,25,11,19,20,18,13,8,0,130,3,0,3,0,0,6,0,9,7,30,52,126,129,145,194,207,102,304,24,1294
LGA15050,81,101,124,229,497,682,456,1108,31,3313,274,403,617,661,1035,1229,597,911,44,5766,142,246,305,327,1321,1486,895,1196,73,5987,153,690,637,718,704,420,240,234,70,3873,183,505,632,649,1249,747,315,275,30,4586,143,1016,594,514,552,327,174,192,35,3547,118,182,180,224,639,589,572,855,52,3408,113,866,501,463,579,550,240,307,72,3696,24,37,19,25,75,76,35,77,147,516,1235,4035,3615,3807,6658,6105,3528,5156,551,34692
LGA15240,123,195,221,280,511,648,371,1251,50,3654,224,450,602,773,843,930,367,604,50,4832,172,296,342,437,1006,980,426,650,79,4396,185,682,681,904,581,322,165,208,73,3808,136,504,476,636,765,424,157,183,41,3319,140,958,549,566,538,296,192,209,68,3516,100,159,156,178,366,309,216,463,39,1976,295,977,638,534,538,445,192,296,104,4007,32,40,31,25,57,42,22,45,221,515,1400,4256,3704,4337,5196,4398,2111,3900,722,30032
LGA15270,35,75,88,90,137,239,140,582,20,1410,61,108,156,182,178,194,124,267,12,1274,50,73,90,119,275,347,238,453,23,1671,41,174,167,207,158,72,48,62,14,946,38,121,166,181,184,141,62,84,4,979,31,232,136,144,143,78,44,74,12,882,51,44,57,62,179,190,268,357,11,1219,54,269,166,164,172,129,66,120,34,1163,13,12,7,15,14,11,3,23,50,137,382,1098,1030,1150,1428,1394,992,2021,181,9689
LGA15300,46,37,46,67,90,158,91,586,31,1152,34,67,55,74,147,143,79,162,3,762,17,20,23,35,142,141,85,165,9,642,34,53,73,98,127,67,39,35,26,554,27,66,59,110,175,104,43,66,8,665,15,88,44,56,86,53,31,49,16,422,13,33,15,33,96,110,39,160,15,520,22,92,70,60,96,104,70,166,23,701,4,4,8,3,21,9,6,25,28,103,212,445,395,541,972,902,478,1415,155,5521
LGA15350,71,175,159,220,273,696,410,1332,30,3360,169,490,479,454,561,1198,638,1480,59,5530,14,43,61,35,98,142,82,138,10,622,32,289,186,131,123,112,69,64,11,1018,44,240,261,178,262,329,136,225,14,1686,31,218,147,89,123,182,103,193,14,1085,0,15,8,16,24,19,3,19,0,100,12,67,50,33,41,38,23,28,4,293,12,42,21,23,22,44,23,70,54,300,393,1580,1363,1179,1513,2759,1481,3542,188,13999
LGA15520,38,48,45,52,93,187,121,594,19,1205,37,51,93,93,117,116,72,105,6,701,21,36,43,43,140,157,71,94,19,627,26,102,79,89,79,52,17,28,12,478,19,70,73,75,120,75,27,38,7,503,13,108,46,68,52,37,19,49,4,414,19,21,13,30,42,63,45,86,10,323,28,135,69,90,99,101,42,80,11,661,4,3,0,4,13,11,6,8,28,78,213,572,471,546,760,809,422,1089,119,4994
LGA15560,24,17,22,32,41,81,47,232,17,508,3,13,21,16,19,35,15,30,0,157,0,12,12,12,45,45,21,30,3,177,12,30,21,28,21,18,10,16,3,143,15,28,27,29,33,28,6,15,0,182,6,14,16,23,10,21,0,4,0,87,9,12,4,14,35,20,16,40,9,155,15,40,23,35,69,38,16,43,6,276,0,3,3,3,5,0,3,9,13,32,82,156,144,176,278,287,134,410,49,1716
LGA15650,21,26,26,41,95,93,75,271,10,650,34,45,75,65,123,121,92,159,8,717,46,48,55,75,258,229,278,339,21,1347,32,108,112,135,89,61,31,38,8,607,28,72,103,102,165,110,58,43,3,684,29,151,84,85,81,54,23,13,3,533,59,37,49,70,200,180,271,318,22,1201,30,171,108,100,160,121,68,86,24,870,8,8,4,7,12,9,12,11,45,115,292,671,612,681,1176,976,899,1288,141,6732
LGA15700,29,44,57,89,105,112,67,251,14,774,58,92,139,134,152,161,74,169,9,988,39,81,82,88,208,181,82,135,27,925,42,158,178,236,153,42,37,37,22,907,29,87,109,124,170,78,31,29,4,659,21,147,85,70,100,37,30,40,6,538,14,33,65,37,71,51,34,105,14,429,40,222,129,151,114,94,43,77,30,892,12,14,3,17,10,15,10,20,25,121,279,882,842,948,1084,774,406,861,152,6229
LGA15750,36,44,34,70,92,179,73,457,17,1009,34,46,60,81,138,169,71,158,3,774,22,35,45,56,176,203,94,158,16,801,17,66,74,108,102,55,23,32,9,492,21,72,75,108,157,87,32,44,7,604,10,130,64,67,73,46,37,41,4,468,35,34,30,46,103,128,82,222,12,691,35,129,83,73,107,124,44,85,25,704,11,9,4,6,10,12,0,18,39,115,228,562,474,608,959,1011,462,1212,135,5657
LGA15800,16,25,15,27,48,72,61,225,11,499,14,14,34,31,55,44,34,36,12,277,3,17,18,19,76,68,39,43,6,289,8,33,43,41,38,33,13,16,3,222,20,16,34,56,41,34,12,27,0,242,11,36,24,22,24,17,12,15,0,154,20,8,7,5,29,49,31,43,7,206,10,55,48,27,59,109,42,33,12,393,0,3,4,0,5,10,3,5,19,40,105,221,221,233,380,437,235,439,69,2325
LGA15850,15,24,17,40,45,96,53,291,13,599,9,17,38,41,58,77,38,59,3,330,11,16,24,17,81,76,43,68,5,340,9,40,44,61,53,25,14,32,0,271,6,37,35,49,76,38,12,18,3,266,0,43,23,35,26,13,14,10,8,182,15,21,17,15,49,45,24,69,11,270,11,43,21,31,50,59,24,43,9,289,3,0,5,3,3,8,0,5,12,39,89,235,217,280,443,443,229,589,67,2592
LGA15900,178,210,323,454,1200,1538,1069,2290,72,7321,804,1569,2029,2284,3635,4375,2039,2984,170,19901,236,486,580,714,2158,2499,1130,1490,132,9424,352,1963,1514,1718,1374,905,553,476,133,8998,359,1001,1255,1335,2665,1617,684,571,80,9555,271,2013,1081,964,919,646,300,427,93,6715,135,255,237,270,840,786,541,659,50,3781,256,1588,913,881,1009,842,301,418,112,6305,62,70,48,65,155,152,63,102,312,1034,2663,9161,7975,8683,13952,13353,6679,9415,1156,73034
LGA15950,217,238,325,404,939,2094,1374,2998,50,8633,571,969,1058,1101,2400,4747,2439,4285,140,17713,41,104,171,140,401,516,292,399,21,2080,74,477,458,352,313,316,167,213,32,2402,137,468,527,420,1108,1206,574,632,32,5105,75,386,331,254,358,541,286,415,27,2673,16,34,50,38,68,55,40,51,3,362,21,169,182,96,100,105,34,58,10,790,15,45,47,43,81,150,41,127,140,691,1170,2888,3158,2840,5763,9734,5254,9186,458,40445
LGA15990,565,755,1132,1583,2458,5459,3329,8595,202,24082,1257,3180,3802,3751,4517,8537,4193,7561,293,37083,344,884,1030,1205,2434,4174,1772,2656,210,14705,425,2985,2281,1873,1654,1325,730,786,187,12242,512,2404,2717,2355,3300,3238,1336,1456,164,17481,349,2723,1694,1305,1491,1839,851,1422,125,11805,91,365,336,316,885,636,363,514,57,3554,208,1666,1055,766,1003,959,344,512,104,6623,73,187,140,148,210,357,129,299,562,2109,3831,15149,14192,13312,17939,26520,13033,23787,1908,129685
LGA16100,12,29,30,32,29,72,40,178,4,417,14,25,34,31,56,34,18,50,5,268,6,16,14,22,51,74,39,76,13,321,12,45,24,41,40,21,4,16,7,209,8,33,39,36,58,28,8,14,0,225,4,42,23,20,21,15,10,17,4,159,16,15,4,10,70,56,48,98,8,319,5,46,32,23,64,38,24,29,5,268,0,0,9,3,4,4,3,9,11,56,72,254,210,227,404,338,194,486,58,2241
LGA16150,61,77,73,113,286,384,267,674,22,1945,158,218,361,397,699,857,419,639,27,3772,71,129,108,169,575,580,387,565,32,2609,84,329,268,385,438,264,122,131,35,2056,91,210,274,325,659,386,158,203,19,2331,65,423,226,256,288,180,113,141,31,1732,49,61,56,79,168,152,175,445,38,1225,77,410,255,241,299,261,131,170,38,1881,10,25,10,14,45,30,13,31,70,256,667,1875,1635,1979,3458,3093,1787,3007,312,17805
LGA16200,24,52,43,56,88,150,124,471,4,1016,47,64,85,105,135,166,112,142,8,854,25,34,37,67,200,166,139,173,18,864,32,97,97,119,115,76,36,43,11,617,36,88,72,106,176,76,44,48,5,652,24,149,63,77,82,47,29,36,13,524,31,30,33,38,97,64,151,145,11,601,41,118,73,87,87,86,49,52,11,609,3,7,8,8,7,9,4,11,45,110,261,639,512,660,990,845,690,1122,134,5840
LGA16260,308,391,535,662,2525,3870,1700,3393,120,13515,915,2098,2327,2270,7645,11227,3069,3893,337,33768,254,624,856,833,2471,3072,1217,1484,186,11004,268,1677,1531,1388,1642,1159,497,502,151,8816,490,1444,1786,1611,5021,3790,1117,1037,136,16428,276,1930,1502,1082,1574,1371,489,619,117,8960,113,347,501,452,1308,1051,477,710,110,5070,156,1303,1311,895,1384,977,352,407,144,6926,67,135,130,130,380,403,94,148,611,2099,2849,9952,10471,9326,23955,26928,9000,12200,1914,106593
LGA16350,255,219,312,445,1601,2313,1279,3040,123,9598,564,814,1124,1207,3119,3637,1474,2013,117,14073,286,522,549,778,3137,3996,1982,2558,241,14049,405,1531,1409,1655,1975,1480,710,604,175,9950,552,1271,1751,2040,5085,3505,1230,1249,158,16844,326,2213,1316,1111,1531,1244,496,720,122,9081,258,401,479,677,2402,2136,1199,2521,219,10287,238,1592,1091,1014,1789,1641,674,942,182,9165,70,98,79,79,369,325,95,165,527,1806,2965,8661,8108,9022,21009,20276,9141,13817,1867,94859
LGA16380,91,155,139,250,523,649,389,1093,38,3339,232,473,598,805,1045,1240,533,851,51,5827,127,290,272,405,950,1063,470,727,68,4372,159,724,623,889,636,316,204,206,61,3816,160,417,501,711,1014,592,230,256,35,3917,116,879,455,512,535,297,146,241,45,3239,77,149,162,159,315,222,170,345,28,1618,130,781,414,469,454,358,151,255,72,3080,24,35,24,29,61,45,16,52,149,444,1123,3913,3185,4221,5535,4782,2310,4027,553,29655
LGA16400,88,145,133,204,485,604,384,915,32,3000,201,363,491,511,768,786,372,534,27,4065,139,236,258,353,1149,1284,592,770,86,4868,191,618,593,688,532,354,243,202,70,3494,154,411,483,562,883,569,210,222,42,3549,118,837,481,459,379,226,138,175,30,2844,98,149,158,169,423,398,326,519,36,2272,133,752,411,438,429,439,153,222,67,3044,15,35,28,31,83,57,32,45,143,465,1135,3544,3044,3423,5131,4735,2457,3601,533,27602
LGA16490,178,139,157,275,726,1065,758,1396,44,4735,302,343,382,598,1269,1379,710,854,52,5883,113,161,183,258,853,1072,536,689,62,3924,141,538,326,434,543,425,241,325,44,3026,225,338,424,618,1699,1103,485,440,44,5384,81,608,304,301,408,252,137,193,30,2308,55,74,53,92,268,278,177,311,35,1346,72,390,229,258,392,386,136,193,50,2114,31,33,37,38,146,122,52,74,148,675,1195,2629,2095,2869,6298,6085,3241,4473,509,29389
LGA16550,264,244,440,532,1341,2654,1521,3507,95,10580,754,1876,1819,1980,3668,6147,2654,4656,199,23755,154,323,478,436,1048,1738,732,1232,92,6230,204,1408,1180,1018,956,843,459,452,136,6665,311,955,1133,1044,2145,2031,749,803,83,9253,204,1195,900,632,751,851,357,601,80,5570,50,184,204,180,354,397,175,315,45,1888,111,638,644,336,426,502,205,306,63,3223,34,74,72,52,147,185,57,142,345,1110,2078,6888,6869,6202,10839,15353,6908,12010,1133,68276
LGA16610,26,58,51,81,125,168,90,333,21,954,46,86,128,168,196,163,79,106,11,989,29,68,91,104,258,251,134,156,13,1093,44,168,163,257,174,64,44,56,25,1000,31,99,116,159,272,135,40,57,18,920,25,212,111,122,140,60,42,51,10,779,28,44,56,55,123,103,81,185,16,697,63,260,198,337,321,286,83,90,45,1673,12,6,7,20,16,9,9,19,60,160,294,996,914,1307,1625,1241,598,1057,231,8265
LGA16650,154,161,269,340,1153,1685,791,1531,67,6145,396,777,928,881,2747,3445,1106,1518,131,11934,121,311,679,495,1435,1583,684,836,148,6300,178,805,1105,830,1013,645,281,352,99,5303,280,586,817,780,2364,1822,593,564,92,7906,147,1026,997,690,1018,756,275,347,96,5350,90,220,334,321,754,666,323,515,89,3303,129,758,1500,689,971,707,270,300,131,5467,47,75,89,63,177,179,46,73,382,1120,1541,4718,6715,5088,11630,11486,4375,6043,1234,52827
LGA16700,166,222,359,419,1298,2205,1138,2288,82,8172,591,1226,1458,1455,4051,5633,2012,2546,155,19137,130,359,483,448,1230,1517,603,866,89,5715,174,1164,928,660,714,578,232,241,83,4771,250,824,1027,939,2360,1951,667,588,99,8707,129,1129,821,569,837,738,276,416,89,5017,38,142,168,165,375,331,140,226,27,1609,91,665,608,400,486,398,177,204,71,3095,22,70,60,52,160,178,44,95,333,1017,1594,5801,5913,5104,11511,13530,5284,7479,1024,57245
LGA16900,80,81,94,172,450,639,358,784,21,2681,224,294,491,526,850,849,399,544,38,4211,156,210,268,373,1213,1484,648,765,80,5190,169,581,709,779,710,450,235,196,52,3884,160,433,531,634,1126,595,239,231,33,3982,100,929,573,557,523,277,142,192,33,3330,97,158,159,152,603,448,414,604,52,2673,132,667,452,425,513,466,187,285,52,3177,19,27,25,35,86,65,40,52,130,470,1135,3374,3306,3653,6078,5274,2656,3645,487,29606
LGA16950,134,239,233,320,612,799,485,1320,65,4209,302,636,774,853,992,1096,531,875,62,6125,180,364,381,560,1332,1526,884,894,125,6250,252,898,834,999,828,463,331,345,93,5026,169,660,639,660,1020,512,234,214,29,4139,155,1140,610,578,566,342,191,249,86,3901,53,172,152,199,399,333,240,384,43,1971,174,1098,609,543,605,443,238,284,94,4097,40,58,29,39,70,70,17,63,211,614,1465,5268,4272,4748,6426,5572,3150,4621,807,36330
LGA17000,31,41,54,72,93,194,133,537,29,1186,62,99,136,156,170,225,167,312,8,1325,58,65,94,99,360,352,354,519,31,1922,41,219,202,179,118,114,116,212,27,1224,36,166,183,172,241,179,102,98,15,1179,35,276,146,122,110,67,36,57,18,860,87,60,79,130,297,278,384,512,42,1873,37,277,141,137,147,146,64,93,21,1073,3,4,13,13,15,13,12,34,56,174,393,1214,1038,1078,1555,1563,1362,2368,242,10822
LGA17040,49,88,89,108,155,300,196,854,29,1867,60,97,135,178,265,246,145,218,12,1355,40,80,77,110,253,301,188,314,33,1393,39,176,163,221,204,129,83,155,24,1202,50,118,132,167,302,155,88,99,19,1137,31,172,121,137,173,94,78,113,16,931,28,34,32,45,130,106,77,181,15,636,39,216,150,202,179,147,79,126,31,1166,9,16,6,7,27,23,15,25,51,174,352,1004,895,1165,1693,1494,945,2083,224,9860
LGA17080,36,50,55,71,100,145,102,448,24,1036,42,38,78,82,145,132,79,129,9,733,36,37,38,55,146,170,125,216,15,831,22,108,107,111,115,38,27,40,12,581,17,88,74,112,133,59,46,39,7,578,19,114,69,79,64,37,23,16,3,428,40,19,27,20,100,101,94,303,26,728,39,173,133,128,196,121,65,94,24,963,6,3,7,3,8,12,3,14,43,106,248,645,586,657,1007,820,561,1300,165,5991
