LGA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA10850,20,31,33,42,44,82,40,258,11,557,20,51,52,46,53,95,54,80,3,458,9,22,21,39,80,90,65,129,0,460,8,62,58,66,47,41,18,18,6,318,21,38,45,77,88,45,26,19,4,366,10,59,32,31,34,16,18,22,5,231,10,21,20,11,44,45,50,133,9,338,18,98,50,36,74,59,40,56,8,430,5,4,3,0,10,10,3,10,22,67,128,374,317,350,477,482,317,714,68,3222
LGA10900,112,145,209,264,661,937,646,1468,23,4476,423,1041,1280,1228,1668,1972,960,1629,73,10277,137,276,299,400,917,1146,595,783,70,4613,192,916,769,778,679,378,304,259,55,4327,148,645,677,670,1152,791,336,327,42,4796,84,745,452,352,343,289,149,252,33,2695,48,128,111,135,261,266,181,331,24,1496,72,726,435,370,377,313,147,212,35,2695,28,34,22,34,94,81,29,64,123,494,1246,4651,4257,4240,6161,6165,3349,5322,476,35860
LGA10950,0,8,3,18,14,32,18,164,13,280,4,7,13,19,20,26,9,29,0,121,3,10,8,12,27,42,11,42,3,156,3,20,25,24,30,13,4,13,0,127,7,14,12,16,17,20,13,10,0,105,0,23,12,6,8,3,8,8,0,61,3,3,7,7,21,12,37,54,0,157,3,25,19,18,26,24,14,27,4,149,0,0,0,0,0,0,0,4,11,18,25,106,97,116,160,168,116,346,33,1173
LGA11100,72,62,114,167,504,738,386,866,27,2950,174,306,349,375,1083,1540,565,702,60,5149,68,121,208,179,566,783,324,491,58,2795,96,368,458,357,430,358,184,171,51,2475,101,221,374,387,1029,782,284,288,50,3504,62,472,347,301,412,328,129,159,27,2233,26,88,125,143,337,320,151,250,37,1480,65,314,357,202,383,319,118,157,47,1957,17,25,18,28,63,83,20,33,136,420,676,1983,2359,2138,4801,5243,2163,3109,486,22963
LGA11150,8,8,3,7,18,26,16,106,5,198,6,8,14,18,38,45,7,25,3,161,0,8,4,16,22,28,9,16,0,108,5,8,14,29,64,18,17,16,6,169,3,10,6,10,29,19,7,7,0,98,3,6,4,7,14,13,4,7,0,54,3,8,5,0,7,15,9,22,0,64,0,18,8,15,19,26,10,14,3,119,4,0,0,3,6,4,4,3,6,32,23,67,63,103,222,195,84,224,22,1000
LGA11200,4,0,0,10,10,15,15,78,0,125,3,3,3,9,20,13,5,18,3,84,0,3,5,3,5,15,0,5,0,40,7,7,8,23,18,15,5,9,5,96,0,3,0,7,14,3,0,6,3,40,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,5,0,11,3,21,0,3,8,9,17,14,3,15,3,65,0,0,0,0,4,3,0,0,11,16,17,20,28,61,93,78,29,151,23,498
LGA11250,17,27,18,48,126,124,67,208,10,646,56,58,84,108,246,263,115,172,14,1111,39,49,55,70,253,174,129,237,14,1022,69,143,125,249,197,129,62,64,12,1047,35,59,67,99,249,152,40,46,10,751,29,203,103,100,127,61,37,36,12,704,41,39,29,41,88,92,80,290,16,721,34,183,100,102,121,90,33,76,18,761,12,12,5,9,21,7,6,20,55,138,324,770,587,816,1433,1085,561,1145,164,6902
LGA11300,37,57,122,126,359,530,218,442,32,1906,131,374,407,416,1034,1399,461,656,53,4934,31,113,245,178,362,431,185,245,52,1842,45,316,432,253,261,227,55,84,33,1700,63,229,301,258,684,494,157,122,34,2351,54,402,375,226,274,248,89,124,34,1830,6,45,96,53,135,132,53,98,12,629,23,257,451,179,247,182,76,89,48,1552,18,31,39,25,59,70,10,17,164,434,415,1829,2465,1715,3408,3713,1296,1877,458,17174
LGA11350,51,157,164,262,262,387,177,550,21,2034,144,452,522,598,424,508,218,408,42,3312,69,182,214,301,296,424,139,250,54,1924,68,388,345,383,198,115,58,77,36,1666,53,268,209,242,237,148,53,73,9,1285,46,327,214,246,159,120,72,95,26,1310,16,52,74,85,82,56,33,72,8,473,48,408,251,193,144,136,32,68,41,1318,27,28,13,21,19,18,6,17,76,229,523,2272,1997,2330,1820,1906,780,1609,317,13557
LGA11400,49,70,68,87,110,191,116,554,18,1258,47,77,116,126,169,194,111,149,9,993,26,31,45,52,165,221,108,205,17,865,24,105,90,97,99,62,22,45,13,557,29,87,106,134,160,111,42,45,3,711,18,97,50,60,61,43,30,39,7,417,20,18,27,33,55,72,65,119,10,420,19,127,83,63,105,140,55,84,17,699,11,10,0,3,6,12,8,11,44,103,240,631,586,653,934,1043,555,1253,137,6032
