LGA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
LGA17900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,11,0,3,8,12,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,9,8,3,5,7,3,0,0,0,0,0,0,0,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,6,0,3,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA17950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
LGA18020,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6,5,3,3,5,3,0,0,0,0,0,0,3,39,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,0,4,0,0,3,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA18050,0,0,8,18,26,23,60,46,18,12,14,34,24,23,21,332,5,44,25,17,21,143,132,98,24,16,24,38,63,45,33,710,0,0,18,11,7,12,8,0,0,0,0,0,0,0,3,66,0,23,54,24,7,5,0,3,3,0,0,0,0,0,8,131,3,0,7,7,17,19,11,3,0,3,0,4,0,0,3,79,19,57,33,40,37,41,102,89,9,30,27,29,37,27,17,601,4,41,90,47,8,3,7,3,0,4,3,0,0,0,10,211,5,4,0,25,42,42,43,6,10,4,8,5,13,3,10,216,0,5,45,54,30,24,31,38,7,10,12,6,15,5,21,305,0,0,9,15,32,35,23,15,3,6,7,6,3,0,12,173,0,0,0,12,22,31,14,11,3,0,3,0,0,3,0,98,0,4,3,9,8,3,4,4,0,0,0,0,0,0,0,34,3,3,12,30,23,61,159,238
LGA18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA18200,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA18230,0,0,0,0,4,3,3,8,0,3,0,0,0,0,0,25,0,3,3,0,7,21,19,63,6,7,13,3,5,3,17,175,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,4,6,11,0,0,0,0,0,4,34,0,0,0,0,4,7,8,15,3,0,0,0,0,0,0,44,0,26,10,7,7,3,3,6,0,4,0,4,3,0,0,76,0,5,10,7,0,0,0,0,0,0,0,0,0,0,3,28,0,3,0,0,4,5,7,0,0,0,0,0,0,0,0,26,0,0,3,11,3,7,33,146,14,39,27,26,34,14,11,371,0,0,4,0,0,0,5,9,3,0,0,3,0,0,4,27,0,0,0,0,0,0,0,3,0,4,7,3,0,4,0,27,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,0,0,3,6,0,8,6,10
LGA18250,0,3,13,28,33,34,47,26,11,8,3,11,23,13,5,250,4,29,60,69,193,1165,1888,1531,303,369,405,594,603,365,311,7902,0,5,96,109,9,16,13,6,0,0,3,0,0,0,8,260,0,12,60,57,8,14,0,3,0,0,0,0,6,10,5,161,4,5,4,14,26,28,22,6,3,3,4,0,0,0,0,115,7,32,24,21,19,18,40,31,6,4,9,6,11,3,10,244,0,32,71,33,3,4,0,0,3,0,0,0,0,0,3,146,0,9,28,112,383,906,477,146,48,73,52,78,69,36,57,2474,0,15,13,59,52,113,218,354,133,132,138,189,245,198,49,1895,0,6,3,21,49,98,216,104,22,22,24,34,36,14,13,666,0,0,5,37,85,106,83,89,27,28,29,21,22,10,13,561,0,0,0,15,4,8,11,7,0,0,0,0,0,0,0,42,8,8,14,28,30,50,66,49
LGA18350,0,3,19,19,10,24,24,3,3,0,0,3,0,0,0,113,3,4,8,3,3,23,18,21,0,4,8,20,40,39,19,208,0,0,4,18,0,3,0,0,0,0,0,0,0,0,0,34,0,13,4,10,0,0,0,0,0,0,0,0,0,0,3,31,0,3,5,6,7,13,3,3,0,7,0,0,0,0,3,53,0,95,64,23,28,23,10,8,3,0,0,5,0,8,5,274,0,11,23,11,3,3,0,3,0,0,0,8,0,0,4,70,0,3,0,8,9,17,8,0,0,0,5,4,13,9,3,78,0,10,5,18,4,15,25,79,3,3,3,4,16,9,3,200,0,7,0,0,4,9,6,4,0,0,0,0,0,0,3,36,0,0,0,0,0,4,0,4,0,0,3,0,5,0,0,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,3,15,32,8,26,6,5
LGA18400,0,0,0,3,9,3,19,9,7,0,0,0,3,0,0,47,0,3,7,3,3,16,34,22,4,3,12,6,8,3,4,124,0,0,22,53,0,7,5,0,0,0,0,0,0,0,9,97,0,9,6,10,0,5,7,0,0,0,0,0,0,0,0,34,0,0,5,4,5,16,10,4,0,8,0,0,0,0,0,52,0,64,43,26,23,12,13,8,0,3,0,0,3,0,6,184,0,4,21,20,3,0,0,0,0,0,0,0,0,0,4,63,0,0,3,3,4,3,3,0,0,3,0,0,0,0,0,24,0,7,4,5,9,7,14,6,4,0,3,0,3,3,3,65,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,21,0,0,0,3,10,0,0,0,0,0,0,0,3,0,0,15,0,0,0,8,3,5,0,0,0,0,3,0,0,0,0,19,0,3,11,30,27,38,26,13
