LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA16350,2118,1873,3987,6335,6024,12356,1797,1871,3662,898,927,1826,9031,8811,17848,3479,3654,7128,2256,2104,4364,888,809,1700,6624,6572,13191,226,310,534,172,428,598,995,471,1466,524,942,1466,20,19,33,1935,2167,4101,1478,1850,3329,506,668,1180,272,419,694,583,1091,1670,19,18,33,2857,4048,6906,162,234,389,239,592,832,6,15,21,411,844,1251,6576,6478,13059,29546,30787,60338
LGA16380,712,661,1369,1855,1720,3578,867,885,1747,359,330,690,3082,2934,6012,1056,1004,2061,1095,1119,2223,337,350,687,2498,2480,4971,77,111,191,49,160,206,254,189,438,226,461,688,7,11,13,614,927,1539,160,345,510,104,213,319,38,70,104,212,458,672,6,4,6,518,1093,1617,36,66,100,94,211,302,4,8,12,135,281,413,2785,2974,5759,10346,11345,21684
LGA16400,628,610,1230,2172,2037,4206,426,400,818,344,317,657,2937,2746,5685,1473,1381,2854,317,305,623,412,348,761,2195,2034,4234,73,86,161,25,81,108,251,152,401,178,337,510,6,4,10,531,659,1188,239,384,624,83,195,280,64,88,153,149,351,506,0,11,8,540,1027,1569,31,47,75,80,181,254,4,5,12,113,229,342,2782,2866,5653,9735,10180,19912
LGA16490,486,359,845,1633,1682,3315,640,531,1174,170,154,327,2445,2365,4811,1027,950,1976,661,667,1327,243,212,460,1926,1830,3756,72,83,157,34,49,81,252,140,395,218,319,538,8,5,12,579,602,1184,342,429,776,184,214,391,63,105,168,366,574,937,3,3,9,956,1331,2288,43,42,83,98,193,289,3,3,10,142,243,378,2202,2115,4319,8743,8833,17578
LGA16550,1134,1074,2208,2381,2330,4709,1309,1240,2545,889,869,1757,4577,4435,9007,957,956,1912,1299,1242,2546,993,984,1980,3253,3185,6434,162,184,343,186,280,468,262,135,397,423,566,992,18,13,22,1051,1171,2225,5929,5899,11834,1986,1664,3652,281,284,564,846,1319,2164,31,36,59,9070,9201,18266,237,302,538,354,530,878,4,5,17,597,843,1434,6786,5299,12089,26456,25207,51664
LGA16610,212,229,443,598,593,1191,287,258,544,67,48,110,946,896,1845,437,417,860,231,260,484,64,53,113,726,728,1457,21,26,54,13,48,63,74,70,146,51,132,184,3,7,11,164,287,448,22,67,94,23,52,76,11,27,37,37,99,137,0,0,0,102,244,340,9,16,22,15,48,61,3,0,0,23,66,87,1059,1050,2107,3234,3499,6731
LGA16650,820,776,1599,2517,2305,4827,802,833,1637,346,339,682,3662,3476,7143,1630,1582,3209,836,776,1611,329,359,691,2794,2717,5511,217,226,441,247,356,601,283,148,435,417,497,909,10,12,22,1173,1232,2398,2035,2043,4073,1063,1035,2098,171,196,373,510,614,1126,25,18,45,3802,3904,7715,334,402,739,404,557,964,15,16,30,756,977,1734,3781,3841,7625,16794,16928,33724
LGA16700,959,936,1898,2903,2700,5608,954,959,1914,368,307,673,4227,3966,8193,1698,1564,3265,1047,969,2014,432,432,865,3180,2969,6146,203,253,451,274,414,685,236,104,335,386,639,1018,8,16,17,1096,1424,2514,3163,3364,6525,1276,1335,2612,278,306,581,677,856,1532,24,7,29,5413,5873,11284,180,206,380,246,424,670,3,9,5,427,638,1061,2669,2863,5534,17967,18664,36631
LGA16900,807,697,1504,2400,2244,4644,513,552,1068,226,186,407,3132,2988,6119,1596,1545,3137,571,654,1225,212,202,416,2383,2406,4786,90,122,213,46,114,163,351,185,534,166,337,504,10,7,16,664,758,1421,337,578,921,92,171,262,76,124,203,172,340,505,0,7,5,679,1216,1900,49,58,108,85,219,307,0,4,10,132,286,416,2032,2228,4260,9834,10578,20408
LGA16950,931,866,1793,3104,2911,6011,362,327,687,268,295,566,3734,3533,7266,1982,1947,3931,418,447,864,319,306,619,2714,2700,5411,94,111,201,64,129,194,343,201,543,212,465,678,17,14,29,729,918,1645,197,361,565,121,252,374,47,93,144,241,514,753,4,4,9,610,1227,1833,56,76,134,96,244,336,3,3,10,159,318,473,4711,4255,8970,13587,13810,27396
