LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA18100,36,29,65,133,105,235,27,31,64,0,0,0,163,140,301,73,76,147,3,16,21,0,7,4,79,93,170,0,0,0,0,8,9,6,7,17,4,15,20,0,0,0,14,33,43,9,8,16,0,6,6,0,0,3,8,12,12,0,0,0,19,22,42,0,3,3,0,6,6,0,0,0,3,8,13,182,206,393,489,534,1027
LGA18200,69,58,123,232,209,447,39,39,77,15,12,29,290,267,553,131,145,277,41,39,80,13,12,19,185,196,383,7,9,11,0,7,6,20,6,21,14,38,54,0,0,0,43,54,101,10,32,43,3,10,13,0,3,4,3,32,36,0,0,0,18,78,96,5,4,10,3,19,24,0,0,0,10,22,35,429,367,789,1042,1035,2075
LGA18230,535,530,1066,1404,1250,2659,609,628,1237,304,234,531,2311,2113,4423,877,843,1722,436,475,919,219,243,462,1531,1560,3096,56,96,157,27,89,122,221,143,367,197,336,527,3,4,9,504,677,1176,102,175,271,50,116,162,19,78,93,149,304,449,3,0,6,322,671,993,31,40,74,52,106,164,0,3,3,84,148,239,2710,2280,4987,8001,7975,15972
LGA18250,814,755,1572,2436,2345,4787,533,457,987,482,427,906,3455,3227,6679,811,1050,1862,668,463,1135,838,743,1583,2315,2261,4574,81,98,173,123,213,329,68,53,115,182,344,523,0,6,6,448,713,1155,1426,1605,3032,438,545,986,137,140,282,473,581,1052,13,8,26,2491,2881,5368,127,181,308,168,300,473,0,4,9,298,488,790,1819,2020,3839,11644,12345,23984
LGA18350,453,372,825,1273,1262,2533,336,307,643,357,341,696,1958,1914,3872,669,634,1307,582,547,1130,335,588,924,1585,1769,3360,35,40,71,13,46,61,189,104,293,122,213,331,3,6,7,356,406,764,142,215,357,47,114,163,35,63,99,148,293,442,0,11,10,379,691,1070,23,51,75,56,147,204,0,3,3,83,209,288,1724,1846,3568,6535,7217,13749
LGA18400,567,536,1103,1841,1688,3522,383,393,776,305,301,608,2528,2374,4902,1025,941,1966,472,450,916,323,365,681,1814,1758,3567,45,62,110,8,41,53,313,113,429,102,182,287,3,3,10,484,411,886,263,450,721,80,139,215,53,82,142,108,273,380,3,5,4,515,948,1457,17,39,59,49,132,177,0,0,4,67,167,234,1464,1431,2897,7433,7619,15054
LGA18450,2091,1946,4037,6009,5702,11707,1696,1720,3419,668,614,1281,8366,8039,16406,4034,3851,7886,1739,1836,3571,644,594,1244,6419,6282,12704,287,323,611,255,407,667,841,410,1246,592,863,1460,23,25,48,2004,2032,4030,3914,3865,7777,1624,1270,2895,348,430,776,847,1423,2273,12,19,30,6748,7008,13755,173,200,369,269,580,846,3,10,16,442,786,1233,5908,6047,11959,31980,32140,64118
LGA18500,465,412,882,793,806,1607,158,251,408,881,771,1651,1834,1831,3664,125,123,248,132,237,367,1281,1259,2534,1542,1612,3153,27,39,62,35,58,94,43,40,85,96,151,246,0,4,4,197,292,488,690,835,1525,178,320,500,112,118,222,382,563,946,3,10,15,1369,1841,3212,43,66,110,113,205,317,0,4,4,156,277,431,2291,2762,5052,7852,9034,16884
LGA18710,167,136,307,492,443,933,237,234,465,69,85,153,795,763,1560,340,357,693,159,168,324,94,103,203,592,629,1218,12,10,27,5,17,24,59,40,95,47,104,154,0,0,0,129,176,298,52,101,153,23,51,70,21,30,53,85,157,236,3,0,3,180,339,519,14,11,26,20,43,62,0,0,0,33,57,84,608,663,1274,2502,2757,5260
LGA19399,8,6,12,45,38,86,0,0,0,0,0,0,45,40,85,5,6,13,4,0,7,0,3,3,11,6,22,0,0,0,0,3,3,0,0,0,0,4,3,0,0,0,0,6,10,0,7,7,0,0,4,0,0,3,4,5,8,0,0,0,4,12,19,0,0,0,3,0,5,0,0,0,3,0,5,73,49,122,142,131,269
LGA19499,32,19,49,85,106,191,8,10,21,14,15,36,107,131,243,63,32,97,5,10,16,10,19,25,75,55,134,15,20,43,17,30,44,29,15,44,31,53,78,5,0,9,97,120,217,110,123,228,64,76,139,10,10,17,31,42,71,0,4,7,209,254,461,26,38,60,37,33,65,0,0,4,60,69,129,2231,1127,3360,2819,1779,4593
LGA19799,0,0,0,3,7,10,0,0,0,0,0,0,4,7,10,4,10,9,0,4,3,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,3,3,7,21,33,46,29,62,93
