LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA13310,3149,6256,62,349,283,1309,120,564,1557,6132,2020,8358,125,505,175,567,650,2048,947,3116,2972,11477,14,80,92,337,57,230,579,1597,743,2241,40,111,122,250,488,1006,642,1368,1387,3609,108,234,7615,21578
LGA13340,1200,2356,30,164,128,637,41,181,622,2624,820,3606,56,238,87,277,191,565,330,1086,1153,4688,0,11,31,111,16,67,142,403,188,598,12,33,28,59,123,249,161,340,349,939,18,36,2723,8020
LGA13450,2344,4670,69,404,301,1371,114,515,1604,6490,2079,8780,128,509,171,531,578,1918,877,2954,2957,11733,14,68,54,209,52,194,392,1134,509,1600,26,88,58,128,335,734,424,952,934,2553,103,215,6337,19165
LGA13510,1456,2868,23,121,112,478,42,205,554,2262,730,3066,35,143,72,216,185,569,298,927,1030,3995,5,24,37,133,11,47,188,549,244,751,9,34,26,60,160,328,196,421,440,1174,47,87,2966,8128
LGA13550,1302,2583,26,144,117,523,35,148,744,3002,922,3815,43,169,82,250,258,830,386,1252,1308,5073,3,17,30,117,33,107,247,724,312,962,8,31,35,79,160,353,210,462,526,1420,52,111,3191,9187
LGA13660,690,1370,6,29,47,208,18,56,282,1145,351,1450,13,56,25,78,83,250,123,378,470,1828,5,11,9,30,4,13,84,249,99,308,0,12,8,18,75,153,85,179,185,482,16,31,1367,3712
LGA13800,5732,11491,211,1191,768,3652,374,1751,4042,16099,5395,22697,510,2170,551,1863,1938,6361,2997,10395,8393,33089,41,162,202,742,116,384,982,2687,1341,3968,125,406,244,549,1118,2428,1489,3381,2824,7342,189,398,17134,52315
LGA13850,330,642,9,44,33,134,7,23,134,560,185,765,10,40,16,52,61,177,91,269,273,1029,3,6,9,35,7,13,54,129,71,188,6,15,3,5,48,99,59,121,130,312,8,17,737,2003
LGA13910,2138,4235,42,223,194,927,59,261,943,3845,1235,5265,68,252,140,437,345,1060,551,1753,1786,7014,10,54,68,246,37,124,350,1037,467,1473,20,73,67,156,262,544,352,772,816,2238,69,150,4812,13637
LGA14000,12146,24217,266,1477,2371,10721,293,1312,11257,43574,14182,57085,1533,6387,2635,9193,3896,12418,8065,27998,22244,85078,39,154,339,1166,69,224,1165,3021,1619,4564,324,1038,611,1403,1938,4193,2865,6634,4486,11194,462,983,39339,121474
