LGA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA16900,6584,13139,169,955,771,3593,316,1432,4121,16271,5379,22249,541,2279,650,2190,1961,6291,3152,10762,8532,33010,63,280,231,840,166,601,1439,3939,1900,5661,145,449,318,724,1247,2713,1713,3885,3614,9552,224,468,18954,56172
LGA16950,13101,25916,175,971,841,3915,321,1433,4702,18533,6032,24854,371,1510,640,2044,1895,5874,2905,9437,8936,34293,60,262,283,1005,190,694,1838,5116,2373,7072,150,452,381,807,1624,3441,2157,4700,4531,11774,305,632,26871,72615
LGA17000,2154,4234,33,200,308,1418,94,422,1495,5948,1933,7996,154,627,206,686,558,1758,918,3068,2854,11060,14,62,62,231,37,130,382,1075,493,1496,37,105,74,165,275,584,379,852,878,2347,76,154,5962,17795
LGA17040,2304,4500,33,174,190,855,39,165,1122,4436,1380,5632,84,337,159,498,344,1042,584,1880,1970,7507,7,27,40,135,21,65,271,738,337,967,20,53,74,156,267,559,360,767,691,1735,52,103,5021,13854
LGA17080,1772,3475,21,131,153,652,44,197,764,3078,984,4059,48,176,103,313,248,776,396,1264,1378,5323,7,35,41,160,16,70,235,632,298,893,18,63,37,72,210,442,270,580,570,1476,47,102,3762,10373
LGA17100,3102,6320,64,369,484,2218,62,287,2550,9658,3161,12526,391,1687,635,2271,979,3197,2004,7154,5162,19686,9,57,79,286,30,94,343,901,461,1326,69,236,241,568,597,1325,899,2123,1359,3458,290,633,9919,30088
LGA17150,20605,40875,455,2486,2804,12744,604,2673,15699,61466,19557,79366,2133,8997,2626,9278,6641,21446,11400,39718,30961,119090,76,313,487,1628,198,660,2447,6323,3204,8928,460,1458,882,2005,3421,7370,4766,10829,7968,19757,714,1503,60249,181224
LGA17200,25791,50600,20,111,445,1907,72,302,6654,22840,7193,25159,247,980,772,2468,1150,3515,2173,6960,9365,32120,17,89,158,526,75,254,1399,3327,1654,4196,116,346,690,1482,1621,3359,2418,5191,4071,9387,1658,3510,40887,95622
LGA17310,6263,12412,118,621,597,2720,206,959,3329,13227,4247,17531,222,886,389,1233,1101,3348,1718,5468,5961,22993,42,166,184,739,110,414,1373,3904,1702,5227,84,260,215,449,919,1988,1212,2690,2912,7912,235,489,15373,43815
LGA17350,749,1493,17,86,74,386,16,61,325,1379,436,1915,20,80,37,119,127,389,186,594,618,2506,3,23,22,68,11,30,90,256,124,382,4,22,17,41,88,184,109,244,238,620,11,24,1623,4642
LGA17400,920,1819,9,71,58,282,14,66,240,984,326,1402,15,73,38,119,100,296,161,493,483,1891,4,23,20,89,15,53,118,332,155,495,5,13,23,47,91,187,120,252,280,753,18,42,1697,4501
LGA17420,12608,25222,400,2269,2853,13032,498,2282,12878,51181,16620,68766,1896,8039,2729,9711,5152,16802,9779,34551,26403,103322,56,232,324,1116,125,429,1266,3392,1776,5169,278,911,554,1323,1720,3836,2549,6073,4327,11241,382,808,43713,140594
LGA17550,10759,21379,149,792,851,3928,286,1256,4688,18405,5969,24388,388,1582,683,2256,1715,5328,2783,9169,8751,33550,54,251,323,1150,154,565,1641,4363,2172,6326,164,519,429,952,1695,3610,2287,5091,4462,11409,312,650,24290,66989
LGA17620,1555,3067,20,113,174,788,35,167,870,3530,1101,4590,55,217,99,302,233,706,384,1228,1492,5821,5,30,34,120,14,51,233,632,289,834,8,28,43,83,178,361,224,481,515,1313,35,66,3595,10265
LGA17640,997,1967,12,64,74,368,21,102,414,1702,529,2228,45,166,46,148,174,549,263,859,791,3085,8,26,9,39,11,35,94,263,117,358,4,9,21,38,100,215,123,266,242,625,26,57,2053,5733
LGA17650,752,1495,17,69,69,307,22,86,351,1392,446,1855,24,97,52,158,105,326,177,577,631,2438,5,22,17,69,10,42,92,255,134,395,3,14,24,44,83,160,106,217,234,613,21,49,1640,4592
LGA17750,6094,11992,131,709,732,3463,220,1011,3779,15083,4854,20269,261,1062,490,1567,1037,3225,1789,5859,6648,26123,35,168,223,830,117,451,1206,3357,1591,4805,99,282,225,473,873,1873,1197,2636,2783,7438,250,526,15773,46077
LGA17850,405,805,3,13,35,133,12,46,168,661,215,856,19,60,31,87,47,141,97,288,312,1141,0,6,12,34,3,4,44,124,61,169,3,7,4,4,31,64,42,78,95,245,9,13,823,2199
LGA17900,562,1132,5,26,40,175,25,109,256,1027,327,1345,4,18,22,54,71,226,100,296,420,1644,5,36,20,61,26,110,172,540,225,744,4,20,15,37,115,261,146,316,365,1060,41,88,1394,3919
LGA17950,310,604,3,19,23,90,4,30,154,650,191,786,3,9,18,44,43,121,64,177,250,966,3,14,16,53,7,21,43,124,66,211,4,3,3,12,41,92,45,110,109,321,7,15,676,1909
LGA18020,1170,2310,13,64,96,427,30,113,401,1665,540,2271,36,138,71,205,134,413,240,750,774,3024,11,40,37,147,18,44,168,479,232,710,5,10,30,53,121,257,155,329,386,1038,39,80,2371,6449
LGA18050,6760,13228,48,244,575,2575,50,200,4449,16533,5122,19547,291,1134,617,2078,727,2223,1634,5436,6754,24988,5,16,94,293,21,64,655,1542,772,1916,76,234,253,568,645,1330,975,2130,1749,4049,292,603,15555,42862
LGA18100,504,1001,7,38,32,134,11,38,182,754,228,963,12,42,17,61,64,186,93,279,320,1243,0,5,12,31,6,13,42,115,58,175,0,4,13,20,49,103,56,131,113,299,14,34,951,2577
LGA18200,790,1540,19,88,67,303,20,95,372,1492,479,1978,27,117,40,133,125,380,195,633,676,2612,3,10,18,79,6,32,111,334,144,446,7,18,15,27,93,209,121,260,259,700,19,39,1735,4894
LGA18230,4848,9589,86,454,505,2359,141,636,2872,11439,3601,14891,220,850,342,1032,915,2850,1472,4732,5075,19627,34,152,168,606,101,395,1192,3473,1494,4627,87,261,189,389,715,1544,991,2197,2477,6825,216,451,12621,36494
LGA18250,6737,13321,40,196,856,3793,88,362,6342,23808,7324,28162,471,1870,1224,4159,1275,3958,2970,9984,10290,38145,9,47,158,519,29,80,753,1867,948,2511,106,303,453,1030,886,1895,1447,3227,2395,5742,377,801,19801,58011
LGA18350,6148,12103,94,556,498,2249,162,729,2624,10454,3379,13985,222,912,385,1213,993,3098,1609,5222,4984,19211,25,124,158,579,76,251,611,1674,875,2625,76,219,181,400,680,1427,932,2053,1801,4676,123,241,13053,36232
LGA18400,4424,8833,182,1006,655,3130,369,1735,3379,13725,4580,19602,379,1599,464,1609,1535,5006,2377,8218,6960,27817,28,136,138,513,67,216,609,1707,842,2575,55,175,138,320,618,1330,807,1830,1654,4406,109,228,13144,41279
LGA18450,19314,38353,392,2182,2150,9979,616,2774,12257,48074,15410,63008,1393,5809,1998,6908,4896,15637,8288,28354,23697,91364,106,487,652,2321,299,1089,3174,8524,4229,12428,409,1311,951,2100,3687,7938,5047,11353,9276,23777,862,1799,53149,155291
LGA18500,5960,11619,45,209,531,2402,32,124,3264,12299,3877,15035,282,1122,675,2245,730,2210,1686,5580,5567,20622,7,26,101,322,23,59,538,1301,664,1708,71,199,275,579,550,1127,891,1907,1555,3616,279,571,13356,36427
LGA18710,1794,3521,41,206,241,1123,65,300,1126,4478,1466,6105,84,330,177,582,354,1122,614,2038,2086,8144,6,21,36,126,14,65,197,530,251,741,15,51,43,101,165,340,220,489,474,1224,40,77,4390,12973
LGA19399,121,226,0,0,6,14,3,12,66,259,75,291,0,6,6,12,22,66,29,83,102,374,0,0,0,0,0,3,9,14,9,21,0,0,0,0,12,20,12,20,17,45,3,9,243,651
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
