LGA_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
LGA10050,0,0,0,0,0,0,0,0,0,46,0,52,0,0,0,0,0,0,0,0,0,25,0,30,0,4,0,0,0,0,0,4,0,11,0,25,0,0,0,0,0,0,0,7,0,16,0,24,0,4,0,3,0,8,0,17,0,151,5,188,0,5,0,7,0,11,0,31,3,49,0,110,8,19,0,10,0,34,0,71,3,536,7,687,8,24,3,25,3,68,0,64,6,211,4,407,26,44,0,82,4,77,3,50,3,251,7,556,88,46,4,129,9,71,9,37,6,153,7,553,65,19,3,96,10,49,0,24,4,40,0,311,102,23,3,106,5,43,0,25,7,41,0,350,290,20,3,152,10,55,3,23,7,61,0,624,170,20,5,97,8,26,3,5,0,27,0,373,108,12,3,38,7,9,0,7,0,16,0,197,51,0,4,14,0,15,0,4,0,6,0,97,68,12,0,48,7,24,0,3
LGA10130,10,0,0,0,0,0,0,3,0,23,0,38,0,0,0,0,0,0,0,7,0,7,0,18,0,0,0,3,0,0,0,3,0,15,0,23,0,0,0,0,0,3,0,0,0,3,0,8,3,11,0,0,3,0,0,16,0,89,0,123,0,6,0,3,0,12,0,19,3,25,0,75,12,15,0,6,0,15,0,29,0,265,3,348,19,24,0,29,0,30,0,40,3,102,3,253,29,34,0,44,0,29,4,31,3,94,0,271,48,26,0,72,0,26,3,20,8,80,0,291,34,12,0,44,3,25,0,5,0,24,0,149,62,4,0,38,4,19,0,13,3,43,0,190,133,19,0,79,3,44,0,10,4,54,0,343,81,6,0,43,10,19,0,8,4,19,0,199,56,3,0,23,0,7,0,3,3,15,0,114,25,5,0,4,0,13,0,3,0,3,0,52,58,0,0,33,3,6,0,4
LGA10250,0,0,0,0,0,0,0,0,0,32,0,35,0,0,0,0,0,0,0,3,0,20,0,28,0,0,0,0,0,0,0,3,3,14,0,28,0,3,0,0,0,0,0,3,0,8,0,14,0,5,0,0,0,4,0,12,4,161,6,201,4,15,0,3,0,10,0,34,0,68,0,132,9,26,4,8,3,23,3,68,10,677,8,826,12,24,0,22,0,49,5,73,11,290,0,489,31,45,3,56,3,51,3,68,5,361,3,626,78,47,4,92,4,40,6,57,5,218,9,550,37,18,0,94,7,37,0,13,0,71,0,287,71,23,5,70,3,31,0,30,7,73,3,317,193,40,8,113,7,42,4,23,5,93,3,530,92,23,0,77,3,34,7,17,4,37,0,287,67,11,0,40,6,3,3,7,0,18,0,155,27,14,0,9,0,8,0,4,0,14,0,84,68,16,0,43,9,24,7,8
LGA10300,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,5,0,0,0,4,0,15,0,24,5,0,0,3,0,4,0,3,0,4,0,23,3,3,0,3,0,3,0,0,0,7,0,27,7,0,0,9,0,3,0,0,0,4,0,33,5,0,0,10,0,3,0,0,0,7,0,28,6,0,0,10,0,4,0,0,0,0,0,21,7,0,0,4,0,4,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0
LGA10470,0,0,0,3,0,3,0,0,0,38,0,44,4,0,0,0,0,0,0,4,0,19,0,26,4,4,0,4,0,0,0,3,0,17,0,26,0,0,0,0,0,0,0,4,0,15,0,15,0,0,0,3,0,4,0,15,7,131,3,160,0,5,0,3,0,9,0,21,3,40,0,80,8,9,0,16,0,23,0,48,9,372,4,491,17,17,6,23,0,35,0,34,3,153,6,292,15,19,4,52,0,40,3,53,8,166,0,364,61,22,3,84,6,55,3,24,5,116,0,380,56,14,0,70,5,41,3,19,4,36,0,246,67,12,0,61,3,35,3,13,4,31,0,235,206,16,9,108,17,41,4,25,0,48,4,474,160,7,3,62,8,30,0,4,0,15,3,294,118,8,3,36,3,4,0,3,3,9,0,199,41,8,0,16,3,16,0,0,0,5,0,95,78,4,0,36,0,6,3,9
LGA10550,7,0,3,3,0,0,0,0,0,31,5,51,0,0,0,3,0,0,0,7,0,36,0,50,0,0,0,3,0,0,0,7,0,32,0,48,0,0,0,0,0,0,0,4,0,18,0,19,6,12,0,10,0,7,0,27,3,204,0,279,8,11,0,3,4,8,3,37,3,71,0,149,3,19,7,17,0,19,0,53,15,621,6,759,10,35,3,29,0,42,3,81,4,255,3,470,36,47,4,71,3,55,3,74,15,304,5,620,62,56,0,81,6,33,9,45,5,201,0,509,37,9,0,53,3,42,3,17,0,56,3,226,63,15,0,46,4,20,0,15,0,63,0,228,133,23,8,96,7,39,4,22,3,70,9,409,77,10,3,48,13,15,4,10,0,33,0,218,43,4,0,23,0,6,5,8,3,16,0,111,16,3,0,11,0,9,0,0,3,5,0,46,21,7,3,31,3,3,0,0
LGA10600,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,3,0,6,0,14,0,0,0,0,0,0,0,3,0,9,0,16,0,0,0,0,0,0,0,0,0,4,4,13,3,4,0,5,0,0,0,7,0,55,0,75,5,8,0,0,0,5,0,8,3,26,0,54,5,15,0,4,0,3,3,28,0,200,0,264,9,14,3,12,0,22,0,33,3,77,3,171,11,23,0,22,0,24,0,23,3,89,0,195,16,22,0,26,4,20,3,21,4,50,0,161,12,15,0,26,0,8,3,3,3,18,0,87,25,10,0,22,0,16,3,6,0,29,0,109,24,15,0,43,0,13,3,4,0,13,0,119,26,5,0,21,0,10,0,0,4,8,0,76,10,3,0,5,0,0,3,0,0,3,0,34,8,0,0,3,0,3,0,0,0,0,0,16,11,3,0,3,0,4,0,3
LGA10650,3,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,3,0,10,0,13,0,0,0,0,0,0,0,7,0,14,0,19,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,12,0,45,0,69,0,4,0,0,0,3,0,3,0,20,0,30,6,5,0,6,0,17,0,13,3,170,4,219,3,0,0,10,0,13,0,12,0,43,0,85,11,17,0,16,3,7,0,18,0,54,4,136,9,7,3,19,0,5,3,9,5,36,0,100,11,4,0,18,3,8,4,0,0,4,0,52,13,7,0,25,0,4,0,0,0,12,0,61,25,3,0,26,3,9,0,0,0,3,0,76,20,0,0,6,4,4,0,0,4,3,0,49,12,0,0,5,0,0,0,0,0,0,0,22,3,0,0,3,0,0,0,0,0,0,0,10,6,0,0,7,4,5,0,4
LGA10750,5,3,0,0,0,5,0,7,4,777,10,813,4,3,4,3,0,6,0,11,3,176,3,212,0,3,0,0,0,3,0,45,4,122,5,176,0,0,0,0,0,9,0,36,4,76,0,126,3,15,3,3,0,19,0,89,5,869,11,1016,0,26,5,11,3,78,0,141,12,322,3,600,6,42,3,25,0,210,5,183,24,2204,38,2754,24,72,0,61,3,426,6,191,32,599,7,1423,68,113,10,229,18,515,9,168,33,650,11,1818,276,118,15,351,21,425,19,91,33,382,13,1744,310,53,11,338,30,302,5,61,20,115,4,1245,550,46,18,317,26,246,9,36,16,102,5,1367,1640,75,30,503,80,355,16,54,25,117,3,2895,1213,28,18,310,46,109,6,21,4,36,0,1802,753,18,11,143,29,40,3,14,4,18,0,1034,406,5,11,44,14,62,3,10,4,0,0,562,544,12,4,116,23,58,3,7
LGA10800,0,0,0,4,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,32,0,5,0,4,0,0,0,5,0,7,0,24,10,4,3,3,0,8,0,11,0,66,0,95,4,0,0,5,0,4,3,8,0,24,0,53,13,5,0,20,3,8,0,9,0,26,0,81,10,4,0,7,0,6,3,3,0,13,0,45,8,0,0,14,0,3,0,3,0,0,0,37,26,4,3,21,0,6,0,0,0,3,0,61,24,0,3,18,4,10,0,0,3,5,0,62,21,0,0,10,0,3,0,0,0,4,0,35,15,0,0,0,0,3,0,0,0,0,0,14,10,0,0,3,0,4,0,0,0,0,0,13,12,0,0,7,0,3,0,0
