LGA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA18050,130,102,153,9,0,393,6,24,35,0,0,67,15,14,26,0,0,58,16,26,57,0,0,94,17,32,62,3,0,112,74,106,181,0,3,371,50,75,214,4,0,345,111,182,442,7,0,743,84,118,331,3,0,534,154,304,508,8,4,972,744,819,419,3,8,1989,106,85,118,0,0,321,1506,1885,2556,32,23,6012
LGA18100,42,0,0,0,0,44,34,0,0,0,0,37,17,0,0,0,0,17,33,0,0,3,0,36,43,0,0,0,0,43,58,0,0,0,0,61,40,0,0,0,0,40,31,0,0,0,0,31,10,0,0,0,0,10,11,0,0,0,0,11,9,0,0,0,0,9,30,0,0,0,0,30,355,0,0,3,3,361
LGA18200,43,0,0,0,0,40,25,0,0,0,0,25,24,0,0,0,0,24,68,0,6,0,0,72,110,0,0,0,0,115,148,0,0,0,3,155,124,0,0,0,0,119,88,0,0,0,0,88,21,0,0,0,0,21,22,0,0,0,0,22,25,0,0,0,0,23,47,0,0,0,0,50,743,0,5,3,3,760
LGA18230,192,3,3,14,0,213,128,5,3,8,0,144,125,7,3,0,0,137,265,5,3,16,0,293,444,12,10,10,0,466,1269,30,11,20,3,1333,1212,22,11,13,3,1257,1073,4,0,13,3,1094,352,3,0,3,0,357,218,0,0,3,0,227,110,0,0,3,0,111,257,9,6,3,0,270,5639,92,49,100,15,5899
LGA18250,396,46,164,0,0,611,62,5,37,0,0,106,54,12,27,0,0,94,53,16,49,0,0,118,78,18,57,0,0,153,226,42,179,0,3,450,208,40,208,0,0,450,418,85,417,0,0,912,296,64,305,0,0,667,668,156,425,0,0,1247,1775,208,247,0,4,2246,220,32,78,0,0,325,4463,718,2186,4,13,7385
LGA18350,302,11,0,0,0,310,120,4,0,0,0,130,95,4,0,0,0,101,175,4,0,0,0,179,249,6,4,0,0,261,703,14,5,0,0,727,942,6,3,4,6,964,1316,20,3,3,3,1349,618,11,0,0,4,636,506,3,0,0,0,521,393,4,0,0,3,400,270,10,0,0,0,280,5695,97,28,9,23,5849
LGA18400,233,3,0,0,0,237,114,0,0,0,0,115,97,0,0,0,0,95,164,0,0,0,0,164,250,4,0,0,0,260,696,19,3,0,3,719,1002,21,0,0,3,1026,1735,22,5,6,0,1765,1169,4,0,0,0,1181,1089,3,3,7,0,1095,531,0,0,0,3,537,366,3,0,4,4,373,7449,78,16,13,17,7576
LGA18450,805,75,81,3,3,959,400,29,42,0,0,468,287,30,23,3,0,343,572,83,61,0,5,720,767,95,106,0,6,978,2227,237,287,4,3,2757,2949,331,363,9,5,3655,4711,415,395,14,22,5555,2656,165,139,3,6,2973,2320,113,121,0,5,2553,1120,56,58,3,5,1237,713,46,55,4,3,824,19530,1667,1730,47,60,23035
LGA18500,176,99,144,0,0,417,15,17,33,0,0,60,8,4,23,0,0,42,7,14,24,0,0,47,10,19,46,0,0,73,47,45,138,3,0,233,35,49,157,0,0,239,93,129,308,3,3,531,42,95,246,3,3,389,118,174,423,3,3,726,769,691,496,5,10,1974,134,79,95,5,0,309,1453,1410,2121,25,26,5040
LGA18710,119,4,0,0,3,121,41,3,0,0,0,41,35,3,0,0,0,34,56,0,0,0,0,55,113,3,0,0,0,115,270,3,0,3,3,278,340,0,0,3,5,355,488,5,0,3,6,502,308,0,0,0,0,308,354,0,0,0,0,357,177,0,0,0,0,181,86,0,0,0,0,86,2386,29,6,8,19,2443
LGA19399,15,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,8,0,0,0,0,8,3,0,0,0,0,3,3,0,0,0,0,3,5,0,0,0,0,5,9,0,0,0,0,9,64,0,0,0,0,71
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
