LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA14950,3,7,10,265,254,523,0,0,0,5,10,21,0,0,0,440,479,912,0,0,0,0,0,0,0,0,0,0,0,0,56,72,131,0,0,0,3,0,3,12,17,23,117,117,230,0,6,4,0,7,6,166,151,317,17,23,41,0,0,0,1086,1126,2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,289,251,539,7,0,4,0,0,0,291,251,542,154,189,349,1537,1579,3119
LGA15050,190,290,483,8819,9845,18660,0,0,0,688,741,1427,87,80,169,9756,10836,20590,48,49,90,111,108,215,83,122,199,108,106,213,60,72,133,8,9,17,199,213,413,319,349,666,1108,1255,2369,156,225,384,97,119,208,1662,2127,3788,806,877,1684,18,24,36,24126,27145,51272,173,192,356,159,133,287,11,9,29,10,9,16,56,63,112,69,107,174,130,181,310,9878,8661,18534,123,112,236,27,64,89,10024,8838,18865,2920,2790,5706,37736,39571,77305
LGA15240,271,397,665,12258,13583,25839,3,0,3,894,1023,1921,10,6,17,8184,9035,17224,68,83,158,115,95,208,230,299,530,88,125,214,73,102,175,15,16,33,164,200,366,235,306,543,1675,1814,3484,203,269,470,119,150,270,2174,2708,4886,864,1079,1945,26,33,59,27415,30929,58344,77,74,154,67,38,104,16,26,47,14,9,28,15,14,31,75,109,190,111,139,251,11752,10295,22049,109,91,203,60,82,145,11923,10467,22390,4202,4151,8352,44091,46215,90303
LGA15270,56,83,137,3185,3404,6591,0,0,0,126,127,249,0,0,0,2983,3069,6050,4,0,4,33,34,69,49,59,106,13,12,31,20,28,45,3,3,3,28,22,53,109,124,235,438,467,907,25,28,55,10,15,28,378,447,825,157,209,370,4,7,9,7555,8055,15615,25,14,40,10,9,14,3,5,3,0,3,3,9,14,20,18,32,49,24,44,70,2937,2380,5320,25,15,41,9,10,26,2974,2413,5381,1456,1353,2811,12099,11975,24076
LGA15300,22,27,47,1818,1833,3650,0,0,0,69,78,144,5,0,5,1781,1870,3657,4,0,6,15,16,31,23,26,48,0,6,4,34,37,74,0,0,0,8,15,20,61,85,143,276,270,544,46,46,97,29,37,63,187,202,386,118,120,235,4,3,13,4473,4642,9118,42,23,66,13,14,23,0,0,0,12,6,12,0,0,3,0,4,7,14,14,28,1144,929,2066,9,8,16,0,4,6,1153,939,2091,927,860,1787,6636,6520,13159
LGA15350,148,255,406,2578,3135,5712,0,0,0,44,74,111,3,0,4,2998,3801,6801,3,0,5,231,262,500,10,14,23,9,7,12,54,68,122,21,24,46,39,48,87,68,96,160,316,410,727,3,4,10,3,8,11,227,311,540,151,214,365,3,14,19,6765,8503,15264,141,150,288,63,46,106,110,129,234,0,0,0,7,4,11,32,43,77,37,46,84,4413,4508,8918,48,62,107,14,28,42,4475,4601,9068,1453,1562,3016,13189,15290,28475
LGA15520,26,33,53,1031,1217,2250,0,0,0,56,56,118,0,0,0,1344,1434,2779,11,22,37,9,10,20,8,9,15,0,6,8,21,40,64,0,4,3,5,14,24,15,19,34,208,234,440,14,12,27,3,3,9,484,604,1086,93,88,181,3,0,4,3317,3780,7092,13,5,19,7,3,13,0,0,0,26,28,47,8,3,5,0,4,6,29,33,66,1823,1440,3257,3,12,10,3,0,3,1825,1448,3273,580,578,1155,5795,5881,11680
LGA15560,4,8,9,413,446,859,0,0,0,4,10,13,0,0,0,587,526,1113,3,3,8,0,3,4,0,0,0,0,0,0,5,8,12,0,0,0,6,4,11,9,12,21,90,78,169,3,4,7,9,7,15,159,163,329,28,22,49,0,0,0,1318,1276,2596,15,10,18,9,3,11,0,0,0,0,0,0,0,0,0,5,0,9,5,0,9,420,301,719,6,4,9,0,0,0,425,303,730,250,216,467,2026,1812,3836
LGA15650,27,44,79,2348,2470,4813,0,0,0,89,107,199,0,0,0,1969,1977,3946,4,0,4,11,13,24,26,38,66,9,5,20,8,3,16,0,3,7,26,20,38,31,44,71,225,224,442,11,18,27,17,29,45,220,275,499,139,136,279,9,12,17,5141,5365,10508,29,24,53,23,20,43,4,3,12,0,0,0,8,3,12,18,21,36,26,29,55,1945,1658,3607,17,17,33,6,9,17,1973,1681,3656,1015,669,1681,8243,7837,16086
LGA15700,82,107,191,1993,2176,4168,0,0,0,63,74,140,0,0,0,1790,1923,3716,3,7,9,19,11,33,94,118,211,10,23,30,17,22,42,0,0,0,22,28,44,66,94,159,413,516,929,84,103,183,64,92,157,345,429,772,207,219,432,5,8,19,5192,5845,11046,10,15,24,11,10,17,11,4,17,12,16,26,6,6,7,37,49,86,53,74,120,2938,2668,5607,25,18,41,14,28,43,2975,2717,5697,1076,1023,2101,9421,9794,19212
