LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA16350,902,1215,2117,16770,19332,36105,85,72,155,904,1031,1936,199,178,381,30384,32498,62884,114,133,245,1596,1644,3242,256,320,578,416,450,866,232,280,513,492,482,972,474,503,975,1349,1547,2901,2041,2353,4391,162,242,408,223,269,485,1808,2131,3936,2175,2377,4546,81,107,186,59764,65932,125696,1766,1707,3476,2210,1998,4208,41,42,84,17,20,33,793,732,1524,228,316,550,1035,1070,2105,22274,19057,41334,266,196,463,102,129,231,22637,19386,42025,8475,7884,16363,96822,99243,196066
LGA16380,213,331,544,8825,10501,19327,3,0,5,423,491,913,0,3,3,8296,9812,18106,23,35,60,92,110,210,155,198,344,61,52,112,101,127,231,17,13,25,147,153,303,385,445,832,1341,1520,2863,140,198,337,239,285,525,1655,2105,3757,905,1128,2035,18,27,47,22821,27203,50026,109,99,205,43,34,77,32,32,56,19,14,27,13,16,33,70,111,186,106,142,242,10737,9380,20111,92,90,178,60,118,174,10881,9581,20467,3493,3422,6911,37697,40846,78539
LGA16400,215,296,510,8259,9071,17328,4,0,5,732,770,1496,6,12,20,7261,7801,15059,30,42,71,163,150,315,93,119,214,54,61,119,81,92,178,11,8,14,151,146,299,426,502,928,1071,1226,2294,130,140,271,76,79,153,1567,1835,3403,690,843,1533,13,16,32,20820,22924,43747,49,57,103,59,44,101,15,20,34,11,9,18,12,7,24,56,100,159,81,123,203,9622,8359,17984,101,73,179,37,63,97,9757,8498,18255,3384,3218,6597,34384,35174,69556
LGA16490,212,270,477,4293,4874,9171,0,0,0,217,225,441,85,74,161,7300,7782,15078,13,15,27,752,692,1442,52,74,121,55,32,83,144,175,315,11,9,19,100,110,203,190,243,425,561,612,1172,56,57,111,33,33,72,646,809,1460,651,673,1315,19,23,35,15164,16502,31666,360,323,679,342,302,641,22,18,39,7,12,16,230,198,431,64,108,172,298,314,616,8645,7422,16062,107,80,190,42,52,92,8796,7550,16344,2948,2622,5572,28133,27899,56027
LGA16550,1674,2167,3846,5617,6844,12465,48,58,101,348,426,774,3,3,4,17529,19692,37223,10,19,30,3561,4075,7635,62,107,171,46,54,105,157,142,294,151,170,322,206,240,444,425,563,994,1008,1167,2173,13,20,33,30,37,67,573,709,1278,843,1080,1926,31,24,52,30675,35417,66090,750,639,1388,1271,1052,2318,2361,2690,5051,20,14,36,75,71,141,174,193,365,269,272,538,22836,21434,44273,243,223,467,87,142,231,23168,21806,44971,9023,7434,16456,69179,71482,140660
LGA16610,48,64,112,2421,2654,5076,0,0,0,132,159,298,3,5,8,2842,2925,5772,3,3,3,11,17,28,54,67,113,6,9,10,22,23,47,0,0,0,19,11,33,121,150,271,683,697,1372,46,51,97,24,35,63,517,629,1148,207,254,463,67,63,131,7168,7758,14932,8,15,28,12,6,17,0,0,3,7,3,4,0,0,4,26,50,74,30,51,80,2818,2461,5279,20,25,50,15,15,31,2860,2508,5361,1190,1088,2274,11318,11489,22807
LGA16650,1845,2553,4404,2971,3517,6485,18,21,35,338,384,719,7,4,14,10884,12019,22906,43,61,102,7848,8403,16249,92,127,223,71,79,152,66,72,141,750,786,1534,218,233,450,340,426,765,588,661,1246,82,120,206,55,64,119,482,654,1133,1531,1683,3211,31,35,66,26415,29335,55751,3066,2462,5532,5667,4930,10597,89,85,174,4,3,10,79,81,156,148,185,329,235,269,497,11375,10302,21674,110,95,204,67,82,152,11550,10477,22026,5202,5225,10423,54079,55325,109404
LGA16700,1965,2776,4739,4704,5349,10059,7,12,22,948,1147,2099,45,55,99,13737,15637,29370,38,46,89,1406,1453,2857,81,124,201,62,51,114,107,132,232,846,878,1725,267,323,585,550,652,1201,1851,2065,3921,35,58,90,86,115,197,1061,1298,2358,1335,1543,2880,38,35,78,27204,30982,58184,2383,2086,4471,1457,1286,2740,181,185,370,3,0,4,251,239,489,220,211,427,469,452,925,18017,17121,35137,161,121,284,57,91,153,18236,17337,35572,4612,4690,9301,56509,59791,116302
LGA16900,205,317,520,6471,7614,14084,0,0,0,257,311,573,0,3,7,9079,10059,19141,34,37,72,1219,1200,2421,204,240,444,47,63,111,164,223,385,28,29,54,60,83,149,313,370,678,754,909,1658,88,104,192,31,43,75,1017,1282,2300,969,1042,2011,16,31,39,20753,23640,44396,69,70,139,312,332,642,3,3,12,15,15,35,9,17,26,63,102,168,90,135,226,9276,7851,17124,82,71,156,28,60,89,9395,7976,17371,2614,2531,5149,33444,35015,68460
LGA16950,363,551,911,11223,12810,24033,0,0,0,725,832,1557,4,3,9,9599,10597,20198,61,73,140,312,304,615,241,284,532,61,93,149,153,159,305,8,12,18,122,157,283,396,474,870,1630,1794,3428,140,150,288,57,53,104,1614,2009,3622,1037,1136,2174,31,37,67,27428,30966,58394,113,99,216,97,86,181,33,55,87,21,16,42,24,25,54,115,203,318,159,246,407,15424,13539,28962,142,120,258,98,105,211,15662,13765,29426,5434,4592,10029,49284,50364,99650
LGA17000,52,80,132,3324,3426,6745,0,0,0,145,164,311,72,64,133,2811,2867,5680,0,4,3,14,11,25,21,28,50,12,12,24,18,22,40,8,3,12,57,54,107,73,73,143,286,247,530,16,21,33,28,19,53,498,560,1055,192,212,403,34,30,60,7607,7811,15419,21,20,40,35,22,55,6,7,9,0,0,0,3,0,3,15,31,50,19,31,56,2801,2255,5058,37,32,74,13,8,23,2849,2301,5152,1113,1010,2121,11701,11288,22987
LGA17040,74,111,184,2000,2111,4115,0,0,0,186,157,340,0,0,0,2418,2360,4774,3,3,7,69,68,138,25,48,66,3,10,14,75,74,152,4,3,5,19,14,29,57,53,107,259,266,534,24,21,44,9,16,29,265,294,554,145,176,323,6,5,5,5572,5684,11251,8,9,14,40,31,65,11,8,14,3,3,8,0,3,6,26,39,66,36,45,77,3272,2749,6023,39,36,73,13,27,39,3322,2812,6131,1411,1058,2469,10461,9756,20218
LGA17080,28,39,66,2034,2180,4218,0,0,0,75,82,150,0,0,0,1830,1935,3763,0,0,0,12,9,20,33,38,71,0,3,3,24,35,58,3,4,7,15,17,27,56,73,122,258,247,501,10,20,29,29,38,67,203,252,451,128,126,254,3,5,9,4713,5053,9762,15,11,24,13,3,18,0,6,6,4,4,10,6,3,6,15,21,36,22,29,53,1510,1193,2703,13,12,22,6,3,9,1529,1206,2735,959,771,1737,7278,7119,14395
LGA17100,939,1349,2280,725,839,1559,10,10,16,187,199,382,12,11,19,4489,4767,9258,13,17,22,629,661,1287,29,42,68,12,9,15,16,16,32,132,158,287,74,83,164,131,164,289,632,746,1375,7,12,18,37,55,96,362,411,774,356,439,797,33,23,49,7875,8643,16516,3683,2910,6598,1102,868,1968,22,16,36,5,0,3,148,103,252,68,58,125,216,156,378,4521,4179,8694,44,23,64,16,15,30,4573,4211,8785,2017,1725,3746,20434,19874,40312
LGA17150,921,1436,2361,20871,24295,45165,4,4,6,1864,2058,3924,85,82,166,30267,33623,63885,182,179,356,4567,4661,9226,123,185,317,134,155,287,254,308,562,429,431,857,400,453,855,900,1020,1918,2340,2689,5032,234,312,548,61,79,140,3017,3937,6956,2007,2267,4276,94,113,208,67838,76848,144686,609,606,1211,759,772,1528,128,151,279,11,7,15,108,90,203,162,191,357,280,285,569,28500,24099,52599,304,244,545,86,170,254,28882,24504,53392,7291,7141,14434,106713,111750,218464
LGA17200,6317,8352,14672,6043,6050,12093,9,8,21,573,593,1169,0,0,3,15989,16100,32089,12,15,27,1952,2100,4053,63,94,160,69,69,136,205,202,409,94,82,169,292,332,628,663,887,1550,1136,1166,2305,26,37,66,73,81,152,998,1021,2018,1473,1813,3287,63,53,112,29745,30694,60441,1676,1201,2878,1740,1119,2863,1014,978,1990,30,35,69,87,101,190,377,293,671,494,434,931,47907,42108,90020,678,477,1150,220,223,443,48802,42813,91611,18060,14932,32989,107852,100530,208374
LGA17310,130,176,304,8358,9557,17909,0,0,0,294,353,651,76,85,157,6878,7709,14586,9,13,26,48,42,87,102,139,241,31,33,61,39,56,92,9,10,19,61,79,140,335,387,716,1163,1316,2480,115,128,244,68,66,140,1173,1440,2614,505,590,1098,14,18,35,19278,22004,41281,124,107,230,86,77,161,4,4,8,16,10,28,29,26,63,44,78,126,98,122,217,6343,5200,11543,70,68,142,38,28,66,6447,5306,11753,2917,2786,5704,29077,30581,59663
LGA17350,10,9,15,804,850,1658,0,0,0,59,63,128,0,0,0,834,914,1747,0,0,0,10,3,16,5,10,22,0,0,0,151,172,322,3,3,5,8,4,8,18,22,39,165,184,348,17,11,23,10,9,17,165,198,365,33,35,71,0,0,0,2289,2482,4768,5,0,3,0,0,0,0,0,0,0,0,0,3,5,7,0,5,9,10,7,16,511,381,885,3,3,3,0,0,0,514,382,894,220,196,410,3036,3073,6110
LGA17400,21,19,41,764,753,1514,0,0,0,27,29,58,0,0,0,639,720,1358,0,0,0,9,7,12,26,35,60,5,3,5,18,17,27,0,0,0,3,4,13,22,31,48,154,176,326,19,26,44,7,17,30,158,189,343,83,105,185,5,9,14,1933,2106,4039,4,0,3,3,3,3,0,0,0,0,0,0,0,4,3,14,14,28,13,23,34,823,744,1565,15,9,16,0,4,7,831,762,1593,445,460,905,3253,3375,6628
LGA17420,2003,2567,4570,11118,12366,23487,16,22,40,1295,1491,2787,230,228,458,22038,23341,45378,77,102,176,1491,1487,2977,146,169,309,252,259,511,170,229,402,463,483,940,453,473,928,1890,2163,4055,1987,2113,4096,80,103,183,331,441,771,2082,2521,4600,1707,1898,3610,70,91,160,45899,49971,95866,3512,3554,7066,2042,1996,4044,105,90,195,4,0,4,725,714,1440,438,473,905,1166,1186,2349,17768,15576,33341,215,156,368,74,94,161,18050,15817,33875,4673,4612,9288,77451,79791,157243
LGA17550,401,648,1046,8199,9780,17981,0,0,0,395,453,848,3,4,5,9493,10895,20388,68,87,150,149,149,292,335,434,774,45,62,110,136,168,305,12,16,24,111,146,257,477,622,1100,1698,1827,3524,74,126,208,307,371,677,1368,1843,3207,1022,1168,2192,25,30,61,23925,28174,52100,320,299,616,60,45,107,43,47,90,23,24,44,114,90,207,125,209,332,257,324,579,14172,12828,27000,128,97,224,124,233,358,14432,13161,27589,4673,4567,9243,44109,47261,91371
LGA17620,38,34,75,2348,2601,4950,0,0,0,55,55,110,0,0,0,1827,1826,3657,0,0,3,6,6,9,19,29,52,4,0,5,4,9,17,0,0,0,11,11,21,6,11,16,199,192,393,17,18,38,6,15,17,275,349,626,75,81,157,4,0,4,4865,5208,10069,14,20,38,24,16,43,0,6,3,0,0,0,3,4,3,9,14,20,11,18,22,1271,1081,2355,15,10,24,0,11,8,1286,1099,2391,730,738,1469,6970,7140,14112
LGA17640,6,17,29,1094,1108,2203,0,0,0,16,31,51,0,0,0,1209,1176,2389,0,0,0,18,7,31,3,3,3,3,11,12,3,20,24,0,0,0,5,9,12,5,11,19,104,86,189,9,7,20,5,13,17,206,224,427,38,42,75,5,7,5,2728,2747,5476,3,0,3,9,9,15,0,3,4,0,0,0,0,0,3,9,8,19,10,11,18,749,623,1376,10,9,26,3,10,13,759,651,1409,391,344,734,3917,3785,7695
LGA17650,15,21,34,855,911,1761,0,0,0,35,35,66,0,0,0,568,668,1239,0,3,8,3,3,7,23,30,57,4,3,6,6,12,15,0,0,0,8,6,12,15,16,22,143,150,291,22,20,41,4,9,9,122,155,279,37,56,92,3,9,13,1845,2072,3917,0,3,0,8,0,10,3,4,7,0,0,0,0,0,0,7,10,18,8,11,26,748,699,1446,3,9,13,6,8,14,756,711,1467,292,293,583,2926,3120,6048
LGA17750,173,187,359,5676,6458,12136,0,0,0,396,397,801,94,98,189,9060,10054,19110,46,39,85,90,77,165,69,90,163,30,47,73,309,390,703,77,76,160,127,117,248,283,326,611,1449,1636,3085,72,76,145,77,74,147,1264,1546,2814,528,619,1147,12,9,23,19661,22157,41818,243,190,432,310,249,552,3,9,18,6,15,22,37,30,73,45,72,119,96,115,210,7328,6494,13819,87,68,155,41,37,79,7453,6599,14050,2565,2383,4945,30504,31880,62385
LGA17850,3,3,4,508,545,1054,0,0,0,6,8,12,0,0,0,292,300,597,0,0,0,0,0,0,18,25,45,0,0,0,0,5,5,0,0,0,0,0,4,0,6,4,160,146,304,3,0,3,7,4,10,14,23,37,14,10,27,0,0,0,1024,1075,2103,3,0,3,0,0,0,0,0,0,3,3,6,0,0,0,0,3,6,4,10,14,304,249,555,3,4,6,0,0,0,310,250,560,206,201,404,1551,1540,3092
LGA17900,11,8,15,863,805,1667,0,0,0,15,13,30,0,0,0,721,696,1416,0,3,3,40,22,61,7,9,16,15,11,25,18,7,24,0,0,3,3,6,10,3,5,7,108,95,203,6,7,13,13,7,20,51,46,95,46,40,89,0,0,0,1905,1787,3693,8,18,31,17,20,33,0,0,0,8,8,18,0,0,0,9,3,12,15,12,35,808,629,1440,3,3,5,6,5,18,824,636,1460,458,390,847,3235,2875,6107
LGA17950,0,11,9,359,395,755,0,0,0,3,6,10,0,0,0,486,474,963,3,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,6,6,9,11,116,117,230,0,0,4,6,0,3,30,47,79,11,11,17,0,0,0,1024,1056,2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,179,141,316,0,0,0,0,0,0,179,141,316,160,155,318,1366,1366,2732
LGA18020,15,21,31,1405,1478,2878,0,0,0,22,23,41,0,0,0,969,1077,2049,0,0,3,14,6,19,16,21,42,6,6,12,8,12,20,0,0,0,12,8,22,16,18,30,248,264,515,3,5,15,29,37,63,146,156,302,61,70,128,3,6,13,2956,3199,6149,8,6,18,8,3,10,0,0,0,3,0,5,3,0,3,6,13,18,9,12,24,1064,869,1929,3,7,11,4,13,19,1071,886,1956,623,569,1191,4689,4692,9384
LGA18050,321,542,865,2432,2877,5312,0,4,5,49,63,115,0,0,0,6276,7015,13292,7,3,16,682,849,1528,31,29,61,11,20,26,68,77,138,20,22,39,68,96,160,68,100,172,330,370,706,6,6,11,11,17,29,243,283,525,262,361,630,10,21,25,10577,12216,22796,134,114,250,155,99,256,4828,5243,10076,0,3,3,19,24,45,57,70,135,76,101,179,11442,10905,22349,140,119,261,52,97,147,11637,11118,22761,4743,4893,9635,32485,34334,66812
LGA18100,6,3,9,481,499,977,0,0,0,9,3,10,0,0,0,434,446,882,0,0,0,0,3,3,3,0,3,0,3,6,4,7,5,0,0,0,3,5,5,27,34,60,125,126,250,16,22,35,0,3,3,147,154,293,19,24,38,0,0,3,1262,1316,2578,3,10,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,4,0,6,368,310,678,0,0,0,3,0,4,369,314,687,184,186,375,1834,1831,3664
LGA18200,11,14,21,503,536,1042,0,0,0,21,14,33,0,0,0,698,699,1400,9,11,18,17,10,19,8,11,22,0,3,6,31,48,81,0,0,0,7,3,10,11,21,31,95,96,191,16,12,21,25,29,55,194,239,430,66,63,132,0,0,4,1701,1791,3499,3,3,4,11,3,14,0,0,0,22,29,54,0,0,0,5,3,9,34,26,60,1257,1001,2258,3,0,8,4,5,10,1264,1008,2273,492,439,926,3512,3288,6794
LGA18230,137,184,318,5568,6201,11773,0,0,3,433,484,922,0,3,3,6786,7733,14520,19,21,42,78,84,165,48,57,106,9,13,26,81,102,185,23,18,40,56,55,107,222,259,483,940,1013,1954,92,116,206,58,77,129,1150,1452,2599,476,517,987,3,6,11,16048,18214,34259,227,227,453,133,106,240,9,14,23,25,28,50,47,32,80,42,48,96,112,115,227,4753,4106,8860,32,40,75,24,24,54,4810,4172,8984,3087,2479,5566,24566,25505,50077
LGA18250,1265,1959,3228,3907,4625,8529,0,0,0,297,380,678,7,3,6,7519,8496,16013,23,29,56,541,553,1088,17,23,40,17,10,27,90,109,197,348,366,720,139,160,295,223,303,531,877,997,1879,5,7,20,20,16,37,677,852,1533,618,750,1371,18,21,38,15344,17710,33055,1081,1014,2091,420,437,856,361,372,734,0,0,0,47,53,101,149,182,331,197,236,430,13743,13391,27130,91,99,191,53,71,122,13888,13560,27446,3129,3337,6463,35686,38624,74302
LGA18350,188,260,445,5579,6692,12270,0,0,0,230,281,508,83,83,165,4984,5683,10662,16,37,52,176,180,357,123,146,271,19,31,55,66,73,135,10,7,14,46,58,104,150,190,344,649,826,1479,35,31,60,40,45,86,793,1062,1854,534,651,1188,48,59,103,13586,16118,29698,166,152,309,51,37,84,53,62,118,0,0,0,18,17,36,46,85,137,68,104,173,6463,5973,12433,88,69,156,51,63,120,6604,6109,12708,2178,2157,4336,22894,24988,47882
LGA18400,100,141,244,6304,7033,13342,3,0,3,250,270,515,87,85,174,7229,7443,14673,10,16,18,300,268,567,61,84,150,40,33,82,95,135,224,15,18,31,71,75,140,146,166,316,480,505,980,38,42,79,42,40,84,689,769,1454,495,528,1024,31,44,75,16389,17552,33941,26,23,53,114,100,215,15,17,27,0,0,3,10,4,14,33,49,83,44,60,100,5708,4667,10371,47,42,92,14,24,40,5772,4732,10500,1737,1695,3434,24207,24314,48519
LGA18450,1084,1495,2574,15551,18308,33860,9,6,19,857,966,1821,143,141,279,24699,27378,52076,117,135,259,4402,4380,8779,316,463,778,150,172,322,337,418,759,114,116,230,261,318,583,934,1185,2118,2247,2659,4911,278,348,619,122,152,273,3110,3910,7019,2873,3007,5880,57,87,148,56585,64148,120737,729,545,1274,2426,2187,4610,57,53,115,17,20,34,56,37,96,250,349,591,326,403,728,30594,26020,56611,358,299,659,152,226,379,31102,26544,57644,8231,7721,15951,100542,103087,203630
LGA18500,243,401,644,3252,4211,7463,3,4,7,41,69,109,0,0,0,4498,5870,10371,4,8,9,762,955,1716,20,25,48,5,7,8,56,103,158,13,12,30,43,50,98,65,100,167,446,465,911,7,10,15,14,15,29,232,327,555,220,310,534,13,13,25,9702,12560,22259,124,143,265,95,105,200,3382,3670,7050,4,0,4,12,13,25,49,76,123,67,88,151,8203,8191,16393,132,79,209,50,69,121,8377,8346,16722,3241,3710,6946,25232,29009,54240
LGA18710,29,48,79,1646,1867,3515,0,0,0,105,104,213,0,0,0,2112,2128,4244,0,0,4,32,39,69,6,11,18,3,0,7,54,62,114,0,0,0,21,31,44,61,47,100,162,193,361,18,22,36,15,12,24,309,374,678,156,175,327,4,7,8,4694,5067,9760,4,11,15,17,28,46,7,14,20,0,3,3,0,3,4,27,26,53,29,36,60,2366,2238,4602,32,22,54,8,18,20,2396,2273,4673,752,741,1497,7931,8209,16142
LGA19399,3,0,3,103,105,207,0,0,0,3,0,8,0,0,0,109,90,201,0,0,0,0,0,3,0,0,3,0,0,0,3,7,13,0,0,0,0,0,0,0,0,0,14,13,24,0,0,4,21,20,41,32,34,70,10,12,13,0,0,0,292,289,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,197,135,328,0,3,3,0,0,0,197,133,332,76,66,141,569,492,1056
LGA19499,100,107,211,785,549,1339,4,0,8,44,37,79,0,0,0,912,731,1643,0,3,3,43,38,83,21,11,31,58,24,81,11,13,32,15,7,17,26,25,48,34,43,75,134,104,238,9,13,26,21,19,46,143,146,292,147,138,281,8,5,9,2419,1912,4328,73,48,122,150,70,222,17,10,24,11,7,17,13,3,14,31,26,60,54,39,91,2021,1415,3434,33,27,57,21,26,52,2073,1463,3537,2461,1286,3744,7351,4939,12288
LGA19799,3,10,17,32,37,69,0,0,0,7,0,5,0,0,0,47,71,120,0,0,0,4,6,13,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,3,3,5,15,0,0,0,0,0,3,7,7,18,3,3,5,0,0,0,104,143,249,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,48,85,0,0,0,0,0,0,40,49,88,20,36,60,171,239,412
