LGA_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
LGA15700,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,15,13,23,20,12,0,85,25,59,68,119,135,164,143,106,62,884,474,1132,921,1504,1182,1629,1511,775,285,9421,0,0,0,0,0,0,0,0,0,0,414,1035,787,1408,1001,1321,1116,578,286,7947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,10,0,0,0,0,3,0,0,0,0,7
LGA15750,0,0,0,0,0,0,3,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,3,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,3,0,4,3,3,4,0,15,62,74,84,164,115,135,94,56,20,797,451,914,756,1457,900,944,675,336,88,6528,0,0,0,0,0,0,0,0,0,0,432,838,581,1280,696,685,513,315,104,5442,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
LGA15800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,13,18,36,32,76,57,57,60,26,8,365,201,374,325,584,372,438,357,187,69,2901,0,0,0,0,0,0,0,0,0,0,154,358,250,505,310,325,280,169,114,2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA15850,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,26,29,33,72,50,70,46,31,14,363,226,487,368,636,380,444,403,206,67,3214,0,0,0,0,0,0,0,0,0,0,216,406,296,595,343,338,294,178,87,2755,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA15900,0,0,0,4,15,19,17,17,6,80,3,14,11,54,20,8,3,4,0,111,0,3,13,39,0,0,0,0,0,49,4,14,26,29,4,3,0,0,0,84,0,0,3,17,54,103,94,59,10,344,0,0,0,11,10,5,0,0,0,28,8,23,48,106,45,28,18,6,0,281,8,16,32,68,20,19,5,0,3,173,0,7,3,13,19,15,12,12,5,86,0,6,27,38,7,8,0,0,0,78,29,129,209,548,153,134,111,65,26,1400,132,238,438,1112,578,520,382,242,120,3773,4801,8790,11415,22026,9759,8939,6228,3321,1372,76642,20,24,31,38,6,0,0,0,0,118,4032,7493,9388,17189,8086,7411,5111,3216,2116,64049,3,8,5,46,7,0,0,0,0,73,0,0,3,21,17,17,20,9,0,75,0,0,4,11,8,3,0,0,0,21,3,17,22,91,20,13,8,0,0,180,0,0,9,20,8,0,0,0,0,41
LGA15950,0,0,0,6,8,3,5,3,0,33,0,4,0,65,11,11,9,3,0,107,0,6,12,90,11,4,3,0,0,125,4,5,21,106,17,6,4,0,0,167,0,0,0,7,0,6,0,0,3,22,0,3,0,28,3,3,0,0,0,48,22,60,39,187,74,56,30,12,4,478,0,0,7,40,12,11,4,0,0,81,0,0,4,24,9,11,8,4,0,61,0,0,0,24,11,9,3,0,0,49,17,54,69,833,150,99,106,60,21,1412,113,111,226,1150,316,288,216,104,46,2553,1960,2351,2509,13634,3895,3273,2727,1182,384,31910,0,0,0,0,0,0,0,0,0,0,1599,1721,1808,6888,2052,2058,1793,892,462,19258,0,0,0,13,0,0,0,0,0,18,0,0,0,7,0,3,0,0,0,18,0,0,0,6,0,0,0,0,0,8,0,5,9,107,25,20,16,3,0,184,0,0,0,30,13,5,0,3,0,51
LGA15990,0,0,6,43,46,47,31,39,9,217,0,6,3,33,23,18,13,7,0,93,3,6,10,29,10,16,6,0,0,68,4,25,46,72,23,20,0,0,0,189,0,0,3,12,9,7,6,3,0,39,0,4,3,36,33,23,24,9,0,129,22,147,147,382,206,138,89,32,13,1180,0,5,29,71,32,31,9,3,3,190,0,7,11,124,80,38,40,22,7,325,0,0,4,56,54,38,18,4,0,173,52,231,279,2119,757,474,381,213,88,4596,325,565,608,1889,959,796,651,457,197,6446,8072,17578,13961,32723,18234,13842,10672,5965,2456,123507,0,0,0,13,4,13,3,0,0,36,6961,14052,10035,19443,10966,8771,7077,4338,2883,84532,0,0,6,30,0,0,0,0,0,38,0,0,3,36,26,30,9,3,3,107,0,3,0,15,10,4,3,0,0,32,3,35,37,291,150,78,38,18,11,660,0,12,10,74,34,22,32,10,8,198
LGA16100,0,0,0,0,0,0,6,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,14,8,3,38,15,35,40,70,53,31,61,21,9,339,145,332,390,556,393,350,391,149,44,2751,0,0,0,0,0,0,0,0,0,0,135,259,245,384,284,297,271,86,55,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA16150,0,0,0,0,0,0,3,3,0,8,0,3,0,15,4,3,0,0,0,25,0,0,3,0,6,3,0,0,0,14,0,0,3,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,0,0,10,0,10,3,12,8,3,7,0,0,39,0,0,3,10,0,3,0,0,0,14,0,0,0,4,0,0,4,3,0,10,0,14,6,15,11,7,0,0,0,42,0,18,17,70,28,32,14,11,7,196,59,156,170,381,194,189,148,105,35,1435,1553,2919,2440,5063,2380,2269,1693,980,311,19615,0,0,0,0,0,0,0,0,0,0,1350,2396,2216,4366,2122,1926,1496,941,448,17268,0,0,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,15,8,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3
LGA16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,4,6,0,0,21,27,59,89,137,117,109,112,67,28,736,481,1031,915,1505,965,969,766,418,154,7190,0,0,0,0,0,0,0,0,0,0,426,897,812,1331,748,831,570,420,211,6240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA16260,0,0,0,20,21,23,22,14,0,106,14,90,119,820,300,235,140,40,10,1780,7,15,51,262,41,51,33,3,0,455,8,3,39,125,18,17,9,5,0,223,0,0,3,21,16,5,3,3,3,51,0,0,5,80,84,37,26,8,4,251,23,79,38,119,46,32,36,4,4,377,3,8,46,256,173,138,46,16,7,698,0,0,0,12,13,12,14,7,3,63,0,7,21,56,13,8,0,0,0,109,79,184,268,1501,533,435,288,169,62,3517,407,557,711,2728,696,607,426,257,128,6531,8290,13025,13883,41461,13031,10801,7235,3973,1453,113158,4,14,44,186,68,59,40,7,6,421,6736,8929,7386,11546,4574,3951,3366,2233,1422,50142,5,25,36,332,47,19,9,4,0,488,0,0,5,41,22,24,9,6,0,98,0,0,10,45,19,11,5,3,0,88,6,7,21,66,28,17,15,0,3,167,3,3,6,53,54,30,34,15,0,202
LGA16350,0,0,0,10,21,32,37,19,4,121,4,11,37,142,73,84,42,11,7,407,0,4,3,26,0,5,4,0,0,46,3,13,14,65,5,5,0,0,0,107,0,0,0,4,14,19,18,5,0,56,0,0,3,32,36,27,11,3,0,118,4,10,14,67,28,32,19,3,0,186,0,16,12,82,29,18,3,3,0,166,0,0,0,12,22,21,23,7,4,89,0,6,28,40,25,8,3,0,0,114,7,121,258,817,512,385,296,144,42,2588,344,605,731,1721,795,744,531,267,83,5825,7493,13629,13829,28391,12076,10736,7156,2725,793,96822,0,8,25,84,21,12,10,4,0,164,6514,11837,11189,20753,8122,6857,3859,1651,861,71637,0,14,17,95,12,11,3,0,0,148,0,0,7,32,20,26,8,7,0,100,0,0,4,27,11,5,0,0,0,46,0,3,7,41,19,22,5,3,0,103,0,0,0,38,29,35,23,21,0,141
LGA16380,0,0,0,3,4,3,7,0,0,21,0,0,0,3,5,3,11,0,0,25,0,0,0,0,0,0,0,0,0,3,3,0,9,4,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,11,0,19,8,34,12,13,25,13,4,128,0,0,0,12,0,3,0,0,0,15,0,0,0,6,6,9,8,4,6,40,0,0,0,9,8,11,6,3,0,29,5,16,11,70,47,61,69,54,25,361,106,201,226,481,368,411,530,356,133,2819,1946,4756,3809,7016,4780,5305,5681,3251,1145,37697,0,0,0,0,0,0,0,0,0,0,1770,4208,3361,6405,4260,4734,4439,2696,1342,33215,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,25,12,19,8,8,3,79,0,0,0,5,3,3,4,0,0,15
LGA16400,0,0,0,0,3,0,11,4,3,19,0,0,0,7,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,4,3,8,3,6,0,0,0,0,0,19,0,0,0,0,0,3,3,0,0,7,0,0,0,3,3,0,0,0,0,9,5,12,10,10,16,7,14,3,0,87,0,0,0,3,6,3,0,0,0,14,0,0,5,8,5,14,19,5,3,65,0,3,0,8,3,3,3,0,0,20,3,11,13,58,33,57,68,39,9,292,110,235,262,566,395,410,456,261,116,2809,1932,4524,3921,7131,4542,4633,4706,2341,651,34384,0,0,0,0,0,0,0,0,0,0,1803,3795,3341,6108,3721,3902,3370,1687,680,28405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,7,0,6,5,20,15,5,10,4,0,65,0,0,0,3,4,4,5,3,0,19
LGA16490,0,0,0,4,10,13,12,7,4,42,0,3,3,15,10,11,5,4,0,55,0,0,0,0,0,0,0,0,0,4,0,7,4,11,3,3,0,0,0,23,3,0,3,58,62,66,53,14,11,276,0,3,0,3,3,0,0,0,0,16,11,28,19,31,24,15,17,3,0,154,0,0,3,15,9,6,0,0,0,38,0,0,0,5,14,8,0,3,0,30,0,0,0,13,5,0,3,0,0,23,7,24,18,160,99,92,83,55,17,547,129,192,229,624,403,298,226,112,20,2229,1951,3741,3421,7679,4471,3538,2177,907,247,28133,0,0,0,4,0,0,0,0,0,4,1559,3138,2822,5745,3281,2328,1268,527,238,20906,3,6,12,51,4,0,0,0,0,71,0,0,0,0,4,3,0,6,0,13,0,3,0,6,0,0,0,0,0,10,0,3,0,23,17,12,8,0,0,72,0,0,0,4,10,7,3,0,0,23
LGA16550,0,0,0,9,6,12,6,12,3,56,0,0,30,63,12,13,16,3,4,138,5,3,31,102,16,17,8,0,0,188,3,3,65,91,24,27,9,0,0,218,0,0,0,4,3,8,3,0,0,17,0,0,5,19,26,13,10,8,3,87,18,55,73,194,68,37,36,7,0,496,3,15,65,149,51,48,22,6,5,356,0,0,3,50,15,7,12,3,3,94,0,0,7,38,15,10,3,0,0,80,56,141,386,1879,535,466,439,277,129,4306,245,344,887,1881,622,521,425,271,138,5324,3882,6795,11781,23641,8331,6326,4626,2670,1129,69179,0,0,0,3,0,0,0,0,0,7,3310,5429,5365,10404,4340,3205,2105,1322,975,36454,0,4,29,65,27,12,6,0,0,144,0,0,0,15,3,9,3,6,0,45,0,0,7,7,10,4,4,3,0,32,4,8,23,171,36,21,11,4,0,291,3,0,3,79,29,40,44,15,10,227
LGA16610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,6,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,3,0,8,6,13,12,7,3,53,45,102,115,208,167,153,126,90,25,1035,676,1542,1337,2167,1471,1651,1436,795,239,11318,0,0,0,0,0,0,0,0,0,0,640,1327,1160,1908,1198,1339,1092,718,329,9708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,6,4,3,0,0,14,0,0,0,0,0,0,0,0,0,0
LGA16650,0,0,0,18,24,27,24,15,3,109,0,0,0,27,14,13,9,3,3,65,0,0,7,91,3,3,4,0,0,107,4,7,26,156,25,10,7,3,0,244,3,9,35,205,210,329,372,165,61,1386,0,0,16,51,51,26,27,7,5,191,9,28,10,59,21,10,5,3,0,145,4,4,51,175,93,89,29,6,4,463,0,0,0,7,3,8,9,0,0,29,3,0,3,22,3,0,0,0,0,32,33,92,280,1682,415,351,355,167,66,3445,179,277,393,1296,428,378,338,261,206,3751,3417,5540,6826,18997,6418,5232,4065,2458,1117,54079,0,0,0,4,3,0,0,0,0,15,2889,4418,3932,6945,2682,1779,1196,853,705,25397,7,22,126,500,44,20,0,0,0,726,0,0,5,37,15,29,13,9,0,110,0,3,0,16,7,12,0,0,0,36,0,0,5,34,12,5,0,0,0,60,0,0,7,56,51,41,46,18,0,225
LGA16700,0,0,0,18,11,14,12,7,3,62,6,15,34,212,74,77,54,31,10,511,3,15,37,159,24,17,12,9,0,280,3,4,35,77,18,10,3,0,0,152,0,4,3,8,5,11,16,0,0,52,0,0,0,36,18,10,9,8,0,87,16,24,38,92,43,17,9,0,0,240,7,15,54,168,60,47,22,16,3,383,0,0,0,9,15,7,5,8,0,47,0,0,14,34,6,7,3,0,0,58,49,100,173,879,340,218,173,126,43,2101,139,192,318,866,337,263,197,139,76,2536,3622,6171,7867,18787,6983,5754,3938,2305,1079,56509,0,0,0,38,29,27,11,3,3,114,3033,4648,4356,6517,3135,2493,1714,1309,1116,28334,0,8,43,112,8,4,0,0,0,178,0,0,3,10,4,10,5,4,0,40,0,0,10,18,3,3,3,0,0,40,0,3,15,51,16,14,7,0,0,108,0,0,4,27,13,16,16,6,0,87
LGA16900,0,0,0,3,10,12,9,15,3,56,0,0,0,6,0,3,0,0,0,12,0,0,0,4,0,0,0,0,0,5,0,3,5,15,0,0,0,0,0,24,0,0,3,33,88,107,140,26,7,412,0,0,0,24,32,12,16,3,0,81,3,3,7,17,8,3,10,0,0,55,0,0,0,16,14,5,3,3,3,47,0,0,0,8,22,28,19,11,4,91,0,0,0,4,3,0,0,0,0,8,0,19,16,102,141,199,165,111,60,814,81,187,202,461,285,299,261,157,54,1998,2269,4715,4563,8012,4442,4075,3193,1638,538,33444,0,0,0,0,0,0,0,0,0,0,1965,4233,4057,7212,3389,2777,1880,952,446,26907,0,0,0,0,0,0,0,0,0,6,0,0,0,3,14,6,8,4,3,38,0,3,0,4,4,0,0,0,0,13,0,3,0,15,5,7,3,0,0,36,0,0,3,14,24,9,36,7,3,98
LGA16950,0,0,0,0,0,6,8,8,3,25,0,0,0,11,0,0,3,0,0,21,0,0,3,3,0,0,0,0,0,3,0,8,5,18,3,0,0,0,0,39,0,0,0,0,4,6,7,4,0,17,0,0,0,0,0,0,3,0,0,8,0,21,13,21,23,28,32,7,4,149,3,0,4,22,8,3,0,0,0,50,0,0,0,10,9,17,27,14,4,74,0,0,3,8,3,0,0,0,0,18,3,18,8,72,67,100,166,105,29,576,135,319,379,783,537,638,669,424,177,4061,2637,5754,5179,9701,5937,7380,7435,3945,1301,49284,0,0,0,0,0,0,0,0,0,0,2322,4991,4249,7974,4818,6066,5172,2848,1281,39727,0,0,0,7,0,0,0,0,0,13,0,0,0,0,4,4,0,5,0,13,0,0,0,3,0,0,3,0,0,9,0,0,3,20,15,19,16,3,0,76,0,0,0,0,3,13,8,4,3,34
LGA17000,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,7,6,9,3,0,4,0,0,21,0,0,0,7,0,0,0,0,0,7,0,0,0,0,3,0,0,0,3,8,0,0,0,3,3,0,0,0,0,9,0,0,3,25,12,15,10,5,3,73,27,127,101,240,149,137,110,52,16,961,765,1688,1729,2984,1700,1403,911,408,114,11701,0,0,0,0,0,0,0,0,0,0,727,1462,1300,2432,1294,1086,612,338,181,9434,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,6
LGA17040,0,0,0,0,0,0,4,5,0,10,0,0,3,0,0,4,0,0,0,13,0,0,3,14,0,0,0,0,0,16,0,8,3,3,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,3,0,0,0,9,0,3,5,14,11,4,3,0,0,39,0,0,3,9,4,4,0,0,0,13,0,0,0,0,4,0,0,0,0,10,0,0,0,4,0,0,0,0,0,5,0,0,3,31,26,31,58,46,11,204,39,69,118,253,155,163,133,71,33,1032,510,1307,1215,2438,1528,1524,1181,576,174,10461,0,0,0,0,0,0,0,0,0,0,424,1085,897,1774,1106,1004,707,354,168,7518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12,3,7,4,0,0,33,0,0,0,0,0,0,0,0,0,4
LGA17080,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,11,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,3,0,0,0,3,3,4,3,12,11,15,15,14,7,87,26,58,57,141,107,133,99,77,40,737,405,909,737,1579,1009,1067,905,500,159,7278,0,0,0,0,0,0,0,0,0,0,381,802,599,1198,734,834,691,356,186,5772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3
LGA17100,0,0,0,3,0,3,3,0,0,15,0,23,53,253,98,149,83,34,22,725,3,3,8,47,8,7,9,0,0,89,0,0,9,57,5,4,0,0,0,79,0,0,0,0,0,0,3,0,0,5,0,0,0,12,13,13,7,0,0,42,3,5,0,14,4,3,3,0,0,35,0,4,30,128,117,91,32,23,7,434,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,3,0,0,0,10,5,25,57,190,66,84,53,43,22,551,99,105,268,631,138,127,72,43,28,1509,1219,1989,3322,7675,2194,1920,1160,680,280,20434,0,0,6,4,0,0,0,0,0,7,905,1436,1546,1618,593,442,279,217,176,7220,0,0,4,28,11,6,0,0,0,52,0,3,0,0,0,4,3,4,0,17,0,0,3,14,9,3,3,0,0,31,0,0,0,18,0,3,0,0,0,29,0,0,0,5,7,3,3,4,0,31
LGA17150,0,0,0,8,23,28,13,12,4,86,0,0,3,25,15,15,13,0,0,71,0,3,3,19,0,9,3,0,0,36,3,11,26,48,10,5,0,0,0,104,0,0,8,49,82,85,60,21,3,307,0,0,0,23,18,17,10,0,0,64,4,34,27,92,78,42,31,10,5,325,0,3,9,44,34,42,23,3,3,153,0,4,6,37,44,24,20,7,0,150,0,4,9,38,11,8,4,3,0,70,23,117,130,825,432,345,318,160,60,2416,184,406,429,1290,651,641,492,298,158,4546,7051,14400,13245,27365,14695,13275,9593,4972,2126,106713,0,0,0,3,0,0,0,0,0,3,6247,12570,11178,21530,10907,9860,7019,4140,2778,86233,0,3,3,32,7,3,0,0,0,45,0,0,3,37,18,16,8,6,0,89,0,0,0,13,10,12,3,0,0,44,0,10,16,119,57,36,17,8,3,268,0,0,5,42,44,29,33,13,3,162
LGA17200,0,0,0,36,17,13,24,16,7,101,0,0,34,146,26,15,8,4,0,232,7,0,91,398,23,11,15,3,0,547,17,22,303,2116,141,33,11,3,0,2640,0,0,0,31,10,18,3,5,0,70,0,3,18,156,47,22,21,7,0,277,27,52,185,740,184,104,75,23,0,1386,4,9,183,422,111,108,60,29,6,929,0,0,16,93,31,14,10,6,0,158,0,0,14,46,22,9,4,0,0,88,51,80,712,3818,542,413,413,248,75,6356,351,379,2416,7244,1748,1214,783,367,123,14633,3495,3561,17005,54484,12266,8532,5460,2334,709,107852,0,0,0,12,0,0,0,0,0,16,2866,2709,5702,16499,4048,3240,2102,897,461,38520,0,0,25,45,0,0,0,0,0,74,0,0,3,41,15,19,6,6,0,82,0,0,10,24,3,6,10,0,0,53,3,7,89,345,54,30,10,4,0,541,0,0,11,108,24,24,21,4,3,197
