LGA_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
LGA16550,11604,7304,23656,395,125,43081,1427,793,3452,46,12,5730,283,206,1003,16,54,1567,13319,8305,28104,452,194,50374
LGA16610,5214,283,311,112,20,5940,1732,183,286,88,10,2303,235,17,35,13,0,296,7179,479,637,217,30,8549
LGA16650,13063,4473,13374,237,102,31247,2515,828,2052,84,25,5501,477,159,533,14,20,1205,16052,5457,15957,334,150,37956
LGA16700,17222,5800,12805,92,147,36064,1909,782,1542,20,19,4269,399,161,335,3,41,935,19528,6739,14676,115,203,41267
LGA16900,15937,2329,583,164,77,19087,2596,837,317,160,28,3943,413,134,33,26,9,613,18944,3305,931,351,112,23643
LGA16950,26648,1617,609,539,180,29592,5785,851,284,404,69,7395,920,116,70,60,30,1205,33364,2585,963,1002,277,38187
LGA17000,5684,392,153,32,35,6298,963,148,108,31,15,1263,138,19,14,3,5,176,6790,558,269,63,53,7741
LGA17040,5034,228,253,69,176,5757,1195,97,110,31,23,1462,175,21,48,10,41,302,6402,342,414,111,244,7518
LGA17080,3632,62,77,22,24,3815,1262,62,66,5,9,1401,133,10,14,4,4,167,5033,135,153,32,41,5388
LGA17100,4680,696,5390,114,86,10967,502,92,604,8,11,1218,123,24,317,6,17,482,5299,808,6316,132,116,12674
LGA17150,44295,8687,13658,253,135,67031,3599,1433,2620,96,21,7768,812,253,438,26,36,1562,48705,10368,16718,367,199,76356
LGA17200,1416,14784,57536,325,348,74409,226,1506,6361,48,38,8182,79,543,1984,41,182,2838,1717,16835,65879,416,574,85423
LGA17310,14713,1025,218,226,100,16287,3656,683,202,166,26,4730,550,117,30,25,15,739,18918,1830,441,417,139,21752
LGA17350,1549,14,55,13,7,1645,546,25,56,6,0,636,66,0,3,0,0,69,2149,40,118,23,14,2344
LGA17400,1718,21,12,24,15,1797,728,24,19,14,6,794,89,3,0,4,3,97,2536,51,36,43,19,2682
LGA17420,37058,5081,2278,50,98,44568,1757,403,299,14,11,2487,603,96,57,6,21,784,39414,5577,2636,72,134,47836
LGA17550,19181,4590,2806,680,207,27462,3184,1632,1169,461,47,6492,564,264,209,75,27,1131,22929,6489,4180,1211,282,35089
LGA17620,3542,67,118,40,40,3807,1030,24,114,29,7,1200,129,3,12,3,3,152,4698,92,242,75,48,5161
LGA17640,2027,26,0,30,17,2106,663,40,3,12,12,721,74,8,0,0,0,82,2763,73,3,46,26,2912
LGA17650,1677,5,13,20,9,1726,451,8,13,13,3,488,64,0,3,0,0,67,2191,15,34,28,11,2281
LGA17750,15625,594,1421,145,55,17834,2903,283,681,39,8,3915,488,40,93,17,10,645,19013,917,2194,202,71,22397
LGA17850,772,3,12,13,15,803,317,0,15,3,4,337,43,0,3,0,0,45,1124,3,24,13,20,1187
LGA17900,1128,0,63,92,49,1331,657,0,50,75,32,822,106,0,5,20,7,135,1892,5,116,190,91,2286
LGA17950,624,4,11,0,5,649,281,3,27,7,3,321,36,0,4,0,0,43,944,6,39,8,8,1007
LGA18020,2241,20,40,22,44,2357,959,23,36,15,14,1041,98,3,3,4,6,121,3299,50,78,45,55,3517
LGA18050,3830,4354,13676,305,98,22262,230,313,1586,33,12,2176,92,108,504,7,15,726,4160,4774,15759,344,129,25166
LGA18100,977,21,4,7,3,1020,335,31,3,3,0,370,54,4,0,0,0,61,1365,53,7,9,11,1449
LGA18200,1624,19,51,39,19,1756,469,14,55,26,3,576,71,0,8,8,5,89,2163,38,115,74,23,2420
LGA18230,11661,652,675,239,65,13278,2752,379,472,82,12,3695,379,28,67,17,11,500,14789,1054,1208,339,87,17474
LGA18250,11129,1937,10650,56,46,23815,743,112,950,8,5,1818,208,35,272,3,8,519,12077,2077,11873,72,58,26155
LGA18350,13835,769,203,68,95,14978,1946,258,98,49,13,2364,338,26,21,18,21,419,16121,1055,324,136,129,17759
LGA18400,12370,438,65,61,43,12980,1483,183,36,42,11,1757,321,30,0,8,4,367,14179,647,108,113,55,15094
LGA18450,42616,6659,9250,332,261,59108,7596,2186,2734,148,80,12741,1159,305,471,34,132,2102,51367,9154,12454,511,468,73953
LGA18500,4220,4380,10328,129,94,19151,186,222,937,14,7,1359,95,103,378,8,8,589,4500,4703,11636,158,106,21105
LGA18710,4444,119,21,26,38,4648,630,90,3,14,11,749,107,12,0,3,0,119,5185,220,26,40,51,5519
LGA19399,270,0,0,0,3,273,44,0,0,0,0,46,17,0,0,7,0,16,331,0,0,5,4,336
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
