LGA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
LGA15050,1050,1678,4190,4103,3750,2693,559,59,14,18085,6,14,19,24,59,31,21,3,3,175,4,22,77,72,54,12,0,0,0,239,53,56,151,141,156,69,5,0,0,635,4,3,17,34,26,15,0,0,0,93,15,27,112,113,129,58,8,3,0,468,3,28,48,36,33,23,3,0,0,174,292,337,502,424,447,256,40,5,0,2309,475,290,287,202,155,96,17,0,0,1516,4,26,58,79,105,60,15,3,0,353,6,19,33,20,20,9,0,0,0,105,4,59,155,133,122,53,8,0,0,545,12,36,72,54,63,33,11,0,0,283,13,75,216,200,177,81,25,0,0,791,22,61,145,157,174,111,13,0,0,694,7,53,239,318,290,137,18,3,0,1064,34,100,382,511,521,376,44,0,0,1966,82,344,912,842,971,667,96,4,0,3914,24,32,33,35,26,21,6,0,0,170,36,93,193,133,143,69,8,0,0,679
LGA15240,889,1069,2236,2669,3631,3507,1058,169,30,15261,18,27,37,63,94,110,103,17,3,473,0,0,3,7,8,0,0,0,0,23,32,22,38,71,96,84,22,6,0,369,0,0,15,31,32,15,3,0,0,98,4,14,37,68,86,49,16,0,0,273,3,3,14,24,38,24,4,3,0,123,310,220,358,368,505,366,91,4,0,2209,352,175,217,219,333,237,57,3,0,1590,3,5,19,30,67,79,13,0,0,212,6,7,11,21,28,22,12,0,0,105,3,18,39,57,74,64,7,0,0,262,15,24,56,63,78,64,23,3,0,323,9,31,110,132,146,137,31,7,0,603,8,20,62,106,183,140,35,3,0,553,0,14,64,141,161,114,23,3,0,516,13,73,259,391,473,491,73,3,0,1784,68,251,538,781,1176,1109,191,9,0,4129,17,14,24,39,36,27,17,0,0,170,21,47,77,113,132,86,30,0,0,503
LGA15270,257,395,1046,1028,1204,905,340,78,12,5255,7,14,26,19,49,59,60,25,0,246,0,11,41,41,37,8,0,0,0,136,10,8,30,24,30,20,8,0,0,132,0,0,0,5,4,0,0,0,0,9,3,7,17,16,33,20,4,0,0,97,0,4,9,13,23,12,4,0,0,64,96,70,98,129,153,80,18,3,0,649,89,58,88,93,98,69,19,0,0,510,0,7,3,9,31,17,3,3,0,72,6,7,10,3,14,12,0,0,0,47,0,3,24,19,11,12,3,0,0,72,0,8,17,8,18,11,0,0,0,58,3,9,41,57,68,34,11,0,0,213,3,15,27,44,73,20,7,0,0,188,0,5,43,61,43,39,5,0,0,199,10,20,104,149,155,122,19,0,0,576,12,35,143,164,240,193,30,0,0,822,3,3,13,11,9,6,4,0,0,52,13,28,35,48,37,27,9,0,0,197
LGA15300,139,256,540,571,660,540,219,54,0,2981,5,13,58,53,87,85,31,12,0,344,0,0,0,0,0,0,0,0,0,0,3,5,4,6,6,7,3,0,0,34,0,0,0,0,0,0,0,0,0,6,0,0,6,9,13,12,6,0,0,49,0,4,6,14,10,3,0,0,0,43,38,29,41,60,50,47,12,3,0,283,27,21,33,32,35,34,3,0,0,184,0,3,12,11,12,14,3,3,0,66,0,3,5,0,3,0,0,0,0,16,3,3,28,23,13,3,0,0,0,65,0,6,3,0,14,0,0,0,0,28,0,18,23,32,25,21,3,0,0,131,3,4,14,28,28,21,7,0,0,104,0,8,42,33,43,17,9,0,0,148,11,26,97,110,97,63,13,0,0,417,8,29,87,84,99,99,17,0,0,420,0,3,6,0,6,0,0,0,0,17,5,14,23,20,19,12,5,0,0,93
LGA15350,187,438,1312,1646,1624,1186,587,126,14,7123,0,0,0,0,4,5,3,0,0,19,0,0,0,3,7,0,0,0,0,11,10,13,35,50,33,17,6,0,0,164,0,0,0,8,9,0,0,0,0,23,0,7,24,22,24,13,15,0,0,111,0,13,46,65,58,28,0,0,0,216,70,83,113,62,88,70,30,3,0,525,63,64,79,40,35,17,9,0,0,314,0,7,12,22,40,23,5,0,0,110,0,9,68,79,68,28,6,0,0,270,0,17,164,253,201,86,33,5,0,743,3,15,69,55,76,43,25,5,0,285,7,73,279,285,286,142,74,9,0,1158,0,15,51,46,78,55,12,0,0,259,8,16,67,65,67,52,18,3,0,297,26,36,116,143,163,145,60,3,0,696,13,54,199,168,221,223,90,13,0,993,3,18,35,37,34,25,8,3,0,160,22,24,45,61,36,30,13,0,0,239
LGA15520,141,172,421,472,582,593,215,49,12,2656,6,6,28,32,65,67,32,14,0,257,0,0,0,0,0,0,0,0,0,0,9,8,16,14,20,9,7,0,0,79,0,0,0,3,3,0,0,0,0,10,0,0,5,11,10,6,0,0,0,37,0,0,7,9,14,0,0,0,0,28,42,27,48,43,58,49,7,0,0,261,52,33,61,43,80,60,12,0,0,343,0,3,5,3,12,12,8,0,0,40,0,0,3,4,0,3,0,0,0,13,0,3,13,9,17,6,0,0,0,54,0,4,0,3,5,3,0,0,0,17,0,8,25,24,22,16,8,0,0,95,0,4,16,11,32,16,4,0,0,79,0,0,25,30,20,22,0,0,0,102,3,13,62,72,72,50,7,0,0,288,4,22,72,83,123,121,21,0,0,451,7,6,0,5,8,3,0,0,0,31,4,3,18,12,16,4,5,0,0,62
LGA15560,44,73,179,171,205,204,62,20,0,959,3,15,24,23,51,41,9,3,0,176,0,0,0,0,0,0,0,0,0,0,0,3,15,16,7,9,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,18,0,0,5,8,0,0,0,0,0,9,6,3,15,13,17,15,4,0,0,75,8,7,15,8,12,4,6,0,0,61,0,0,3,6,10,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,3,0,0,24,0,3,0,4,11,6,0,0,0,22,0,0,6,7,11,9,0,0,0,30,0,0,19,19,34,22,7,0,0,103,3,7,23,24,25,23,6,0,0,113,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,15
LGA15650,204,323,848,794,848,567,139,21,8,3748,3,20,35,17,41,23,21,3,0,170,4,24,71,65,50,14,0,0,0,226,8,8,27,19,25,7,0,0,0,92,0,10,5,11,22,4,0,0,0,53,0,3,8,13,12,6,3,0,0,44,0,0,13,8,13,5,0,0,0,37,56,49,95,84,76,45,10,0,0,409,81,38,39,54,42,33,3,0,0,293,0,4,16,17,12,20,4,0,0,69,6,3,4,4,3,3,0,0,0,25,0,4,16,15,16,4,0,0,0,57,0,4,5,6,10,0,0,0,0,32,4,9,28,33,32,10,0,0,0,117,0,12,31,32,41,26,4,0,0,143,0,13,34,37,53,25,3,0,0,158,3,10,55,95,89,59,10,0,0,328,8,42,91,97,131,111,15,0,0,493,0,3,5,9,5,4,3,0,0,27,0,17,29,29,27,13,3,0,0,109
LGA15700,173,244,472,570,712,743,209,42,7,3178,0,3,7,9,25,29,28,8,0,111,0,0,0,0,0,0,0,0,0,0,0,5,8,16,7,16,5,0,0,63,0,0,0,0,0,0,0,0,0,0,4,3,23,14,25,19,3,0,0,95,0,0,5,10,7,7,3,0,0,31,52,30,46,70,95,74,11,0,0,380,69,50,46,50,68,60,3,0,0,351,0,0,4,12,24,19,3,0,0,54,3,3,3,10,0,3,0,0,0,20,0,8,11,14,16,10,0,0,0,52,0,9,14,7,10,10,4,0,0,47,0,7,28,31,34,40,10,0,0,143,3,7,17,31,30,17,3,0,0,113,0,3,16,32,38,34,5,0,0,122,0,13,49,86,143,104,8,0,0,411,14,37,106,132,220,274,40,0,0,826,3,0,4,5,9,5,3,0,0,30,8,12,18,25,19,17,5,0,0,107
LGA15750,183,222,535,597,678,601,222,41,10,3084,7,16,36,50,65,54,38,10,0,276,0,0,14,7,13,3,0,0,0,34,0,4,16,12,8,7,3,0,0,46,0,0,0,3,4,0,0,0,0,9,0,3,5,14,12,9,3,0,0,45,3,3,8,8,10,3,3,0,0,51,57,34,54,59,68,50,13,0,0,335,40,19,38,42,40,35,9,0,0,214,0,0,9,10,13,11,13,0,0,68,3,0,6,4,3,6,0,0,0,24,3,0,17,6,11,8,0,0,0,42,0,0,3,8,4,7,3,0,0,20,4,14,33,32,40,20,0,0,0,146,0,4,24,24,37,30,4,0,0,125,0,11,33,40,20,18,0,0,0,119,4,22,59,72,80,59,13,0,0,312,15,32,118,85,121,112,9,0,0,502,0,0,0,0,0,0,0,0,0,8,7,15,20,17,21,12,7,0,0,99
LGA15800,50,101,189,231,269,276,95,21,4,1233,0,17,14,14,27,29,16,3,0,126,0,0,0,0,0,0,0,0,0,3,6,8,13,12,16,18,0,0,0,68,0,0,0,0,0,0,0,0,0,3,0,0,3,3,6,4,3,0,0,19,0,3,0,0,3,8,0,0,0,18,16,7,22,17,28,20,3,0,0,115,9,7,17,18,17,15,7,0,0,88,0,0,3,3,7,7,3,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,6,4,9,6,0,0,0,31,0,0,0,5,0,0,0,0,0,11,3,3,6,10,12,0,0,0,0,30,0,3,4,7,11,10,3,0,0,32,0,0,6,19,24,13,0,0,0,61,0,10,37,33,40,25,3,0,0,147,4,21,42,51,61,55,10,0,0,248,0,0,0,0,0,0,3,0,0,8,0,4,3,6,7,8,0,0,0,26
LGA15850,51,110,234,251,287,294,130,25,5,1391,3,8,17,18,45,27,22,7,0,153,0,0,3,0,0,0,0,0,0,8,3,0,7,4,0,4,0,0,0,24,0,3,0,0,4,0,0,0,0,9,0,0,8,3,3,0,0,0,0,17,0,0,0,6,3,3,3,0,0,9,13,10,23,20,23,37,3,0,0,124,18,7,10,5,14,12,0,0,0,72,0,0,3,8,4,4,0,0,0,29,0,0,0,0,0,4,0,0,0,9,0,4,5,3,11,0,0,0,0,30,0,0,3,0,4,5,0,0,0,14,3,5,8,15,15,9,3,0,0,54,0,0,9,8,9,10,6,0,0,35,0,6,12,11,13,9,6,0,0,53,3,6,52,56,58,28,7,0,0,213,11,29,44,51,64,67,12,0,0,267,0,0,0,3,0,0,0,0,0,7,0,9,19,13,8,6,0,0,0,54
LGA15900,1678,4267,9515,7905,7272,5185,1064,167,18,37065,0,6,14,27,22,17,13,3,0,103,0,8,56,47,30,9,0,0,0,162,57,102,228,206,207,98,21,0,0,932,0,12,48,57,60,22,0,0,0,202,8,54,147,181,184,111,21,3,0,698,14,48,110,101,85,67,6,0,0,431,526,890,823,596,614,406,80,7,0,3943,948,964,619,355,343,200,46,0,0,3471,5,36,119,116,149,66,19,4,0,512,34,50,90,68,52,34,3,0,0,342,10,124,511,369,324,176,13,0,0,1531,21,74,128,113,96,65,17,0,0,512,33,213,660,588,396,225,43,12,0,2176,18,117,267,274,261,188,44,3,0,1178,8,131,560,666,602,313,30,3,0,2310,88,345,1133,1169,1165,897,128,3,0,4921,138,913,2571,2091,2304,1699,254,17,3,9993,64,95,105,88,65,43,13,3,0,476,78,190,337,263,198,152,38,7,0,1258
LGA15950,241,1116,6626,5135,3173,2307,1122,202,22,19948,0,0,9,8,5,11,15,0,0,45,0,0,10,19,10,6,0,0,0,41,3,14,196,134,76,45,18,9,0,491,0,4,18,25,13,6,3,0,0,70,3,20,142,107,46,48,7,6,0,374,3,34,226,171,115,60,17,0,0,632,74,199,453,231,159,128,66,10,0,1321,97,195,308,176,93,77,15,6,3,963,0,17,107,82,70,51,8,0,0,338,4,60,425,301,178,70,25,0,0,1067,3,82,856,770,405,172,60,4,0,2349,3,41,161,121,101,86,35,0,3,556,16,259,1518,937,554,342,133,9,4,3771,0,41,282,201,133,88,47,7,0,808,0,40,336,264,188,141,34,5,0,1005,32,109,624,413,353,351,144,12,0,2029,19,168,968,575,497,478,212,24,0,2937,10,38,124,74,56,46,19,5,0,368,22,54,177,126,105,66,28,0,0,575
LGA15990,2927,5057,12314,16523,15827,10167,3430,533,63,66843,5,17,30,29,39,20,21,7,3,166,0,0,14,17,19,7,0,0,0,63,91,97,390,550,554,277,74,10,0,2052,4,3,37,59,53,22,4,0,0,181,14,55,285,489,437,224,64,8,0,1577,31,112,438,689,648,344,84,5,0,2348,843,909,1181,1039,1312,910,302,30,0,6517,1058,715,797,464,469,278,66,3,0,3851,15,41,163,221,311,184,43,4,0,976,65,163,424,619,427,184,48,0,0,1935,15,125,798,1238,914,367,72,13,3,3546,42,107,335,373,356,178,66,12,3,1486,86,446,1658,2280,1903,947,309,21,0,7653,27,149,579,701,634,322,115,8,0,2521,23,68,440,675,664,391,93,6,0,2365,213,445,1393,1862,2144,1594,363,36,0,8047,221,725,2049,2289,2813,2263,675,55,3,11097,99,136,258,285,258,139,38,10,0,1225,166,261,576,594,534,308,84,10,0,2531
LGA16100,62,82,187,215,287,234,132,21,3,1227,0,8,5,7,17,19,28,4,0,92,0,0,0,0,0,0,0,0,0,0,5,4,13,23,21,20,0,0,0,85,0,0,0,0,3,0,0,0,0,4,0,0,3,3,3,0,0,0,0,14,0,6,3,0,0,4,0,0,0,16,24,12,7,19,20,17,10,0,0,113,31,15,18,18,15,8,4,0,0,112,0,0,3,3,8,3,0,0,0,25,0,0,5,0,0,0,0,0,0,9,0,5,0,8,3,3,0,0,0,21,0,0,3,3,5,3,0,0,0,16,0,0,11,8,16,9,3,0,0,47,0,0,3,9,12,8,3,0,0,36,3,3,13,15,15,13,4,0,0,66,0,3,15,26,39,32,7,0,0,126,4,10,16,25,49,35,7,0,0,155,0,8,4,3,3,0,0,0,0,23,0,3,4,7,7,7,0,0,0,24
LGA16150,527,780,2047,1989,1798,1404,431,62,5,9033,3,5,15,14,26,25,28,3,3,117,4,9,50,30,19,3,0,0,0,121,14,21,56,44,42,23,11,0,0,218,0,0,0,11,6,6,0,0,0,28,3,8,38,34,39,30,3,0,0,160,11,3,23,15,18,9,5,0,0,79,208,146,236,168,197,141,30,5,0,1129,167,133,133,94,99,72,8,3,0,701,3,12,19,43,37,19,5,0,0,136,0,11,15,11,11,11,0,0,0,64,3,13,65,32,41,23,5,0,0,185,3,12,15,33,24,20,5,0,0,116,3,30,90,97,79,51,18,0,0,373,8,16,49,57,75,67,9,0,0,282,3,30,142,211,210,122,26,0,0,749,20,70,245,320,294,220,37,0,0,1205,42,212,605,546,565,455,74,6,0,2511,13,12,12,18,8,8,7,0,0,78,13,29,89,65,61,32,6,0,0,294
LGA16200,172,288,591,558,692,583,193,42,8,3125,5,4,17,25,30,53,33,15,4,189,5,7,24,21,8,0,3,0,0,66,4,0,9,7,14,6,4,0,0,38,0,0,3,0,3,0,0,0,0,10,0,0,0,7,8,10,3,0,0,35,4,0,3,4,13,0,0,0,0,27,53,53,63,69,71,46,7,0,0,364,75,25,47,37,49,39,6,0,0,273,0,4,4,18,23,12,0,0,0,61,0,3,6,0,10,0,0,0,0,18,4,8,3,14,18,8,0,0,0,49,3,10,0,4,13,6,0,0,0,36,0,6,20,29,18,13,6,0,0,92,0,8,8,19,30,18,4,0,0,88,4,9,45,55,58,20,3,0,0,201,13,20,77,86,105,72,6,0,0,389,13,30,99,121,146,147,24,0,0,589,4,0,5,0,4,8,0,0,0,22,4,21,20,20,17,13,3,0,0,94
LGA16260,1506,4607,17755,15143,10255,6977,1789,226,34,58301,3,5,10,16,17,10,0,0,0,65,0,0,14,10,8,3,0,0,0,34,45,106,568,572,563,313,45,3,3,2215,0,10,69,84,53,27,3,0,0,232,15,63,357,329,263,126,32,8,0,1193,19,90,607,536,391,214,37,3,0,1897,475,824,1356,846,734,426,112,8,0,4787,568,509,771,405,369,202,28,0,0,2861,14,61,327,241,207,135,19,0,0,1002,20,92,385,327,158,69,16,0,0,1074,27,203,1335,994,589,254,49,3,4,3459,21,79,305,218,148,85,33,3,0,903,40,404,1857,1039,677,396,101,3,0,4512,27,129,535,429,356,241,45,5,0,1762,15,91,667,706,603,367,51,7,0,2509,173,415,1367,1227,1306,959,209,13,4,5672,127,718,2921,2220,2005,1500,322,18,4,9823,62,130,182,114,80,51,23,7,0,643,41,115,395,340,348,201,51,3,0,1495
LGA16350,2887,5243,12148,11237,9714,7309,1697,127,13,50373,11,25,39,73,78,52,16,5,0,298,0,4,5,7,10,0,0,0,0,27,46,136,419,531,530,365,57,3,0,2094,7,15,74,95,83,40,3,0,0,320,28,157,423,432,339,212,36,3,0,1628,31,118,339,324,280,172,32,0,0,1295,757,841,1277,1075,1016,689,107,7,0,5759,1207,618,551,365,368,237,34,3,3,3396,37,150,340,364,338,237,33,3,0,1504,38,50,143,104,59,31,7,0,0,430,34,218,745,639,453,254,19,0,0,2369,35,127,243,176,137,67,20,5,0,811,49,289,601,491,325,233,57,7,0,2059,31,172,423,343,373,278,44,3,0,1669,38,191,729,859,828,531,76,3,0,3255,97,400,1223,1208,1184,861,133,11,0,5108,194,806,1998,1858,1884,1498,234,14,0,8497,81,121,146,133,87,68,17,0,0,646,100,217,411,321,281,183,27,5,0,1548
LGA16380,868,1068,2453,3056,3566,2891,797,117,22,14840,9,11,19,38,44,46,38,16,0,220,0,0,0,0,0,0,0,0,0,6,32,13,41,44,80,51,11,0,0,276,0,0,33,104,105,50,3,0,0,293,11,8,68,93,94,47,15,0,0,335,12,9,24,45,38,32,7,0,0,157,321,193,291,309,454,370,67,0,0,1996,411,193,268,208,252,198,36,3,0,1572,9,12,18,32,65,43,7,0,0,190,8,7,17,23,20,14,0,0,0,94,3,17,46,89,107,49,12,0,0,318,6,23,47,65,75,72,14,3,0,310,10,32,118,171,186,112,36,0,0,656,13,36,85,115,181,128,29,5,0,585,0,29,107,215,225,129,18,0,0,732,21,72,295,493,606,423,56,0,0,1978,80,213,615,758,1119,1038,151,6,0,3973,24,22,26,25,35,25,3,0,0,153,28,50,127,126,134,81,20,3,0,575
LGA16400,840,1251,2531,3031,3460,2622,674,108,15,14530,3,9,7,20,32,30,17,5,0,116,0,3,16,12,13,7,0,0,0,58,25,25,33,82,117,58,11,0,0,352,0,0,8,15,14,0,0,0,0,49,6,23,52,102,104,53,17,0,0,350,3,13,24,32,42,23,6,0,0,141,288,242,293,357,400,266,44,3,0,1890,426,235,239,206,227,143,32,0,0,1508,4,19,53,80,92,72,19,3,0,343,9,15,24,13,18,9,0,0,0,86,4,20,87,99,105,48,11,3,0,375,5,34,65,53,66,56,11,0,0,291,13,36,92,171,141,93,37,4,0,586,10,32,93,120,168,111,34,0,0,574,7,53,195,277,278,127,16,3,0,962,14,81,217,338,401,302,40,4,0,1388,54,190,462,581,827,703,107,3,0,2924,8,18,33,39,37,20,3,0,0,157,35,55,107,125,111,74,22,3,0,520
LGA16490,804,1236,3173,3273,3699,2352,607,81,11,15227,7,8,17,9,37,42,34,10,3,166,0,0,4,0,0,0,0,0,0,10,36,17,38,61,57,40,15,4,0,267,0,4,22,16,22,12,0,0,0,81,15,24,65,69,86,48,8,0,0,308,5,15,31,31,34,26,4,0,0,146,271,201,199,191,221,163,45,5,0,1294,266,129,167,95,100,54,11,0,0,819,9,18,48,59,68,34,11,0,0,251,4,19,38,30,40,23,6,0,0,161,3,25,59,61,60,32,0,0,0,240,5,29,78,56,51,25,9,0,0,245,12,83,211,229,218,128,34,0,0,916,8,34,77,86,127,99,21,0,0,447,25,154,828,1144,1214,481,41,3,0,3901,40,98,290,360,447,241,41,0,0,1511,61,234,471,461,574,416,58,0,0,2282,30,33,34,51,38,37,10,3,0,231,38,67,107,102,93,60,5,0,0,475
LGA16550,980,3143,9639,8411,6536,4069,1288,186,27,34284,0,3,13,3,7,7,0,0,0,32,0,0,14,8,8,0,0,0,0,30,25,56,187,171,130,79,9,0,0,674,0,3,32,27,13,6,0,0,0,87,3,49,217,153,129,44,17,0,0,621,10,45,222,220,170,83,26,3,0,769,303,612,732,440,410,264,83,6,0,2857,343,564,636,316,260,141,37,0,0,2303,12,56,225,286,274,121,17,0,0,979,32,92,372,329,232,64,13,0,0,1141,4,107,751,764,404,173,27,5,0,2228,15,69,228,191,145,72,20,3,0,750,31,371,1300,1078,668,292,75,8,0,3834,15,118,458,337,229,141,36,7,0,1345,10,91,469,461,450,256,48,5,0,1798,119,386,1216,1097,1047,799,197,13,4,4875,70,444,1893,1384,1350,1061,263,18,0,6491,44,110,261,170,119,69,23,5,0,808,36,101,375,275,198,122,40,5,0,1156
LGA16610,298,359,698,823,949,905,262,50,8,4347,7,13,18,26,31,41,30,19,3,181,0,0,0,0,0,0,0,0,0,3,17,26,57,62,74,47,3,0,0,296,0,0,0,0,0,0,0,0,0,8,0,7,8,9,13,8,0,0,0,52,0,4,14,14,19,4,0,0,0,49,87,47,85,85,96,84,20,0,0,498,103,53,50,46,54,37,4,0,0,354,0,0,3,20,26,17,9,0,0,80,3,4,0,4,10,3,0,0,0,22,0,0,23,20,22,16,0,0,0,88,3,11,10,18,9,11,3,0,0,64,9,18,35,46,39,21,6,0,0,173,0,7,20,27,35,44,5,0,0,147,0,10,25,44,42,25,4,0,0,150,13,29,81,123,152,97,15,6,0,514,18,50,110,193,270,264,39,0,0,944,3,3,0,9,11,14,3,0,0,43,15,19,20,30,30,16,5,0,0,134
LGA16650,807,2499,8771,6600,5072,3400,922,108,21,28205,0,0,9,0,3,3,0,0,0,20,0,0,8,7,4,0,0,0,0,25,14,47,165,182,196,170,19,0,0,787,0,0,21,22,19,5,0,0,0,66,4,41,170,139,95,48,11,0,0,501,3,39,196,187,128,78,12,3,0,653,266,515,778,527,485,267,57,8,0,2899,290,389,696,283,256,165,28,3,0,2104,15,85,311,396,358,168,30,3,0,1363,11,45,223,126,79,22,3,0,0,496,11,103,616,498,317,146,15,0,0,1710,8,50,146,102,74,54,12,0,0,454,22,223,755,454,325,154,43,0,0,1984,17,135,471,302,240,172,46,4,0,1390,5,52,270,334,325,188,30,0,0,1209,58,183,635,534,489,328,78,8,0,2316,66,372,1355,918,854,658,159,10,0,4381,16,45,88,72,50,26,6,3,0,306,23,69,237,193,157,107,25,0,0,813
