LGA_CODE_2016,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
LGA14550,78,112,202,281,411,461,150,43,10,1742,3,6,17,20,42,31,34,11,0,177,0,0,0,0,0,0,0,0,0,0,9,8,9,6,14,15,0,0,0,68,0,0,0,0,0,0,0,0,0,4,3,0,5,4,13,7,0,0,0,36,0,0,3,0,3,0,0,0,0,10,31,11,16,24,35,38,4,0,0,166,13,9,10,13,21,12,5,0,0,93,0,0,3,9,14,4,0,0,0,29,0,0,0,3,3,4,0,0,0,5,0,0,7,3,7,3,0,0,0,21,0,0,0,0,8,9,0,0,0,21,0,8,14,9,17,12,5,0,0,61,0,0,3,6,21,17,3,0,0,51,0,0,10,8,14,8,0,0,0,48,4,7,26,46,55,68,9,0,0,219,7,13,38,54,105,147,20,0,0,372,5,0,0,4,5,0,0,0,0,16,0,7,8,10,16,12,0,0,0,45
LGA14600,41,115,262,240,245,282,114,42,8,1347,0,0,20,29,28,39,28,12,0,169,0,0,3,0,3,0,0,0,0,4,0,10,4,11,6,3,0,0,0,39,0,0,0,0,4,0,0,0,0,4,0,0,3,3,0,3,0,0,0,12,0,0,3,7,3,3,0,0,0,17,12,14,19,18,23,18,5,0,0,114,16,7,12,12,16,15,5,0,0,82,0,0,0,3,11,3,3,0,0,30,0,0,0,0,3,3,0,0,0,6,0,0,4,3,4,5,0,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,8,3,4,15,4,0,0,29,0,0,6,8,9,5,5,0,0,35,0,3,17,14,4,7,0,0,0,51,0,24,57,49,43,31,9,0,0,212,0,19,41,43,52,51,13,0,0,220,0,5,0,0,0,0,0,0,0,3,0,0,4,5,10,3,0,0,0,24
LGA14650,2599,3968,8713,9349,9978,7353,1605,181,21,43772,11,15,16,27,39,23,8,0,0,135,3,11,68,43,54,25,3,0,0,201,76,86,231,296,313,201,31,4,0,1238,3,7,55,73,75,41,0,0,0,263,32,63,199,274,305,175,30,4,0,1075,7,41,96,122,148,88,22,4,0,527,783,795,918,893,1046,725,130,9,0,5307,1164,593,467,397,401,260,49,0,0,3344,8,30,123,153,184,155,32,4,0,680,42,41,66,57,46,29,3,0,0,287,13,117,537,418,495,248,14,3,0,1850,15,72,121,161,131,84,24,5,0,611,42,163,531,556,481,308,66,4,3,2150,37,102,293,353,378,310,45,3,0,1528,4,76,458,679,620,340,39,4,0,2219,101,293,976,1349,1409,1125,150,16,0,5412,197,825,2249,2532,2992,2287,340,14,0,11439,69,66,74,84,86,55,21,0,0,464,115,193,374,363,366,207,51,7,0,1668
LGA14700,247,722,2656,2496,1918,1287,495,69,11,9905,0,0,3,0,5,0,3,3,0,16,0,0,3,0,4,0,0,0,0,13,13,15,82,77,46,26,5,0,0,267,0,0,10,10,7,0,0,0,0,37,0,9,40,59,28,25,7,0,0,169,0,9,84,88,61,39,10,3,0,292,83,117,186,115,108,72,24,0,0,715,79,99,111,59,54,24,8,0,0,434,0,9,33,32,33,18,0,0,0,127,3,29,118,106,74,31,6,0,0,373,3,30,227,295,184,80,16,0,0,832,5,15,75,43,50,32,12,3,0,237,6,113,472,392,298,158,52,0,0,1490,0,23,100,63,61,48,9,0,0,312,0,10,92,116,90,78,9,0,0,398,23,59,247,230,244,209,74,5,0,1089,16,155,457,401,354,320,97,16,0,1805,10,18,36,27,30,20,8,3,0,151,19,20,78,76,61,36,15,0,0,301
LGA14750,159,219,467,483,594,487,132,33,3,2578,4,3,17,26,31,21,14,7,0,138,0,3,0,0,3,3,0,0,0,8,16,20,63,54,65,37,3,0,0,263,0,0,5,5,10,7,0,0,0,24,0,0,9,4,13,0,0,0,0,30,3,9,13,5,5,3,4,0,0,40,43,23,49,38,63,55,7,0,0,286,39,21,26,16,22,16,0,0,0,145,0,0,0,12,17,11,3,0,0,44,0,3,3,0,0,0,0,0,0,4,0,7,14,9,14,3,0,0,0,46,0,0,3,4,3,4,4,0,0,22,0,7,7,15,20,6,3,0,0,61,3,4,8,9,26,22,4,0,0,83,0,6,23,27,22,15,8,0,0,103,3,26,59,84,114,94,8,0,0,385,5,26,48,57,88,77,12,0,0,316,0,0,0,0,0,0,0,0,0,5,3,9,16,13,8,3,3,0,0,61
LGA14850,504,730,1481,1743,2069,1866,546,92,13,9043,10,21,25,55,68,66,48,13,3,312,0,0,0,0,0,0,0,0,0,5,24,22,50,51,94,75,16,0,0,332,0,0,3,5,4,3,3,0,0,25,0,7,19,32,30,25,9,0,0,124,3,3,15,23,26,15,5,0,0,89,222,158,224,223,213,171,38,0,0,1252,235,145,123,69,104,79,14,0,0,765,3,3,3,17,40,34,11,0,0,112,10,15,15,19,24,15,4,0,0,95,4,10,31,47,65,32,4,0,0,190,0,16,13,23,19,24,9,4,0,103,8,34,76,108,107,70,13,0,0,420,8,18,51,58,77,61,18,3,0,300,0,12,46,87,124,90,15,0,0,377,13,68,216,338,392,314,50,0,0,1385,32,136,377,557,715,668,108,3,0,2598,3,14,13,29,14,13,5,0,0,93,8,30,59,52,77,46,20,3,0,295
LGA14870,232,367,752,750,952,821,197,31,7,4108,0,0,0,8,14,23,14,6,3,75,0,0,12,8,8,4,0,0,0,29,3,8,20,26,25,16,3,0,0,99,0,0,3,11,15,5,0,0,0,26,3,9,10,14,18,17,0,0,0,75,3,4,11,7,24,12,3,0,0,66,54,48,93,101,104,76,12,0,0,484,93,55,67,66,80,62,10,0,0,443,0,3,7,18,26,29,5,0,0,95,0,0,5,7,11,6,8,0,0,31,0,6,25,28,21,21,0,0,0,113,3,5,4,8,13,5,5,0,0,48,7,13,18,24,22,22,9,0,0,128,0,3,35,31,49,41,6,0,0,171,5,20,89,83,94,60,9,0,0,354,7,17,44,117,126,75,15,3,0,405,20,53,129,135,205,203,38,0,0,771,4,7,3,9,10,3,3,0,0,41,12,11,33,25,26,13,7,0,0,133
LGA14900,2102,4628,10716,11025,10074,6165,1268,108,8,46103,0,7,33,70,82,54,18,4,0,272,0,5,3,6,0,0,0,0,0,17,39,130,406,601,727,421,48,3,0,2378,0,8,51,70,56,19,0,0,0,203,13,87,239,274,236,131,25,0,3,1017,20,75,301,354,325,120,23,0,0,1224,543,908,909,888,845,415,69,6,0,4580,774,476,382,348,342,193,22,0,0,2539,29,129,323,393,360,198,27,0,0,1455,22,75,138,95,58,31,3,0,0,424,29,227,709,588,411,157,24,0,0,2153,28,68,174,126,93,42,6,0,0,541,44,313,588,471,316,129,31,0,0,1888,36,130,326,370,409,239,38,0,0,1542,27,140,527,555,516,259,29,0,0,2062,93,408,1118,1062,933,526,84,0,3,4234,148,741,1837,1866,1734,1086,181,4,0,7597,50,100,123,91,69,36,8,0,0,478,54,129,346,303,261,127,20,0,0,1238
LGA14920,52,108,287,303,354,359,144,31,6,1644,3,5,21,28,51,53,32,6,4,215,0,0,3,3,3,0,0,0,0,12,0,4,4,3,16,7,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,0,0,20,0,3,3,9,7,0,0,0,0,20,20,11,31,23,28,30,3,0,0,152,13,19,17,17,26,22,3,0,0,113,0,0,4,11,5,6,5,0,0,33,0,0,3,3,0,0,0,0,0,5,0,0,3,6,7,0,0,0,0,18,0,0,3,4,0,4,4,0,0,9,0,3,10,18,15,6,0,0,0,60,0,0,8,6,15,11,3,0,0,40,0,0,11,11,17,11,3,0,0,62,3,9,25,40,52,28,10,0,0,177,8,13,56,46,79,80,12,0,0,295,0,3,3,0,0,0,0,0,0,10,5,0,11,10,13,12,0,0,0,49
LGA14950,31,43,91,119,173,154,69,18,0,701,0,0,11,17,16,20,23,4,0,85,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,3,0,0,0,0,0,5,10,9,14,14,6,8,3,0,0,60,4,0,4,3,8,3,0,0,0,25,0,0,4,3,9,11,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,7,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,6,4,5,3,0,0,0,20,0,0,0,0,6,5,3,0,0,21,0,0,7,8,3,5,0,0,0,31,0,3,11,21,28,14,3,0,0,89,0,13,16,30,47,53,3,3,0,165,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,12
