LGA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA15240,103,137,72,39,55,10,4,415,140,175,95,62,94,21,3,589,145,170,91,60,77,14,4,566,2350,2702,1600,1066,1454,227,52,9454,24,24,24,7,6,4,3,97,2765,3207,1879,1232,1685,277,67,11116,3,13,14,14,15,0,0,63,44,74,51,39,54,3,0,259,15,37,28,32,27,3,3,152,909,1191,767,501,644,95,23,4133,53,65,31,16,20,0,0,189,1029,1377,894,603,761,106,28,4798,3789,4585,2769,1841,2447,379,97,15912
LGA15270,35,17,21,12,20,0,0,110,23,57,31,16,13,3,0,143,56,51,36,22,17,3,0,193,1103,1099,552,350,405,59,11,3574,8,16,9,3,5,0,0,42,1231,1238,655,402,457,66,10,4059,0,0,0,0,4,0,0,11,10,12,9,3,11,0,0,41,8,12,4,6,10,0,0,42,242,261,162,99,123,17,3,908,9,12,5,10,0,0,0,33,268,289,186,119,147,22,3,1028,1498,1529,837,521,606,89,16,5092
LGA15300,36,27,8,8,8,3,0,91,16,20,6,8,6,0,0,64,29,20,11,4,4,0,0,72,552,531,285,110,142,14,4,1624,6,10,3,5,4,0,0,31,642,609,312,132,163,12,3,1875,3,0,3,0,7,0,0,7,0,5,3,0,0,0,0,5,8,0,0,0,4,0,0,13,237,253,133,86,74,3,0,791,11,15,12,6,6,0,0,48,259,277,148,95,84,3,0,865,895,887,461,220,249,19,7,2744
LGA15350,423,477,253,149,220,98,48,1670,190,201,119,71,110,67,26,798,195,205,96,59,88,56,18,724,486,640,374,219,320,197,118,2367,3,3,0,0,0,0,0,5,1307,1525,846,505,739,421,219,5560,18,36,60,41,54,30,12,236,9,23,13,15,20,13,12,110,9,23,15,16,17,17,7,101,17,53,52,42,64,37,22,289,4,4,4,0,4,0,0,11,63,135,138,109,157,92,52,746,1366,1658,988,613,892,520,275,6312
LGA15520,18,16,6,3,8,6,0,58,15,6,7,7,6,0,0,36,8,27,4,0,0,0,0,54,472,492,269,202,231,42,3,1718,4,3,0,3,0,0,0,8,515,546,293,219,245,50,3,1874,0,0,0,0,0,0,0,0,10,3,3,0,7,0,0,18,0,3,0,0,0,0,0,3,60,94,52,28,50,8,0,293,9,11,4,0,0,0,0,21,73,104,56,31,63,14,0,336,590,648,349,254,306,63,7,2211
LGA15560,3,14,9,3,0,4,0,33,0,3,0,0,0,0,0,0,11,3,0,3,4,0,0,23,139,170,98,45,77,8,3,534,0,0,0,0,0,0,0,0,151,185,107,55,80,12,3,593,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,8,0,3,0,0,0,0,0,6,37,56,36,17,24,3,0,162,0,0,6,0,0,0,0,7,40,60,43,16,22,5,0,186,188,245,152,69,109,15,3,780
LGA15650,62,73,29,22,16,6,3,212,24,30,18,9,15,3,0,90,39,47,24,12,13,0,0,133,718,697,392,252,299,55,10,2419,7,11,0,3,5,0,0,24,848,854,458,300,337,60,12,2868,3,5,3,4,3,0,0,22,12,21,12,4,7,0,0,51,5,9,4,9,4,0,0,34,242,257,146,114,116,17,0,892,9,10,13,3,3,0,0,36,279,300,177,127,130,17,3,1029,1126,1153,638,426,465,77,12,3902
LGA15700,15,14,3,13,10,0,3,54,23,48,31,18,29,3,0,147,27,42,20,14,20,4,0,130,510,598,355,215,274,45,12,2014,0,7,0,6,0,0,0,16,581,704,417,259,334,51,12,2363,3,3,5,3,4,0,0,18,20,15,10,10,9,0,0,66,7,15,5,0,7,3,0,40,230,298,178,131,141,26,3,1001,12,13,8,9,7,0,0,43,277,341,210,152,164,27,3,1170,857,1041,628,415,499,80,19,3535
LGA15750,10,14,7,3,3,0,0,44,11,15,13,11,6,0,0,58,24,19,6,3,3,0,0,55,547,660,325,174,228,39,7,1972,3,7,3,3,3,0,0,19,596,713,355,195,241,37,7,2140,3,0,0,0,0,0,0,9,14,5,3,3,7,0,0,28,0,3,0,0,3,0,0,8,182,202,96,55,78,9,0,613,7,9,3,0,4,0,0,19,202,217,103,59,89,7,0,687,802,930,460,252,329,47,6,2828
LGA15800,11,4,3,3,0,0,0,25,3,9,4,3,0,0,0,20,4,3,3,0,0,0,0,12,231,269,144,68,107,15,4,829,0,4,4,0,3,0,0,10,249,289,158,69,117,15,4,902,0,3,0,0,0,0,0,7,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,67,75,47,30,35,0,0,253,5,3,0,0,0,0,0,9,73,86,54,28,40,5,0,282,326,374,213,103,153,17,8,1188
LGA15850,9,6,0,0,0,0,0,22,10,7,0,3,0,0,0,25,12,5,5,0,3,0,0,21,248,283,162,91,118,15,3,920,3,3,3,0,0,0,0,5,273,306,171,99,122,15,6,995,0,0,0,0,0,0,0,0,3,6,0,0,3,0,0,13,0,0,7,3,0,0,0,6,124,138,73,38,42,10,0,422,6,4,0,9,0,0,0,23,137,143,78,47,46,10,0,466,409,447,251,142,170,27,10,1460
LGA15900,856,789,382,196,274,121,56,2677,521,493,289,156,199,88,28,1776,615,497,224,151,200,73,40,1798,5282,4932,2697,1648,2203,792,421,17968,49,19,16,9,7,0,0,103,7328,6728,3608,2164,2880,1079,540,24320,66,103,76,46,69,40,28,429,117,153,107,67,122,41,17,626,52,101,78,50,90,32,14,412,1015,1408,886,657,826,278,148,5209,48,33,36,21,19,4,0,162,1294,1799,1181,840,1126,393,214,6844,8615,8532,4786,3003,4005,1474,753,31166
LGA15950,1190,812,345,185,241,154,85,3004,480,280,127,77,91,51,32,1143,476,296,133,79,77,45,36,1143,1146,729,322,191,235,136,103,2858,11,3,3,0,0,0,0,22,3305,2125,929,532,642,380,261,8167,55,115,76,58,67,48,37,448,39,62,34,22,46,24,14,246,26,52,24,17,47,24,14,212,68,132,77,48,76,63,44,507,3,6,3,8,0,0,0,13,186,369,216,154,233,154,115,1422,3497,2490,1140,685,875,528,376,9592
LGA15990,3388,3846,1972,1245,1731,852,427,13467,2003,2203,1207,691,875,363,170,7514,2040,2116,1057,536,805,386,197,7136,6523,7293,4070,2613,3277,1484,714,25972,27,43,30,13,19,10,3,150,13984,15505,8343,5103,6705,3100,1516,54239,133,289,209,153,282,138,92,1296,152,326,206,148,207,96,62,1200,97,220,161,116,193,83,44,912,365,722,570,415,648,268,148,3133,28,43,21,11,16,3,4,125,772,1600,1160,837,1343,594,353,6661,14752,17103,9505,5938,8050,3691,1861,60901
LGA16100,8,14,3,0,0,0,0,28,4,20,11,4,9,0,0,44,16,10,9,4,9,0,0,39,190,177,88,78,111,25,0,677,0,0,4,0,0,0,0,10,219,219,114,94,127,20,4,792,0,0,3,0,0,0,0,9,3,9,0,0,8,4,0,25,0,0,0,0,0,0,0,5,37,45,33,21,21,7,3,170,3,9,0,0,3,0,0,17,39,67,37,27,34,16,5,224,258,280,153,120,161,35,9,1018
LGA16150,195,173,82,55,56,19,0,570,103,111,60,35,50,11,3,364,84,84,45,33,40,7,0,285,1817,1768,886,537,705,153,30,5892,5,10,7,6,3,3,0,36,2202,2138,1075,658,848,190,41,7146,17,15,9,11,19,5,3,80,23,46,21,25,22,8,0,143,3,12,7,7,11,3,0,50,508,559,325,201,267,62,11,1936,25,14,11,7,7,3,0,67,587,641,383,245,322,79,15,2270,2788,2779,1452,907,1172,263,58,9413
LGA16200,38,36,12,9,20,8,0,130,19,27,8,6,8,3,0,64,28,30,18,11,15,3,0,99,567,648,345,230,288,37,12,2130,3,7,0,0,4,0,0,17,656,745,393,257,330,52,12,2439,0,0,0,0,0,0,0,7,10,6,3,3,5,0,3,33,0,4,5,0,3,0,0,7,177,203,123,79,117,13,0,717,12,7,3,0,3,0,0,26,201,222,134,88,127,13,3,795,855,970,521,345,461,65,16,3227
LGA16260,9360,7277,3123,1863,2697,2088,1087,27504,956,772,432,256,323,157,90,2985,1049,866,373,230,245,161,76,2992,3015,2773,1508,947,1215,708,315,10471,43,49,17,13,12,9,8,152,14422,11738,5452,3306,4487,3120,1577,44104,466,679,455,394,613,481,301,3394,160,150,102,78,108,57,26,687,79,134,76,63,98,44,29,528,340,492,366,243,318,148,73,1986,33,40,30,12,19,3,6,140,1075,1493,1025,801,1164,739,431,6733,15504,13235,6477,4110,5654,3857,2004,50839
LGA16350,2216,2204,1182,747,1131,684,364,8530,983,941,523,352,470,201,82,3557,777,726,376,239,338,127,75,2660,7016,6476,3462,2171,2694,861,355,23035,83,58,36,15,16,3,0,216,11079,10396,5582,3525,4654,1874,876,37993,224,277,214,139,239,120,83,1292,243,336,200,126,176,45,20,1141,141,206,130,91,109,56,14,749,1748,2033,1120,819,960,263,109,7057,122,92,32,29,20,4,0,298,2466,2948,1693,1199,1509,484,229,10539,13553,13345,7275,4729,6160,2366,1108,48529
LGA16380,143,161,109,74,103,22,6,612,200,258,134,95,116,27,4,828,191,228,131,76,106,23,6,756,2281,2665,1566,1027,1342,263,43,9191,19,9,11,0,11,0,3,46,2827,3313,1949,1275,1679,325,59,11434,5,12,21,4,18,4,0,63,46,78,45,46,37,7,3,269,18,42,41,26,49,8,0,180,616,845,543,398,545,84,26,3068,22,22,26,10,10,4,0,98,708,1000,675,492,659,105,33,3678,3533,4316,2623,1771,2341,432,90,15114
LGA16400,141,166,81,82,103,26,16,623,150,202,103,84,107,45,16,707,174,197,111,79,81,17,16,674,2336,2548,1481,937,1212,332,125,8962,12,29,13,3,12,3,0,76,2820,3141,1802,1188,1512,416,165,11045,6,21,15,10,16,0,0,74,56,51,28,34,39,10,0,221,17,29,29,29,26,3,0,134,606,819,507,336,377,88,33,2770,18,22,12,11,8,0,0,79,710,945,593,417,472,103,34,3276,3530,4091,2397,1603,1984,523,202,14318
LGA16490,431,353,188,126,162,87,36,1387,191,223,129,92,128,63,22,847,236,254,127,93,108,29,27,873,2031,2101,1227,770,1143,318,120,7710,12,16,5,12,7,0,0,49,2890,2953,1679,1085,1553,506,207,10872,24,27,21,18,27,13,8,138,33,58,30,21,21,7,6,179,23,27,18,13,11,11,5,103,340,426,235,165,233,62,20,1486,24,10,12,10,3,0,6,66,439,556,307,227,292,99,48,1974,3336,3507,1985,1314,1847,598,249,12843
LGA16550,2268,1896,911,549,788,516,330,7260,839,838,359,211,247,131,67,2691,943,812,372,211,246,124,57,2760,2414,2295,1317,748,994,525,276,8564,23,17,12,8,7,0,0,64,6482,5864,2973,1720,2282,1297,735,21347,130,217,145,123,180,157,120,1068,91,163,102,71,81,43,25,577,61,128,68,33,76,35,21,420,229,345,241,185,227,123,56,1407,38,25,25,14,18,10,7,133,552,873,584,424,585,357,231,3607,7035,6736,3555,2140,2867,1656,963,24951
LGA16610,20,20,12,18,12,0,0,83,22,45,14,14,16,7,0,115,43,41,20,11,23,4,0,142,833,844,491,336,421,88,18,3037,4,9,3,0,3,0,0,23,921,958,542,380,479,100,22,3406,3,0,5,0,7,0,0,13,7,19,16,10,12,0,0,58,0,6,5,4,5,0,0,23,289,373,223,148,177,31,3,1242,27,14,13,3,3,0,0,61,322,414,256,168,206,34,8,1400,1245,1375,796,549,681,134,27,4808
LGA16650,2507,1843,1004,639,1042,744,400,8181,646,649,333,172,232,133,44,2201,636,513,220,112,157,69,30,1733,1847,1642,828,522,599,286,126,5839,30,27,11,9,10,5,0,93,5665,4670,2386,1452,2042,1237,596,18038,170,233,190,144,233,183,98,1260,99,149,105,72,106,43,24,592,56,100,64,36,42,27,14,338,219,266,159,121,158,69,30,1016,28,24,19,13,16,6,0,107,569,778,535,383,557,328,162,3316,6233,5445,2923,1834,2599,1561,762,21356
LGA16700,3376,2542,1113,732,1096,821,541,10220,518,559,311,164,217,121,57,1943,681,613,284,137,205,117,52,2081,1719,1815,1071,643,837,470,243,6786,25,12,7,9,5,0,3,57,6314,5536,2789,1685,2353,1526,889,21097,214,286,179,147,214,202,132,1371,45,87,47,45,74,41,24,353,39,70,33,36,54,22,17,263,117,213,130,96,156,96,55,869,14,10,8,0,6,0,0,40,429,658,400,328,501,358,228,2895,6742,6196,3189,2005,2852,1888,1116,23990
LGA16900,200,206,126,85,140,91,48,905,223,320,174,113,189,90,35,1147,226,223,139,104,160,58,28,938,2601,2609,1514,907,1218,370,125,9351,18,23,12,10,6,0,3,82,3270,3382,1967,1224,1717,616,245,12420,17,26,20,25,47,12,10,151,82,84,60,50,64,26,12,376,25,43,32,40,45,25,9,224,651,875,516,361,434,111,46,2992,22,29,17,12,7,4,0,97,793,1059,645,485,600,175,78,3835,4064,4440,2609,1714,2317,786,327,16251
LGA16950,157,161,112,73,84,30,11,631,213,287,145,107,142,27,3,930,243,240,130,72,110,40,12,849,3058,3227,1831,1112,1454,314,90,11079,14,20,20,10,9,3,0,67,3695,3940,2233,1378,1796,410,114,13560,9,33,24,19,28,4,3,123,51,74,69,48,65,10,4,319,36,48,51,33,46,14,3,231,868,1119,730,497,582,103,29,3936,37,37,30,22,11,0,0,137,999,1308,907,622,729,132,49,4743,4688,5249,3140,2001,2526,543,160,18303
LGA17000,50,74,34,28,40,10,0,236,34,60,23,28,31,13,0,184,84,67,43,30,37,11,3,278,1016,1057,571,405,517,123,44,3729,5,6,8,3,0,0,0,19,1187,1260,676,489,618,155,50,4441,4,9,3,7,4,4,0,30,15,16,10,9,6,0,0,48,7,9,4,0,6,0,0,35,202,290,136,104,127,37,8,905,6,6,0,4,0,0,0,19,226,330,156,119,150,42,8,1040,1416,1594,829,613,765,198,57,5476
LGA17040,16,33,25,11,23,7,3,119,42,63,47,12,33,3,0,204,46,67,44,18,33,15,3,221,653,808,445,244,333,48,17,2553,3,11,5,3,0,0,0,22,766,985,573,297,417,67,21,3120,7,11,3,0,3,3,0,33,14,10,11,15,12,0,0,58,6,15,18,8,8,0,0,57,92,141,103,73,88,17,8,515,3,4,4,3,0,0,0,15,119,180,142,101,114,21,8,676,884,1165,708,393,537,89,26,3795
LGA17080,21,33,21,10,13,0,0,109,23,39,12,7,14,0,0,103,37,16,18,8,19,0,0,101,533,561,348,200,225,40,7,1908,0,0,3,0,0,0,0,9,623,660,399,227,270,39,10,2229,0,4,3,0,3,0,0,10,4,8,15,10,10,0,0,42,4,9,3,3,3,0,0,18,106,141,111,56,74,9,4,500,14,4,5,3,4,0,0,34,124,167,130,74,91,11,7,604,746,824,531,301,363,58,13,2833
LGA17100,1324,1058,563,375,597,512,317,4757,134,137,103,48,69,47,22,567,135,156,76,41,74,52,15,546,386,331,186,127,200,146,70,1436,8,10,0,6,6,4,0,37,1989,1687,930,591,944,768,429,7335,78,106,91,83,162,123,88,720,26,15,19,10,12,4,6,103,8,24,8,12,17,8,5,77,35,51,40,32,35,25,7,214,7,6,3,0,3,0,0,20,153,207,158,132,224,164,108,1137,2138,1891,1086,726,1169,929,532,8475
LGA17150,1492,1408,788,545,847,601,321,6007,1253,1277,757,470,612,299,151,4812,1266,1190,617,370,505,272,148,4368,7980,8264,4556,2930,3733,1924,945,30332,33,39,11,23,15,4,0,131,12015,12178,6736,4333,5717,3099,1568,45649,93,157,121,107,158,107,68,809,161,242,164,113,149,79,48,953,89,191,121,95,146,58,23,717,563,928,747,536,761,319,184,4049,38,45,22,16,19,4,0,154,949,1558,1178,873,1233,564,324,6675,12970,13739,7915,5206,6946,3663,1889,52324
LGA17200,2354,1102,402,238,340,256,170,4857,693,381,146,85,115,61,24,1512,815,383,154,89,100,59,26,1627,1653,960,439,278,325,173,94,3916,30,10,6,6,4,0,0,57,5544,2836,1146,686,888,546,311,11967,165,218,167,120,230,187,129,1209,100,109,78,49,54,35,19,449,54,74,56,25,59,30,15,316,215,301,165,114,147,73,45,1064,38,37,13,6,11,6,3,112,573,735,469,322,496,331,222,3145,6116,3575,1620,1009,1384,879,535,15114
LGA17310,148,132,70,36,72,11,3,472,92,105,49,31,39,4,6,319,96,69,64,30,44,8,0,312,2287,2476,1446,870,1060,160,29,8328,23,21,3,0,0,0,0,53,2642,2803,1628,967,1211,183,37,9479,10,10,7,4,16,3,3,52,24,31,17,25,23,6,0,129,4,21,16,14,19,8,0,77,814,913,558,372,396,48,11,3118,29,37,18,15,9,0,0,114,881,1015,620,429,460,68,15,3486,3523,3820,2251,1399,1673,253,54,12967
LGA17350,16,19,3,3,9,0,0,45,4,4,6,4,3,0,0,22,5,8,7,4,0,0,0,22,270,290,161,102,135,18,5,989,0,3,0,0,0,0,0,7,295,323,172,116,147,22,5,1083,0,0,0,0,0,0,0,0,0,7,3,7,0,0,0,10,0,0,3,0,3,0,0,7,48,64,45,26,41,3,0,227,4,5,0,0,0,0,0,12,50,76,52,35,43,5,0,261,343,397,223,152,189,27,4,1344
LGA17400,8,3,0,0,3,0,0,18,4,15,10,3,0,0,0,27,9,13,7,5,4,0,0,33,154,203,131,90,111,12,4,702,5,3,3,0,0,0,0,11,178,232,149,98,122,14,0,790,3,3,0,0,0,0,0,11,0,12,3,0,3,0,0,21,0,3,3,0,3,0,0,13,54,86,46,42,39,8,0,275,7,0,0,0,0,0,0,12,63,103,56,42,49,6,3,324,247,336,203,139,167,16,8,1117
LGA17420,3685,4271,2264,1436,2135,1602,877,16273,760,962,602,356,482,244,128,3535,794,853,430,306,409,220,105,3114,3726,4812,2850,1843,2364,1218,519,17330,31,36,19,14,11,4,0,107,8993,10926,6163,3959,5404,3290,1630,40367,126,242,178,148,265,188,116,1262,71,114,91,74,96,48,18,510,31,92,63,52,74,36,26,370,225,420,360,262,348,158,72,1844,11,25,12,12,12,9,0,72,466,890,712,541,785,433,232,4058,9457,11814,6872,4499,6190,3723,1868,44421
LGA17550,287,326,173,109,158,38,12,1106,367,370,203,118,156,33,14,1258,343,363,159,111,135,46,8,1166,2653,2746,1543,1019,1356,368,127,9805,22,16,8,9,5,0,0,69,3665,3826,2084,1361,1811,484,165,13404,16,53,41,30,41,16,7,205,102,133,88,55,77,24,10,482,41,69,70,34,70,14,4,310,558,896,603,407,577,153,53,3253,22,31,25,20,8,3,0,108,742,1182,823,555,776,208,77,4360,4408,5008,2906,1914,2587,695,241,17760
LGA17620,37,37,21,7,17,0,0,118,30,28,18,6,10,0,0,93,34,22,14,5,6,4,0,94,551,685,400,224,280,37,3,2180,6,4,5,0,3,0,0,23,666,776,460,245,315,43,3,2508,3,3,0,0,4,0,0,8,0,4,3,3,3,0,0,12,0,7,3,3,3,0,0,10,99,162,106,61,77,11,3,517,0,4,0,3,0,0,0,7,106,180,110,63,90,11,3,564,773,950,564,317,402,53,4,3069
LGA17640,12,6,3,3,3,3,3,32,16,9,8,5,3,0,0,41,21,16,12,7,11,3,0,70,313,280,213,113,141,24,6,1092,0,4,5,0,0,0,0,5,354,324,238,126,158,30,10,1246,0,0,0,0,0,0,0,3,3,3,3,3,4,0,0,20,3,3,5,0,3,0,0,13,38,48,35,32,29,3,0,186,5,3,0,0,0,0,0,6,52,60,46,37,36,6,0,231,407,380,289,164,199,33,8,1476
LGA17650,0,5,4,3,0,0,0,18,3,13,10,3,11,0,0,48,5,13,15,8,6,0,0,48,230,262,158,101,112,33,5,903,7,0,0,0,0,0,0,12,249,297,197,113,135,33,4,1025,0,0,0,0,0,0,0,0,0,3,7,0,3,0,0,15,0,0,3,3,0,3,0,7,35,71,58,28,27,4,0,221,0,3,0,3,5,0,0,10,38,76,68,32,32,8,0,257,282,371,260,148,170,39,9,1285
LGA17750,363,357,175,103,131,44,12,1191,119,143,78,49,54,14,6,455,132,107,50,46,51,9,0,389,2540,2605,1435,967,1190,267,83,9092,13,11,4,6,5,0,0,41,3158,3225,1743,1178,1427,333,97,11170,35,45,23,13,19,10,5,154,45,45,17,8,26,8,0,159,8,24,12,9,15,0,3,78,634,791,447,355,441,61,20,2757,33,24,18,7,3,0,0,86,769,929,521,399,513,80,29,3237,3924,4154,2260,1572,1938,415,135,14404
LGA17850,5,4,0,3,5,0,0,21,3,0,0,0,0,0,0,10,9,9,6,0,0,0,0,21,118,119,53,43,60,4,3,406,0,0,0,0,0,0,0,0,139,129,57,48,60,8,3,453,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,10,32,26,10,6,3,0,87,3,0,0,0,0,0,0,4,13,29,30,11,16,3,0,104,161,163,86,54,76,14,3,554
LGA17900,14,16,4,0,4,0,0,33,5,13,3,3,0,0,0,30,12,5,0,0,3,0,0,18,176,215,118,29,36,3,4,584,4,4,0,0,0,0,0,9,214,251,131,35,44,3,4,674,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,128,146,77,36,40,3,0,430,0,8,6,3,0,0,0,22,135,158,85,39,43,6,0,468,351,408,215,74,79,12,4,1142
LGA17950,0,8,0,0,3,0,0,12,0,0,0,0,0,0,0,4,10,6,3,0,0,0,0,15,142,131,69,21,25,5,0,383,0,0,0,0,0,0,0,0,147,142,70,25,28,3,0,416,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,28,39,20,11,21,3,0,123,0,0,0,0,0,0,0,3,36,36,22,16,20,4,0,138,180,181,93,39,42,8,0,556
LGA18020,9,10,3,0,4,0,0,31,9,9,11,10,8,0,0,47,10,31,10,7,5,3,0,58,294,337,204,122,146,27,6,1128,0,0,3,0,0,0,0,11,324,383,226,135,165,31,6,1273,0,0,0,0,0,0,0,8,3,3,0,0,4,3,0,16,0,8,0,0,0,0,0,12,91,132,76,76,53,12,3,438,0,3,4,0,0,0,0,10,96,147,85,74,58,13,3,481,414,530,304,210,224,44,5,1746
LGA18050,1115,925,409,254,349,202,128,3385,602,484,242,133,144,81,43,1737,523,428,206,118,138,77,43,1534,1270,1078,545,317,386,206,121,3929,26,16,3,3,0,3,0,48,3544,2937,1405,823,1020,567,342,10641,43,104,68,48,83,45,32,426,40,75,51,21,35,20,15,267,24,62,25,33,38,25,4,216,68,146,88,57,84,43,38,526,3,9,4,0,0,3,0,23,181,396,235,166,244,143,91,1452,3719,3335,1639,984,1264,708,440,12093
LGA18100,4,3,0,0,0,0,0,10,3,6,3,0,4,0,0,10,3,11,0,3,6,0,0,24,133,144,97,47,55,12,0,483,3,0,0,0,0,0,0,8,144,163,102,56,59,11,0,527,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,3,19,33,20,10,22,3,0,107,0,0,0,0,0,0,0,0,24,35,22,10,21,3,0,118,162,197,121,61,81,16,0,644
LGA18200,9,0,0,3,0,3,0,18,6,4,3,0,5,0,0,23,5,9,3,3,0,0,0,22,298,301,173,88,130,20,5,1016,0,0,0,3,3,0,0,8,319,316,182,96,136,29,5,1088,0,0,0,0,0,0,0,7,0,6,3,0,0,0,0,7,0,0,3,0,0,0,0,9,57,80,40,26,32,12,0,242,5,11,7,6,0,0,0,37,67,97,55,32,33,12,3,294,380,416,238,132,178,33,8,1385
LGA18230,177,148,65,43,49,19,7,505,80,65,29,21,37,8,3,249,78,72,33,21,32,3,0,239,2081,2097,1163,714,894,148,29,7127,9,12,8,3,4,0,0,35,2434,2396,1301,807,1008,173,36,8156,4,13,14,6,14,0,0,59,20,22,16,16,19,3,0,94,17,17,11,3,5,0,0,61,747,864,428,291,350,58,20,2747,31,29,19,9,6,0,3,94,818,948,484,317,396,59,23,3056,3249,3341,1789,1128,1408,231,59,11205
LGA18250,1998,1946,816,450,671,470,256,6607,393,488,283,135,204,124,61,1689,546,570,259,136,190,97,53,1851,1422,1542,880,489,641,335,214,5523,21,13,13,7,3,0,4,59,4378,4560,2254,1225,1709,1017,592,15732,107,220,165,120,205,175,115,1114,37,42,40,35,39,31,17,238,26,61,28,29,31,21,11,198,38,120,96,62,98,57,29,500,4,11,6,3,3,0,5,31,214,451,334,242,372,282,172,2075,4599,5009,2592,1464,2082,1300,764,17806
LGA18350,105,125,78,67,69,27,8,491,145,205,123,83,106,25,7,692,153,189,97,71,78,16,5,613,1480,1756,992,634,761,166,61,5841,7,17,10,3,0,0,0,45,1893,2299,1297,860,1017,234,81,7671,3,7,12,17,16,9,3,76,37,61,43,39,71,12,0,262,13,30,35,20,43,0,3,143,237,331,251,188,246,54,13,1322,7,13,0,8,9,0,0,40,298,448,342,271,386,84,21,1844,2190,2745,1637,1127,1397,318,106,9519
LGA18400,92,140,93,53,75,47,20,521,185,240,138,113,128,44,20,867,154,204,105,80,92,38,12,681,2279,2472,1427,907,1075,339,162,8662,16,26,12,7,6,0,0,64,2728,3078,1775,1150,1375,471,214,10797,4,13,15,8,11,5,3,60,32,44,24,25,34,5,5,172,14,24,21,5,22,9,0,101,293,375,243,162,233,60,18,1387,19,19,4,10,3,0,0,55,363,475,309,206,308,85,33,1772,3093,3549,2086,1356,1683,559,244,12565
