LGA_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA13910,22,31,24,10,10,0,0,94,22,27,15,13,15,3,0,98,53,37,16,8,16,0,0,136,686,798,452,255,346,59,14,2610,6,10,3,4,0,0,0,21,787,903,507,286,393,63,14,2956,4,6,7,5,5,3,0,33,14,17,16,8,15,0,0,65,9,5,5,5,3,0,0,32,172,263,153,111,141,23,0,864,14,13,12,0,4,0,0,40,210,308,186,128,164,24,0,1027,1001,1211,694,419,558,93,17,3985
LGA14000,3246,3577,1909,1224,1831,1320,703,13810,692,895,496,317,459,223,109,3189,821,853,470,307,399,234,93,3180,2828,3514,2045,1369,1862,1052,521,13199,33,27,17,13,12,4,3,108,7618,8863,4938,3228,4565,2830,1428,33480,114,285,205,162,280,223,129,1402,37,81,66,71,77,44,18,407,31,72,61,55,78,47,19,354,131,320,282,223,322,154,100,1523,13,10,14,3,9,5,3,62,329,772,625,517,761,470,271,3743,7949,9631,5564,3741,5323,3306,1701,37223
LGA14100,115,133,62,44,82,58,25,516,95,138,88,50,63,33,21,487,103,95,53,35,46,27,21,379,318,417,266,170,202,145,80,1601,3,3,0,0,3,0,0,10,638,787,472,303,393,261,137,2994,7,12,20,10,11,8,7,82,3,14,16,3,4,7,8,52,3,11,10,0,6,7,6,49,20,39,23,14,16,6,13,135,0,0,0,0,0,0,0,7,37,79,68,29,44,34,31,324,672,862,540,333,440,295,172,3315
LGA14170,2323,1893,883,526,748,474,265,7113,1465,1325,579,330,379,168,92,4337,1245,1052,435,250,338,119,70,3514,4113,3563,1682,955,1085,507,266,12176,52,48,14,11,0,3,0,138,9202,7879,3595,2074,2559,1271,688,27276,179,278,201,164,281,165,102,1381,133,185,140,83,132,68,42,783,80,165,98,68,114,44,30,595,280,464,303,226,276,141,94,1782,21,40,21,8,20,12,3,123,692,1124,759,554,825,424,278,4660,9894,9009,4360,2632,3382,1698,965,31938
LGA14200,40,40,34,35,33,3,0,184,21,29,6,3,3,0,0,69,28,11,14,6,14,3,0,79,615,616,369,221,297,41,9,2166,3,3,4,0,0,0,0,11,704,709,428,267,342,47,8,2510,0,3,3,4,0,0,0,10,8,9,7,0,6,0,0,34,0,9,4,9,16,5,0,43,243,276,155,108,103,14,0,900,16,11,8,10,6,0,0,53,268,310,179,132,134,25,0,1035,968,1020,601,394,475,74,6,3545
LGA14300,4,12,3,8,0,4,0,25,13,8,0,3,0,0,0,25,3,10,3,3,0,0,0,26,210,250,144,92,93,14,5,808,0,0,0,0,0,0,0,0,228,271,160,107,95,18,5,887,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,12,0,0,0,0,0,0,0,3,68,81,41,28,39,6,0,252,0,0,3,0,0,0,0,6,68,84,50,30,45,6,0,280,299,352,208,137,144,22,5,1166
LGA14350,23,19,16,7,20,0,0,87,37,34,25,20,20,3,0,136,44,53,33,19,31,3,4,182,742,874,522,341,448,80,18,3024,7,11,7,0,0,0,0,21,858,987,596,390,516,89,23,3453,3,0,0,0,4,0,0,7,29,29,9,11,12,0,0,94,3,21,14,8,15,0,0,65,463,522,310,202,256,26,4,1789,25,25,7,7,0,0,0,59,525,595,345,229,283,31,9,2017,1378,1580,942,616,807,120,30,5477
LGA14400,43,57,49,27,24,20,9,228,78,94,58,40,47,18,10,350,100,74,35,26,37,18,5,298,715,739,501,304,412,174,89,2936,3,3,3,6,0,0,0,17,941,968,648,405,524,238,116,3827,3,3,5,3,8,3,0,34,16,18,17,3,15,10,4,78,0,12,6,4,12,10,0,41,81,103,81,64,84,30,16,463,0,3,5,0,0,0,0,10,97,136,122,83,114,49,17,622,1035,1102,767,488,644,287,134,4454
LGA14500,2462,3210,1791,1210,1746,1171,667,12257,592,893,592,372,545,298,155,3453,691,917,497,295,474,299,144,3316,1737,2736,1874,1250,1762,1027,559,10949,24,16,8,10,14,3,0,77,5506,7770,4762,3143,4533,2801,1527,30042,134,238,220,178,344,223,124,1461,25,70,49,48,94,54,28,367,35,75,58,48,61,36,21,329,73,200,172,144,208,136,72,1007,3,3,0,3,10,3,0,36,270,585,500,419,718,454,250,3196,5782,8361,5265,3563,5248,3253,1773,33241
LGA14550,12,20,8,8,10,3,0,63,13,15,8,0,8,3,0,50,19,21,9,9,13,0,0,64,216,300,169,123,130,33,7,980,0,0,6,0,0,0,0,8,259,357,204,139,162,39,8,1169,0,0,5,3,0,0,0,10,9,7,5,10,9,4,3,33,3,8,7,0,3,0,0,24,81,115,63,46,62,13,0,380,0,9,4,0,0,0,0,12,95,136,79,55,72,18,6,464,354,492,282,196,240,54,9,1633
