LGA_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA14200,3,22,21,21,67,49,18,35,4,238,16,20,13,16,40,34,11,27,89,268,227,732,592,856,1297,924,513,1060,190,6393
LGA14300,0,8,3,4,18,13,12,13,0,78,4,8,4,3,22,12,4,5,17,82,91,243,198,242,475,417,200,401,44,2318
LGA14350,13,50,41,29,70,48,28,42,4,332,19,36,23,35,48,28,18,39,143,402,451,1250,1198,1364,1777,1247,682,1169,322,9463
LGA14400,8,39,32,24,54,52,25,50,3,293,21,52,25,17,18,48,22,45,54,305,416,1313,1159,1073,1503,1600,874,1410,132,9488
LGA14500,33,267,211,156,166,277,139,244,12,1503,56,269,200,167,242,491,139,374,347,2272,1439,7536,5910,5037,6729,11271,5238,11062,696,54920
LGA14550,3,10,14,11,15,24,8,12,3,94,6,21,10,3,14,28,3,26,49,161,119,426,382,454,487,482,217,589,83,3239
LGA14600,0,9,5,4,6,26,7,17,0,70,5,6,13,10,8,19,9,23,40,139,104,231,205,277,242,458,205,663,91,2472
LGA14650,108,473,363,378,752,698,398,471,19,3668,112,282,214,241,527,564,176,349,602,3064,3228,10502,9690,10281,16269,15588,7690,10688,1318,85264
LGA14700,10,77,58,60,95,100,44,92,7,546,23,71,56,47,109,174,64,128,119,777,549,1794,1787,1624,2832,4385,2106,3970,245,19292
LGA14750,4,17,8,19,35,25,23,26,0,152,7,22,7,13,20,51,18,16,51,209,179,475,352,471,894,986,463,772,115,4705
LGA14850,18,96,67,80,144,126,76,98,4,714,27,78,60,58,91,95,32,58,153,653,595,2492,2065,2780,3692,2665,1322,2218,341,18168
LGA14870,5,38,31,36,62,54,28,40,4,303,11,27,27,27,56,65,6,34,70,322,326,916,838,920,1584,1333,652,1061,167,7798
