LGA_CODE_2016,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
LGA13850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,7,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA13910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,6,0,0,41,0,0,0,46,4,0,52,5,0,3,0,13,0,0,0,13,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,40,6,3,0,52,0,0,0,56,3,0,62,5,0,0,0,5,0,0,0,5,0,0,5,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
LGA14000,33,8,0,38,42,10,0,0,53,7,0,7,60,9,0,73,1771,203,32,23,2018,63,9,70,2091,108,0,2200,337,47,5,3,394,10,3,13,409,44,0,453,3,0,0,0,8,0,0,0,8,3,0,6,2112,247,38,25,2422,76,15,87,2505,155,0,2664,440,44,3,4,496,17,5,18,510,42,0,556,365,61,3,3,431,11,0,11,442,37,0,477,11,0,6,0,19,0,0,0,19,0,0,21,3,0,0,4,6,0,0,0,6,0,0,6,810,110,12,13,949,27,5,31,980,82,0,1056,7,3,0,0,8,0,0,0,9,0,0,9,6,3,0,0,10,4,0,4,17,3,0,13,14,3,0,0,23,4,0,4,23,3,0,24,827,114,14,13,968,27,5,31,1001,84,0,1085,171,23,3,0,200,12,3,16,210,48,0,258,0,0,0,0,0,0,0,0,0,0,3,3,1000,140,17,14
LGA14100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,10,0,3,160,7,0,4,169,7,0,178,36,7,0,3,44,3,0,3,47,13,0,58,0,0,0,0,0,0,0,0,0,0,0,0,181,14,3,3,204,4,0,6,216,16,0,233,46,3,0,0,46,3,4,3,51,4,0,60,41,0,0,0,44,0,0,0,44,4,0,41,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,3,0,0,3,85,6,0,3,96,4,4,3,97,3,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,6,0,3,96,4,4,3,97,8,0,107,7,3,0,0,13,0,0,0,13,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,92,13,0,4
LGA14170,25,3,0,28,25,7,0,0,34,7,0,5,39,3,0,35,719,113,15,7,849,18,8,32,878,87,0,969,125,28,5,6,169,5,0,5,171,53,0,222,0,0,0,0,0,0,0,0,0,0,0,0,839,143,14,15,1020,27,7,38,1053,143,3,1195,236,36,0,0,275,3,0,3,274,22,0,294,121,30,3,0,153,3,0,3,156,16,0,173,4,0,4,0,8,0,0,0,8,3,0,10,0,0,0,3,3,0,0,0,3,3,0,6,362,68,9,3,435,3,0,5,443,43,0,486,7,0,0,0,7,3,0,3,7,4,0,11,10,0,0,0,6,0,0,0,6,0,0,8,13,0,0,0,15,3,0,3,15,4,0,19,375,66,9,3,453,4,0,7,458,45,0,507,76,24,8,0,107,0,3,4,112,40,0,154,4,0,0,0,4,0,0,0,4,0,0,4,453,89,11,6
LGA14200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,10,0,0,35,0,0,0,35,3,0,41,0,0,0,0,3,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,26,10,0,0,41,0,0,0,41,4,0,42,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
LGA14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,12,8,0,0,0,9,0,0,0,9,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,14,0,0,0,14,4,0,18,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
LGA14350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,9,0,3,59,0,0,3,62,4,0,68,9,4,0,0,13,0,0,0,13,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,57,14,0,3,78,0,0,3,81,8,0,87,3,0,0,0,6,0,0,0,6,0,0,8,3,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,12,0,0,0,9,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,11,0,0,0,13,0,0,17,4,0,0,0,8,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0
LGA14400,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,147,14,5,5,178,3,0,4,177,6,0,189,17,3,0,0,20,0,0,0,23,4,0,26,0,0,0,0,0,0,0,0,0,0,0,3,162,16,5,5,195,3,3,3,202,8,0,211,25,5,0,0,29,0,0,0,29,3,0,29,26,9,0,0,31,0,0,0,35,7,0,45,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,53,13,0,0,70,0,0,0,67,9,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53,15,0,0,72,0,0,0,70,14,0,84,15,3,0,0,13,0,0,0,19,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,61,20,4,0
LGA14500,32,6,0,42,43,6,0,0,46,4,0,4,48,9,0,56,1619,185,36,29,1856,56,11,58,1923,101,4,2023,413,34,9,4,457,13,11,21,486,85,0,566,5,0,0,0,5,0,0,0,5,0,5,7,2033,216,39,34,2320,65,19,85,2409,186,4,2594,425,59,5,7,490,14,0,18,508,41,0,549,388,62,5,3,457,12,0,15,471,22,0,497,6,0,4,0,11,0,0,0,11,0,0,10,6,0,0,9,10,0,0,0,10,0,0,10,822,121,10,17,967,24,8,32,998,68,0,1069,8,0,0,0,8,0,0,0,8,0,0,8,10,3,0,0,16,4,0,4,19,0,0,22,14,3,0,0,18,5,0,5,26,4,0,26,837,126,10,17,990,25,8,30,1022,69,0,1097,195,36,0,5,232,7,0,7,246,62,0,304,0,0,0,0,0,0,0,0,0,0,0,0,1030,160,17,16
LGA14550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,28,0,0,0,28,5,0,33,3,0,0,0,3,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,3,0,0,30,0,0,0,30,6,0,37,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
LGA14600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA14650,25,0,0,25,35,7,0,0,39,5,0,5,44,0,0,44,1051,134,24,12,1227,29,4,33,1258,101,0,1355,160,17,5,0,186,7,0,7,195,58,0,252,0,0,0,0,0,0,0,0,0,0,0,0,1217,147,28,14,1407,34,8,42,1449,156,0,1609,218,23,4,0,247,3,0,3,252,26,0,284,228,31,4,3,264,4,0,6,275,32,0,304,8,0,8,0,10,0,0,0,10,0,0,10,0,0,0,3,3,0,0,0,3,0,0,3,449,53,13,12,534,5,3,11,538,63,4,600,0,3,0,0,3,0,0,0,3,0,0,4,4,0,0,0,5,0,0,0,8,0,0,8,4,4,0,0,7,0,0,0,9,0,0,10,454,58,18,12,541,5,4,12,547,61,4,614,76,15,0,3,96,0,5,7,103,27,0,127,0,0,0,0,0,0,0,0,0,0,0,3,530,71,19,15
LGA14700,10,0,0,10,9,3,0,0,17,0,0,0,13,0,0,13,294,46,3,3,350,14,0,14,362,24,0,387,62,12,3,0,81,0,0,0,76,8,0,83,0,0,0,0,0,0,0,0,0,0,0,0,357,60,3,3,432,13,0,13,445,28,0,476,81,4,0,0,87,3,0,3,89,7,0,97,81,8,0,0,92,0,0,0,95,8,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,16,0,0,175,3,0,3,182,19,0,204,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,164,16,0,0,183,3,0,3,187,19,0,204,36,6,0,0,38,0,0,0,38,7,0,43,0,0,0,0,0,0,0,0,0,0,0,0,194,20,0,0
LGA14750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,27,0,0,0,27,0,0,24,4,0,0,0,4,0,0,0,4,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,29,0,0,0,29,7,0,34,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA14850,3,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,119,34,3,0,157,0,3,3,160,10,0,172,13,4,0,0,21,0,0,0,19,13,0,36,0,0,0,0,0,0,0,0,0,0,3,3,136,40,3,0,181,3,3,3,185,24,3,207,23,3,0,0,19,3,0,3,22,0,0,22,15,0,0,0,14,0,0,0,15,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,41,3,0,0,42,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,41,3,0,0,42,0,0,46,4,0,0,0,4,4,0,4,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,0
LGA14870,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,47,3,0,0,52,3,0,3,54,0,0,62,13,0,0,0,15,0,0,0,12,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,64,6,0,6,68,9,0,80,7,0,0,0,7,0,0,0,10,0,0,10,3,3,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,15,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,14,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0
LGA14900,44,8,0,53,46,27,0,6,74,5,4,12,85,14,0,99,1662,251,36,39,1993,49,13,68,2060,147,5,2213,488,126,14,32,655,39,16,50,703,412,3,1119,0,0,0,0,0,0,0,0,0,0,7,16,2148,380,46,68,2650,89,25,118,2769,562,17,3344,509,45,4,4,568,11,4,13,583,51,0,630,239,57,5,0,299,9,0,8,305,35,0,337,12,0,8,0,22,0,0,0,23,0,0,27,12,0,0,5,20,0,0,0,20,3,0,24,774,106,13,8,902,18,4,24,930,88,0,1020,7,0,0,0,8,3,0,3,12,3,0,10,8,3,0,0,16,0,7,6,23,7,0,25,15,7,0,0,21,3,7,12,32,11,0,43,785,110,13,8,925,26,13,36,963,99,0,1056,216,51,5,8,279,17,8,25,309,260,0,571,0,0,0,0,0,0,0,0,0,0,0,3,1007,166,23,24
LGA14920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,13,0,0,0,13,3,0,15,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,22,0,0,0,22,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
LGA14950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,4,0,0,0,4,0,0,9,3,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
LGA15050,9,3,0,12,15,0,0,0,16,3,0,4,16,3,0,20,405,38,5,6,451,5,0,10,456,26,0,482,46,9,3,0,56,3,0,3,62,10,0,74,0,0,0,0,0,0,0,0,0,0,0,0,446,42,5,11,504,9,3,10,523,36,0,555,69,0,0,0,76,5,3,5,81,16,0,93,65,4,0,0,73,0,0,0,75,8,0,78,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,138,9,3,0,149,5,3,8,156,22,0,174,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,8,7,0,0,0,7,0,0,0,7,0,0,7,142,9,3,0,158,5,3,8,159,22,0,178,25,5,3,0,29,0,0,0,29,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,168,12,7,0
LGA15240,0,0,0,0,3,3,0,0,6,3,0,3,7,0,0,7,141,43,5,0,188,4,0,4,194,18,0,211,24,11,0,0,36,0,0,0,36,22,0,53,0,0,0,0,0,0,0,0,0,0,0,3,162,50,5,3,220,4,0,4,228,38,0,267,15,0,0,0,20,0,0,0,20,0,0,22,20,3,0,0,23,0,0,0,23,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,38,0,0,0,38,3,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8,0,0,42,0,0,0,42,8,0,43,8,3,0,0,10,0,0,0,10,7,0,17,0,0,0,0,0,0,0,0,0,0,0,0,39,9,0,0
LGA15270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0,3,51,6,0,6,50,6,0,55,5,0,0,0,3,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,44,4,0,3,51,6,0,6,58,8,0,63,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
LGA15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
LGA15350,3,0,0,3,9,0,0,0,9,0,0,0,9,3,0,9,192,32,5,0,230,3,4,7,236,15,0,242,105,15,0,3,126,0,0,3,132,11,0,146,0,0,0,0,0,0,0,0,0,0,0,0,296,50,9,3,358,4,3,11,368,27,0,389,45,6,0,0,54,6,3,9,61,0,0,61,39,13,0,0,50,0,0,0,56,3,0,53,0,0,3,0,7,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,94,15,3,0,111,8,3,11,117,3,0,125,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,0,0,6,3,0,0,0,3,0,0,0,5,0,0,5,94,18,3,0,115,8,3,8,124,3,0,131,41,13,0,3,66,0,0,3,69,4,0,71,0,0,0,0,0,0,0,0,0,0,0,0,138,36,0,3
