LGA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA17100,1053,2789,591,89,4518,639,141,5299,20,39,24,0,87,49,8,148,117,257,121,13,514,101,48,660,143,302,138,15,600,157,53,808,221,341,87,18,660,381,100,1137,485,690,193,50,1428,480,191,2099,818,897,259,104,2085,501,492,3079,0,0,0,0,0,3,0,3,1528,1928,535,171,4166,1366,780,6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,34,12,6,77,31,26,132,23,34,12,6,77,31,26,132,20,22,14,6,63,26,21,116,2771,5077,1292,293,9434,2214,1023,12674
LGA17150,12264,25261,4433,411,42366,5722,616,48705,544,542,277,20,1376,1039,43,2454,2093,2325,1093,74,5581,2155,175,7914,2636,2868,1371,88,6956,3189,219,10368,826,452,337,22,1638,1826,157,3625,2281,1324,1054,121,4793,3263,492,8545,1380,680,400,61,2524,1793,211,4526,8,0,3,0,11,11,3,23,4496,2463,1794,213,8967,6887,869,16718,15,4,4,0,22,32,4,62,14,8,10,0,43,70,3,118,0,0,0,0,0,3,0,3,46,38,23,0,109,63,20,186,83,52,40,3,170,170,27,367,53,46,16,4,117,69,12,199,19528,30692,7647,713,58577,16039,1736,76356
LGA17200,417,608,152,29,1205,374,144,1717,988,607,253,48,1904,1036,464,3400,3601,2585,1107,251,7544,3276,2614,13434,4588,3190,1363,305,9446,4308,3084,16835,658,160,108,35,955,1321,333,2612,2430,687,465,150,3733,4026,1176,8935,17099,4568,1856,1122,24646,21345,8312,54303,14,3,0,0,14,9,9,32,20193,5414,2430,1312,29348,26702,9836,65879,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,8,7,0,0,0,7,35,0,41,69,37,9,3,124,151,90,369,76,37,12,3,132,187,96,416,114,57,16,9,194,289,87,574,25387,9308,3975,1654,40324,31858,13239,85423
LGA17310,5671,5718,2446,198,14034,4342,546,18918,218,80,148,21,469,936,74,1482,55,22,34,0,113,206,27,345,276,105,186,24,582,1147,97,1830,41,28,37,3,113,277,13,399,4,3,3,0,6,11,0,24,4,0,0,0,8,13,0,13,3,0,0,0,3,0,0,3,46,25,44,4,125,300,12,441,15,5,0,0,23,46,0,75,16,3,0,0,20,23,0,36,4,3,0,0,10,5,0,15,53,36,111,8,217,63,14,296,91,47,121,8,263,137,16,417,42,24,20,0,90,43,9,139,6121,5924,2813,235,15096,5972,678,21752
LGA17350,701,603,224,11,1535,566,49,2149,8,3,0,0,9,28,0,40,0,0,0,0,0,0,0,0,8,3,0,0,9,28,0,40,11,11,5,0,25,93,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,5,0,25,93,0,118,4,0,0,0,4,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,7,10,0,15,8,0,0,0,12,11,0,23,3,4,0,0,11,3,0,14,738,613,228,11,1597,705,44,2344
LGA17400,887,470,263,17,1631,839,58,2536,4,3,0,0,11,46,0,51,0,0,0,0,0,0,0,0,4,3,0,0,11,46,0,51,7,3,3,0,10,25,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,10,25,0,36,3,0,0,0,0,3,0,4,5,3,0,0,9,5,0,12,0,0,0,0,0,4,0,4,3,0,0,0,4,6,3,13,12,3,0,0,15,24,3,43,3,0,0,0,3,14,0,19,909,483,264,18,1674,941,67,2682
LGA17420,9141,23073,3099,289,35602,3353,458,39414,334,116,81,6,536,415,15,962,964,2157,563,40,3725,753,139,4617,1293,2271,646,47,4255,1168,156,5577,146,142,63,13,363,260,12,636,242,242,113,18,616,243,30,891,318,259,98,15,692,326,71,1092,9,0,5,0,11,3,0,19,716,644,280,40,1685,835,113,2636,7,4,0,0,12,9,0,23,7,0,0,0,12,11,0,21,0,8,0,0,9,4,0,11,3,8,0,0,13,7,0,25,22,21,3,0,41,28,4,72,22,53,10,0,91,37,0,134,11195,26052,4048,380,41682,5424,731,47836
LGA17550,7210,7436,2789,198,17635,4500,796,22929,1145,435,535,58,2171,1890,173,4243,587,383,367,15,1356,786,107,2248,1730,816,905,71,3524,2677,287,6489,397,140,243,14,795,1149,110,2051,318,120,215,18,672,614,83,1368,301,49,55,6,415,317,22,751,3,0,0,0,4,0,0,5,1020,307,516,35,1884,2084,218,4180,167,17,20,3,203,419,15,635,172,16,24,3,207,271,15,489,3,4,6,0,18,24,3,42,12,11,6,0,30,12,0,42,352,44,53,5,453,729,34,1211,96,36,10,0,154,119,11,282,10413,8653,4272,317,23650,10104,1332,35089
LGA17620,1445,1429,477,36,3393,1193,123,4698,18,13,4,0,39,52,7,92,0,0,0,0,0,0,0,0,18,13,4,0,39,52,7,92,34,14,17,0,68,160,12,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14,17,0,68,161,12,242,0,0,0,0,0,18,0,17,12,0,0,0,12,31,0,44,0,0,0,0,4,3,0,4,4,0,0,0,4,4,0,10,17,0,0,0,18,54,3,75,17,18,3,0,38,13,0,48,1533,1477,508,36,3557,1471,142,5161
LGA17640,946,762,222,27,1959,760,48,2763,12,3,0,0,13,52,0,66,3,0,0,0,3,3,0,7,11,3,0,0,16,56,0,73,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,4,5,0,14,0,0,0,0,3,0,0,4,3,7,0,0,12,4,0,14,6,4,0,0,9,0,0,14,14,11,3,0,30,17,0,46,9,7,0,0,17,15,0,26,975,790,225,28,2021,845,48,2912
LGA17650,724,617,216,23,1583,560,54,2191,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,3,0,0,0,6,12,0,15,3,0,3,0,4,25,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,25,0,34,3,0,0,0,3,3,0,8,0,0,0,0,3,10,0,10,0,0,0,0,3,0,0,0,3,4,0,0,11,0,0,11,8,4,3,0,15,14,0,28,3,4,3,0,11,4,0,11,738,626,228,23,1614,616,55,2281
LGA17750,5360,6293,2484,212,14351,3940,726,19013,160,56,36,6,264,440,37,739,39,12,13,7,63,90,26,175,199,67,48,6,328,531,62,917,324,180,158,26,692,1259,129,2074,13,0,3,0,16,58,3,81,10,0,0,0,10,18,0,35,3,3,0,0,5,4,0,7,345,186,158,32,722,1345,128,2194,8,0,0,0,8,13,0,21,9,0,3,0,11,16,3,30,0,0,0,0,0,0,0,3,37,48,23,0,105,31,15,145,54,47,23,0,127,54,21,202,19,24,3,0,52,15,3,71,5977,6620,2723,251,15570,5880,945,22397
LGA17850,383,305,88,3,781,327,20,1124,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,4,20,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,7,20,0,24,0,0,0,0,0,3,0,3,3,0,0,0,3,3,0,8,0,0,0,0,3,0,0,3,4,0,0,0,4,0,0,3,4,4,0,0,8,3,0,13,5,4,0,0,10,5,0,20,400,314,89,3,812,359,24,1187
LGA17900,472,384,315,30,1205,623,67,1892,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,5,0,0,0,5,3,0,5,11,3,4,3,28,68,4,101,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,3,0,0,0,3,0,0,3,16,3,8,3,29,86,3,116,3,0,0,0,5,25,3,33,0,0,0,0,0,0,0,0,32,15,8,0,61,84,11,147,3,0,0,0,3,3,0,6,40,18,8,0,65,113,13,190,19,13,14,4,47,34,3,91,553,422,343,44,1354,854,82,2286
LGA17950,296,243,102,5,651,269,21,944,0,0,3,0,4,3,0,6,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,6,8,0,3,0,10,28,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,10,28,3,39,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,8,3,0,0,0,7,6,0,8,301,251,112,5,675,318,20,1007
LGA18020,1107,751,361,36,2258,972,65,3299,6,0,0,0,9,34,0,45,3,0,0,0,4,0,0,6,9,4,0,0,9,37,0,50,11,5,4,0,20,45,3,61,0,0,0,0,0,0,0,4,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,0,8,5,10,0,17,54,3,78,5,3,0,0,8,7,0,18,4,0,0,0,6,4,0,12,0,0,0,0,0,0,0,0,5,0,0,0,7,10,0,19,15,4,0,0,18,20,0,45,17,15,3,0,31,24,0,55,1156,775,375,36,2345,1107,72,3517
LGA18050,938,2194,312,49,3488,521,146,4160,452,855,193,23,1523,433,186,2148,505,1340,254,23,2124,353,149,2630,964,2192,446,49,3653,788,331,4774,906,626,261,45,1842,1063,530,3433,2324,1078,421,89,3914,2596,1188,7691,1366,546,251,53,2217,1824,566,4614,3,4,0,0,13,3,9,20,4608,2257,930,192,7983,5484,2289,15759,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,45,33,0,173,137,37,343,93,45,33,0,174,135,37,344,27,37,3,0,66,46,10,129,6624,6727,1724,291,15370,6979,2819,25166
LGA18100,476,312,110,14,913,425,35,1365,16,3,3,0,16,32,0,51,0,0,0,0,0,0,0,0,16,3,3,0,16,36,0,53,0,0,4,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,7,3,3,0,0,4,8,0,9,0,4,0,0,8,3,0,11,497,316,112,14,945,471,37,1449
LGA18200,714,652,232,18,1612,514,42,2163,4,5,6,0,11,22,0,38,0,0,0,0,0,0,0,0,4,5,6,0,11,22,0,38,22,0,10,0,31,74,5,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,10,0,31,74,5,115,12,0,0,0,14,25,0,39,11,0,0,0,8,3,3,22,3,0,0,0,5,5,0,9,0,3,0,0,6,3,3,10,22,3,0,0,32,38,5,74,7,3,3,0,15,11,0,23,771,669,245,18,1707,662,51,2420
LGA18230,4144,4776,2140,182,11231,3145,409,14789,180,86,123,18,403,541,55,999,13,3,3,3,17,30,3,55,188,89,126,19,418,570,63,1054,249,78,67,9,407,738,49,1191,0,0,0,0,3,10,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,78,67,9,411,754,50,1208,10,3,0,0,16,27,3,40,0,0,0,0,4,3,0,12,0,3,0,0,3,3,0,7,82,81,28,6,196,76,12,277,99,82,34,6,220,106,13,339,25,19,7,0,49,30,4,87,4702,5046,2368,217,12333,4607,540,17474
LGA18250,2716,6392,1024,115,10246,1555,277,12077,201,347,85,11,645,184,33,865,295,513,121,6,938,227,59,1217,493,865,201,16,1581,412,85,2077,414,326,129,33,903,531,117,1546,839,824,296,57,2018,895,311,3225,1863,1799,657,158,4475,2088,525,7086,0,0,0,0,4,4,0,12,3123,2941,1084,246,7395,3521,951,11873,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,10,0,37,25,8,65,17,11,11,0,40,25,8,72,14,11,0,0,28,27,3,58,6362,10219,2324,380,19291,5537,1330,26155
LGA18350,5557,4806,1626,112,12105,3682,337,16121,169,52,44,5,272,466,24,764,92,21,31,0,151,139,4,293,268,68,80,7,422,603,28,1055,56,30,23,0,101,208,6,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,4,53,26,25,0,107,206,6,324,9,3,5,0,17,62,3,86,3,0,0,0,4,0,0,3,3,3,0,0,4,10,0,13,13,8,4,0,18,11,0,31,26,11,6,0,47,84,3,136,38,18,4,0,65,52,9,129,5939,4937,1741,119,12744,4636,379,17759
LGA18400,3796,6754,1447,97,12089,1874,214,14179,219,35,34,8,298,281,6,589,11,3,14,0,27,27,0,61,232,38,46,7,330,308,3,647,19,4,18,0,39,52,5,91,3,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,23,4,16,0,44,56,5,108,3,5,0,0,13,28,0,40,3,0,0,0,6,19,0,24,0,3,3,0,12,3,0,14,10,17,0,0,23,10,0,35,14,24,10,0,51,59,0,113,19,13,7,0,38,17,3,55,4078,6843,1528,104,12552,2316,232,15094
LGA18450,13572,20608,6346,543,41072,8896,1397,51367,830,424,518,50,1819,2005,189,4016,1083,957,827,65,2929,1889,321,5141,1912,1381,1342,116,4752,3887,514,9154,983,612,616,80,2290,2780,461,5540,592,287,247,44,1176,1414,391,2979,1260,420,260,71,2009,1400,477,3892,3,9,10,0,24,26,3,48,2840,1328,1138,188,5500,5623,1338,12454,35,16,20,8,72,133,14,213,3,10,11,0,23,21,0,46,0,0,0,0,0,4,0,4,43,57,46,3,148,77,23,244,83,80,73,10,243,235,34,511,117,60,35,3,215,225,26,468,18527,23453,8937,861,51776,18871,3304,73953
LGA18500,1080,2357,352,41,3836,577,92,4500,180,191,75,7,456,195,44,690,1133,1277,333,58,2800,842,372,4013,1315,1463,409,62,3255,1038,419,4703,454,425,179,21,1084,603,144,1826,1319,667,307,62,2351,1559,456,4366,1573,554,275,80,2484,2391,497,5376,20,14,7,0,48,11,8,64,3366,1663,772,165,5971,4570,1100,11636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,12,0,77,63,13,156,37,27,12,0,77,64,13,158,29,26,5,0,62,38,8,106,5830,5547,1542,274,13197,6284,1628,21105
LGA18710,1674,2037,429,39,4176,911,98,5185,33,18,9,0,63,133,11,207,3,0,3,0,3,7,0,9,38,18,11,0,68,140,11,220,5,0,3,0,10,12,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,10,12,3,26,3,0,0,0,3,9,0,9,5,3,0,0,7,3,0,11,4,0,0,0,8,6,0,9,5,0,0,0,7,0,0,8,15,3,0,0,22,21,0,40,15,11,4,0,29,16,0,51,1747,2073,452,40,4307,1102,108,5519
LGA19399,112,95,19,3,235,88,7,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,3,0,4,113,96,19,3,235,94,7,336
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
