LGA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
LGA16490,4156,6227,1453,106,11943,2451,263,14664,319,255,169,14,763,776,42,1581,285,224,153,23,680,503,54,1238,601,479,323,38,1447,1276,99,2819,129,110,83,6,326,585,38,945,85,73,32,5,193,272,23,490,182,126,61,12,373,513,42,933,0,7,0,0,7,4,0,8,396,310,171,19,902,1376,104,2374,4,0,0,0,9,10,0,14,5,3,3,0,10,17,0,35,5,5,0,0,15,3,0,21,4,6,5,0,15,11,0,30,20,18,13,0,53,38,0,94,18,19,3,5,45,31,5,77,5196,7052,1960,170,14382,5171,470,20023
LGA16550,2919,6436,1296,250,10902,1821,595,13319,683,1351,339,55,2424,798,178,3396,949,2265,596,86,3894,760,252,4912,1627,3621,932,136,6314,1562,434,8305,1217,1012,541,89,2853,2004,752,5616,3622,1987,1092,263,6965,4620,2189,13773,2326,1281,518,249,4380,2832,1433,8645,13,12,3,0,30,31,11,75,7183,4293,2154,602,14229,9493,4382,28104,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,106,79,44,11,241,130,77,449,106,75,44,11,241,132,81,452,28,50,9,0,89,85,15,194,11863,14471,4437,1002,31774,13096,5502,50374
LGA16610,2181,2010,990,92,5272,1711,190,7179,76,21,29,3,130,188,14,334,34,20,23,7,79,55,15,149,108,43,55,4,212,249,28,479,77,42,67,7,197,403,31,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,42,67,7,197,405,31,637,40,3,5,0,55,93,6,150,8,0,0,0,8,20,0,29,0,0,3,0,3,0,0,3,9,8,3,0,22,11,3,33,58,14,12,0,86,128,10,217,9,9,4,0,15,15,0,30,2429,2124,1126,109,5784,2507,258,8549
LGA16650,3686,7274,1921,272,13151,2421,483,16052,771,1002,369,50,2188,1099,125,3414,475,827,234,33,1561,418,65,2045,1246,1824,603,76,3752,1516,187,5457,244,225,139,22,632,550,108,1294,874,871,475,91,2314,1291,210,3808,3350,2420,844,249,6865,2705,1194,10766,15,14,9,0,47,32,9,91,4495,3532,1470,361,9857,4585,1519,15957,12,3,0,0,13,52,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,61,26,10,155,86,31,270,68,63,26,12,170,137,33,334,40,18,15,3,79,63,8,150,9529,12713,4040,726,27005,8719,2231,37956
LGA16700,4364,9523,1910,294,16094,2753,686,19528,586,842,283,33,1751,732,104,2584,891,1412,392,57,2742,1186,229,4153,1479,2251,676,89,4494,1919,325,6739,287,209,116,26,642,641,57,1341,1689,1314,525,165,3693,2392,588,6673,2268,1439,417,162,4282,1740,613,6643,9,8,0,0,12,8,0,22,4250,2966,1061,357,8631,4786,1265,14676,3,0,0,0,3,4,0,8,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,23,22,6,0,53,36,16,102,29,24,6,0,61,41,16,115,40,55,17,0,116,79,15,203,10157,14819,3670,741,29386,9578,2303,41267
LGA16900,5144,7844,2686,168,15849,2799,299,18944,417,163,271,24,872,735,43,1656,381,315,287,15,996,577,70,1642,798,481,551,36,1871,1320,118,3305,158,77,155,11,406,474,33,912,0,0,0,0,4,7,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,162,77,156,11,409,485,33,931,9,0,3,0,12,41,0,53,72,8,14,4,96,156,3,250,0,0,0,0,0,0,0,0,13,8,10,0,31,17,6,45,94,8,26,4,133,212,7,351,40,14,11,0,67,45,3,112,6236,8428,3434,223,18321,4859,460,23643
LGA16950,11713,8541,3931,257,24440,8083,834,33364,415,114,176,25,724,1183,67,1981,121,30,84,5,238,348,21,608,529,146,255,24,959,1537,95,2585,165,52,93,10,320,570,32,921,0,0,0,0,7,13,0,22,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,11,164,55,100,10,335,600,29,963,53,16,18,0,84,136,6,220,226,32,20,5,283,421,10,713,5,3,0,0,12,12,0,16,14,6,12,0,27,19,0,48,296,54,48,10,403,581,18,1002,75,64,18,0,154,117,4,277,12772,8856,4360,302,26292,10916,980,38187
LGA17000,1951,2733,705,63,5457,1207,122,6790,66,55,65,3,185,171,20,375,23,9,29,0,65,108,9,182,91,63,91,8,250,277,32,558,34,19,33,6,83,169,11,270,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,34,19,31,6,90,170,11,269,10,3,0,0,12,29,0,44,0,0,3,0,5,0,0,10,3,0,4,0,9,6,0,15,3,0,0,0,4,0,0,3,19,3,6,0,26,38,3,63,9,16,4,0,26,26,0,53,2096,2835,842,75,5850,1719,166,7741
LGA17040,2047,1839,614,41,4538,1696,159,6402,37,20,13,0,67,90,8,172,37,18,17,0,68,86,17,177,79,37,26,0,141,177,26,342,48,18,20,3,90,199,44,332,13,3,3,0,17,25,7,50,3,4,0,0,5,20,5,27,0,0,0,0,0,0,0,4,63,25,25,3,114,245,53,414,7,0,0,0,5,13,0,19,8,11,0,0,24,23,3,55,3,4,0,0,7,11,0,11,8,5,3,0,14,13,0,25,25,20,6,0,47,63,6,111,63,44,15,0,122,112,11,244,2271,1959,682,49,4969,2293,258,7518
LGA17080,1686,1341,533,47,3605,1345,87,5033,15,0,5,0,19,86,0,105,0,0,3,0,8,18,3,27,19,3,7,0,25,102,4,135,24,11,7,3,44,104,6,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,7,3,41,104,6,153,6,3,0,0,9,4,0,17,0,0,3,0,4,7,0,11,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,4,8,3,7,0,15,14,0,32,8,15,3,0,22,9,3,41,1745,1366,551,50,3715,1576,100,5388
