LGA_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
LGA14870,0,0,0,4,8,3,3,4,3,3,0,0,0,0,0,27,0,0,0,0,3,4,0,6,0,0,0,4,0,0,3,15,0,0,0,0,0,3,5,10,3,0,0,0,3,0,3,23,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,52,133,252,102,46,33,8,4,0,0,0,8,0,35,684,0,0,0,13,7,7,6,3,0,0,0,0,0,0,0,42,0,0,0,0,4,4,4,6,3,0,3,0,0,3,18,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,57,30,24,24,10,0,5,0,4,5,7,36,250,9,148,262,450,255,188,172,128,23,26,13,22,40,21,202,1966
LGA14900,0,0,0,35,91,105,147,57,7,16,3,14,10,0,13,493,0,0,9,42,44,173,117,80,13,17,26,7,12,0,14,544,0,0,0,0,107,234,136,91,12,22,21,15,17,7,21,679,0,0,33,419,129,248,212,51,5,6,11,13,13,4,21,1167,0,0,0,176,91,130,136,65,15,11,3,13,10,10,13,670,14,155,540,715,291,182,158,153,26,37,42,30,19,11,85,2461,0,0,3,13,25,40,73,48,7,14,9,14,11,12,3,282,0,0,3,29,1875,2305,904,629,105,146,118,133,97,72,231,6651,0,0,0,3,3,4,164,148,8,10,13,12,13,4,3,393,14,136,271,2541,3123,5117,4721,1855,328,312,449,413,430,303,542,20551,36,1347,2974,7094,9513,18987,18843,10910,1935,1937,2565,2027,1826,1193,2158,83346
LGA14920,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,38,16,13,8,6,4,0,6,0,0,0,7,148,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,3,0,6,3,4,0,0,3,0,0,0,0,25,3,23,54,59,38,43,30,22,8,13,13,0,5,3,17,342
LGA14950,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,14,11,8,0,3,0,0,0,0,0,0,3,60,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,9,0,10,29,22,27,16,26,3,3,0,0,0,0,0,12,147
LGA15050,0,0,0,8,18,23,68,111,12,25,18,11,11,0,3,309,0,3,0,0,7,6,0,10,3,0,3,6,3,0,0,38,0,0,0,0,6,8,21,11,3,6,9,3,0,4,5,76,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,7,0,0,0,0,0,0,0,3,6,23,170,281,417,234,174,171,156,37,13,21,25,13,11,53,1790,0,3,3,12,21,16,29,23,4,15,0,5,12,0,0,136,0,0,0,0,8,6,11,10,0,5,3,10,0,0,0,51,0,0,0,0,6,5,29,59,3,7,3,0,6,0,0,116,3,48,51,98,85,66,124,84,18,25,27,19,16,9,29,712,30,516,543,782,713,666,879,947,197,182,174,149,117,67,183,6151
LGA15240,0,0,16,23,44,24,48,30,0,3,3,5,7,0,4,210,0,0,0,5,0,4,9,3,3,0,0,0,0,0,3,32,0,0,0,0,6,13,25,16,3,4,3,3,3,8,5,85,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,29,469,827,1105,379,196,252,110,10,13,6,20,12,3,158,3597,0,12,8,42,24,10,33,23,9,5,3,0,3,3,5,185,0,0,0,0,3,7,3,3,0,3,0,3,0,0,3,26,0,0,3,6,9,3,9,9,0,0,0,0,0,0,0,46,9,97,141,238,111,75,80,80,18,5,11,12,11,3,58,947,64,1064,1435,1918,1024,712,785,531,100,107,93,85,89,51,389,8449
LGA15270,0,0,3,3,0,10,14,13,3,13,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,9,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,70,135,209,62,32,39,30,5,7,0,6,0,0,34,646,0,0,0,14,11,8,7,5,0,5,0,0,0,0,3,50,0,0,0,0,5,5,4,8,0,0,0,0,0,0,0,23,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,18,0,17,33,77,17,16,25,13,0,3,5,3,3,0,12,230,18,172,270,398,192,157,175,174,21,51,21,19,21,10,107,1811
LGA15300,0,0,0,0,0,0,3,23,7,0,5,0,7,0,0,38,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,26,21,15,6,9,4,4,4,0,0,3,6,116,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,0,4,0,0,0,0,10,0,4,11,33,11,10,15,16,5,8,7,0,5,0,10,132,0,25,31,86,66,70,73,123,37,35,47,30,33,10,30,688
LGA15350,0,0,13,24,71,54,131,64,9,20,24,37,14,11,13,488,0,0,3,6,14,17,3,0,0,0,0,0,3,0,3,53,0,0,0,0,5,10,27,20,0,0,8,3,3,4,3,93,0,0,0,3,3,3,7,0,0,0,3,0,0,0,0,14,0,0,0,4,0,5,6,0,0,3,3,0,3,8,4,36,15,105,154,324,261,280,556,448,102,101,123,100,112,60,63,2800,0,5,11,24,42,61,97,73,20,14,58,41,42,35,19,537,0,0,0,4,26,9,5,5,3,4,3,0,3,0,0,63,0,0,0,3,3,9,9,3,0,0,0,0,0,0,0,36,23,67,71,126,94,157,213,263,62,97,97,111,132,63,40,1602,66,308,468,833,972,1192,1760,1348,333,351,460,448,480,262,224,9515
LGA15520,0,0,0,3,3,0,3,3,0,3,0,0,5,0,5,33,0,0,0,0,0,0,0,3,4,3,0,0,0,0,0,15,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,47,74,81,21,15,20,8,0,4,0,0,3,0,21,300,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,0,3,8,17,0,3,0,3,0,0,4,65,4,104,128,131,60,52,66,95,28,28,15,12,33,9,53,814
