LGA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
LGA15650,45,362,276,6813,129,7619,0,7,0,87,0,93,71,5,3,30,0,115,5,3,0,3,0,16,70,26,21,50,3,174,460,319,245,5341,118,6476,108,3,24,6,3,139,21,4,3,23,0,53,53,32,20,523,10,638,10,4,0,21,0,40,6,0,0,5,0,14,94,9,3,19,0,121,143,81,41,1453,23,1745,42,26,14,123,3,210,3,0,7,0,0,5,12,5,0,16,0,33,0,0,0,0,0,4,21,3,6,14,0,39,56,9,9,13,0,82,56,28,26,12,3,130,17,13,7,13,0,51,5,3,0,3,0,15,131,100,54,1135,21,1438,11,3,0,4,0,14,22,5,4,0,0,30,9,5,0,13,0,29,18,0,0,0,0,18,5,3,0,0,0,5,0,0,0,0,0,0,25,12,3,52,0,90,302,57,61,117,7,540,19,0,5,182,1223,1430,1488,652,487,11977,1478,16086
LGA15700,76,608,380,7321,217,8608,0,8,4,326,13,350,32,9,3,43,0,94,15,3,0,5,0,27,112,30,19,48,0,205,1022,616,375,6096,160,8271,40,0,20,3,3,68,28,9,11,49,0,99,134,44,31,531,6,745,20,15,4,18,5,67,14,12,0,4,0,30,25,3,3,6,0,38,161,132,64,1838,35,2233,79,35,5,169,3,289,3,0,0,0,0,3,11,6,0,20,0,34,0,0,0,0,0,0,25,12,3,26,3,65,32,13,7,17,3,78,54,34,25,12,5,134,31,11,3,26,0,77,10,3,7,16,0,35,218,142,113,1498,38,2014,4,3,0,0,0,5,14,4,7,7,0,30,39,0,0,19,0,56,3,0,0,3,0,10,0,0,0,0,0,0,11,0,0,0,0,11,43,5,8,44,0,105,306,94,67,172,14,654,24,3,11,201,1300,1539,2074,1092,697,13654,1692,19212
LGA15750,21,226,147,6152,128,6672,0,3,0,104,0,106,44,3,3,20,0,73,3,0,0,0,0,4,42,17,14,43,0,104,201,181,138,4262,97,4875,50,3,8,3,0,59,9,0,0,14,0,20,45,21,16,362,5,456,3,5,0,15,0,27,3,0,0,3,0,3,24,0,0,0,0,29,54,39,30,1157,17,1301,10,0,3,50,0,64,0,0,0,0,0,0,0,0,0,9,0,5,3,0,0,0,0,4,4,0,0,3,0,5,20,8,11,0,0,33,17,14,6,9,0,48,9,6,0,9,0,22,3,3,0,4,0,11,68,42,33,989,10,1143,0,0,0,0,0,3,14,0,0,3,0,12,10,3,0,18,0,29,13,0,0,0,0,16,3,0,0,3,0,3,0,4,0,0,0,3,18,3,0,27,0,47,113,27,21,67,0,229,7,7,4,185,1307,1507,641,369,261,10293,1510,13084
LGA15800,9,102,61,2501,55,2734,0,0,0,49,3,50,12,0,0,20,0,30,3,0,0,0,0,3,25,3,0,11,0,33,110,107,59,1862,63,2203,8,0,0,0,0,11,11,0,0,14,0,24,24,10,8,222,7,274,9,3,0,8,0,18,3,0,0,0,0,4,19,0,0,0,0,24,10,25,12,681,6,739,34,9,8,105,3,159,6,0,0,0,0,6,3,0,0,3,0,6,0,0,0,0,0,3,0,0,0,6,0,4,9,3,0,0,0,12,4,3,0,0,0,13,15,3,0,9,0,26,0,0,0,0,0,4,33,15,20,472,9,549,0,0,0,4,0,4,4,0,0,0,0,8,12,3,0,3,0,12,8,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,13,0,15,58,12,5,30,3,111,3,4,0,72,596,672,359,185,107,4487,717,5853
LGA15850,11,128,92,3099,62,3389,0,0,0,82,3,86,17,0,0,12,0,27,3,0,0,3,0,3,17,0,8,12,0,36,105,82,69,2159,60,2476,3,0,0,0,0,3,0,0,0,11,0,17,34,8,10,160,3,216,0,3,3,0,0,4,0,0,0,0,0,0,10,0,0,4,0,13,28,15,14,614,10,673,9,4,0,41,0,62,3,0,0,0,0,3,0,0,0,6,0,11,0,0,0,0,0,0,11,0,0,15,0,27,3,0,3,12,0,19,7,9,4,4,0,19,3,0,0,3,0,3,0,0,3,0,0,3,24,16,18,517,3,579,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,7,0,7,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,13,0,24,47,14,14,23,0,98,0,0,0,84,560,642,293,187,141,5149,679,6444
LGA15900,617,5094,3832,49801,879,60233,5,36,17,637,6,708,2983,105,171,320,46,3629,347,89,27,108,0,576,567,312,201,693,16,1790,5846,4964,3489,48495,824,63622,839,26,279,28,8,1182,250,68,73,436,10,840,1117,525,351,4500,60,6560,799,215,78,614,6,1713,161,49,30,80,3,319,1510,63,58,50,5,1686,1454,1206,812,17204,228,20908,1449,510,173,2006,42,4183,453,7,25,20,6,511,71,42,22,106,0,243,1176,157,68,355,19,1782,111,56,29,190,0,394,238,93,90,81,9,508,414,248,238,136,10,1046,804,169,126,593,18,1704,204,43,32,135,3,414,1790,1404,994,13713,189,18092,257,27,17,54,0,358,253,69,44,35,6,398,287,32,26,159,7,509,205,7,19,16,0,249,71,12,7,6,0,99,502,13,24,11,3,555,313,209,103,1028,14,1665,6779,1240,942,2014,83,11063,287,67,61,1072,7674,9149,26865,9900,7181,101885,9581,155411
LGA15950,414,2494,2008,10094,116,15130,0,3,4,21,0,25,5204,208,289,204,36,5938,228,39,20,54,3,340,551,163,73,174,9,969,7465,2419,1750,11160,225,23017,779,17,72,21,7,893,687,65,49,176,11,983,1143,254,188,1027,20,2636,346,121,51,218,0,737,304,57,34,63,0,453,1840,45,47,12,5,1952,2168,793,575,5745,78,9353,1169,320,144,628,19,2275,541,10,19,22,3,593,143,43,24,76,0,281,84,15,0,14,0,112,101,48,23,67,0,231,118,13,11,3,4,149,622,118,102,42,3,884,539,62,38,97,3,746,520,27,40,44,6,634,1896,618,466,4068,50,7089,150,16,13,16,0,196,561,43,31,4,3,640,494,36,28,37,0,593,305,16,3,8,5,331,124,15,3,0,0,137,309,11,17,4,5,345,292,43,30,220,3,586,7608,645,639,686,75,9654,146,19,19,110,5009,5299,30083,5018,3857,23193,5506,67658
LGA15990,2201,12429,9875,53534,863,78905,12,14,8,149,0,179,6653,313,510,537,56,8062,1246,197,118,438,21,2016,2692,706,420,908,55,4782,33340,11247,8455,49351,1058,103450,1835,70,257,26,16,2204,2032,286,234,673,20,3253,4476,902,625,3881,106,9985,1212,370,176,818,16,2591,682,142,64,121,11,1018,2138,125,104,56,23,2447,7312,2759,2100,20272,305,32750,6357,1398,705,3718,113,12286,958,11,45,22,6,1040,428,131,89,233,7,883,176,24,17,36,0,254,377,153,104,286,12,928,741,127,94,38,14,1007,2101,717,554,245,21,3632,1232,192,163,303,4,1897,845,93,96,172,5,1220,7268,2547,2050,14458,258,26579,1180,126,82,129,10,1532,2038,249,185,60,10,2552,1398,68,94,152,14,1719,197,48,33,19,0,301,259,33,27,18,3,338,555,15,57,19,3,648,1363,220,176,737,15,2505,20092,2663,2652,2781,216,28402,605,121,86,788,12239,13837,90912,22234,17263,107710,14756,252878
LGA16100,12,143,86,1906,43,2189,0,0,0,12,0,13,19,0,0,0,0,25,6,0,3,3,0,8,28,14,11,23,3,77,232,143,94,1560,64,2084,3,0,3,0,0,6,3,0,0,8,0,14,47,9,7,100,3,166,6,0,0,11,0,25,7,0,0,0,0,12,3,0,0,0,0,7,40,33,17,642,16,746,18,17,0,35,3,70,0,0,0,0,0,0,9,6,0,8,3,26,3,3,0,0,0,3,6,0,7,10,0,29,39,3,11,4,0,53,13,3,4,3,0,22,13,3,0,6,0,23,8,0,0,0,0,17,46,30,15,328,6,425,4,0,0,8,0,13,4,0,0,0,0,4,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,7,0,21,130,31,11,42,3,221,3,0,0,55,621,684,596,271,160,3543,730,5301
LGA16150,96,1007,651,15284,343,17379,0,7,3,261,4,273,294,19,12,107,4,431,58,30,0,29,0,114,206,67,43,170,3,491,1186,1026,697,13571,317,16799,197,10,37,8,6,253,30,16,10,95,0,154,227,91,70,1135,32,1556,75,20,7,51,0,154,44,8,6,24,3,82,508,17,3,10,5,545,271,228,181,4815,78,5567,263,96,43,505,13,912,76,7,0,8,0,86,29,14,7,33,0,81,14,8,3,0,0,28,25,16,16,48,0,104,55,30,7,19,9,116,84,40,46,51,3,221,109,10,22,66,3,207,78,18,21,38,0,153,346,255,165,3212,57,4036,22,10,6,10,0,50,85,6,7,3,3,104,51,6,4,27,0,86,46,3,0,0,0,52,24,3,0,0,0,21,43,0,8,3,0,56,52,13,20,150,13,250,1168,206,103,398,19,1897,51,22,13,366,2251,2695,4821,1945,1257,29353,2964,40344
