LGA_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA17000,0,0,0,8,4,3,0,0,0,23,4,22,10,59,15,14,5,0,0,129,0,0,0,0,0,0,0,0,0,7,0,0,0,8,6,18,7,5,3,43,0,0,0,6,0,3,0,0,0,7,0,12,20,48,32,8,4,0,0,119,0,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,3,0,0,16,0,0,0,13,0,0,0,0,0,20,4,0,0,8,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,7,4,21,7,0,8,0,0,51,0,0,3,13,5,0,0,0,0,24,0,0,0,0,3,0,4,0,3,7,0,0,3,5,4,0,0,0,0,16,0,7,3,50,19,22,17,14,4,138,70,238,168,475,296,273,221,106,39,1891,1537,3325,3149,5961,3336,2749,1741,839,343,22987
LGA17040,0,0,0,7,8,3,0,0,0,16,0,0,3,15,5,10,4,0,0,41,0,0,0,12,0,11,0,4,3,32,0,0,3,11,11,18,34,17,3,90,0,0,0,0,3,4,0,0,0,10,0,4,9,12,5,10,7,3,3,50,0,0,0,0,5,0,9,9,0,17,0,4,3,7,4,4,0,0,0,23,0,0,13,40,0,0,0,0,0,48,0,8,5,19,7,4,3,0,0,45,0,0,0,0,0,0,4,3,0,10,0,0,0,4,8,3,0,0,0,12,3,5,10,21,13,15,10,4,0,74,0,0,3,8,7,4,0,0,0,21,0,0,0,0,3,0,0,3,0,15,0,0,0,5,3,0,0,0,0,6,0,3,8,51,51,59,104,61,22,350,57,157,200,474,321,291,253,151,98,1993,959,2507,2252,4693,3039,2896,2274,1144,460,20218
LGA17080,0,0,0,6,3,0,0,0,0,9,0,7,3,25,5,9,0,0,0,49,0,0,0,0,0,3,0,3,3,11,0,0,0,4,0,10,24,7,0,45,0,0,0,0,0,3,0,0,0,6,0,18,16,37,22,3,0,0,0,98,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,24,0,0,0,0,0,33,0,0,0,15,3,0,3,0,0,27,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,5,0,0,0,24,0,0,0,4,3,3,0,0,0,12,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,4,0,0,0,9,5,7,8,32,15,31,24,20,9,150,54,113,122,273,216,267,189,145,106,1485,809,1793,1437,3071,1933,2161,1781,987,430,14395
LGA17100,0,0,8,9,3,9,4,0,0,35,8,22,47,311,84,55,29,10,9,553,0,0,0,19,6,12,7,6,3,67,0,0,0,11,3,5,7,7,6,38,7,8,10,44,4,20,18,6,0,122,0,0,12,34,18,9,8,9,0,94,0,0,0,3,3,8,12,0,0,27,6,38,105,410,230,282,163,89,75,1399,3,6,23,115,18,21,11,3,0,206,0,0,34,162,23,11,4,0,0,233,0,0,0,0,0,3,4,0,0,10,0,0,4,14,28,17,14,5,0,76,4,14,9,31,3,4,0,3,0,77,0,14,85,302,238,192,66,46,10,960,0,0,0,0,0,0,0,3,0,6,0,0,3,13,0,3,0,0,0,19,14,49,107,380,178,156,126,93,50,1158,172,205,445,1171,287,232,146,94,53,2804,2318,3909,6297,14575,4676,3912,2355,1521,752,40312
LGA17150,0,3,0,38,48,38,11,6,3,145,11,61,74,490,220,209,76,23,9,1182,0,0,7,146,59,96,60,27,12,410,0,27,17,157,168,203,230,126,45,965,8,33,24,70,45,54,43,6,3,285,4,47,104,399,244,189,148,61,10,1214,0,0,0,16,52,53,28,26,8,180,0,3,5,54,30,34,19,0,0,146,0,10,4,58,11,27,13,0,4,126,11,23,47,244,70,27,15,0,0,432,0,0,14,106,151,164,118,34,7,599,3,3,0,38,44,32,17,4,0,131,15,73,87,247,154,93,68,18,10,765,0,8,17,156,93,92,41,6,3,420,0,8,16,67,66,34,50,19,8,262,0,8,11,67,20,7,5,3,0,121,45,227,279,1848,926,759,677,316,133,5212,392,780,845,2602,1300,1250,995,683,462,9316,13624,28029,25842,56401,30298,27277,19990,11056,5947,218464
LGA17200,3,3,16,81,49,30,8,6,0,201,3,26,155,1141,221,166,79,14,7,1820,3,3,21,365,35,82,62,28,10,616,4,0,69,504,148,130,89,39,13,1003,11,22,269,659,98,86,38,15,3,1211,7,6,115,709,168,137,83,24,3,1249,0,0,0,58,31,33,29,24,10,192,0,0,51,249,41,20,21,8,0,398,7,6,215,975,68,50,30,3,0,1359,34,43,791,5438,308,111,28,8,0,6771,0,0,5,59,19,30,16,10,0,137,0,3,24,240,80,42,35,13,4,450,49,97,448,1457,291,184,122,30,3,2685,7,23,418,921,229,286,150,60,17,2117,0,0,25,153,42,21,14,8,3,272,0,0,12,78,33,14,12,0,0,142,95,155,1462,7300,1020,825,817,532,190,12384,719,707,4708,12888,2861,2180,1410,739,309,26520,6977,7063,36965,102719,21469,16072,10462,4860,1790,208374
LGA17310,0,0,3,16,11,4,0,0,0,35,9,57,60,186,52,36,18,0,0,421,0,0,0,5,0,3,4,0,3,16,0,3,4,11,18,24,36,16,7,116,0,6,12,10,14,4,8,0,0,56,3,21,21,48,35,17,8,0,0,147,0,0,0,0,3,4,0,3,0,9,0,9,4,25,8,3,0,0,0,49,6,3,26,96,0,0,0,0,0,125,3,5,4,22,13,7,0,0,0,48,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,7,29,29,20,18,9,0,113,0,3,13,35,7,3,0,0,0,70,0,0,5,0,8,3,4,3,0,19,0,0,3,9,14,4,0,0,0,31,3,17,11,79,33,38,24,27,8,249,247,471,505,1164,675,773,623,452,220,5137,3906,8206,6949,14114,7626,7694,6161,3566,1437,59663
LGA17350,0,0,0,0,0,0,0,0,0,0,0,4,8,8,11,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,0,0,9,0,3,0,0,0,11,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,7,0,13,13,40,38,93,63,71,68,56,8,441,359,815,628,1159,820,857,783,470,210,6110
LGA17400,0,0,0,0,0,3,0,0,0,4,0,0,3,10,5,4,0,0,0,22,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,4,0,16,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,3,0,4,3,4,5,8,8,3,0,34,34,54,58,125,90,183,145,103,56,851,283,756,548,1093,822,1299,1137,518,176,6628
LGA17420,0,0,6,35,34,25,6,0,3,113,12,78,161,771,498,508,287,44,28,2386,0,3,9,117,63,140,61,23,11,429,4,29,20,87,103,119,123,53,19,553,16,91,73,139,95,96,68,17,4,597,32,247,370,774,503,317,135,48,12,2450,0,0,0,15,42,26,30,17,3,132,6,97,144,654,590,492,230,85,31,2334,6,3,33,224,65,96,52,9,0,488,8,18,50,179,54,38,7,0,0,352,0,0,0,6,7,14,10,4,0,39,0,0,5,74,102,38,21,9,4,248,34,149,265,223,111,69,41,7,0,899,0,11,20,203,149,128,34,4,0,561,0,6,4,25,24,30,23,11,3,128,0,0,23,70,65,34,17,3,0,214,50,292,361,1239,815,689,490,248,88,4267,223,527,531,1344,806,633,567,281,106,5021,9772,23856,20965,40133,22686,18615,13582,5649,2000,157243
LGA17550,0,0,5,38,38,25,12,6,0,125,8,40,36,174,89,76,31,7,4,467,0,0,0,19,3,9,13,11,6,62,4,7,3,36,56,83,151,123,67,524,0,3,3,9,12,13,10,0,0,54,0,16,23,94,59,50,42,22,3,311,0,0,0,3,5,10,20,13,4,59,0,3,0,8,3,10,6,0,0,29,0,0,0,22,5,0,3,0,0,33,6,10,24,73,25,22,3,0,0,168,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,4,3,0,0,13,8,31,24,70,61,72,58,10,8,330,0,3,3,14,4,0,0,0,0,35,0,3,3,19,10,35,33,23,10,140,0,0,3,14,10,16,12,3,0,64,13,44,42,343,155,131,170,118,51,1072,267,585,542,1422,1018,1274,1148,802,475,7526,4779,10546,8921,18485,11917,13583,12026,7535,3581,91371
LGA17620,0,0,0,0,3,0,0,0,0,6,4,4,3,54,10,8,3,0,0,84,0,0,0,0,0,0,0,0,0,0,0,3,0,5,7,4,6,6,3,31,0,0,0,0,0,0,0,0,0,3,0,3,3,11,8,5,5,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,3,3,0,20,0,3,6,24,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,4,0,0,0,3,7,0,0,0,0,11,0,0,9,30,9,3,3,3,0,60,64,176,124,393,196,206,175,110,54,1497,858,2054,1454,3427,1855,1849,1435,833,352,14112
LGA17640,0,0,0,3,0,3,0,0,0,4,0,0,0,3,3,4,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,5,8,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,8,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,3,8,3,0,42,37,55,74,127,126,130,117,79,13,750,455,888,728,1403,1189,1212,1072,559,184,7695
LGA17650,0,0,0,3,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,0,17,0,0,0,0,0,4,3,0,0,4,0,0,3,4,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,10,9,0,0,31,21,47,34,91,96,95,83,35,12,516,307,853,601,1156,892,985,787,337,118,6048
LGA17750,3,5,4,8,9,9,0,0,0,38,10,70,33,225,44,26,12,3,0,423,0,0,0,10,3,0,4,5,3,26,0,3,15,13,33,21,34,5,3,136,0,4,4,3,6,4,0,0,0,29,0,26,41,72,36,22,16,3,3,229,0,0,0,3,4,3,3,7,3,25,3,16,11,76,17,3,3,0,0,132,0,0,7,26,7,0,0,0,0,36,0,5,9,21,9,3,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,7,8,33,24,8,15,3,0,100,0,3,5,40,4,4,0,0,0,59,0,0,0,9,4,4,9,0,0,23,0,10,15,31,19,9,3,0,0,85,10,65,98,300,76,59,55,24,19,706,187,343,534,1013,523,561,437,298,132,4033,4206,8490,9313,16139,7551,7210,5124,2979,1372,62385
LGA17850,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,3,4,0,0,28,24,38,22,71,37,51,78,43,30,394,174,357,287,589,415,464,469,233,96,3092
LGA17900,0,0,0,0,3,0,0,0,0,3,0,3,5,21,8,0,3,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,0,0,0,0,4,3,12,13,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,6,20,34,24,6,103,42,85,68,202,117,125,123,64,8,839,406,820,582,1402,815,926,738,347,77,6107
LGA17950,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,3,3,0,0,14,18,39,23,67,46,48,54,31,10,337,204,373,253,584,365,375,329,177,60,2732
LGA18020,0,0,0,0,3,0,0,0,0,5,0,3,0,10,10,0,0,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,8,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,3,3,0,17,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,17,10,0,46,35,125,87,217,169,176,200,120,39,1174,466,1213,877,1656,1263,1461,1354,791,305,9384
LGA18050,0,0,0,21,19,5,3,0,0,48,0,21,39,218,63,46,22,3,0,407,0,0,7,135,12,48,60,25,45,341,0,4,12,171,46,48,42,22,4,350,12,21,16,58,16,33,32,23,9,212,10,53,217,1015,599,455,252,159,59,2816,0,0,0,15,16,13,5,12,4,58,0,0,3,20,10,3,3,5,0,54,0,0,6,41,14,6,7,0,0,79,4,13,19,121,34,13,9,0,0,208,0,0,0,18,11,4,3,0,0,32,0,0,3,39,15,10,7,8,5,70,35,103,82,537,106,74,30,10,0,979,0,3,10,55,19,9,8,0,0,104,6,0,4,87,19,11,6,3,0,138,0,0,4,24,20,15,9,7,0,78,42,134,523,2972,607,619,757,440,276,6373,344,489,588,3256,842,574,498,362,268,7219,4154,6554,6116,27639,8188,5670,4371,2611,1513,66812
LGA18100,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,6,0,0,19,17,29,23,53,47,64,70,40,17,375,187,431,296,646,479,583,590,309,148,3664
LGA18200,0,0,0,0,3,0,0,0,0,5,0,0,0,6,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,4,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,7,3,0,25,44,74,71,151,116,137,124,55,12,782,423,855,717,1425,947,1045,856,390,135,6794
LGA18230,0,0,0,6,6,8,0,0,0,15,8,31,29,87,39,12,11,3,0,213,0,0,0,3,0,3,0,0,3,14,0,0,5,8,9,16,19,8,6,70,0,3,0,5,3,5,5,0,0,21,0,5,18,26,12,16,8,6,0,95,0,0,0,0,0,3,0,0,0,9,6,15,19,56,28,6,3,3,0,142,0,0,3,13,0,0,0,0,0,23,0,3,0,10,5,3,0,0,0,31,0,0,0,0,0,0,4,0,0,10,0,0,0,3,3,0,0,0,0,7,0,3,4,25,3,16,9,6,3,67,0,3,4,37,7,3,0,0,0,56,0,0,0,0,0,0,5,0,0,10,0,19,12,31,9,8,7,0,0,82,11,18,14,89,32,41,37,19,4,265,211,424,458,1085,608,626,531,303,143,4391,3551,6821,6251,12595,6350,6185,4576,2671,1081,50077
LGA18250,0,8,4,42,59,48,31,42,21,260,15,47,76,496,123,76,48,6,3,897,0,0,3,74,13,33,23,11,16,176,0,9,8,52,62,38,33,20,8,222,29,87,48,171,66,54,39,13,5,503,6,24,51,271,117,97,70,26,11,668,0,0,0,8,11,15,3,6,0,51,3,0,10,71,29,14,23,10,3,157,18,27,107,595,71,103,64,14,4,1008,6,25,36,315,59,30,8,0,0,485,0,0,0,9,13,4,12,18,0,60,0,4,0,25,27,21,12,16,6,104,47,126,60,178,97,52,31,13,10,608,0,3,48,175,68,39,19,7,3,365,0,0,3,27,21,13,3,5,0,74,0,0,0,23,13,18,5,0,0,56,39,150,149,927,312,266,254,182,98,2385,215,358,389,1276,483,382,309,195,155,3762,4896,9510,8459,23691,10050,7522,5430,3022,1731,74302
LGA18350,0,0,0,11,8,12,4,0,0,36,0,12,20,54,22,20,13,0,0,136,0,0,0,8,5,16,25,13,5,73,0,3,5,22,39,70,102,66,19,332,0,14,9,5,10,4,3,7,0,45,0,12,18,61,31,33,52,14,6,229,0,0,0,0,5,0,7,6,3,26,0,3,0,6,0,4,3,4,3,25,0,7,4,21,12,3,3,3,0,42,3,3,3,23,10,3,0,0,0,51,0,0,0,7,3,6,5,0,0,31,0,0,0,3,0,0,0,0,0,7,0,13,24,34,39,30,42,15,3,188,0,4,13,29,9,0,0,0,0,59,0,5,0,3,4,12,29,11,3,70,0,0,0,17,5,6,3,3,0,39,3,17,21,110,100,144,168,83,40,677,114,353,258,654,511,484,546,324,135,3374,2358,6050,4929,9041,6470,6643,7096,3861,1428,47882
LGA18400,0,0,0,8,4,3,0,0,0,25,0,6,4,39,25,22,10,3,0,105,0,0,0,6,4,12,9,3,3,40,0,0,3,32,43,79,49,27,9,245,0,0,4,4,9,5,0,0,0,28,0,8,16,66,25,13,15,9,0,156,0,0,0,3,12,15,11,3,3,40,0,0,3,5,3,6,0,0,0,22,0,0,0,5,0,0,0,0,0,12,0,9,3,21,8,4,0,0,0,41,0,0,0,3,8,3,3,3,3,22,0,0,0,3,3,3,0,0,0,14,3,7,7,25,22,16,10,4,0,107,4,0,0,18,11,9,4,0,0,40,0,0,0,10,18,15,16,3,0,66,0,0,4,10,7,4,3,0,0,32,3,20,20,128,129,107,93,69,49,622,157,277,285,783,433,477,322,191,60,2988,3313,7370,6309,12277,6769,6014,4005,1808,652,48519
LGA18450,4,8,6,36,28,17,3,3,0,100,12,72,66,403,153,229,97,19,8,1056,0,3,3,81,27,85,52,58,51,354,0,15,18,91,267,307,378,268,101,1455,9,17,16,37,16,20,7,9,0,123,0,28,64,206,94,90,52,28,3,566,0,0,5,56,77,108,109,118,34,504,8,16,61,115,44,35,22,9,7,303,3,8,19,59,13,5,4,0,0,118,16,61,120,275,72,38,10,3,0,591,0,9,34,290,548,687,770,463,97,2896,0,13,14,116,194,75,86,47,5,554,16,52,108,225,111,73,73,15,10,681,8,34,185,275,137,190,68,29,13,938,0,12,7,42,100,108,90,58,25,435,0,8,18,52,20,12,6,0,0,124,134,416,519,1532,923,858,732,596,278,5978,517,849,1358,2782,1580,1622,1451,1077,535,11777,12034,24521,28534,51873,26461,24276,18688,11994,5253,203630
LGA18500,0,3,6,18,18,9,0,0,5,66,3,17,25,142,49,26,15,0,0,275,0,3,4,54,7,35,48,36,55,240,0,3,6,109,46,29,35,31,8,267,15,62,31,65,33,32,20,5,3,252,10,35,102,612,340,432,315,156,54,2052,0,0,0,8,12,11,12,6,0,50,0,3,0,42,14,10,10,5,3,77,3,5,0,30,13,9,0,0,0,60,0,4,17,73,15,8,13,0,0,126,0,0,0,8,3,3,0,3,0,17,0,0,0,21,15,0,9,4,3,52,38,129,96,289,136,71,58,15,8,838,0,3,11,57,27,10,3,0,0,104,0,0,0,62,11,5,9,3,0,87,0,0,5,20,26,19,11,3,4,88,25,88,172,1100,361,323,549,259,206,3082,219,352,452,1678,629,532,549,386,243,5047,2771,5701,5539,17265,7022,5833,5531,2981,1599,54240
LGA18710,0,0,0,12,13,5,3,0,0,29,0,0,0,10,3,3,3,0,0,23,0,0,0,0,0,4,0,3,0,10,0,3,0,17,18,13,11,0,0,55,0,0,0,3,4,0,0,0,0,12,0,3,7,10,9,6,3,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,23,10,16,5,0,0,70,0,0,0,5,3,0,0,0,0,11,0,0,0,0,6,0,0,0,0,15,0,0,0,4,3,3,0,0,0,15,0,4,9,34,32,32,21,15,3,157,49,114,114,262,176,202,154,69,28,1163,1010,2391,1756,3669,2497,2192,1596,730,296,16142
