LGA_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
LGA14350,0,3,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,5,0,5,0,5,..,32,0,32,0,31,..,3,0,3,0,3,..,57,0,57,0,59,..,18,0,15,0,15,..,0,0,0,0,0,..,11,10,20,0,23,..,0,0,0,0,0,..,4,0,4,0,3,..,54,6,57,0,60,..,315,49,357,10,366,..,60,4,64,1247,1304,12766,370,50,419,1254,14439,25255,..,..,..,..,25255,..,6,0,6,0,6,..,16,0,16,0,16,..,36,8,42,3,47,..,11,3,19,0,19,..,29,29,59,0,59,..,7,3,7,0,7,..,45,40,89,0,87,..,0,0,0,0,0,..,10,0,10,0,10,..,18,0,21,0,21,..,67,0,69,0,69
LGA14400,0,4,..,13,3,21,0,21,..,6,0,6,0,6,..,3,0,4,0,4,..,6,0,7,0,7,..,5,0,5,0,5,..,4,0,4,0,4,..,3,0,5,0,5,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,7,0,7,..,5,0,5,0,4,..,15,0,16,0,14,..,31,3,35,0,35,..,3,0,3,0,3,..,27,3,28,0,28,..,0,0,0,0,0,..,3,0,6,0,6,..,55,10,68,0,68,..,443,46,488,7,496,..,22,0,22,662,686,9753,470,48,516,665,10936,19210,..,..,..,..,19210,..,26,0,26,0,25,..,22,0,22,0,22,..,3,0,3,3,4,..,26,13,36,0,36,..,33,8,44,0,44,..,4,4,11,0,11,..,67,30,92,0,92,..,23,0,23,0,23,..,41,0,41,0,41,..,57,3,58,0,58,..,90,0,87,0,93
LGA14500,15,1590,..,11,0,11,0,11,..,3,0,6,0,6,..,559,43,601,10,613,..,117,7,120,0,119,..,235,18,257,0,259,..,3,0,3,0,3,..,50,3,51,0,51,..,92,0,92,0,92,..,209,10,220,3,224,..,101,0,108,3,106,..,23,0,23,0,23,..,430,13,440,3,449,..,436,19,456,0,456,..,124,3,126,0,129,..,121,26,147,0,147,..,51,4,54,0,54,..,183,21,198,0,198,..,1035,134,1170,25,1193,..,14766,2917,17683,113,17796,..,109,10,122,2138,2255,41346,14874,2924,17800,2252,61394,81070,..,..,..,..,81070,..,504,12,514,0,517,..,296,22,318,3,323,..,0,0,0,0,4,..,5125,783,5904,29,5934,..,7726,2468,10200,43,10246,..,296,83,379,3,376,..,13145,3333,16481,82,16558,..,96,3,106,0,102,..,288,3,293,3,294,..,472,8,483,3,487,..,645,10,660,3,665
LGA14550,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,14,0,14,0,14,..,9,0,9,0,9,..,0,0,0,0,0,..,5,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,25,7,29,3,31,..,119,13,129,3,130,..,18,0,18,366,380,3896,132,13,150,364,4411,7878,..,..,..,..,7878,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,5,3,8,0,8,..,5,0,6,0,6,..,3,0,3,0,3,..,14,6,19,0,19,..,0,0,0,0,0,..,5,0,5,0,5,..,7,3,17,0,17,..,43,0,39,0,39
LGA14600,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,10,0,10,..,0,0,0,0,0,..,6,0,4,0,4,..,0,0,0,0,0,..,12,3,16,0,16,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,8,0,8,..,57,9,66,0,71,..,3,0,3,321,324,2702,64,9,76,323,3099,5366,..,..,..,..,5366,..,0,0,0,0,0,..,12,0,12,0,12,..,11,0,11,0,9,..,5,3,7,0,7,..,3,3,4,0,4,..,0,0,0,0,0,..,11,3,17,0,17,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,3,0,3
LGA14650,0,97,..,224,41,260,0,262,..,22,4,27,0,27,..,19,3,27,0,28,..,146,13,162,0,160,..,52,5,55,0,55,..,97,4,105,0,103,..,54,8,55,0,62,..,101,8,111,7,110,..,51,7,59,0,58,..,184,3,184,0,184,..,37,3,37,0,37,..,374,21,394,8,402,..,198,14,214,3,214,..,57,4,66,0,66,..,142,36,178,3,177,..,12,0,14,0,14,..,72,20,91,0,91,..,657,128,781,22,805,..,4086,549,4638,65,4710,..,257,17,271,4137,4411,91960,4345,563,4909,4208,101077,180098,..,..,..,..,180098,..,171,4,178,0,173,..,185,8,196,8,202,..,42,0,42,0,42,..,279,100,385,3,385,..,456,109,572,3,572,..,36,12,47,0,49,..,775,222,1004,7,1009,..,115,17,131,0,131,..,206,9,214,4,215,..,217,3,219,0,219,..,425,12,436,6,447
LGA14700,3,198,..,22,0,27,0,27,..,4,0,4,0,4,..,184,23,204,3,206,..,94,3,93,0,93,..,93,8,101,0,101,..,3,0,3,0,3,..,33,3,33,0,33,..,77,0,78,0,77,..,68,5,71,0,71,..,104,0,104,0,103,..,29,0,29,0,29,..,277,8,285,4,284,..,225,19,244,0,243,..,47,4,51,0,51,..,87,18,102,3,108,..,15,0,15,0,15,..,56,8,64,0,64,..,515,74,595,10,603,..,4412,657,5064,52,5118,..,34,7,33,759,794,12403,4442,657,5101,813,18313,24896,..,..,..,..,24896,..,72,0,72,0,72,..,86,14,98,0,98,..,3,0,3,0,6,..,948,175,1125,3,1130,..,1320,349,1669,17,1687,..,101,19,125,0,125,..,2373,546,2914,22,2937,..,104,9,116,3,119,..,52,0,58,0,58,..,199,3,207,3,209,..,183,5,191,3,188
LGA14750,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,9,..,0,0,0,0,0,..,25,0,23,0,23,..,3,0,3,0,3,..,19,0,19,0,19,..,3,0,3,0,3,..,44,0,50,0,47,..,5,0,5,0,5,..,9,0,10,0,10,..,6,0,13,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,24,7,27,0,27,..,326,53,377,7,381,..,21,0,19,479,502,4753,348,54,394,484,5633,9366,..,..,..,..,9366,..,10,0,10,0,10,..,6,0,9,0,9,..,7,0,7,0,7,..,8,8,16,0,16,..,16,4,20,0,20,..,0,0,0,0,0,..,23,12,31,0,37,..,5,0,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,4,0,4,0,4
LGA14850,0,7,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,6,0,6,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,20,0,19,0,19,..,18,0,20,0,20,..,49,3,50,0,50,..,12,0,12,0,12,..,97,7,100,0,100,..,49,4,54,0,54,..,3,0,3,0,3,..,31,4,40,0,40,..,0,0,0,0,0,..,22,5,31,0,31,..,157,27,187,4,191,..,946,114,1063,16,1078,..,77,4,85,1642,1721,19353,1025,124,1143,1659,22160,37762,..,..,..,..,37762,..,28,3,28,0,28,..,20,0,20,0,20,..,65,3,64,3,67,..,30,7,36,0,36,..,62,25,88,0,88,..,3,3,10,0,11,..,95,30,131,0,130,..,7,0,7,0,7,..,56,3,62,0,62,..,99,3,105,0,105,..,201,3,199,3,203
LGA14870,0,0,..,4,0,6,0,6,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,11,0,16,0,16,..,3,0,6,0,6,..,24,0,24,0,24,..,3,0,3,0,3,..,49,3,49,0,49,..,11,0,11,0,11,..,3,0,3,0,3,..,17,3,21,0,21,..,0,0,3,0,3,..,12,8,23,0,23,..,57,10,68,3,70,..,334,47,387,3,388,..,37,0,39,993,1037,8976,371,52,423,1003,10401,17905,..,..,..,..,17905,..,7,0,7,0,7,..,29,10,43,0,45,..,3,0,3,0,3,..,29,21,46,0,44,..,17,9,24,0,24,..,0,0,0,0,0,..,43,30,71,0,72,..,20,3,21,0,21,..,16,0,16,0,16,..,20,0,22,0,22,..,39,0,37,0,44
LGA14900,3,120,..,891,167,1061,14,1073,..,320,21,343,7,353,..,212,72,282,0,285,..,397,80,476,4,476,..,139,23,159,0,163,..,968,80,1044,18,1064,..,1937,594,2529,30,2563,..,594,22,618,3,617,..,422,55,476,3,483,..,1300,42,1338,12,1355,..,145,25,166,7,176,..,2459,140,2599,25,2625,..,2269,468,2731,22,2756,..,424,41,463,3,465,..,270,84,349,5,355,..,677,127,803,7,809,..,3329,1880,5213,27,5241,..,6981,1877,8862,159,9019,..,43183,10782,53963,593,54554,..,295,82,377,6415,6796,41627,43473,10865,54340,7008,102975,84511,..,..,..,..,84511,..,73,0,73,0,73,..,18031,4973,23007,244,23247,..,20,0,22,3,22,..,1781,875,2660,13,2670,..,1745,903,2642,7,2651,..,533,195,726,10,733,..,4064,1973,6031,24,6060,..,1375,232,1603,18,1618,..,71,0,71,0,74,..,436,28,460,3,464,..,267,11,274,0,274
LGA14920,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,42,0,45,0,46,..,11,0,6,347,351,3422,45,3,51,348,3815,6910,..,..,..,..,6910,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,6,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,9,0,10,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,3,0,3,0,3
LGA14950,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,3,3,0,3,..,16,7,23,4,24,..,3,0,3,143,146,1411,16,7,24,140,1579,2821,..,..,..,..,2821,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,3,7,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,11,3,14,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,3,0,3,0,3
LGA15050,3,24,..,3,0,3,0,3,..,9,0,4,0,4,..,3,0,3,0,3,..,48,8,58,0,62,..,21,8,32,0,32,..,21,0,21,0,21,..,7,0,7,0,11,..,56,0,56,0,56,..,15,3,18,0,18,..,112,3,117,7,121,..,15,3,19,0,19,..,200,9,212,7,210,..,58,6,61,0,61,..,15,0,18,0,18,..,32,12,42,0,45,..,3,3,3,0,3,..,28,13,37,0,37,..,296,53,350,10,364,..,1399,227,1621,28,1647,..,78,3,80,1837,1918,36002,1476,226,1703,1863,39571,70392,..,..,..,..,70392,..,145,5,146,0,146,..,83,11,93,3,97,..,24,0,24,0,24,..,103,59,161,0,164,..,108,66,177,4,175,..,0,4,3,0,3,..,215,126,337,7,342,..,13,0,17,3,23,..,35,0,35,0,35,..,58,0,59,0,59,..,127,3,128,5,133
LGA15240,0,18,..,0,0,0,0,0,..,14,0,14,0,14,..,4,0,4,0,4,..,20,0,20,0,20,..,13,0,13,0,13,..,0,0,0,0,0,..,11,0,8,0,8,..,46,0,46,0,46,..,22,0,22,0,22,..,70,0,70,0,70,..,10,0,10,0,10,..,141,0,143,0,143,..,58,5,64,0,64,..,3,0,3,0,3,..,52,7,56,0,59,..,0,0,0,0,0,..,17,3,21,3,25,..,197,29,225,8,233,..,1134,117,1247,34,1278,..,112,3,111,3074,3192,41746,1241,116,1361,3111,46215,81652,..,..,..,..,81652,..,52,0,52,0,52,..,58,0,64,4,63,..,53,0,53,4,54,..,73,25,97,0,102,..,78,26,107,0,108,..,4,0,3,0,3,..,159,51,208,3,216,..,32,3,39,0,37,..,120,0,120,0,117,..,64,9,71,0,73,..,244,9,250,10,260
LGA15270,0,9,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,10,0,10,0,10,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,6,0,6,0,6,..,3,0,3,0,3,..,23,0,23,0,23,..,4,0,4,0,4,..,36,0,36,0,36,..,18,3,17,0,17,..,0,0,0,0,0,..,13,3,14,0,16,..,0,0,0,0,0,..,10,3,8,0,8,..,53,9,55,0,59,..,290,41,336,4,342,..,26,0,30,1151,1179,10456,317,44,366,1155,11975,21047,..,..,..,..,21047,..,32,0,32,0,32,..,16,0,15,0,15,..,13,0,13,0,13,..,8,6,13,0,15,..,23,11,38,0,38,..,0,3,3,0,3,..,36,22,54,0,51,..,10,0,13,0,13,..,12,0,11,3,15,..,13,3,13,0,20,..,47,0,50,0,50
LGA15300,0,4,..,0,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,3,0,3,0,3,..,9,6,18,0,18,..,5,0,5,0,5,..,0,0,0,0,0,..,15,0,15,0,20,..,4,0,4,0,4,..,28,0,28,0,32,..,0,0,0,0,0,..,8,3,12,0,12,..,3,4,11,0,9,..,3,0,3,0,3,..,6,0,6,0,6,..,43,4,45,0,45,..,199,25,226,3,228,..,30,7,30,761,796,5502,230,25,258,763,6520,11075,..,..,..,..,11075,..,28,3,30,0,30,..,3,0,3,0,5,..,26,0,26,0,26,..,12,3,18,0,19,..,13,5,22,0,19,..,0,0,0,0,0,..,28,11,43,3,44,..,5,0,5,0,5,..,10,0,10,0,10,..,12,0,12,0,12,..,14,3,18,0,18
LGA15350,0,54,..,8,0,10,0,10,..,3,0,3,0,3,..,34,0,37,0,41,..,42,3,49,0,49,..,69,6,77,0,77,..,0,0,0,0,0,..,17,0,21,0,19,..,24,0,24,0,24,..,24,0,28,0,28,..,47,0,44,0,47,..,8,0,8,0,8,..,104,4,106,0,107,..,182,7,190,3,189,..,7,0,7,0,7,..,43,4,54,0,51,..,13,6,17,0,17,..,26,3,33,0,33,..,281,20,301,5,309,..,2168,223,2391,24,2421,..,40,3,42,986,1027,11847,2210,226,2434,1012,15290,22190,..,..,..,..,22190,..,78,3,76,0,76,..,41,0,38,0,38,..,0,0,0,0,0,..,216,34,249,0,254,..,484,132,617,3,624,..,29,8,30,0,30,..,724,178,899,10,906,..,61,3,62,0,62,..,101,0,101,0,105,..,312,14,324,3,325,..,237,4,242,3,242
LGA15520,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,8,0,8,..,0,0,0,0,0,..,8,0,8,0,8,..,3,0,3,0,3,..,25,0,24,0,24,..,3,0,3,0,3,..,0,0,0,0,0,..,12,4,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,14,3,19,0,22,..,126,11,138,0,146,..,19,0,19,440,457,5279,140,11,158,440,5881,10488,..,..,..,..,10488,..,8,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,5,3,10,0,10,..,17,0,22,0,22,..,3,0,3,0,3,..,25,8,28,0,28,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,7,0,7,0,7
LGA15560,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,6,0,6,0,6,..,4,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,19,0,16,..,56,7,61,3,65,..,3,0,3,186,188,1561,59,7,63,189,1812,3309,..,..,..,..,3309,..,4,0,4,0,4,..,10,0,10,0,10,..,3,0,3,0,3,..,4,3,4,0,4,..,5,7,10,0,10,..,0,0,0,0,0,..,9,8,13,0,13,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3
LGA15650,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,14,0,14,0,14,..,0,0,0,0,4,..,27,0,27,0,27,..,6,0,6,0,6,..,50,0,50,0,49,..,5,0,6,0,6,..,9,0,9,0,9,..,11,0,13,0,18,..,0,0,0,0,0,..,0,0,3,0,3,..,76,13,86,0,87,..,245,36,276,6,284,..,22,0,22,490,510,7046,270,33,300,492,7837,14181,..,..,..,..,14181,..,19,0,19,0,19,..,8,0,8,0,8,..,3,0,3,0,3,..,17,9,28,0,28,..,29,4,30,0,30,..,0,0,0,0,0,..,45,16,63,0,63,..,3,0,3,0,3,..,11,0,11,0,11,..,6,0,6,0,6,..,16,0,15,0,15
LGA15700,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,4,0,4,0,4,..,3,0,3,0,3,..,14,0,17,0,17,..,4,0,4,0,4,..,30,0,25,0,25,..,18,0,20,0,20,..,0,0,0,0,0,..,15,0,15,0,17,..,0,0,0,0,0,..,4,0,3,0,3,..,40,3,46,3,45,..,237,22,254,5,261,..,28,0,27,710,736,8794,262,17,282,712,9794,17278,..,..,..,..,17278,..,3,0,3,0,3,..,10,0,10,0,10,..,33,3,38,0,36,..,4,3,9,0,9,..,17,0,13,0,13,..,0,0,0,0,0,..,18,4,26,0,26,..,5,0,9,0,9,..,18,0,18,0,18,..,30,3,33,0,33,..,28,0,26,0,26
LGA15750,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,6,0,6,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,0,0,..,21,3,27,0,27,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,18,0,18,0,18,..,100,12,111,0,111,..,15,0,15,720,734,5710,114,11,130,720,6559,11424,..,..,..,..,11424,..,10,0,10,0,10,..,0,0,0,0,0,..,3,0,0,0,0,..,9,4,19,0,19,..,6,4,13,0,15,..,0,0,0,0,0,..,18,10,29,0,35,..,0,0,0,0,0,..,8,0,8,0,8,..,8,0,8,0,8,..,15,0,16,0,16
LGA15800,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,0,0,0,..,0,0,0,0,0,..,8,0,7,0,7,..,4,0,8,0,8,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,17,4,17,..,62,11,69,4,73,..,11,0,11,293,299,2576,72,11,81,292,2953,5095,..,..,..,..,5095,..,3,0,3,0,3,..,0,0,0,0,0,..,7,0,7,0,7,..,0,3,3,0,3,..,3,3,9,0,9,..,0,0,0,0,0,..,9,3,14,0,14,..,0,0,0,0,0,..,3,0,3,0,3,..,4,3,4,0,4,..,10,0,10,0,10
LGA15850,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,6,3,8,0,13,..,34,12,45,0,43,..,5,0,5,300,308,2877,45,11,54,299,3226,5752,..,..,..,..,5752,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,8,0,12,0,12,..,3,0,0,0,0,..,0,0,0,0,0,..,15,5,15,0,15,..,8,0,8,0,8,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0
