LGA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA15850,11,19,23,25,18,16,3,0,0,115,7,8,21,11,19,24,15,3,0,112,106,194,458,488,566,534,196,39,13,2592
LGA15900,138,372,696,546,466,350,91,26,4,2685,116,286,554,486,460,297,89,36,3,2328,3786,8749,18194,15468,14599,10090,1890,242,27,73034
LGA15950,24,72,305,211,172,127,49,5,0,967,25,86,499,368,259,187,115,24,6,1575,543,2523,13792,10057,6446,4678,2068,303,39,40445
LGA15990,248,504,1023,1049,1059,676,223,30,3,4815,242,456,1164,1535,1568,837,319,76,26,6223,6049,9818,24664,31693,31017,19477,6067,805,97,129685
LGA16100,3,6,13,17,7,8,3,0,0,63,5,11,17,27,37,22,19,4,0,140,141,157,326,406,543,430,214,27,7,2241
LGA16150,52,80,201,146,138,88,26,3,0,723,46,45,87,111,128,85,37,12,0,557,1068,1573,3973,3874,3708,2775,728,102,9,17805
LGA16200,15,50,43,44,41,33,10,0,0,249,10,37,40,36,42,31,12,3,3,219,379,513,1065,1103,1327,1068,311,63,17,5840
LGA16260,85,302,873,767,784,496,118,9,3,3434,142,485,1705,1300,995,660,203,31,10,5533,3246,8837,32450,26306,19521,12793,3056,326,53,106593
LGA16350,214,474,972,771,693,499,117,13,0,3750,302,602,1207,1086,1010,669,160,28,3,5061,5812,10145,22677,21017,18734,13555,2700,203,20,94859
LGA16380,55,130,250,254,280,196,59,5,0,1236,75,72,134,189,216,185,68,24,5,975,1881,2031,4743,6099,7472,5867,1358,181,23,29655
