LGA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA10050,11898,12578,24473,2014,2260,4273,4254,4761,9014,1589,1775,3368,333,340,676,66,62,132,101,91,189,49,50,102,47,41,88,70,97,165,0,0,0,6506,7223,13727,484,603,1091,164,183,349,9166,10268,19440,1909,1977,3884,22973,24825,47795
LGA10130,6707,7047,13750,2040,2182,4229,2137,2495,4624,103,126,229,349,406,748,25,25,55,40,41,85,20,21,43,35,37,65,36,30,60,3,0,3,2737,3178,5910,656,704,1363,87,71,162,5522,6145,11664,1151,1208,2364,13381,14398,27785
LGA10250,10085,10890,20968,2178,2328,4506,3593,3975,7566,215,243,464,731,831,1567,40,41,82,84,97,183,41,37,79,34,39,72,47,57,100,0,0,0,4791,5322,10113,375,389,764,134,132,266,7474,8179,15652,1500,1594,3090,19058,20657,39714
LGA10300,669,609,1274,120,120,238,62,56,112,77,81,159,12,11,26,4,6,10,0,4,8,0,0,0,0,3,3,0,0,0,0,0,0,156,163,317,12,20,30,9,3,13,295,305,604,131,131,265,1093,1042,2138
LGA10470,9605,9773,19380,2365,2585,4948,4278,4601,8886,60,64,121,169,186,354,22,35,53,51,34,90,15,16,31,21,19,41,44,40,85,0,3,4,4665,5000,9663,291,315,607,115,91,203,7427,7992,15418,2325,1628,3950,19360,19397,38755
LGA10550,8952,9121,18070,1722,1934,3653,2153,2398,4551,470,468,941,170,182,358,37,31,68,68,82,150,22,31,55,34,43,70,294,328,623,0,0,0,3251,3562,6812,135,173,309,84,71,155,5190,5741,10929,1357,1421,2774,15497,16287,31779
LGA10600,3348,3476,6827,624,748,1373,987,1103,2092,66,76,145,173,136,303,11,22,37,30,26,57,4,3,5,20,22,48,8,10,18,0,0,0,1301,1403,2702,64,86,148,37,55,92,2029,2285,4314,445,473,923,5821,6238,12058
LGA10650,2269,2264,4533,522,535,1057,181,185,365,386,402,793,71,69,131,10,14,23,22,22,43,8,9,22,11,12,21,0,3,3,0,0,0,686,716,1400,44,61,106,15,14,32,1269,1325,2600,436,423,862,3978,4014,7990
LGA10750,86357,88421,174777,7489,7793,15279,37750,37855,75610,436,371,812,835,791,1627,227,204,430,217,172,391,46,51,101,90,66,159,143,136,284,9,0,8,39765,39648,79409,9878,10758,20641,741,597,1340,57874,58797,116668,9667,8933,18597,153895,156144,310038
LGA10800,1749,1700,3454,344,349,695,231,242,475,16,16,40,37,32,68,9,7,13,15,8,24,4,3,6,6,3,10,14,20,32,0,0,0,331,334,660,28,39,66,0,3,4,701,729,1429,347,370,722,2800,2799,5599
