LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA12000,21,15,4,7,6,3,3,0,0,62,23,8,0,34,17,4,0,5,0,94,87,19,144,61,37,26,38,48,12,468,9,0,0,8,10,8,3,7,0,40,19,0,4,6,17,3,4,3,0,54,0,0,0,0,3,0,0,0,0,8,18,7,3,7,4,8,4,10,4,61,218,216,176,135,107,48,52,88,21,1063
LGA12150,21,21,0,11,10,0,0,3,0,58,13,3,3,20,13,4,0,0,0,70,74,10,86,51,38,18,21,38,9,339,8,4,0,7,5,3,0,4,0,26,16,0,3,5,0,6,5,3,0,34,0,0,0,0,0,0,0,0,0,7,20,3,3,5,8,6,3,10,10,66,211,162,99,106,88,40,24,64,23,817
LGA12350,47,60,14,29,21,11,0,10,0,196,52,38,12,66,31,15,7,6,3,232,222,62,402,161,115,91,90,158,26,1338,15,3,5,15,20,23,4,15,0,97,26,15,6,35,25,13,7,24,0,144,5,3,3,3,9,3,3,4,0,26,37,11,22,21,9,16,12,20,7,157,524,600,488,375,273,185,129,261,40,2875
LGA12380,484,608,567,448,654,290,306,294,80,3746,698,741,815,1175,1072,539,360,448,119,5981,836,487,4310,1323,1296,622,955,1001,247,11076,48,55,85,121,198,91,67,124,8,803,127,119,179,296,404,150,156,209,39,1681,120,213,175,103,176,93,108,134,48,1166,126,187,269,189,253,126,192,292,266,1908,5680,14957,8164,5858,8028,3833,3258,4105,1334,55209
LGA12700,36,45,19,33,40,4,5,6,0,193,42,48,22,45,46,15,10,12,3,244,162,35,460,120,109,54,123,107,13,1195,9,3,8,3,14,6,0,11,4,61,11,4,9,17,40,8,7,11,0,112,0,5,0,3,3,0,0,3,0,18,23,16,17,4,13,3,10,18,5,112,402,515,560,267,323,115,166,195,34,2562
LGA12730,51,34,8,26,21,3,3,9,3,157,34,32,16,76,30,7,3,4,0,214,162,41,303,103,98,47,89,133,14,989,19,4,3,5,15,6,5,13,0,72,7,7,3,19,20,10,10,16,3,97,0,0,3,0,5,5,0,10,0,20,16,8,12,21,15,17,19,27,12,145,416,496,356,287,246,111,119,243,42,2324
LGA12750,104,159,57,101,87,31,13,33,13,595,106,119,65,177,128,54,17,38,14,730,429,155,1325,536,362,295,238,355,52,3758,16,17,20,38,58,38,15,45,0,243,51,35,22,80,74,65,9,46,3,387,11,11,11,11,26,10,4,8,0,82,43,33,49,46,36,45,9,59,32,361,1100,1925,1644,1180,951,601,328,637,146,8514
LGA12850,320,449,387,375,538,194,181,181,43,2672,479,570,650,1045,962,411,276,278,107,4785,845,495,4364,1343,1254,629,1152,1103,248,11447,56,51,84,95,230,121,103,143,15,903,126,83,153,273,408,177,207,191,34,1660,60,129,90,78,153,68,92,93,17,787,90,149,218,157,185,137,221,258,201,1614,3409,8655,6722,4323,5796,2485,2661,2769,902,37727
LGA12870,39,41,21,27,18,10,9,7,3,171,54,45,16,70,29,11,4,23,3,256,223,41,469,143,109,68,132,186,24,1389,15,6,3,16,28,15,0,19,0,94,19,8,4,22,20,19,3,25,0,130,9,3,0,0,3,0,3,0,0,23,27,17,24,24,16,13,20,33,5,177,514,515,564,346,268,146,183,319,43,2898
LGA12900,51,40,13,26,16,8,3,8,0,169,50,20,12,56,30,7,3,9,7,196,169,51,329,94,114,79,91,105,18,1048,14,0,4,8,11,17,0,13,3,74,20,7,9,20,33,7,8,13,0,116,3,3,3,3,8,3,4,4,3,28,35,5,15,20,13,16,9,18,16,142,478,516,399,252,254,145,125,185,47,2402
