LGA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA14700,193,286,76,84,158,73,13,19,14,918,172,231,87,119,207,94,19,27,7,969,218,138,415,144,169,116,43,71,17,1334,12,19,12,9,26,9,3,8,0,99,54,60,17,39,59,44,7,12,3,288,36,91,15,11,30,16,3,6,3,206,32,50,10,9,37,22,0,6,32,201,3130,7547,946,869,1864,864,157,259,237,15866
LGA14750,27,39,11,23,16,4,0,3,3,133,40,21,22,46,39,9,7,14,3,197,179,65,414,109,136,48,120,154,33,1265,7,3,10,16,15,11,7,25,0,93,14,7,6,19,37,11,9,18,0,118,3,3,8,0,6,3,0,10,0,28,32,15,13,13,14,17,24,38,9,174,413,582,513,254,300,113,175,305,53,2697
LGA14850,99,217,62,144,105,39,9,29,9,718,157,176,104,302,212,64,18,60,8,1097,466,216,1492,662,536,334,320,505,48,4578,26,14,23,66,70,65,25,72,4,364,46,32,34,88,131,64,35,60,7,497,13,22,7,13,26,19,12,15,0,119,52,42,36,35,52,41,31,68,29,394,1394,3422,1919,1703,1500,732,477,908,142,12194
LGA14870,53,83,29,56,49,13,12,17,4,315,65,59,71,120,81,21,12,20,8,451,193,102,863,314,254,119,396,204,32,2465,11,4,15,28,35,19,9,32,0,154,15,9,24,36,49,12,24,18,0,198,5,7,3,3,8,7,7,9,0,47,23,14,26,27,21,21,35,35,19,222,510,875,1074,652,619,233,508,346,74,4889
LGA14900,560,724,513,485,800,256,257,224,76,3900,773,908,685,1235,1274,504,336,268,120,6101,1466,738,5967,1758,1955,904,1575,1363,307,16019,93,65,78,150,326,134,105,135,25,1111,192,137,196,325,531,207,209,227,39,2064,95,186,102,80,200,71,100,74,27,936,137,181,221,151,281,162,192,266,258,1852,5745,12835,8711,5592,8059,3229,3375,3046,1145,51731
LGA14920,47,30,4,25,16,4,0,7,0,138,39,22,4,32,21,10,3,9,0,142,124,27,215,79,72,24,119,90,15,758,17,0,5,10,17,4,8,4,0,64,17,6,12,20,21,4,13,15,0,99,0,7,0,3,4,0,4,4,0,23,20,9,8,6,15,8,17,23,4,114,340,313,258,199,181,75,166,157,22,1720
LGA14950,22,5,0,7,4,4,0,6,0,56,30,9,7,10,14,3,3,0,0,76,102,13,77,45,32,18,30,30,7,358,4,0,0,0,7,0,5,3,0,30,14,7,0,10,7,3,3,3,0,47,3,0,0,0,0,0,0,0,0,9,3,5,9,0,0,3,3,3,0,32,237,154,102,79,80,32,45,55,14,806
LGA15050,235,400,179,222,216,73,42,43,12,1429,309,419,308,553,461,153,74,64,30,2369,803,458,3963,1211,1219,613,1164,774,158,10369,53,19,46,74,155,117,51,91,0,599,77,56,57,133,222,75,54,69,14,742,20,50,18,27,54,16,15,24,0,230,45,61,68,89,59,49,65,85,62,597,2388,5333,4849,2677,2825,1258,1531,1241,313,22416
LGA15240,198,423,90,244,184,89,31,68,8,1335,253,337,152,529,278,141,35,86,15,1832,998,452,2880,1195,802,681,605,944,106,8656,64,40,46,73,122,131,32,98,3,615,108,75,69,201,195,126,56,111,10,954,42,38,14,24,47,22,8,22,3,212,98,85,90,127,108,128,101,172,65,961,2364,4478,3446,2694,2064,1440,889,1578,258,19215
LGA15270,86,105,39,56,45,20,20,12,0,388,92,70,62,120,82,40,19,29,3,519,347,100,1095,278,243,143,497,263,35,3000,25,13,5,17,45,28,28,36,4,193,46,14,27,43,51,28,21,22,4,258,11,4,4,6,17,8,6,10,0,63,49,29,37,27,38,33,42,41,24,311,950,1205,1339,645,621,339,662,447,77,6284
LGA15300,62,46,11,43,27,11,3,6,3,207,80,37,16,78,59,23,5,10,0,317,203,56,421,143,117,70,122,130,16,1277,14,4,4,15,22,7,10,15,0,97,28,7,5,23,28,12,6,18,3,128,10,9,0,0,9,3,4,0,0,34,40,13,20,27,25,16,25,21,19,203,670,681,494,367,372,154,181,214,51,3187
LGA15350,178,246,34,74,128,79,8,15,10,757,155,173,44,90,124,58,7,18,8,670,141,77,232,93,85,72,21,31,15,774,13,11,6,13,15,5,0,4,0,74,39,36,13,24,51,37,4,4,6,207,41,74,6,11,29,15,3,7,0,185,26,57,4,13,33,9,0,10,24,177,2901,5108,504,572,1240,689,62,131,238,11449
LGA15520,72,57,14,31,28,12,0,19,0,245,60,49,19,53,46,20,6,17,0,268,285,42,363,106,91,82,86,138,15,1216,16,8,0,10,18,4,3,18,0,80,21,7,8,27,12,9,4,16,0,101,3,4,3,4,0,3,0,3,0,18,44,19,11,21,9,12,11,23,12,164,691,632,447,299,256,154,119,272,32,2900
LGA15560,30,18,3,8,6,3,0,0,0,75,19,7,7,13,15,0,0,4,0,72,100,10,108,38,39,19,37,52,4,409,3,0,0,3,3,3,0,5,0,26,18,0,0,9,15,0,4,4,0,56,6,0,0,0,0,0,0,0,0,15,9,4,7,4,3,3,4,11,3,55,254,147,132,92,110,40,59,100,8,934
LGA15650,50,61,30,36,32,12,8,5,0,239,52,38,62,61,47,21,28,15,3,339,159,67,888,186,194,85,414,181,24,2192,9,0,10,18,25,21,10,33,0,125,15,12,21,20,43,10,19,15,0,153,10,3,5,3,12,0,3,3,0,37,12,3,16,19,15,18,25,35,13,153,406,664,1083,393,413,187,535,314,52,4042
LGA15700,47,68,17,62,30,11,3,7,0,241,46,55,28,134,68,14,7,18,6,386,188,86,590,306,155,107,126,222,35,1819,15,5,11,15,27,16,9,27,3,127,18,8,18,43,47,28,12,20,4,196,10,15,3,7,3,0,0,7,0,48,23,20,22,31,21,17,11,44,14,208,482,923,720,670,416,214,172,365,79,4039
LGA15750,44,53,13,33,22,0,12,10,3,188,56,40,28,76,49,7,7,10,4,277,207,79,477,129,137,57,163,124,29,1412,16,7,9,8,29,9,9,9,3,96,22,6,13,23,20,16,14,19,0,139,4,9,0,0,5,5,7,3,0,30,35,10,13,14,22,20,34,47,20,210,551,711,578,327,359,140,254,242,67,3229
LGA15800,14,23,5,15,15,3,0,9,0,82,22,13,13,34,12,7,0,9,0,115,124,18,176,57,56,24,40,72,3,567,11,0,7,7,12,3,4,11,0,53,18,5,3,9,7,8,3,13,5,69,4,3,0,0,3,0,0,6,0,19,24,3,3,8,3,4,7,18,12,85,287,247,224,150,128,59,56,136,17,1301
LGA15850,25,22,5,11,15,9,3,0,3,93,38,22,4,34,21,12,5,7,3,147,120,37,216,75,61,25,76,60,6,689,15,4,0,10,5,7,6,3,0,52,23,3,3,6,14,3,8,5,0,69,7,0,0,5,6,0,0,0,0,12,19,7,4,5,4,0,6,9,5,73,330,307,246,173,171,61,113,98,20,1523
LGA15900,479,942,306,465,526,182,69,91,50,3099,607,916,541,1062,900,334,109,182,54,4715,1351,870,5590,2109,1927,1024,1192,1205,202,15465,61,62,72,160,225,138,57,112,5,888,127,130,119,237,376,163,86,153,14,1425,49,124,47,68,110,37,24,45,9,508,72,190,108,146,144,88,74,133,126,1083,5657,18571,7514,5686,6105,2611,1764,2283,645,50843
LGA15950,493,630,123,159,355,160,16,37,25,1992,457,580,169,230,390,185,25,46,27,2101,394,289,718,230,317,205,50,92,38,2334,30,18,13,23,63,23,3,7,4,185,116,125,31,65,172,67,15,22,10,623,93,171,31,27,86,29,9,10,6,469,75,141,32,30,80,39,5,14,73,480,7566,16470,1724,1649,3930,1787,205,434,548,34300
LGA15990,1815,2552,622,923,1409,627,137,229,103,8419,1662,1754,884,1376,1700,790,165,255,115,8707,2880,1297,7898,1902,2000,1294,796,1147,256,19462,156,124,96,145,326,172,40,97,11,1172,529,449,243,429,916,428,102,144,53,3289,254,375,104,124,304,132,37,73,36,1437,255,413,187,234,376,208,92,152,218,2130,19944,33621,11582,7937,11787,6061,1799,2900,1464,97102
LGA16100,16,31,6,15,7,4,5,4,3,89,11,14,12,17,20,13,6,3,0,99,106,20,208,54,33,17,86,51,16,591,15,0,3,10,9,6,3,9,0,55,12,0,3,17,9,5,12,10,0,69,0,3,0,0,3,0,0,0,0,9,25,7,0,5,3,9,8,10,5,69,245,246,242,128,110,58,125,100,28,1287
LGA16150,114,220,50,128,133,48,22,22,8,742,165,185,118,281,231,66,20,48,3,1122,465,201,1638,584,544,311,374,376,43,4545,30,8,22,31,68,63,14,32,6,281,47,31,28,80,137,51,29,44,8,443,15,35,5,22,19,13,9,15,0,131,30,36,33,63,44,45,31,74,26,378,1409,3577,2039,1445,1513,707,547,695,136,12059
LGA16200,50,67,14,42,14,3,7,8,0,202,63,54,29,65,55,11,13,12,3,310,279,86,537,207,164,91,224,136,30,1744,12,3,7,19,30,13,10,11,0,122,26,10,9,31,36,21,17,11,6,165,10,4,7,4,4,4,0,0,0,34,26,13,12,26,21,30,26,25,14,187,638,788,641,434,395,188,301,222,65,3664
LGA16260,783,1101,595,513,966,385,255,275,76,4949,962,1135,827,1080,1298,580,292,361,99,6634,1337,741,4073,1291,1514,725,697,841,207,11421,73,59,60,119,250,94,51,73,9,785,207,208,178,286,538,205,134,145,27,1932,166,435,129,112,232,109,62,85,33,1369,160,287,158,123,236,113,93,153,191,1512,11037,31277,8494,6259,11684,4970,2785,3473,1387,81364
LGA16350,540,874,311,567,660,193,152,137,56,3498,925,973,652,1416,1385,471,258,240,95,6408,2213,1166,8399,2568,3283,1379,2399,1817,373,23603,113,77,87,172,425,178,113,164,13,1336,239,174,180,384,642,209,245,218,39,2326,77,111,69,82,192,63,86,105,26,807,132,157,182,201,309,152,266,231,188,1823,6374,12433,10538,6772,8905,3332,3948,3345,947,56596
LGA16380,221,454,88,217,272,82,21,41,15,1403,290,344,178,509,376,182,30,86,28,2022,878,419,2834,1175,962,638,508,797,97,8307,29,28,38,82,129,102,29,87,4,531,98,53,48,178,197,131,39,91,8,842,23,46,17,23,56,17,3,18,3,212,65,76,93,96,85,81,56,96,59,703,2337,5457,3450,2682,2510,1366,727,1286,265,20071
LGA16400,178,357,142,210,200,60,25,34,23,1232,302,317,226,431,351,113,48,67,30,1892,808,431,3275,1075,880,479,730,677,119,8478,47,17,33,90,112,89,40,75,8,521,79,59,65,127,146,89,53,83,6,705,20,30,17,22,31,19,17,22,6,191,54,67,61,97,77,65,60,100,45,628,2183,3736,3995,2355,2189,1036,1012,1155,270,17930
LGA16490,297,313,120,194,294,65,29,38,21,1370,382,387,221,370,527,136,39,60,44,2161,759,351,2209,639,910,325,359,405,110,6066,35,35,24,59,132,51,16,43,7,395,99,70,30,73,184,50,24,43,11,578,40,44,21,16,44,11,11,10,6,207,55,51,53,50,87,28,30,62,57,479,3651,5228,2929,1970,3217,905,569,792,413,19668
LGA16550,595,917,295,415,554,296,70,85,39,3268,686,791,363,649,766,317,68,172,45,3852,916,470,3095,858,804,406,352,539,128,7566,46,44,31,75,131,56,20,39,0,445,143,167,93,186,337,173,41,78,19,1236,102,216,72,66,120,66,22,42,19,736,110,203,89,125,143,98,44,74,130,1017,8815,21856,5022,4177,6282,3052,963,1611,827,52600
LGA16610,36,82,11,60,38,12,8,17,4,275,55,54,31,119,57,17,7,23,3,370,254,116,725,325,262,133,198,358,42,2412,18,4,7,24,22,34,15,52,0,178,21,17,18,51,46,22,13,41,4,233,9,4,0,8,13,3,3,7,0,42,19,12,16,36,13,25,30,49,27,227,548,904,833,696,535,274,280,580,82,4729
LGA16650,437,531,348,338,493,271,140,174,36,2778,539,543,497,626,662,416,151,234,58,3728,657,353,2426,748,822,443,517,518,129,6622,55,32,29,71,142,90,27,41,0,491,120,108,99,175,349,133,81,123,14,1206,98,137,64,60,136,69,58,101,11,731,94,119,121,109,136,87,92,156,145,1057,4688,10880,4629,3614,5178,2844,1586,2628,671,36708
LGA16700,499,720,328,309,553,227,72,115,36,2862,576,622,439,512,637,301,81,144,47,3355,699,434,2199,663,765,425,297,368,90,5942,52,36,33,51,117,59,13,44,10,416,123,128,77,148,338,134,38,75,13,1071,98,198,64,59,148,42,25,35,19,685,74,139,67,79,130,61,33,70,134,802,6784,17713,4472,3150,6304,2775,895,1442,708,44248
LGA16900,169,273,118,259,194,62,26,42,15,1158,256,342,272,635,406,134,69,85,25,2236,686,394,3413,1188,964,537,906,756,124,8972,42,30,31,69,122,79,41,64,0,481,89,47,55,192,208,102,75,90,12,857,27,35,22,40,58,22,19,25,7,259,39,62,79,77,81,74,53,120,55,643,1896,3837,4164,2833,2432,1165,1220,1250,296,19092
LGA16950,320,484,157,308,228,82,26,71,27,1688,358,411,262,647,378,150,47,116,35,2393,1150,559,4081,1547,1008,703,628,994,150,10820,59,34,45,126,166,126,27,95,0,682,89,75,96,233,238,124,45,119,10,1031,24,53,36,28,68,28,17,31,0,291,92,81,92,128,104,112,74,139,82,913,3022,5714,4992,3554,2657,1503,907,1697,378,24425
LGA17000,71,99,55,49,64,15,24,16,9,392,82,86,95,116,85,31,50,19,5,574,305,125,1304,346,316,162,710,216,65,3542,14,7,17,43,45,25,32,24,0,221,31,14,17,35,66,24,40,24,5,256,6,13,3,6,16,4,9,8,0,71,24,18,23,31,25,16,40,33,15,228,835,1219,1573,700,727,309,939,363,116,6774
LGA17040,105,67,34,76,62,30,9,30,9,425,124,77,50,114,110,50,12,28,12,577,462,106,854,307,256,172,209,275,35,2681,38,10,11,30,38,14,8,34,0,186,47,14,14,35,58,34,15,31,3,250,14,4,7,13,13,14,0,11,0,80,60,16,35,38,42,30,31,39,27,321,1278,1240,1072,772,731,404,303,516,110,6431
LGA17080,81,55,19,30,22,11,7,13,3,234,55,43,30,89,58,3,8,27,3,316,227,74,559,180,152,58,195,162,21,1629,12,5,8,15,25,15,13,12,0,106,29,16,9,22,24,15,19,22,3,166,7,0,3,0,5,3,6,4,0,28,40,16,15,23,19,16,35,44,9,210,613,684,669,400,358,133,291,341,44,3540
LGA17100,113,152,122,79,152,79,47,64,26,838,153,162,144,169,183,107,38,82,15,1049,164,87,565,206,148,108,95,103,27,1498,14,16,13,17,41,16,5,16,0,133,30,30,26,51,66,39,21,16,12,284,40,99,37,21,34,32,13,18,7,300,25,41,27,30,38,18,18,34,43,286,1793,5796,1390,1116,1907,1027,460,706,305,14509
LGA17150,1294,1890,546,936,1293,508,107,150,55,6784,1595,1560,825,1589,1945,698,140,217,101,8672,3255,1442,9331,2242,2845,1488,1268,1416,344,23618,132,113,87,167,400,161,49,73,14,1201,383,325,244,414,1014,366,145,179,48,3116,146,258,94,105,353,107,37,56,24,1177,212,312,138,208,353,203,78,110,223,1840,13381,24773,12216,7712,11581,4854,2084,2583,1184,80373
LGA17200,982,1283,598,705,618,529,85,284,74,5165,1145,1331,959,1240,904,711,97,503,109,6999,1107,814,2943,1023,848,583,221,485,127,8162,94,88,61,114,133,100,12,38,4,638,278,256,110,228,274,191,45,109,24,1517,169,361,116,119,145,91,18,93,28,1153,216,298,176,205,120,115,51,171,270,1616,16548,40493,7308,7764,9625,5864,984,3508,1531,93619
LGA17310,214,356,71,159,149,52,35,47,16,1084,261,293,129,426,253,93,23,98,21,1594,825,366,2408,833,807,425,543,699,92,6992,49,23,33,65,123,79,29,74,4,479,83,39,55,109,170,78,49,93,6,680,23,23,20,22,39,23,7,60,3,218,85,54,86,74,94,70,67,143,57,722,2178,4232,2915,1962,1924,918,785,1363,230,16507
LGA17350,22,20,6,15,12,7,0,5,0,91,25,21,3,33,23,4,0,3,0,113,146,27,222,65,51,38,57,54,10,679,6,3,7,6,17,13,0,11,0,55,17,5,0,13,12,8,3,9,0,69,0,0,0,0,0,0,0,0,0,7,23,5,8,9,8,13,3,9,5,78,312,328,259,163,148,83,66,90,13,1471
LGA17400,29,19,4,17,11,4,3,3,0,92,30,16,11,30,18,0,0,11,0,121,96,24,170,80,54,32,54,87,13,608,15,4,3,8,14,3,3,15,0,60,19,0,0,11,7,11,3,6,3,68,3,4,0,0,0,0,0,0,0,15,16,4,9,12,3,5,13,22,11,98,294,248,203,177,137,66,81,160,34,1394
LGA17420,1035,1277,383,467,964,344,107,131,69,4782,991,1010,472,728,1118,459,100,154,56,5101,1825,800,4105,969,1410,814,518,618,191,11251,92,69,49,84,231,119,31,37,5,716,316,211,133,204,580,230,73,115,32,1902,139,232,75,63,207,94,28,41,32,908,169,219,99,106,244,112,55,71,137,1215,11207,21226,6470,4014,8632,3629,1236,1612,967,58989
LGA17550,230,442,150,313,228,100,34,73,15,1577,324,359,242,722,433,205,49,129,35,2497,941,407,3451,1290,968,632,613,948,140,9385,50,22,36,81,72,81,24,98,5,463,102,69,56,211,203,119,59,112,13,948,19,55,35,28,46,37,10,23,3,260,75,89,103,124,92,81,66,136,75,851,2661,5702,4306,3357,2630,1497,916,1694,355,23133
LGA17620,77,58,26,31,34,4,14,19,8,270,56,41,37,64,49,12,20,30,3,313,242,63,668,136,139,63,309,172,32,1823,18,0,4,6,28,19,13,22,0,117,21,0,20,16,29,26,23,26,0,165,4,5,8,3,3,5,3,8,0,38,47,19,25,13,17,11,27,38,5,204,641,715,825,320,358,162,419,370,56,3865
LGA17640,64,38,9,25,20,7,6,3,4,176,53,33,19,50,48,11,3,13,4,225,198,26,269,124,75,40,81,87,8,910,13,3,6,10,15,7,9,6,0,69,31,4,0,12,30,4,6,10,0,103,3,3,0,3,0,0,0,0,0,22,28,10,14,10,9,3,12,15,6,104,559,417,343,269,248,74,107,149,30,2202
LGA17650,32,36,6,20,35,11,0,4,0,144,29,15,14,30,33,3,0,8,0,138,117,27,222,73,69,41,35,93,15,688,8,0,7,4,11,7,0,15,0,55,16,7,6,18,19,3,3,8,0,81,7,0,0,0,0,4,0,0,0,11,24,11,8,9,7,9,5,8,3,81,332,395,295,198,229,87,56,152,28,1764
LGA17750,196,299,96,205,148,41,18,39,9,1066,283,310,148,463,311,92,25,64,21,1717,909,412,2818,1090,955,571,485,620,82,7944,38,25,47,84,128,83,37,72,7,521,88,46,63,144,198,76,46,78,5,745,21,39,28,12,40,15,15,24,4,191,76,72,58,62,69,59,51,85,40,563,2531,5412,3555,2505,2335,1116,718,1138,203,19512
LGA17850,44,9,0,8,9,7,0,5,0,71,26,7,4,10,13,3,0,4,0,66,87,16,93,29,25,9,30,34,3,325,14,0,0,3,6,5,0,8,0,34,14,0,3,4,14,3,0,8,0,45,3,4,0,0,0,0,0,3,0,8,18,3,0,0,7,5,0,8,4,50,286,142,104,73,75,39,30,71,3,828
LGA17900,29,17,3,20,15,0,3,3,0,91,37,21,5,32,15,9,3,3,3,134,75,14,93,61,31,12,44,38,5,384,8,0,4,6,8,3,0,13,0,33,9,0,3,3,3,3,5,5,0,39,0,0,0,0,5,0,0,3,0,10,13,13,4,11,7,4,6,19,7,80,245,248,126,181,111,38,71,92,14,1127
LGA17950,25,8,0,13,11,0,0,3,4,64,22,3,4,14,17,0,0,3,0,60,54,6,76,20,12,12,26,22,3,239,0,0,0,4,5,0,0,0,0,13,16,3,7,5,10,0,6,0,0,47,5,0,0,0,0,0,0,0,0,7,13,3,6,3,0,0,5,8,0,41,196,132,99,62,61,19,34,49,11,671
LGA18020,51,35,7,21,13,6,0,9,3,138,53,26,10,54,25,5,0,11,0,181,177,41,211,96,79,45,72,102,19,828,20,5,10,9,8,9,6,9,0,72,33,5,10,18,15,11,5,9,3,99,13,3,0,5,3,3,0,3,0,26,43,7,9,18,8,8,8,26,15,149,519,442,259,249,173,96,96,175,37,2047
LGA18050,403,541,127,202,230,161,31,45,21,1768,414,439,241,319,289,214,35,73,48,2063,382,216,1135,343,237,183,83,184,39,2801,32,30,15,28,39,14,4,9,0,169,101,125,34,115,120,79,14,38,13,639,71,151,29,41,66,39,9,30,17,462,87,160,56,71,49,67,18,49,76,620,6092,12963,2162,2173,2782,1834,325,809,505,29646
LGA18100,23,20,0,3,15,3,0,3,0,78,26,3,3,15,8,0,3,5,0,72,101,15,82,37,31,16,26,39,5,343,10,0,4,4,8,0,0,6,0,33,22,0,0,0,5,0,3,3,0,42,7,0,0,3,0,0,0,0,0,11,20,3,9,5,0,8,0,11,0,46,266,168,104,81,86,26,37,72,7,843
LGA18200,30,35,4,19,8,4,5,7,0,107,25,25,16,37,29,10,3,7,0,149,149,33,237,83,66,34,73,82,11,765,12,0,3,4,9,10,3,8,0,53,12,3,3,9,8,8,0,4,0,53,0,0,0,0,3,0,0,3,0,14,20,7,3,11,3,18,11,15,10,91,317,345,281,193,168,89,91,134,18,1633
LGA18230,161,212,58,148,111,47,13,33,10,794,218,218,81,391,248,86,21,62,16,1341,751,257,1976,828,760,438,405,522,80,6014,46,18,24,58,108,71,16,65,6,411,80,32,38,104,154,63,32,56,11,557,14,34,25,11,33,16,5,19,0,158,78,62,58,63,54,59,37,75,48,539,1953,3568,2382,1948,1795,932,556,1006,209,14343
LGA18250,370,473,141,147,285,177,33,58,28,1713,336,412,203,271,312,196,29,72,23,1847,311,204,703,265,247,181,74,119,33,2132,32,26,17,21,58,31,4,10,3,191,94,91,46,75,144,73,16,21,13,566,75,154,32,26,52,29,11,15,9,408,68,100,30,33,51,27,5,24,63,395,5994,13382,1761,1624,3365,1725,290,617,508,29253
LGA18350,214,323,100,163,139,86,20,56,12,1115,217,196,139,303,203,102,35,52,16,1256,662,253,1982,485,452,322,371,486,70,5085,29,22,28,41,70,47,24,36,3,296,82,57,55,102,135,67,32,60,7,596,30,37,15,21,36,8,4,12,3,159,57,62,46,58,66,42,34,83,32,489,2202,3861,2580,1510,1536,858,569,881,202,14187
LGA18400,184,285,78,189,174,48,25,28,10,1026,249,243,159,419,336,103,45,59,12,1629,850,309,2882,650,747,375,785,570,119,7286,27,22,21,49,113,53,28,49,3,360,64,47,61,73,181,66,60,59,15,630,29,26,24,13,47,15,9,22,5,191,55,53,84,42,94,51,56,70,44,557,2112,3273,3427,1719,2005,822,1051,904,264,15580
LGA18450,586,1054,405,696,641,244,91,139,45,3904,897,1070,791,1539,1155,381,166,231,75,6312,1844,1056,7907,2601,2404,1185,1826,1680,279,20765,85,79,71,193,353,184,83,162,10,1220,215,169,138,405,629,236,127,205,30,2158,65,157,70,64,151,59,43,61,11,688,106,193,188,212,203,167,152,203,169,1589,7219,18990,10379,7447,7645,3259,2706,3129,879,61655
LGA18500,343,433,60,107,207,163,9,26,30,1373,263,264,94,159,180,117,5,35,15,1134,287,144,456,160,164,153,32,72,15,1483,24,20,7,13,30,30,5,0,3,127,102,78,27,52,108,69,3,19,9,467,64,121,11,23,49,30,0,13,11,327,88,129,22,38,65,37,5,25,47,446,5335,10971,947,1132,2331,1495,120,303,428,23053
LGA18710,105,81,35,45,83,14,3,14,8,386,117,97,43,100,95,23,3,13,12,503,275,103,570,196,196,66,110,150,27,1690,17,11,6,9,23,3,3,14,0,93,30,11,18,36,49,18,9,19,7,195,8,12,3,4,5,5,0,0,0,42,31,17,21,31,28,16,12,20,17,191,1203,1489,762,567,741,189,152,267,103,5481
LGA19399,16,3,0,3,3,0,0,0,0,19,13,0,0,4,5,4,3,3,0,26,47,7,37,6,8,6,0,32,8,156,5,0,0,0,4,0,0,0,0,11,5,0,0,3,3,0,0,3,0,19,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,121,33,40,24,25,12,3,53,14,331
LGA19499,14,27,7,18,14,4,10,7,3,100,12,28,19,48,25,14,12,30,6,198,45,38,246,70,38,31,82,93,6,657,4,0,3,8,3,7,7,14,0,46,9,6,5,16,3,13,6,13,0,67,3,8,0,0,3,3,3,5,3,29,3,14,15,16,11,8,9,21,25,117,200,562,348,285,168,119,144,278,58,2162
LGA19799,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,12,3,3,3,4,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,14,7,11,6,7,8,3,74
