LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA11750,5,17,61,41,40,48,13,3,0,236,0,23,41,29,39,25,8,0,0,165,0,16,68,30,46,34,6,0,0,199,0,12,45,29,26,28,0,3,0,149,0,14,94,87,57,47,3,0,3,316,0,0,13,41,37,25,5,3,0,124,43,44,87,72,86,88,61,45,12,537,252,257,708,588,586,591,350,212,78,3623
LGA11800,13,195,764,892,1047,851,382,106,62,4313,7,79,551,604,663,523,207,39,16,2694,4,30,348,464,536,447,108,24,10,1981,0,12,194,375,401,335,57,17,7,1401,0,10,197,440,482,339,77,24,6,1578,0,7,76,210,204,176,75,34,13,795,443,345,656,603,796,920,823,777,658,6027,4331,3688,7649,8219,9633,10689,8512,4793,2070,59595
LGA12000,0,14,48,63,63,55,28,19,4,287,0,3,18,27,38,32,12,3,0,134,0,12,13,32,37,24,12,4,3,137,0,0,14,20,32,15,3,8,0,95,0,0,16,19,27,19,4,0,0,92,0,0,7,14,31,18,9,0,3,80,34,18,41,57,58,63,98,83,36,479,259,200,354,457,594,554,550,344,120,3431
LGA12150,4,11,36,27,53,38,16,6,3,189,0,8,31,14,35,20,11,3,3,130,0,3,28,12,25,12,3,0,0,85,0,0,16,3,15,13,4,0,0,48,0,0,9,11,15,12,3,0,0,50,0,3,5,6,16,13,7,5,0,56,52,30,75,77,104,89,102,58,32,611,201,215,440,378,568,546,439,239,105,3124
LGA12350,0,42,106,128,139,144,63,34,3,663,0,14,59,85,98,76,24,11,0,371,0,7,36,54,83,78,23,8,3,297,0,0,18,44,48,53,14,3,3,196,0,0,32,42,62,41,17,3,3,196,0,5,7,27,36,27,20,9,3,130,99,75,112,118,154,167,192,169,82,1159,739,655,1071,1261,1663,1812,1673,996,433,10296
LGA12380,34,1039,4730,3108,2414,1603,495,104,43,13570,7,444,2904,2204,1585,971,242,34,16,8407,6,173,1971,1883,1230,751,152,24,7,6196,4,59,1110,1362,814,510,94,13,0,3971,3,51,1228,1935,1154,600,100,11,7,5078,12,25,297,598,441,220,52,28,9,1683,1074,1405,3186,2159,1765,1524,1151,793,528,13588,12528,17158,42160,30455,24715,20582,13403,7431,3282,171707
LGA12700,3,32,90,105,127,121,52,21,8,558,0,11,55,80,79,68,30,10,0,341,0,3,50,62,63,60,26,3,0,274,0,3,32,36,74,71,9,3,0,227,0,0,35,84,96,58,6,3,0,289,0,3,18,38,43,31,22,3,5,162,90,33,62,77,118,117,99,88,40,735,557,373,815,1000,1320,1447,1058,559,179,7315
LGA12730,0,41,99,116,131,128,36,20,9,582,0,12,64,73,67,83,20,3,3,324,0,3,47,57,56,61,22,4,3,266,0,3,11,43,45,30,7,3,0,150,0,0,13,59,62,45,14,4,4,213,0,0,10,23,22,26,11,7,0,97,81,53,85,98,127,178,169,125,54,967,507,477,865,977,1119,1362,1010,671,295,7276
LGA12750,3,49,244,363,441,563,321,103,42,2136,0,20,171,207,261,317,154,40,29,1200,0,7,78,130,204,247,84,13,15,780,0,6,47,102,147,156,55,13,6,536,0,0,51,99,170,173,83,24,11,613,4,0,22,72,79,93,49,16,19,360,245,143,246,314,409,607,710,544,414,3630,1799,1278,2615,3405,4667,6778,6609,3382,1388,31914
LGA12850,48,1045,3195,2312,2372,1784,412,94,21,11282,14,388,2030,1474,1426,1001,213,31,11,6580,3,140,1302,1088,1022,675,150,17,7,4407,3,50,654,721,596,435,83,16,5,2560,0,29,637,834,718,438,96,17,0,2767,3,23,161,294,289,182,65,33,3,1050,1097,979,1857,1642,1822,1570,1117,854,498,11442,14169,15335,27090,24772,27133,24942,15253,8601,3585,160880
LGA12870,3,37,162,154,184,160,79,23,7,818,0,15,72,101,135,115,36,9,3,491,0,5,48,76,106,72,16,4,0,336,0,3,18,44,60,49,12,0,3,194,0,0,12,49,66,63,11,5,0,213,0,0,5,21,19,34,13,9,0,103,100,54,79,111,145,184,247,224,132,1275,672,518,985,1198,1542,1883,1875,1093,411,10187
LGA12900,0,43,118,93,124,113,59,12,9,577,0,15,92,64,76,64,18,11,0,329,0,6,60,65,69,50,10,13,0,268,0,9,27,41,41,32,8,0,0,162,0,3,31,62,58,43,6,3,0,201,0,0,8,19,28,22,10,4,3,94,93,56,107,93,132,126,167,126,47,948,631,481,1001,984,1236,1221,1122,710,254,7636
LGA12930,26,726,3208,2132,1937,1500,666,202,97,10484,8,314,2093,1669,1440,990,362,108,47,7030,7,123,1591,1444,1475,888,282,58,29,5887,0,43,904,1254,1032,680,180,50,13,4152,6,41,1159,1967,1737,1007,284,63,26,6280,3,12,339,1084,1223,686,184,77,30,3636,555,612,1447,1006,1019,886,754,676,633,7608,8900,11199,24425,19243,19255,16677,11582,7179,3763,122216
LGA12950,0,16,27,40,62,50,14,10,3,215,0,8,26,27,22,36,13,0,0,133,0,0,20,17,29,24,4,5,0,103,0,0,15,21,28,19,3,0,0,84,0,0,7,7,21,17,3,0,0,63,0,3,6,7,4,22,3,0,0,50,41,17,41,35,47,62,64,82,42,430,233,216,410,428,552,607,511,354,134,3440
LGA13010,0,18,59,78,85,110,49,19,5,424,0,10,35,36,47,47,19,5,0,206,0,3,19,46,30,43,18,4,0,161,0,0,13,28,29,22,7,3,3,102,0,0,22,36,38,21,10,0,0,129,0,0,3,14,13,21,7,3,0,60,74,42,144,156,131,143,180,114,78,1065,472,386,809,929,1072,1368,1297,706,279,7322
LGA13310,10,129,458,376,421,386,149,38,18,1995,0,64,246,262,309,232,80,11,6,1204,0,16,194,276,246,228,50,18,8,1034,0,8,116,204,218,181,22,3,6,756,0,8,126,237,280,192,40,13,0,898,5,4,20,61,86,72,35,16,3,306,222,211,471,423,408,333,372,346,226,3004,1741,1669,3567,3518,4040,3954,3250,1760,738,24238
LGA13340,0,30,115,109,166,149,62,26,9,668,0,7,71,90,111,107,24,12,5,433,0,8,38,68,90,63,17,3,0,295,0,4,22,66,49,51,9,3,0,207,0,0,18,44,76,49,16,3,3,207,0,3,8,21,47,40,10,3,7,146,79,43,81,77,86,148,138,94,83,830,677,399,887,1084,1429,1573,1241,558,259,8116
