LGA_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA14900,55,1121,3920,3298,3031,1839,426,79,32,13811,22,488,2680,2431,2018,1109,235,27,4,9012,9,158,1946,2027,1655,874,159,27,0,6862,5,68,1045,1480,1273,587,106,11,0,4574,3,42,1094,1849,1433,698,130,14,3,5260,15,17,243,649,611,298,85,31,15,1979,1402,1267,2687,2475,2164,1792,1364,915,413,14481,14886,14554,29760,29691,27132,20680,12609,6433,2283,158031
LGA14920,0,31,82,74,97,77,41,20,4,432,0,7,51,50,52,61,25,3,0,242,0,0,55,43,48,47,10,3,0,205,0,0,28,32,37,27,7,0,0,133,0,0,26,40,52,30,14,6,0,158,3,0,11,20,31,25,7,8,4,105,76,37,83,72,103,148,136,87,34,783,424,335,773,820,1005,1188,976,543,191,6243
LGA14950,0,6,29,39,44,45,17,7,0,196,0,8,14,25,33,13,10,3,0,105,0,0,14,12,36,15,3,4,0,92,0,0,5,12,13,21,5,0,0,51,0,0,7,17,21,24,10,0,3,78,0,0,0,0,6,16,3,4,5,39,44,4,23,26,45,47,38,46,36,319,189,115,253,304,429,484,372,231,101,2477
LGA15050,19,386,1370,1059,1038,774,271,53,22,4996,8,145,901,854,785,510,125,17,8,3355,5,83,689,757,702,503,85,16,3,2846,0,32,463,607,560,358,43,14,5,2087,0,42,621,991,903,485,72,19,9,3137,3,8,147,383,383,241,72,17,4,1266,339,302,655,605,616,554,537,455,225,4281,4943,4808,10574,10183,9977,8843,6554,3253,1280,60404
LGA15240,8,146,612,728,1010,1042,614,240,87,4484,9,64,378,495,599,577,310,88,29,2547,0,18,252,341,485,447,171,44,20,1781,0,12,132,289,354,382,91,21,10,1294,0,11,116,321,380,384,132,35,10,1393,3,17,47,141,179,213,126,50,29,816,653,310,520,657,940,1223,1499,1185,816,7801,4782,3453,6705,8264,11361,14612,15411,8365,3421,76370
LGA15270,0,80,221,230,303,226,90,49,13,1207,0,26,168,147,182,133,62,14,5,731,0,21,130,143,162,104,31,15,3,601,0,16,95,147,152,89,19,7,3,525,0,26,254,286,247,147,32,6,0,997,0,10,101,116,120,85,33,9,7,476,242,126,290,301,383,408,410,241,72,2472,1325,1105,2677,2756,3410,3164,2823,1425,487,19175
LGA15300,13,70,213,155,188,147,63,19,0,859,5,24,144,112,121,97,35,5,0,549,0,11,107,106,92,77,31,5,0,427,0,3,47,69,58,53,23,3,0,259,0,3,57,86,81,41,30,14,5,309,7,0,20,53,72,64,22,19,4,256,179,109,237,248,268,238,226,160,59,1731,755,769,1640,1642,1823,1606,1224,631,176,10270
LGA15350,3,109,358,245,256,216,236,121,53,1600,5,66,372,209,211,202,193,89,41,1376,3,26,404,264,244,217,177,79,47,1458,0,9,218,242,196,179,134,58,33,1075,3,7,469,618,492,412,300,94,48,2446,3,5,292,1170,1489,896,469,160,83,4556,119,126,321,339,312,267,247,182,209,2129,1575,1280,3407,4088,4273,3390,3000,1542,910,23465
LGA15520,4,41,144,140,164,157,70,25,5,753,0,15,101,90,95,83,26,16,3,432,0,0,46,79,85,44,14,3,0,271,0,0,35,48,78,42,21,3,3,221,0,0,28,66,61,46,16,8,0,228,0,3,12,23,45,39,19,4,0,144,75,44,96,83,123,209,217,199,64,1108,600,434,1089,1112,1496,1822,1784,994,341,9683
LGA15560,3,12,68,60,66,61,25,8,5,308,0,4,32,31,37,29,9,4,0,150,0,0,17,26,36,32,5,3,0,119,0,0,5,20,26,9,5,0,0,70,0,4,11,9,22,16,0,3,0,68,0,0,0,13,13,12,6,3,0,53,43,21,54,59,71,69,50,39,4,418,251,174,436,448,542,535,373,220,70,3051
LGA15650,14,69,199,154,169,134,50,15,6,813,0,53,151,133,129,90,24,7,3,594,0,17,138,118,136,81,19,0,0,514,0,12,117,91,123,66,13,3,0,430,0,13,211,256,307,149,17,3,4,959,0,4,47,82,103,55,15,4,0,317,135,88,281,239,230,195,155,116,51,1494,988,975,2272,2077,2267,1801,1265,617,203,12458
LGA15700,3,59,128,164,193,216,93,40,20,917,0,24,92,103,116,94,50,14,3,497,3,4,52,76,92,91,29,3,3,360,0,5,33,61,75,58,9,4,0,254,0,3,22,67,65,70,14,8,3,257,0,7,12,29,36,39,17,8,0,135,167,80,113,115,245,267,317,249,185,1750,1015,758,1449,1740,2449,3321,3015,1582,706,16040
LGA15750,3,60,164,159,184,161,58,15,3,814,3,12,128,122,125,103,25,8,3,533,0,8,92,109,85,74,40,9,4,418,0,11,55,75,80,57,25,0,0,301,0,4,78,102,92,59,19,4,4,364,0,3,27,56,56,47,9,0,0,200,148,81,167,172,224,232,181,153,86,1444,777,648,1491,1529,1759,1785,1308,742,256,10296
LGA15800,0,25,61,68,80,74,32,10,0,359,0,7,38,49,56,41,10,0,3,205,0,0,32,37,53,38,13,0,0,175,0,0,9,28,21,18,4,0,0,84,0,0,5,21,22,21,3,0,4,85,0,0,7,8,3,19,8,3,3,50,66,27,59,86,92,114,118,86,58,704,325,298,547,643,734,853,706,390,199,4697
LGA15850,0,23,64,63,81,81,57,11,6,387,0,21,43,54,48,46,17,0,0,233,0,3,44,42,42,38,13,5,0,183,0,3,20,26,41,33,8,3,0,140,0,0,27,32,29,29,9,4,0,127,0,0,8,20,18,11,8,5,0,68,64,40,61,77,102,142,97,74,40,688,369,326,659,667,790,891,767,425,179,5069
LGA15900,20,881,3138,2164,2046,1711,618,202,75,10854,9,371,2396,1687,1489,1193,327,81,34,7581,3,136,1915,1607,1485,1008,256,54,35,6496,0,66,1121,1280,1156,743,136,28,20,4561,0,60,1413,2113,1831,1130,203,58,28,6831,6,35,373,1035,1075,778,217,81,42,3645,569,741,1413,1091,1283,1246,1164,1137,1265,9907,8899,13701,23898,20042,19751,18200,12906,7666,4148,129212
LGA15950,6,475,1892,746,532,552,490,175,67,4935,3,262,1928,796,491,466,368,143,43,4500,0,109,1922,1021,648,477,325,105,34,4635,3,39,1496,969,513,414,236,68,30,3770,0,40,2811,2524,1272,797,416,150,34,8049,9,25,1209,2664,2102,1449,654,191,66,8363,153,345,1502,1022,691,649,554,292,180,5392,1850,3440,16352,12322,8222,7184,5927,2680,1146,59115
LGA15990,40,1165,4259,3217,3379,2854,1741,666,308,17628,10,440,3370,2964,2852,2080,1102,359,157,13344,9,192,2723,3134,2876,2033,878,280,105,12240,3,59,1752,2497,2297,1448,544,183,72,8856,3,58,2702,5504,4581,2629,917,297,141,16834,16,31,1234,6269,6371,2995,958,329,134,18327,985,821,2104,2352,2181,1848,1839,1593,1736,15459,14412,12554,29575,38197,37397,28419,22440,13078,6945,203023
LGA16100,3,18,59,63,77,72,45,8,6,347,0,14,45,46,57,46,15,4,3,227,0,3,30,43,54,30,14,0,0,180,0,0,20,24,46,24,13,5,0,122,0,0,10,22,48,32,4,3,0,124,0,0,3,10,14,14,11,0,0,56,74,97,82,86,93,74,109,62,20,697,354,318,487,560,757,725,768,298,112,4375
LGA16150,8,195,682,564,530,443,190,58,14,2699,3,96,486,396,377,292,98,26,7,1778,0,49,376,415,319,275,67,22,5,1531,0,20,235,305,341,207,50,20,4,1181,0,18,301,474,429,257,54,16,4,1557,0,12,51,208,196,123,65,15,5,672,291,189,394,392,422,355,355,311,167,2877,2627,2312,5362,5109,4991,4646,3626,2208,921,31801
LGA16200,0,71,149,146,171,166,60,33,11,809,0,35,128,106,161,83,30,12,5,562,0,18,96,100,93,89,16,3,0,418,0,7,66,89,82,64,19,3,0,335,0,0,83,107,125,60,16,0,3,399,0,0,22,28,49,26,17,6,0,147,131,74,125,156,210,215,248,185,104,1453,998,819,1539,1563,1899,1947,1511,951,438,11662
LGA16260,29,1121,5702,3629,2726,2063,813,245,102,16430,12,516,4413,3020,2066,1332,483,111,43,11989,7,210,3747,2862,1969,1294,396,79,46,10609,3,69,2438,2463,1596,1058,236,42,21,7932,3,49,3004,4428,2734,1532,331,74,21,12176,5,19,640,1696,1412,879,201,66,28,4954,794,1299,4216,2863,1853,1457,1160,887,719,15250,11507,14861,45775,35846,26638,22372,15054,8595,3898,184550
LGA16350,97,1451,4491,3588,3153,2560,665,111,29,16142,11,539,3197,2737,2226,1606,383,59,14,10781,4,253,2185,2358,2011,1343,270,36,13,8465,4,82,1298,1662,1451,947,162,11,3,5619,3,59,1276,2134,1739,1097,193,21,8,6531,13,41,261,649,640,424,108,24,10,2176,1099,1219,2619,2199,1881,1651,1333,830,449,13271,13037,14119,30298,27454,24736,22221,14463,6132,2316,154775
LGA16380,8,169,731,923,1045,903,515,202,82,4583,4,73,491,620,702,567,233,58,21,2756,0,30,339,522,644,442,128,28,18,2156,0,14,187,410,512,323,73,29,14,1565,0,4,218,489,529,379,102,39,25,1779,4,8,76,223,283,213,106,53,20,983,465,253,529,558,743,867,1215,1047,895,6575,4438,3090,6634,8102,10149,11262,11782,7001,2981,65441
LGA16400,23,266,778,878,991,848,441,119,59,4412,3,105,567,590,719,513,196,39,17,2752,0,41,435,591,641,448,127,35,9,2334,0,13,207,388,461,301,81,23,7,1484,0,16,238,563,653,424,97,31,11,2028,0,12,59,232,263,201,98,40,14,919,434,317,589,589,740,812,1008,747,440,5674,4111,3531,6687,7841,9249,9673,9484,4798,1676,57039
LGA16490,24,381,1065,799,955,724,318,72,18,4357,8,182,967,810,813,598,155,32,7,3570,3,70,753,869,865,529,129,21,5,3245,0,21,415,633,652,369,86,13,4,2188,0,17,530,1247,1417,661,112,23,5,4018,0,9,112,439,749,378,73,25,7,1787,374,267,661,628,703,601,499,287,178,4193,3523,3237,7666,7892,8956,6973,4267,1867,680,45061
LGA16550,47,943,3261,1760,1492,1217,636,205,91,9651,29,433,2845,1565,1288,869,438,124,57,7645,20,181,2501,1823,1361,843,310,93,51,7173,11,71,1723,1568,1092,674,185,70,22,5420,6,79,2426,3185,2041,1098,312,101,47,9286,9,51,902,2997,2431,1020,294,89,51,7844,696,1447,2830,2094,1616,1265,1143,858,727,12679,8150,14983,26573,20992,17002,13097,9758,5967,3181,119698
LGA16610,7,56,211,246,277,266,105,49,12,1234,0,12,110,159,157,116,36,9,0,606,0,7,52,116,109,86,25,3,0,407,0,7,34,78,82,67,5,0,0,276,0,0,26,77,65,50,21,3,0,249,0,4,11,20,32,33,15,5,8,137,213,99,173,267,292,301,301,228,116,1996,1505,1116,1984,2470,2939,3304,2808,1676,634,18441
LGA16650,19,565,2898,1834,1380,1055,359,115,42,8270,12,208,1893,1277,1115,681,210,39,22,5448,10,88,1383,1238,970,575,146,33,15,4458,4,35,834,935,660,362,98,23,10,2959,0,16,1077,1583,1021,545,111,24,13,4392,6,17,282,715,560,274,72,42,20,1981,422,601,1684,1133,931,789,725,841,879,8003,5468,8086,21905,15753,13115,10903,8389,5545,2817,91982
LGA16700,31,674,2929,1650,1407,1121,548,169,77,8608,3,306,2134,1414,1131,829,296,62,25,6211,8,101,1833,1495,1073,746,233,61,22,5585,8,41,1133,1269,975,607,174,25,15,4234,3,38,1529,2514,1714,977,222,44,16,7075,5,18,427,1578,1366,629,165,46,27,4267,380,545,1180,863,764,642,557,528,593,6053,6142,9595,21178,17161,14453,12214,8314,5306,2972,97335
LGA16900,16,303,1077,940,979,712,232,82,14,4347,4,124,684,708,680,477,91,21,6,2796,3,57,534,632,610,459,55,10,0,2360,0,16,340,485,533,315,34,4,3,1738,0,14,334,746,714,395,55,4,3,2271,6,12,86,224,196,144,37,15,3,726,328,271,509,505,564,587,614,460,304,4145,4714,4276,8009,8611,9242,8509,6531,3579,1377,54854
LGA16950,11,276,1019,987,1168,1214,650,227,74,5621,4,157,688,662,747,687,283,85,18,3337,3,45,471,607,676,574,197,55,22,2652,0,14,271,447,539,439,98,37,16,1858,0,20,201,586,594,494,142,41,12,2086,16,11,108,189,268,277,111,59,30,1073,668,533,1013,965,1138,1278,1494,1202,821,9118,5309,4622,9309,10088,12305,15353,14975,8210,3160,83332
LGA17000,22,135,280,234,275,173,79,28,9,1240,10,70,212,180,196,159,32,6,3,876,0,39,195,194,208,143,30,12,3,818,0,40,169,178,194,122,16,0,0,720,0,27,338,472,424,264,35,3,0,1563,3,3,99,190,203,127,28,0,3,656,182,104,259,269,296,261,227,117,58,1763,1683,1472,2904,3062,3336,2749,1741,839,343,18127
LGA17040,3,78,301,272,327,279,112,38,12,1420,0,34,153,203,259,192,62,16,8,932,0,17,125,171,194,145,42,14,5,717,0,3,61,117,153,113,36,5,3,491,0,3,83,169,192,134,25,6,3,623,3,5,23,67,102,68,32,9,3,312,188,129,294,298,324,267,268,166,118,2049,1175,1078,2236,2460,3039,2896,2274,1144,460,16754
LGA17080,7,49,155,176,217,210,82,25,5,926,0,14,103,112,125,146,45,6,0,563,0,15,87,115,117,100,44,12,0,489,0,12,46,87,70,68,16,7,3,295,0,9,57,86,126,74,18,3,4,378,0,13,13,26,43,44,11,7,3,147,122,76,194,202,222,268,210,169,121,1581,777,658,1442,1627,1933,2161,1781,987,430,11789
LGA17100,14,294,1249,531,439,324,105,47,23,3024,7,131,892,419,311,226,82,26,7,2100,3,61,754,393,299,183,67,30,9,1795,0,20,370,342,224,155,47,13,7,1184,0,21,479,533,415,269,70,16,13,1811,3,6,133,319,407,266,99,25,12,1274,172,366,875,450,306,253,191,153,112,2874,2441,3854,9302,5278,4676,3912,2355,1521,752,34086
LGA17150,36,1370,3814,3064,3214,2921,1385,410,164,16372,22,628,3301,2645,2557,2054,826,189,71,12301,6,245,2864,2944,2680,2081,602,151,57,11630,6,90,1710,2318,2239,1562,403,98,39,8459,5,56,2209,4250,3884,2473,567,132,62,13642,14,35,682,2666,2801,1704,511,121,57,8578,789,662,1565,1552,1526,1466,1248,1230,1366,11412,13129,12714,26241,30160,30298,27277,19990,11056,5947,176814
LGA17200,126,1865,7330,2490,1528,1054,619,155,41,15209,42,952,6332,2416,1351,845,395,82,19,12427,32,488,6198,2641,1442,901,394,100,20,12210,20,236,4204,2302,1276,707,246,72,26,9090,26,198,7174,5547,2736,1489,479,118,25,17782,26,111,3046,4826,3313,1887,710,172,49,14145,1138,3938,9259,4360,2984,2283,1567,894,442,26862,8370,28589,68867,33856,21469,16072,10462,4860,1790,194336
LGA17310,25,219,943,853,859,747,324,91,42,4103,0,109,581,532,514,421,130,27,10,2315,3,52,364,434,488,352,90,20,8,1795,0,18,201,331,370,266,59,5,9,1269,0,5,235,444,479,305,63,31,0,1566,7,11,78,134,197,147,48,27,12,653,490,308,661,622,678,763,690,543,262,5026,3757,3195,7190,6927,7626,7694,6161,3566,1437,47550
LGA17350,0,19,65,66,74,74,35,14,3,354,0,6,45,43,42,42,5,0,0,176,0,4,21,31,52,38,7,6,0,159,0,3,19,31,36,27,10,0,0,132,0,0,14,23,31,33,10,0,0,113,0,0,9,18,9,15,16,3,0,67,57,20,47,30,69,84,72,63,25,463,385,240,568,591,820,857,783,470,210,4934
LGA17400,0,8,36,48,65,86,31,14,3,291,0,8,26,31,27,43,21,8,0,158,0,0,14,30,24,27,10,0,0,106,0,0,13,13,24,17,7,3,4,75,0,0,10,27,17,32,9,7,0,100,0,0,3,11,9,15,11,0,0,42,64,27,43,75,89,163,168,104,69,804,337,211,431,664,822,1299,1137,518,176,5591
LGA17420,35,964,2227,2180,2068,1792,943,225,56,10486,13,438,1889,1832,1839,1375,622,120,29,8157,4,158,1590,2122,1945,1426,486,79,16,7838,7,57,1043,1765,1636,1120,309,49,6,5995,3,40,1486,3892,3267,1931,482,64,13,11169,3,17,467,2487,2681,1479,352,60,22,7575,562,413,782,922,1010,802,734,429,309,5964,11251,9709,16505,23631,22686,18615,13582,5649,2000,123621
LGA17550,13,196,945,1155,1296,1177,547,175,90,5594,5,71,616,701,775,699,204,68,42,3180,0,25,377,667,666,521,161,50,26,2490,0,8,210,481,490,355,83,28,22,1672,0,8,228,515,564,380,106,37,9,1853,9,15,92,262,289,206,81,52,29,1027,553,335,689,805,1002,1227,1228,1136,1062,8037,4990,3929,8219,10268,11917,13583,12026,7535,3581,76052
LGA17620,3,54,212,150,166,156,54,13,6,819,0,23,104,92,106,94,31,8,0,462,0,15,92,103,96,78,18,6,0,413,0,4,57,92,72,64,18,0,4,312,0,3,131,206,174,117,22,4,3,660,4,3,29,78,88,39,25,8,0,270,120,65,180,200,183,193,164,141,96,1341,804,650,1668,1756,1855,1849,1435,833,352,11207
LGA17640,7,21,67,104,122,98,65,14,3,498,3,6,47,66,80,75,24,9,0,299,0,7,42,55,88,54,22,3,0,277,0,0,20,48,47,40,9,0,0,172,3,3,17,46,82,44,27,7,0,232,0,0,5,21,28,32,18,8,4,128,68,30,56,58,129,132,133,89,51,738,438,297,631,777,1189,1212,1072,559,184,6346
LGA17650,0,11,48,72,78,100,37,7,0,364,0,4,31,37,63,53,18,3,0,206,3,3,27,48,50,36,11,0,0,184,0,0,10,40,41,29,9,4,0,127,0,0,5,31,49,32,5,3,0,127,0,0,0,7,15,14,14,3,0,53,54,17,36,53,86,80,73,53,12,462,370,237,470,683,892,985,787,337,118,4888
LGA17750,27,372,1190,925,903,798,279,98,32,4624,7,152,841,697,644,536,158,41,17,3091,3,61,598,590,558,370,99,22,11,2327,0,20,333,505,467,323,68,21,7,1734,0,9,298,583,560,385,83,15,9,1935,7,16,65,198,264,215,79,36,12,901,415,369,599,510,542,574,538,410,234,4191,4347,4960,8609,7532,7551,7210,5124,2979,1372,49690
LGA17850,0,14,27,28,49,42,31,4,4,198,0,3,20,22,25,22,15,0,0,105,0,0,13,11,23,19,10,4,0,88,0,0,5,8,17,16,10,5,0,62,0,0,8,19,16,14,8,0,0,64,0,0,0,4,10,13,7,7,0,46,27,8,37,44,39,51,82,51,50,383,159,135,276,313,415,464,469,233,96,2556
LGA17900,0,27,80,48,53,50,30,3,0,287,0,4,48,34,39,22,7,3,0,161,0,3,26,36,21,23,4,4,0,115,0,0,20,19,16,25,5,0,0,93,0,0,21,25,23,24,9,0,0,99,0,0,9,22,17,9,7,4,0,67,47,54,107,104,108,140,141,69,8,773,264,310,725,676,815,926,738,347,77,4885
LGA17950,0,6,40,37,44,39,11,3,0,189,0,3,29,21,27,16,8,9,0,112,0,3,16,18,15,12,4,3,3,76,0,0,7,14,14,21,6,0,0,60,0,0,5,12,23,10,3,0,0,54,0,0,3,10,7,8,6,4,0,46,30,12,34,28,41,41,55,42,12,304,132,121,292,296,365,375,329,177,60,2153
LGA18020,0,20,74,59,118,92,52,25,6,441,0,5,46,47,44,51,14,8,4,214,0,0,25,47,56,49,9,4,0,186,0,0,18,37,36,29,11,3,0,146,0,0,16,27,54,54,9,6,4,171,0,0,8,22,23,33,11,5,8,101,89,57,93,107,175,203,208,166,105,1189,488,390,749,900,1263,1461,1354,791,305,7699
LGA18050,10,375,1810,849,592,469,317,128,47,4595,0,150,1633,752,540,428,208,66,30,3810,3,71,1552,919,546,380,181,75,27,3758,0,31,1069,747,445,292,136,44,23,2792,5,22,1980,1789,969,554,235,62,35,5662,0,13,1052,2609,1819,733,259,51,42,6572,274,457,2181,1336,906,614,587,501,435,7299,2451,3669,15751,11890,8188,5670,4371,2611,1513,56111
LGA18100,0,5,44,42,31,46,33,7,9,216,0,4,17,18,31,23,7,3,0,106,0,0,9,27,31,18,5,0,0,89,0,0,4,12,12,18,4,4,0,54,0,0,0,15,18,18,4,0,0,56,0,0,3,13,16,10,3,3,0,49,33,11,18,33,48,57,79,53,22,356,184,114,260,381,479,583,590,309,148,3051
LGA18200,0,19,76,65,90,87,29,15,0,389,0,13,37,51,62,45,25,3,0,235,0,0,28,45,46,43,11,0,0,173,0,0,20,43,45,30,18,6,0,158,0,0,20,31,40,27,10,3,0,130,0,0,10,24,21,29,13,5,0,98,76,46,113,90,120,132,133,63,10,786,397,324,679,744,947,1045,856,390,135,5519
LGA18230,15,244,824,652,726,590,222,66,21,3347,6,89,531,465,444,355,89,19,13,2011,3,43,369,402,459,301,77,15,10,1681,0,15,230,358,333,243,52,18,0,1249,3,12,236,398,445,313,53,7,7,1472,9,8,78,132,172,120,64,27,8,611,417,427,899,675,671,633,581,418,208,4933,3126,3131,6701,5889,6350,6185,4576,2671,1081,39702
LGA18250,7,311,1323,853,736,571,367,156,80,4394,4,181,1121,770,562,453,288,103,50,3534,3,73,1062,847,624,490,228,94,58,3480,3,30,744,811,509,372,172,65,36,2742,0,25,1252,2025,1210,739,299,105,42,5698,4,18,593,2564,2362,1068,352,104,69,7130,220,282,785,693,562,437,379,268,298,3932,3986,4472,11319,12373,10050,7522,5430,3022,1731,59899
LGA18350,4,144,516,548,670,599,467,178,52,3189,0,55,328,372,479,408,235,74,22,1966,0,20,243,354,445,365,200,75,23,1724,0,9,160,293,350,293,120,41,20,1289,3,10,135,431,509,427,181,66,15,1777,5,8,46,230,360,326,217,60,27,1280,354,148,301,432,543,509,621,453,331,3709,3037,1896,3972,5071,6470,6643,7096,3861,1428,39473
LGA18400,23,290,808,749,781,618,208,55,17,3542,9,124,623,553,612,430,104,9,3,2467,0,71,475,624,535,351,76,4,3,2138,0,18,289,509,458,288,48,4,0,1620,0,20,303,655,667,437,57,10,0,2156,3,8,78,238,324,195,51,10,3,910,336,186,382,433,450,471,338,267,186,3043,3411,2902,5706,6573,6769,6014,4005,1808,652,37840
LGA18450,33,924,3070,2674,2652,2150,873,313,98,12784,14,398,2460,2041,2002,1425,442,93,33,8909,9,185,1915,2010,1986,1300,279,71,21,7781,0,75,1092,1729,1617,1116,182,48,7,5870,5,53,1304,2653,2439,1417,269,71,18,8239,12,34,329,1123,1253,754,213,79,24,3821,959,977,1681,1428,1581,1656,1636,1472,843,12238,13007,15523,26029,25840,26461,24276,18688,11994,5253,167073
LGA18500,8,305,1024,491,426,466,376,177,75,3349,9,174,1106,467,390,326,315,126,59,2970,4,88,1046,522,417,390,298,162,91,3025,3,34,785,486,340,311,268,133,61,2412,4,32,1441,1237,843,582,495,211,85,4934,4,22,907,2103,2116,1508,1056,428,222,8360,233,308,1021,796,713,586,636,465,329,5097,2606,2934,9432,7838,7022,5833,5531,2981,1599,45764
LGA18710,8,82,182,234,242,215,111,29,11,1109,3,38,180,178,207,156,76,21,3,859,0,17,141,222,256,166,62,7,0,878,0,4,84,172,174,115,36,9,0,595,0,3,86,356,396,193,52,16,4,1104,0,3,21,149,206,130,41,13,7,565,130,63,103,156,170,189,171,129,107,1214,1032,730,1458,2211,2497,2192,1596,730,296,12744
LGA19399,0,3,21,24,17,19,4,0,3,92,0,0,6,6,10,12,5,4,0,51,0,0,3,8,10,5,0,0,0,27,0,0,0,4,4,8,3,0,0,20,0,3,5,5,3,11,3,0,0,33,0,0,3,7,9,8,7,0,0,26,9,7,28,24,18,15,14,3,5,121,34,59,139,168,142,166,104,47,22,869
LGA19499,3,61,179,89,80,80,34,6,0,533,0,23,95,63,45,31,16,4,0,277,5,9,77,47,37,30,6,3,0,219,0,7,61,25,27,15,4,0,0,136,0,0,64,75,34,15,3,5,0,210,0,0,19,49,20,5,12,0,0,111,110,265,641,427,392,338,220,74,24,2494,517,1358,2703,1900,1798,1722,1196,282,78,11545
LGA19799,0,0,0,3,4,3,0,0,0,10,0,0,3,0,3,3,0,0,0,14,0,0,3,4,0,7,0,0,0,17,0,0,0,3,3,0,0,0,0,3,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,3,4,0,10,17,25,11,4,78,12,9,32,34,50,74,108,42,10,374
