LGA_CODE_2016,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
LGA10050,1525,64,0,1590,4,6,0,0,7,0,0,0,9,3,0,10,30,4,0,0,31,0,0,0,37,0,0,41,34,8,0,0,46,3,0,3,50,5,0,52,1364,149,29,19,1554,15,3,19,1575,71,0,1648,293,61,6,11,364,15,0,16,384,72,3,456,0,0,0,0,0,0,0,0,0,0,10,10,1656,209,36,24,1919,30,7,39,1960,139,15,2113,317,25,8,0,350,4,3,9,357,19,0,382,471,48,3,0,517,6,0,9,527,17,0,544,14,7,3,0,29,0,0,0,31,3,0,28,3,0,0,0,5,0,0,0,5,0,0,5,801,77,19,5,905,11,7,13,918,40,0,958,3,3,0,0,6,0,0,0,8,0,0,8,12,0,0,0,10,0,0,0,12,0,0,18,12,3,0,0,17,3,0,3,24,0,0,26,816,81,23,4,922,15,7,15,942,39,0,982,136,28,0,0
LGA10130,778,46,0,830,0,6,0,0,5,3,0,3,12,8,0,17,7,4,0,4,12,0,0,0,17,0,0,17,11,5,0,4,23,8,0,8,27,8,0,33,691,82,14,8,798,7,0,9,805,51,0,857,187,30,3,7,229,9,3,9,245,83,0,327,0,0,0,0,0,0,0,0,0,0,3,10,879,115,24,17,1032,15,3,22,1049,131,8,1194,206,28,3,0,233,5,0,9,239,9,0,253,214,35,0,3,254,0,0,0,255,9,0,264,9,3,0,0,13,0,0,0,13,0,0,13,5,0,0,0,7,0,0,0,7,0,0,5,432,67,3,3,510,8,0,10,513,20,0,533,3,0,0,0,3,3,0,3,5,0,0,10,4,0,0,5,13,0,0,0,16,0,0,16,8,0,0,5,18,3,0,3,20,3,0,21,441,71,3,14,524,12,0,9,534,23,0,559,90,10,0,4
LGA10250,1212,45,0,1256,3,4,0,0,8,0,0,0,9,0,0,11,18,6,0,0,29,0,0,3,34,0,0,31,22,10,0,0,37,4,0,3,38,3,0,44,976,204,21,24,1227,20,3,28,1250,46,0,1294,254,48,10,6,313,15,0,15,333,42,3,376,0,0,0,0,0,0,0,0,0,0,7,9,1233,252,25,37,1541,38,3,45,1587,91,9,1682,221,43,3,3,267,5,0,5,274,9,0,281,290,72,6,6,371,0,3,3,378,10,3,390,7,3,3,0,9,0,0,0,9,0,0,13,3,0,0,3,7,0,0,0,7,0,0,7,520,111,13,13,656,8,3,8,663,24,3,689,9,0,0,0,5,0,0,0,5,0,0,5,14,5,0,0,16,0,0,0,18,0,0,15,20,5,0,0,25,0,0,0,26,0,0,23,538,122,13,13,682,6,3,9,687,21,3,714,95,26,0,0
LGA10300,84,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,82,3,0,0,88,0,0,0,89,3,0,90,33,6,0,0,39,3,0,3,43,0,0,43,3,3,0,0,8,0,0,0,8,0,0,8,117,10,0,3,127,5,0,5,133,3,0,138,23,0,0,0,19,0,0,0,19,0,0,19,21,0,0,0,26,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,51,0,0,0,51,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,3,0,0,48,0,0,0,48,0,0,48,12,0,0,0
LGA10470,1397,59,0,1453,14,0,0,0,14,0,0,0,18,3,0,18,21,4,0,0,26,3,0,3,32,0,0,32,35,4,0,0,39,3,0,3,41,0,0,49,1252,128,30,9,1422,19,0,17,1440,58,0,1501,288,41,9,8,341,16,0,15,360,70,3,436,0,0,0,0,0,0,0,0,0,0,3,3,1537,171,42,16,1766,31,3,36,1797,131,10,1935,366,39,5,4,416,3,0,3,424,16,0,443,342,39,3,3,394,7,3,8,398,11,0,409,23,0,8,0,32,0,0,0,32,0,0,31,4,0,0,5,5,0,0,0,5,0,0,5,734,76,18,14,842,7,3,11,855,36,0,886,9,0,0,0,9,0,0,0,9,0,0,9,13,0,0,0,13,0,0,0,10,0,0,15,17,0,0,0,17,0,0,0,20,0,0,25,756,76,18,14,866,7,0,11,879,35,0,915,117,17,3,7
LGA10550,878,51,3,928,3,0,0,0,3,0,0,0,7,0,0,11,11,3,0,3,22,0,0,0,24,0,0,24,18,3,0,3,24,7,0,4,31,0,0,32,683,162,30,8,884,14,8,26,907,55,3,960,175,36,6,3,222,11,0,8,230,40,0,273,4,0,0,0,4,0,0,0,4,0,3,5,863,200,34,12,1109,24,7,36,1139,93,3,1240,158,38,3,0,203,3,0,5,206,11,0,219,223,54,14,4,292,4,0,4,297,14,0,313,14,0,7,0,18,0,0,0,18,0,0,18,4,0,0,4,10,0,0,0,10,0,0,7,399,93,22,5,520,7,3,12,527,33,0,559,5,0,0,0,5,0,0,0,5,0,0,5,11,0,0,0,14,0,0,0,13,0,0,13,12,0,0,0,16,0,0,0,21,0,0,22,413,92,23,5,533,6,3,11,547,30,0,580,78,25,4,0
LGA10600,344,17,0,363,3,4,0,0,6,0,0,0,8,0,0,8,3,3,0,0,6,0,0,0,6,0,0,6,9,5,0,0,12,0,0,0,16,0,0,16,247,94,3,3,350,6,0,5,356,17,0,376,83,22,7,0,107,10,0,10,119,22,4,140,0,0,0,0,0,0,0,0,0,0,0,3,329,114,7,3,459,12,0,15,474,44,3,520,61,6,0,0,69,0,0,0,69,5,0,74,65,33,0,0,103,3,0,3,103,6,0,111,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,130,45,0,0,170,3,0,3,176,14,0,191,0,0,0,0,0,0,0,0,5,0,0,5,10,0,0,0,10,0,0,0,10,0,0,10,13,0,0,0,13,0,0,0,14,0,0,14,137,45,0,0,179,5,0,5,189,14,0,206,26,15,3,3
LGA10650,261,20,0,281,5,0,0,0,4,0,0,0,4,0,0,6,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,5,0,0,0,5,0,0,6,243,8,6,0,267,0,0,5,268,18,0,289,49,3,0,0,58,7,0,7,60,10,0,69,0,0,0,0,0,0,0,0,0,0,0,0,297,18,12,0,319,6,0,4,329,28,0,356,56,0,0,0,56,0,0,0,56,9,0,65,72,3,6,0,84,3,0,3,85,3,0,89,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,131,3,11,0,147,3,0,3,148,14,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,3,11,0,150,0,0,0,151,14,0,163,16,0,0,0
LGA10750,12063,429,15,12513,239,50,6,9,304,39,3,43,346,31,0,376,416,72,0,4,493,41,5,45,538,20,3,565,661,122,6,14,799,79,8,87,891,53,3,938,11049,1228,130,214,12621,266,63,330,12952,477,16,13451,4368,762,59,150,5344,191,47,234,5577,890,23,6489,36,4,0,30,72,0,3,3,69,7,75,155,15452,1997,188,391,18036,461,105,567,18603,1379,120,20095,2958,283,15,35,3295,78,15,98,3388,149,3,3543,2467,285,29,29,2812,39,14,45,2859,102,3,2968,76,15,20,0,108,5,0,5,111,4,0,120,46,9,0,53,104,3,0,3,108,14,6,132,5553,590,64,114,6322,119,25,151,6470,275,9,6758,107,27,0,3,140,26,0,28,165,17,0,182,178,39,0,0,219,19,6,22,244,28,0,272,290,64,0,4,356,47,9,54,411,46,0,454,5838,652,68,121,6682,170,34,198,6884,317,12,7211,1899,365,32,54
LGA10800,241,6,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,207,19,3,10,241,0,0,0,241,5,0,248,49,8,0,3,61,0,0,4,66,13,0,76,0,0,0,3,3,0,0,0,3,0,0,3,260,32,3,19,304,0,0,4,312,19,0,326,42,10,0,0,53,0,0,0,53,0,0,53,66,12,0,0,77,0,0,0,77,0,0,81,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,111,16,0,5,132,0,0,0,132,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,19,0,5,133,0,0,0,133,0,0,138,17,3,0,0
